gcc_code16,m_neg_nil_income_15_19_yrs,m_neg_nil_income_20_24_yrs,m_neg_nil_income_25_34_yrs,m_neg_nil_income_35_44_yrs,m_neg_nil_income_45_54_yrs,m_neg_nil_income_55_64_yrs,m_neg_nil_income_65_74_yrs,m_neg_nil_income_75_84_yrs,m_negtve_nil_incme_85_yrs_ovr,m_neg_nil_income_tot,m_1_149_15_19_yrs,m_1_149_20_24_yrs,m_1_149_25_34_yrs,m_1_149_35_44_yrs,m_1_149_45_54_yrs,m_1_149_55_64_yrs,m_1_149_65_74_yrs,m_1_149_75_84_yrs,m_1_149_85ov,m_1_149_tot,m_150_299_15_19_yrs,m_150_299_20_24_yrs,m_150_299_25_34_yrs,m_150_299_35_44_yrs,m_150_299_45_54_yrs,m_150_299_55_64_yrs,m_150_299_65_74_yrs,m_150_299_75_84_yrs,m_150_299_85ov,m_150_299_tot,m_300_399_15_19_yrs,m_300_399_20_24_yrs,m_300_399_25_34_yrs,m_300_399_35_44_yrs,m_300_399_45_54_yrs,m_300_399_55_64_yrs,m_300_399_65_74_yrs,m_300_399_75_84_yrs,m_300_399_85ov,m_300_399_tot,m_400_499_15_19_yrs,m_400_499_20_24_yrs,m_400_499_25_34_yrs,m_400_499_35_44_yrs,m_400_499_45_54_yrs,m_400_499_55_64_yrs,m_400_499_65_74_yrs,m_400_499_75_84_yrs,m_400_499_85ov,m_400_499_tot,m_500_649_15_19_yrs,m_500_649_20_24_yrs,m_500_649_25_34_yrs,m_500_649_35_44_yrs,m_500_649_45_54_yrs,m_500_649_55_64_yrs,m_500_649_65_74_yrs,m_500_649_75_84_yrs,m_500_649_85ov,m_500_649_tot,m_650_799_15_19_yrs,m_650_799_20_24_yrs,m_650_799_25_34_yrs,m_650_799_35_44_yrs,m_650_799_45_54_yrs,m_650_799_55_64_yrs,m_650_799_65_74_yrs,m_650_799_75_84_yrs,m_650_799_85ov,m_650_799_tot,m_800_999_15_19_yrs,m_800_999_20_24_yrs,m_800_999_25_34_yrs,m_800_999_35_44_yrs,m_800_999_45_54_yrs,m_800_999_55_64_yrs,m_800_999_65_74_yrs,m_800_999_75_84_yrs,m_800_999_85ov,m_800_999_tot,m_1000_1249_15_19_yrs,m_1000_1249_20_24_yrs,m_1000_1249_25_34_yrs,m_1000_1249_35_44_yrs,m_1000_1249_45_54_yrs,m_1000_1249_55_64_yrs,m_1000_1249_65_74_yrs,m_1000_1249_75_84_yrs,m_1000_1249_85ov,m_1000_1249_tot,m_1250_1499_15_19_yrs,m_1250_1499_20_24_yrs,m_1250_1499_25_34_yrs,m_1250_1499_35_44_yrs,m_1250_1499_45_54_yrs,m_1250_1499_55_64_yrs,m_1250_1499_65_74_yrs,m_1250_1499_75_84_yrs,m_1250_1499_85ov,m_1250_1499_tot,m_1500_1749_15_19_yrs,m_1500_1749_20_24_yrs,m_1500_1749_25_34_yrs,m_1500_1749_35_44_yrs,m_1500_1749_45_54_yrs,m_1500_1749_55_64_yrs,m_1500_1749_65_74_yrs,m_1500_1749_75_84_yrs,m_1500_1749_85ov,m_1500_1749_tot,m_1750_1999_15_19_yrs,m_1750_1999_20_24_yrs,m_1750_1999_25_34_yrs,m_1750_1999_35_44_yrs,m_1750_1999_45_54_yrs,m_1750_1999_55_64_yrs,m_1750_1999_65_74_yrs,m_1750_1999_75_84_yrs,m_1750_1999_85ov,m_1750_1999_tot,m_2000_2999_15_19_yrs,m_2000_2999_20_24_yrs,m_2000_2999_25_34_yrs,m_2000_2999_35_44_yrs,m_2000_2999_45_54_yrs,m_2000_2999_55_64_yrs,m_2000_2999_65_74_yrs,m_2000_2999_75_84_yrs,m_2000_2999_85ov,m_2000_2999_tot,m_3000_more_15_19_yrs,m_3000_more_20_24_yrs,m_3000_more_25_34_yrs,m_3000_more_35_44_yrs,m_3000_more_45_54_yrs,m_3000_more_55_64_yrs,m_3000_more_65_74_yrs,m_3000_more_75_84_yrs,m_3000_more_85ov,m_3000_more_tot,m_pi_ns_15_19_yrs,m_pi_ns_ns_20_24_yrs,m_pi_ns_ns_25_34_yrs,m_pi_ns_ns_35_44_yrs,m_pi_ns_ns_45_54_yrs,m_pi_ns_ns_55_64_yrs,m_pi_ns_ns_65_74_yrs,m_pi_ns_ns_75_84_yrs,m_pi_ns_ns_85_yrs_ovr,m_pi_ns_ns_tot,m_os_vis_15_19_yr,m_os_vis_20_24_yr,m_os_vis_25_34_yr,m_os_vis_35_44_yr,m_os_vis_45_54_yr,m_os_vis_55_64_yr,m_os_vis_65_74_yr,m_os_vis_75_84_yr,m_os_vis_85_yr_over,m_os_vis_tot,m_tot_15_19_yrs,m_tot_20_24_yrs,m_tot_25_34_yrs,m_tot_35_44_yrs,m_tot_45_54_yrs,m_tot_55_64_yrs,m_tot_65_74_yrs,m_tot_75_84_yrs,m_tot_85ov,m_tot_tot,f_neg_nil_income_15_19_yrs,f_neg_nil_income_20_24_yrs,f_neg_nil_income_25_34_yrs,f_neg_nil_income_35_44_yrs,f_neg_nil_income_45_54_yrs,f_neg_nil_income_55_64_yrs,f_neg_nil_income_65_74_yrs,f_neg_nil_income_75_84_yrs,f_neg_nil_incme_85_yrs_ovr,f_neg_nil_income_tot,f_1_149_15_19_yrs,f_1_149_20_24_yrs,f_1_149_25_34_yrs,f_1_149_35_44_yrs,f_1_149_45_54_yrs,f_1_149_55_64_yrs,f_1_149_65_74_yrs,f_1_149_75_84_yrs,f_1_149_85ov,f_1_149_tot,f_150_299_15_19_yrs,f_150_299_20_24_yrs,f_150_299_25_34_yrs,f_150_299_35_44_yrs,f_150_299_45_54_yrs,f_150_299_55_64_yrs,f_150_299_65_74_yrs,f_150_299_75_84_yrs,f_150_299_85ov,f_150_299_tot,gcc_name16
1RNSW,33183,5804,4268,3631,4597,7558,4464,1678,660,65838,16070,3830,1632,1476,2346,3878,3188,1181,373,33970,7093,9206,7853,6645,8134,12412,12755,6690,1813,72612,3500,5091,5362,5808,9009,14600,30553,21643,6070,101641,4521,5804,6141,6403,9528,14043,22724,13712,5117,87979,3902,8363,7946,6959,8727,12245,15712,7834,2234,73926,2251,10380,13488,10636,12247,13918,11302,5309,1604,81135,1043,9198,19011,15336,17365,17744,9807,3116,988,93594,426,5976,20200,18026,19319,18404,9270,2673,799,95089,141,2699,13991,13395,13806,11940,4489,1041,325,61839,53,1326,11091,12628,13213,10064,3029,674,235,52309,22,635,7130,10479,10556,7517,1866,434,156,38798,34,533,9566,16865,16899,10993,2532,622,201,58257,96,249,2647,7414,8856,6781,2468,786,278,29583,9704,7526,14642,13948,15630,16304,15786,11057,5619,110217,567,1172,1415,550,557,648,493,187,45,5636,82609,77786,146374,150202,170805,179050,150430,78640,26522,1062424,28374,4932,9633,9405,10535,16731,5660,2134,1128,88537,20024,4092,4629,5276,5385,7521,4272,1514,580,53296,8885,9811,10979,10554,11612,17759,15155,7098,2246,94096,Rest of NSW
1GSYD,76203,28027,21142,10861,10639,15044,10891,4879,1655,179344,25817,11146,4043,2708,3214,4699,4986,2242,738,59588,11365,16277,12022,8986,10177,13451,14782,9718,3032,99807,5519,12335,11980,8629,11142,15227,29408,21733,7090,123064,5973,13177,14536,9845,11434,13553,20501,13542,6321,108873,5323,15714,18734,12419,12671,13729,15006,8261,2794,104664,2903,17255,28318,18602,17966,16684,12173,5792,1955,121647,1593,17551,43034,29051,26849,22490,12052,3981,1304,157903,737,14091,52877,36775,32005,25860,12096,3426,1130,178990,247,6625,39538,30571,25166,18517,7553,1859,605,130674,131,3104,33275,30766,24632,16837,5929,1466,471,116613,67,1241,22265,25808,19997,12938,3906,908,350,87479,56,971,33305,51894,38487,23013,6391,1444,456,156022,141,521,12832,40961,40425,22304,7002,1953,710,126847,12174,14309,33573,26751,23494,18488,14595,10242,6405,160034,2725,4640,7081,4353,4329,5490,3670,983,134,33395,150974,176984,388562,348956,312628,258326,180955,92410,35162,1944948,67035,27901,44001,37117,29909,34102,15238,6693,2925,264921,31926,12311,9757,11369,9810,10449,6894,2879,984,96378,14170,18529,19745,19743,18854,23230,19154,10787,3839,148045,Greater Sydney
2RVIC,18172,2927,2254,2075,2597,4093,2430,937,340,35828,9969,2153,861,910,1231,2060,1749,671,245,19855,3670,4708,3898,3354,4293,6371,6616,3443,1055,37401,1689,2672,2855,3146,4469,7112,15178,10431,3056,50612,2195,3335,3286,3381,4931,7060,11619,6797,2717,45324,1813,4629,4287,3867,4819,6717,8423,4012,1283,39852,956,5792,7744,5946,6930,7810,5931,2714,891,44720,502,5369,11195,9008,10097,10007,4963,1579,550,53267,191,3303,11811,10484,11274,10222,4223,1206,451,53156,59,1318,7892,7952,8025,6461,2172,500,141,34533,24,605,5482,7120,7311,5630,1416,325,119,28041,11,228,3271,5120,5558,3972,905,184,89,19350,22,190,3565,6956,7774,5339,1208,292,98,25450,54,144,1212,3247,4164,3260,1158,377,140,13752,5593,3969,7770,7602,8719,8711,8227,5571,2863,59019,341,614,864,410,323,309,251,56,24,3191,45261,41956,78258,80572,92518,95136,76465,39095,14079,563337,15174,2368,5140,5302,5721,8939,3264,1142,635,47674,11967,2537,2966,3307,3169,4025,2236,796,364,31375,4662,5630,6512,6460,6784,9823,7896,3746,1411,52926,Rest of Vic.
2GMEL,70213,28707,19047,10073,10052,12606,8899,3847,1370,164813,28077,13290,4433,2961,3348,4424,4346,2109,686,63673,10754,19770,14435,9641,10134,12788,13989,9199,2894,103613,4365,13422,12295,8276,9973,13308,26890,21504,6860,116902,4445,13418,14095,9447,10633,12157,18907,12807,5729,101639,3448,15686,19455,11897,12141,12698,14781,8033,2826,100948,1944,16110,30237,19083,17747,15914,11513,5486,1940,119981,1087,15501,45019,29294,26845,21310,10766,3513,1377,154715,479,10842,52012,36633,31954,24323,10123,2886,1035,170284,159,4501,37730,30240,24858,17370,6118,1496,514,122988,118,1996,29319,29223,24168,15880,4777,1121,400,107009,53,851,18263,23716,19041,11966,3161,726,276,78047,93,752,24878,42122,33579,19573,5056,1156,419,127624,141,496,8245,28300,29584,16628,5358,1403,561,90717,11671,13055,28630,22577,20642,16718,13695,9916,5774,142677,2129,3941,5080,2976,3148,4490,3007,681,93,25548,139175,172344,363178,316463,287862,232149,161381,85880,32748,1791183,62550,28933,41998,33647,26918,29515,13293,5547,2506,244911,34421,14705,11076,12224,10049,9966,6258,2712,1111,102522,13457,22366,22171,21021,18972,22017,18011,10970,3551,152534,Greater Melbourne
3GBRI,33650,9996,7064,4142,4419,6025,3546,1182,363,70368,14323,4918,1796,1338,1521,2424,2244,675,213,29464,7708,9289,7193,4811,4800,6384,6828,3332,927,51275,3264,5991,5642,4196,4907,7255,15695,10405,3004,60366,3081,6320,6587,4472,5287,6791,11860,6809,2729,53943,2966,8263,8584,5259,5358,6480,9029,4400,1216,51561,1750,10074,13998,8869,8039,7840,6628,2931,885,61011,1047,9879,21325,14624,13379,11104,6001,1810,515,79680,431,7292,24244,19176,16911,12992,5564,1376,425,88407,137,3421,17871,15335,13180,9270,3112,661,173,63161,70,1365,14275,15416,13246,8566,2240,429,132,55734,29,614,8861,11725,10151,6033,1438,274,77,39204,22,491,11603,20117,17927,9724,2055,432,140,62513,60,203,3835,12522,13832,7570,2115,546,173,40853,5939,6736,13412,11053,9920,8186,7081,4653,2785,69769,1283,2046,2567,1204,1339,1654,1224,344,62,11727,75771,86897,168849,154267,144205,118302,86661,40256,13814,889020,27525,10125,15254,13506,11741,13686,5078,1600,668,99182,17837,5164,4593,5233,4495,5349,2913,878,312,46774,9741,10084,9917,8888,7992,10618,8751,3921,1274,71176,Greater Brisbane
3RQLD,30175,5855,4788,3913,5117,7834,4561,1584,438,64267,15186,3156,1476,1454,1997,3438,3055,1027,311,31096,7290,7532,7376,6152,7088,10303,11181,5345,1287,63548,3420,4227,4987,4958,6912,11389,26296,17254,4262,83705,3732,4975,5547,5305,7246,10684,19989,11366,3719,72564,3628,7198,7465,6169,7420,9942,14334,6816,1649,64620,2062,9569,12709,9955,10617,11343,10043,4502,1138,71928,1219,9213,18454,15337,16048,14851,8768,2683,723,87295,548,6710,20459,18538,18957,16142,8127,2147,587,92210,178,3467,14628,14412,14236,11015,4155,992,241,63311,85,1696,11657,13940,14006,9910,2873,727,188,55085,57,900,7750,10430,10193,6972,1794,402,132,38626,38,936,11854,17356,17244,10250,2597,650,187,61104,84,316,4102,8967,9888,6686,2490,819,225,33589,8826,8360,17895,16662,17655,16740,15515,9303,4116,115073,1986,3295,4295,2179,2734,2593,2711,1189,215,21190,78512,77401,155430,155719,167356,160095,138476,66806,19410,1019207,24452,5360,12445,11859,12462,16879,5825,1913,792,91984,18287,3470,4837,5501,5031,6766,3629,1229,392,49143,9056,8086,10817,10605,10841,15833,13267,5476,1540,85514,Rest of Qld
4RSAU,4365,507,461,528,788,1207,599,186,70,8710,2129,394,227,240,471,704,498,172,47,4889,931,1101,1361,1194,1609,2290,2111,1054,246,11899,450,548,810,848,1523,2459,5220,3347,940,16139,562,700,769,978,1544,2217,3747,2037,794,13346,453,1050,1093,1095,1502,1981,2561,1230,356,11317,286,1458,1962,1677,2091,2125,1838,924,265,12618,136,1343,2857,2429,2876,2837,1502,498,143,14624,71,823,2898,2777,3156,3184,1377,351,115,14750,17,403,1807,1900,2293,1937,633,111,34,9128,10,191,1399,1630,1983,1678,396,86,25,7403,4,105,909,1271,1448,1063,248,43,18,5109,0,94,1285,1850,2044,1382,302,64,35,7059,15,38,340,751,911,786,314,73,39,3270,1381,1012,2403,2340,2679,2697,2323,1458,782,17080,105,220,420,130,118,98,72,20,3,1175,10916,9985,20993,21635,27047,28642,23730,11658,3909,158516,3761,426,1140,1155,1422,2367,751,231,103,11355,2622,436,788,785,775,1206,629,204,65,7513,1124,1147,1877,1863,2116,3073,2382,1047,325,14961,Rest of SA
4GADE,20162,6513,4243,2629,2652,3312,1817,664,337,42328,8603,3945,1367,920,1195,1656,1290,499,170,19636,3841,6571,5582,4026,4374,5185,4264,2564,858,37263,1394,3481,3654,3097,3995,5413,10321,8236,2838,42430,1331,3417,3996,3228,4129,4886,7919,5151,2487,36544,1175,4327,5242,3679,3866,4373,5885,3162,1120,32830,534,4721,8554,5733,5673,5202,4356,2311,886,37965,271,4516,11835,9179,8843,7363,4211,1558,602,48368,111,2897,12874,10770,10431,8533,3987,1136,467,51210,39,1216,8508,7941,7480,5649,2201,475,181,33688,19,469,6469,7590,6968,5123,1432,309,122,28506,20,162,3850,5704,5519,3858,1014,208,90,20421,12,156,4110,8469,8715,5537,1357,292,108,28751,34,113,1194,4104,5310,3740,1373,372,156,16396,2952,2700,5407,4793,4999,4295,3745,2844,1891,33633,602,652,842,494,484,826,518,118,20,4553,41106,45845,87710,82351,84639,74957,55686,29900,12333,514518,16556,5674,8043,6342,5600,7540,2788,1025,607,54167,10434,3828,2829,2965,2693,3375,2178,734,311,29350,5024,6806,6459,5910,5879,7504,6007,3432,1302,48326,Greater Adelaide
5GPER,29905,8762,6844,4207,4437,5634,3445,1217,318,64773,12251,4528,1681,1078,1238,1934,1817,714,215,25449,5258,7419,5891,3794,3985,4942,5599,3178,892,40970,2384,4735,4277,2763,3369,4702,11538,9233,2639,45642,2286,4660,4684,3049,3295,4390,8728,5761,2114,38976,2115,5829,6175,3722,3728,4489,7388,3912,1157,38512,1171,6439,8918,5351,4891,5013,5378,2724,846,40724,687,6879,14892,9392,8694,7594,5028,1586,600,55346,328,5838,20195,14149,12728,10458,5055,1313,475,70531,100,3004,15797,12576,10922,8085,3044,628,211,54361,39,1642,13916,12649,11505,7929,2280,447,140,50551,20,772,9669,10868,9592,6450,1617,287,105,39383,19,849,15258,21396,19391,11778,2562,488,139,71888,57,295,5648,14892,16219,9226,2458,553,173,49520,4908,5595,12947,10075,9056,7203,6074,4501,2621,62985,731,1408,2006,1022,996,1581,1131,297,45,9221,62264,68654,148806,130989,124041,101406,73137,36836,12692,758831,25288,7766,18659,17456,12814,13858,5257,1781,632,103511,15088,4706,5267,5707,4101,4484,2738,1054,376,43526,6781,8024,8972,8320,7106,8608,7507,3950,1309,60581,Greater Perth
5RWAU,6188,1025,933,825,1045,1770,1013,270,94,13150,2521,427,332,311,416,677,653,180,50,5570,1068,1082,1657,1401,1514,2123,2206,974,193,12213,635,625,849,948,1267,2120,5095,2934,688,15167,738,640,795,816,1245,1903,3741,1872,546,12304,781,1105,1160,1039,1334,1998,2850,1180,281,11733,517,1560,1856,1455,1685,2133,2134,836,221,12390,316,1634,2966,2388,2782,2912,1818,467,128,15418,192,1436,3944,3623,3808,3576,1760,384,128,18855,69,858,3280,3200,3299,2682,947,206,54,14583,44,723,3359,3435,3669,2805,756,145,37,14965,28,536,3195,3381,3442,2484,505,100,20,13688,30,874,7686,8343,7877,4677,837,130,25,30478,30,371,4365,5763,5553,3224,757,156,35,20247,2372,2270,8243,7476,7254,5710,3667,1753,724,39479,170,467,1044,385,469,417,238,62,10,3261,15697,15632,45672,44786,46658,41214,28983,11648,3221,253513,5049,911,3681,3076,2765,3982,1227,319,140,21149,3060,517,1482,1498,1153,1467,766,217,80,10237,1232,1212,2709,2681,2477,3228,2477,980,266,17254,Rest of WA
