gcc_code16,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,gcc_name16
1GSYD,36,2167,717,440,1988,1.0,1746,2.8,Greater Sydney
1RNSW,42,1584,586,270,1449,0.8,1166,2.4,Rest of NSW
2GMEL,36,1800,672,350,1826,0.9,1539,2.7,Greater Melbourne
2RVIC,42,1300,579,233,1418,0.8,1124,2.4,Rest of Vic.
3GBRI,35,1859,697,355,1821,0.8,1559,2.7,Greater Brisbane
3RQLD,40,1700,622,300,1511,0.8,1259,2.5,Rest of Qld
4GADE,39,1517,614,285,1591,0.8,1262,2.5,Greater Adelaide
4RSAU,45,1170,557,190,1307,0.7,1030,2.3,Rest of SA
5GPER,36,2000,715,360,1955,0.8,1637,2.6,Greater Perth
5RWAU,40,1700,755,240,1730,0.8,1393,2.5,Rest of WA
6GHOB,40,1400,638,260,1569,0.8,1232,2.4,Greater Hobart
6RTAS,44,1200,529,206,1286,0.8,998,2.3,Rest of Tas.
7GDAR,35,2200,1041,420,2386,1.0,2145,2.7,Greater Darwin
7RNTE,33,1800,576,92,1352,1.2,1498,3.2,Rest of NT
8ACTE,35,2058,997,380,2445,0.8,2067,2.5,Australian Capital Territory
9OTER,44,1394,758,140,1568,0.9,1398,2.6,Other Territories
