gcc_name16,gcc_code16,f_mauritius_0_4_yrs,f_mauritius_5_14_yrs,f_mauritius_15_24_yrs,f_mauritius_25_44_yrs,f_mauritius_45_54_yrs,f_mauritius_55_64_yrs_yrs,f_mauritius_65_74_yrs,f_mauritius_75_84_yrs,f_mauritius_85_yrs_ov,f_mauritius_tot,f_myanmar_0_4_yrs,f_myanmar_5_14_yrs,f_myanmar_15_24_yrs,f_myanmar_25_44_yrs,f_myanmar_45_54_yrs,f_myanmar_55_64_yrs_yrs,f_myanmar_65_74_yrs,f_myanmar_75_84_yrs,f_myanmar_85_yrs_ov,f_myanmar_tot,f_nepal_0_4_yrs,f_nepal_5_14_yrs,f_nepal_15_24_yrs,f_nepal_25_44_yrs,f_nepal_45_54_yrs,f_nepal_55_64_yrs_yrs,f_nepal_65_74_yrs,f_nepal_75_84_yrs,f_nepal_85_yrs_ov,f_nepal_tot,f_netherlands_0_4_yrs,f_netherlands_5_14_yrs,f_netherlands_15_24_yrs,f_netherlands_25_44_yrs,f_netherlands_45_54_yrs,f_netherlands_55_64_yrs_yrs,f_netherlands_65_74_yrs,f_netherlands_75_84_yrs,f_netherlands_85_yrs_ov,f_netherlands_tot,f_new_zealand_0_4_yrs,f_new_zealand_5_14_yrs,f_new_zealand_15_24_yrs,f_new_zealand_25_44_yrs,f_new_zealand_45_54_yrs,f_new_zealand_55_64_yrs_yrs,f_new_zealand_65_74_yrs,f_new_zealand_75_84_yrs,f_new_zealand_85_yrs_ov,f_new_zealand_tot,f_nthern_ireland_0_4_yrs,f_nthern_ireland_5_14_yrs,f_nthern_ireland_15_24_yrs,f_nthern_ireland_25_44_yrs,f_nthern_ireland_45_54_yrs,f_nthern_ireland_55_64_yrs_yrs,f_nthern_ireland_65_74_yrs,f_nthern_ireland_75_84_yrs,f_nthern_ireland_85_yrs_ov,f_nthern_ireland_tot,f_pakistan_0_4_yrs,f_pakistan_5_14_yrs,f_pakistan_15_24_yrs,f_pakistan_25_44_yrs,f_pakistan_45_54_yrs,f_pakistan_55_64_yrs_yrs,f_pakistan_65_74_yrs,f_pakistan_75_84_yrs,f_pakistan_85_yrs_ov,f_pakistan_tot,f_png_0_4_yrs,f_png_5_14_yrs,f_png_15_24_yrs,f_png_25_44_yrs,f_png_45_54_yrs,f_png_55_64_yrs_yrs,f_png_65_74_yrs,f_png_75_84_yrs,f_png_85_yrs_ov,f_png_tot,f_philippines_0_4_yrs,f_philippines_5_14_yrs,f_philippines_15_24_yrs,f_philippines_25_44_yrs,f_philippines_45_54_yrs,f_philippines_55_64_yrs_yrs,f_philippines_65_74_yrs,f_philippines_75_84_yrs,f_philippines_85_yrs_ov,f_philippines_tot,f_poland_0_4_yrs,f_poland_5_14_yrs,f_poland_15_24_yrs,f_poland_25_44_yrs,f_poland_45_54_yrs,f_poland_55_64_yrs_yrs,f_poland_65_74_yrs,f_poland_75_84_yrs,f_poland_85_yrs_ov,f_poland_tot,f_scotland_0_4_yrs,f_scotland_5_14_yrs,f_scotland_15_24_yrs,f_scotland_25_44_yrs,f_scotland_45_54_yrs,f_scotland_55_64_yrs_yrs,f_scotland_65_74_yrs,f_scotland_75_84_yrs,f_scotland_85_yrs_ov,f_scotland_tot,f_singapore_0_4_yrs,f_singapore_5_14_yrs,f_singapore_15_24_yrs,f_singapore_25_44_yrs,f_singapore_45_54_yrs,f_singapore_55_64_yrs_yrs,f_singapore_65_74_yrs,f_singapore_75_84_yrs,f_singapore_85_yrs_ov,f_singapore_tot,f_south_africa_0_4_yrs,f_south_africa_5_14_yrs,f_south_africa_15_24_yrs,f_south_africa_25_44_yrs,f_south_africa_45_54_yrs,f_south_africa_55_64_yrs_yrs,f_south_africa_65_74_yrs,f_south_africa_75_84_yrs,f_south_africa_85_yrs_ov,f_south_africa_tot,f_se_europe_nfd_0_4_yrs,f_se_europe_nfd_5_14_yrs,f_se_europe_nfd_15_24_yrs,f_se_europe_nfd_25_44_yrs,f_se_europe_nfd_45_54_yrs,f_se_europe_nfd_55_64_yrs_yrs,f_se_europe_nfd_65_74_yrs,f_se_europe_nfd_75_84_yrs,f_se_europe_nfd_85_yrs_ov,f_se_europe_nfd_tot,f_sri_lanka_0_4_yrs,f_sri_lanka_5_14_yrs,f_sri_lanka_15_24_yrs,f_sri_lanka_25_44_yrs,f_sri_lanka_45_54_yrs,f_sri_lanka_55_64_yrs_yrs,f_sri_lanka_65_74_yrs,f_sri_lanka_75_84_yrs,f_sri_lanka_85_yrs_ov,f_sri_lanka_tot,f_taiwan_0_4_yrs,f_taiwan_5_14_yrs,f_taiwan_15_24_yrs,f_taiwan_25_44_yrs,f_taiwan_45_54_yrs,f_taiwan_55_64_yrs_yrs,f_taiwan_65_74_yrs,f_taiwan_75_84_yrs,f_taiwan_85_yrs_ov,f_taiwan_tot,f_thailand_0_4_yrs,f_thailand_5_14_yrs,f_thailand_15_24_yrs,f_thailand_25_44_yrs,f_thailand_45_54_yrs,f_thailand_55_64_yrs_yrs,f_thailand_65_74_yrs,f_thailand_75_84_yrs,f_thailand_85_yrs_ov,f_thailand_tot,f_fyrom_0_4_yrs,f_fyrom_5_14_yrs,f_fyrom_15_24_yrs,f_fyrom_25_44_yrs,f_fyrom_45_54_yrs,f_fyrom_55_64_yrs_yrs,f_fyrom_65_74_yrs,f_fyrom_75_84_yrs,f_fyrom_85_yrs_ov,f_fyrom_tot,f_turkey_0_4_yrs,f_turkey_5_14_yrs,f_turkey_15_24_yrs,f_turkey_25_44_yrs,f_turkey_45_54_yrs,f_turkey_55_64_yrs_yrs,f_turkey_65_74_yrs,f_turkey_75_84_yrs,f_turkey_85_yrs_ov,f_turkey_tot,f_usa_0_4_yrs,f_usa_5_14_yrs,f_usa_15_24_yrs,f_usa_25_44_yrs,f_usa_45_54_yrs,f_usa_55_64_yrs_yrs,f_usa_65_74_yrs,f_usa_75_84_yrs,f_usa_85_yrs_ov,f_usa_tot
Rest of NSW,1RNSW,0,4,6,46,36,60,37,15,5,214,3,46,72,261,59,32,21,15,4,505,12,72,141,539,25,11,0,0,0,798,5,32,44,252,259,690,1394,699,331,3708,86,650,1004,4011,3071,3186,2130,817,313,15270,0,17,12,105,105,130,237,148,45,797,25,92,57,324,53,37,25,6,0,622,3,32,44,320,294,217,56,33,11,1004,104,494,531,2902,1535,1573,635,130,39,7945,0,5,15,252,96,239,210,190,211,1221,9,115,80,443,757,1134,1485,884,395,5307,12,51,93,177,147,117,77,36,3,706,22,245,415,1201,721,563,454,184,53,3861,0,0,6,56,122,182,212,189,55,818,23,78,88,464,161,102,71,38,13,1039,12,29,133,604,51,29,9,3,0,879,44,163,249,1248,480,255,85,11,0,2530,0,8,35,312,516,680,630,405,102,2688,0,12,18,132,166,62,83,27,7,509,63,329,357,1180,582,652,487,114,37,3800
Greater Sydney,1GSYD,3,42,93,656,494,630,472,230,123,2756,4,70,313,1059,561,434,222,131,61,2844,66,420,3069,9179,375,289,69,10,3,13486,24,143,202,821,490,647,1153,710,427,4631,490,3055,5401,15300,7720,6091,3171,1156,452,42827,9,33,69,506,403,312,463,206,74,2063,301,1071,1051,4917,988,553,190,69,20,9157,3,31,98,557,559,396,155,134,52,1990,257,1636,3337,18226,8592,7636,3459,845,491,44477,13,44,119,2101,697,1354,880,588,624,6418,24,205,252,1810,1454,1734,1741,1043,501,8761,165,629,910,1972,843,899,531,207,61,6212,112,839,1721,6332,3528,2639,1638,830,289,17922,0,0,37,498,596,802,613,492,152,3190,80,506,855,4762,2449,1974,1131,622,272,12650,76,137,667,3853,791,861,358,66,17,6819,121,391,1493,9886,1809,1096,350,69,22,15236,11,41,125,1026,1135,1349,1144,641,154,5615,40,94,254,1760,1582,927,654,283,85,5667,355,1420,1606,4509,1662,1098,729,188,70,11654
Rest of Vic.,2RVIC,0,12,13,87,51,36,31,3,3,245,3,20,96,270,81,48,30,16,3,563,4,23,47,144,13,0,4,0,0,223,0,25,38,178,186,701,1381,721,320,3547,70,391,591,2102,1462,1352,772,267,84,7094,0,7,11,65,101,144,184,99,34,646,12,92,81,192,18,8,10,0,3,420,0,17,18,144,95,60,21,11,0,362,46,264,317,1656,786,693,335,61,18,4172,0,0,3,106,47,112,116,92,134,618,3,43,48,241,383,688,924,531,184,3050,0,30,55,127,71,71,24,7,3,388,8,89,174,515,296,204,156,57,22,1528,0,0,0,20,73,108,158,99,51,511,11,60,57,374,111,89,82,23,19,820,3,6,129,571,25,14,3,0,0,752,40,226,211,525,209,88,20,3,0,1337,0,0,7,45,66,108,113,77,17,435,0,10,23,119,104,62,54,19,3,386,30,138,112,467,241,274,227,41,9,1545
Greater Melbourne,2GMEL,13,138,393,1988,941,1053,695,372,190,5790,26,358,899,2307,567,356,154,100,45,4812,25,163,862,2612,114,83,21,11,3,3895,17,144,145,698,482,1047,1878,1209,652,6271,693,4037,5481,15910,6099,4375,1957,716,287,39563,3,30,62,442,374,415,474,284,114,2198,301,998,875,4204,472,304,138,32,13,7337,5,29,72,476,334,149,39,16,3,1121,215,1373,2605,11429,5132,3881,1687,441,180,26929,0,46,110,1769,864,1734,1325,942,1062,7858,36,236,344,1789,1617,2015,2163,1401,594,10198,146,860,1765,2950,1090,909,484,138,46,8387,91,620,1456,4369,2423,1608,1109,493,191,12361,0,0,24,398,690,881,738,610,214,3563,220,1476,2091,10956,4287,3292,2162,1006,473,25962,51,114,575,3125,456,508,194,26,11,5058,142,690,1283,5306,1084,476,157,29,10,9184,7,47,174,1673,1704,2100,1727,859,203,8491,30,108,280,2109,2286,1220,799,368,95,7291,264,1057,1167,3330,1246,849,536,110,62,8618
Greater Brisbane,3GBRI,0,13,35,95,77,84,60,26,14,401,4,55,197,560,162,122,72,23,17,1224,11,48,336,961,49,20,8,3,0,1431,4,56,101,406,349,568,993,485,219,3182,556,4957,7026,19094,9401,6777,3526,1224,417,52979,4,37,37,260,208,181,249,130,39,1152,44,217,173,768,123,79,37,9,3,1453,18,225,448,1578,1115,743,300,178,47,4647,101,697,1303,5401,2709,2194,906,217,55,13597,0,17,38,564,194,350,225,140,160,1680,16,223,238,1050,1092,1151,1105,642,272,5780,42,201,600,894,344,331,155,40,13,2618,72,821,1670,3993,2257,1201,723,279,104,11119,0,3,8,126,157,195,168,97,30,788,29,267,296,1310,605,474,296,129,65,3466,88,208,939,3767,695,814,305,63,10,6885,45,334,492,1990,514,256,101,12,5,3755,0,3,18,96,77,64,48,25,3,338,4,18,37,146,79,32,19,8,4,353,90,518,595,1620,648,493,373,77,30,4449
Rest of Qld,3RQLD,3,7,24,98,55,93,63,37,11,390,0,6,23,133,42,24,30,17,5,287,11,93,260,565,17,17,3,0,0,970,11,50,85,426,367,655,1170,598,250,3604,339,3218,4462,14466,9461,8345,5183,1971,655,48106,0,18,36,163,164,167,233,110,29,916,22,64,54,245,29,32,12,0,0,464,30,310,506,1464,1118,674,257,86,16,4460,151,903,1141,5011,2587,2153,888,173,37,13042,4,11,31,367,120,255,184,109,93,1173,9,154,191,782,836,974,1241,657,261,5107,19,63,136,305,229,212,90,22,9,1083,46,767,1210,3124,1805,1093,673,302,96,9102,0,0,3,44,102,134,123,90,32,536,24,126,109,504,164,153,104,41,19,1227,27,50,313,1443,143,128,63,19,5,2181,52,221,311,1666,710,275,80,13,3,3332,0,0,4,34,50,21,25,12,8,157,3,6,6,75,80,30,44,13,0,264,79,389,470,1346,632,636,479,155,37,4231
Rest of SA,4RSAU,0,3,0,0,0,4,0,0,0,7,0,9,8,59,12,11,8,3,0,117,0,3,0,11,0,0,0,0,0,16,0,6,3,40,53,208,356,126,63,850,13,84,104,415,300,256,185,53,12,1420,0,0,5,8,23,25,37,23,8,124,0,16,7,38,3,4,0,0,0,72,0,6,0,29,28,18,0,6,0,82,20,151,109,593,239,227,101,30,6,1483,0,0,0,28,6,21,25,14,19,111,0,14,16,69,145,293,309,189,68,1110,3,0,4,13,11,11,7,0,0,50,4,60,57,166,100,62,47,10,5,504,0,0,0,0,5,10,11,14,8,47,5,10,3,63,9,5,6,0,0,107,0,4,48,157,0,3,0,0,0,216,8,54,42,112,60,23,3,0,0,290,0,0,0,0,0,3,3,3,0,8,0,0,0,8,3,17,3,3,0,32,7,21,17,90,56,68,44,16,3,313
Greater Adelaide,4GADE,0,5,6,48,14,10,5,8,5,98,3,67,135,336,57,30,19,10,6,659,23,197,378,767,19,17,5,5,0,1399,8,34,41,165,162,547,882,423,229,2495,57,273,407,1525,958,905,468,193,74,4860,0,16,27,112,174,213,263,128,41,968,87,313,180,688,82,31,24,7,0,1425,0,16,22,140,113,53,17,14,3,375,54,392,648,2604,1188,922,427,125,31,6395,3,16,55,579,313,650,420,334,335,2695,8,157,164,589,846,1118,1149,742,316,5089,27,104,251,428,189,162,110,25,4,1298,10,256,439,939,608,326,212,87,30,2907,0,0,13,107,150,199,179,165,82,888,34,196,145,832,225,98,77,36,16,1669,12,39,117,466,84,37,22,3,0,779,27,97,146,957,248,110,31,7,0,1625,0,3,4,30,25,40,35,46,4,188,3,12,14,67,40,36,24,28,15,235,40,200,221,608,293,250,200,55,20,1874
Greater Perth,5GPER,19,125,259,921,291,293,186,106,49,2242,18,127,375,1356,778,761,485,342,164,4403,22,52,233,757,41,17,3,0,0,1132,14,91,122,489,365,505,1102,612,366,3657,372,2625,3440,10782,5529,4135,1722,576,137,29312,9,76,73,469,312,276,316,175,55,1757,98,273,228,1065,135,101,53,18,7,1982,3,80,85,312,192,82,14,5,0,784,190,1702,1918,5962,2139,1329,518,113,24,13886,4,44,59,907,342,717,371,268,204,2919,59,539,698,2589,2182,2185,1767,1062,401,11486,81,482,1177,2406,1288,1390,694,325,81,7927,108,1603,2779,6297,3527,1968,1040,493,185,17997,0,0,17,187,166,235,172,123,53,949,44,331,262,1482,486,369,263,124,60,3422,27,28,238,1840,139,108,57,7,0,2439,68,442,537,2263,775,446,134,24,7,4697,3,9,50,423,281,324,209,147,40,1488,5,26,51,242,102,37,28,10,5,504,106,472,473,1334,580,489,315,80,38,3888
Rest of WA,5RWAU,0,6,7,27,15,14,9,3,0,76,0,7,15,83,31,23,13,13,4,180,0,3,4,48,0,0,0,0,0,61,0,6,12,144,84,156,309,100,60,876,69,569,747,2734,1684,1394,470,143,29,7850,0,10,5,57,52,53,56,17,6,262,8,22,10,70,12,3,4,0,4,131,4,39,27,97,56,31,3,0,0,262,60,457,355,1479,550,328,126,16,0,3368,0,7,6,68,17,35,41,30,34,239,0,34,49,261,276,364,289,156,48,1472,3,17,19,86,59,52,27,9,0,280,23,293,353,1033,586,290,175,69,10,2834,0,0,0,8,4,12,21,11,7,56,5,33,8,101,24,11,13,3,0,204,3,0,59,370,3,0,0,0,0,434,22,84,78,434,218,73,14,6,3,931,0,0,0,10,7,6,10,8,7,45,0,0,0,7,3,0,0,0,0,19,12,41,43,238,118,118,85,16,5,668
