gcc_name16,gcc_code16,age_14_indst_nsp,age_14_totm,age_14_totf,age_14_totp,age_10_14_indig_m,age_10_14_indig_f,age_10_14_indig_p,age_10_14_nonind_m,age_10_14_nonind_f,age_10_14_nonind_p,age_10_14_indig_st_nsm,age_10_14_indig_st_nsf,age_10_14_indig_st_nsp,age_10_14_totm,age_10_14_totf,age_10_14_totp,age_15_indig_m,age_15_indig_f,age_15_indig_p,age_15_nonind_m,age_15_nonind_f,age_15_nonind_p,age_15_indig_st_nsm,age_15_indig_st_nsf,age_15_indig_st_nsp,age_15_totm,age_15_totf,age_15_totp,age_16_indig_m,age_16_indig_f,age_16_indig_p,age_16_nonind_m,age_16_nonind_f,age_16_nonind_p,age_16_indigstat_nsm,age_16_indigstat_nsf,age_16_indigstat_nsp,age_16_totm,age_16_totf,age_16_totp,age_17_indig_m,age_17_indig_f,age_17_indig_p,age_17_nonind_m,age_17_nonind_f,age_17_nonind_p,age_17_indigstat_nsm,age_17_indigstat_nsf,age_17_indigstat_nsp,age_17_totm,age_17_totf,age_17_totp,age_18_indig_m,age_18_indig_f,age_18_indig_p,age_18_nonind_m,age_18_nonind_f,age_18_nonind_p,age_18_indigstat_nsm,age_18_indigstat_nsf,age_18_indigstat_nsp,age_18_totm,age_18_totf,age_18_totp,age_19_indig_m,age_19_indig_f,age_19_indig_p,age_19_nonind_m,age_19_nonind_f,age_19_nonind_p,age_19_indigstat_nsm,age_19_indigstat_nsf,age_19_indigstat_nsp,age_19_totm,age_19_totf,age_19_totp,age_15_19_indig_m,age_15_19_indig_f,age_15_19_indig_p,age_15_19_nonind_m,age_15_19_nonind_f,age_15_19_nonind_p,age_15_19_indst_nsm,age_15_19_indst_nsf,age_15_19_indst_nsp,age_15_19_totm,age_15_19_totf,age_15_19_totp,age_20_indig_m,age_20_indig_f,age_20_indig_p,age_20_nonind_m,age_20_nonind_f,age_20_nonind_p,age_20_ind_status_nsm,age_20_ind_status_nsf,age_20_ind_status_nsp,age_20_totm,age_20_totf,age_20_totp,age_21_indig_m,age_21_indig_f,age_21_indig_p,age_21_nonind_m,age_21_nonind_f,age_21_nonind_p,age_21_ind_status_nsm,age_21_ind_status_nsf,age_21_ind_status_nsp,age_21_totm,age_21_totf,age_21_totp,age_22_indig_m,age_22_indig_f,age_22_indig_p,age_22_nonind_m,age_22_nonind_f,age_22_nonind_p,age_22_indig_st_nsm,age_22_indig_st_nsf,age_22_indig_st_nsp,age_22_totm,age_22_totf,age_22_totp,age_23_indig_m,age_23_indig_f,age_23_indig_p,age_23_nonind_m,age_23_nonind_f,age_23_nonind_p,age_23_indig_st_nsm,age_23_indig_st_nsf,age_23_indig_st_nsp,age_23_totm,age_23_totf,age_23_totp,age_24_indig_m,age_24_indig_f,age_24_indig_p,age_24_nonind_m,age_24_nonind_f,age_24_nonind_p,age_24_indig_st_nsm,age_24_indig_st_nsf,age_24_indig_st_nsp,age_24_totm,age_24_totf,age_24_totp,age_20_24_indig_m,age_20_24_indig_f,age_20_24_indig_p,age_20_24_nonind_m,age_20_24_nonind_f,age_20_24_nonind_p,age_20_24_indig_st_nsm,age_20_24_indig_st_nsf,age_20_24_indig_st_nsp,age_20_24_totm,age_20_24_totf,age_20_24_totp,age_25_29_indig_m,age_25_29_indig_f,age_25_29_indig_p,age_25_29_nonind_m,age_25_29_nonind_f,age_25_29_nonind_p,age_25_29_indig_st_nsm,age_25_29_indig_st_nsf,age_25_29_indig_st_nsp,age_25_29_totm,age_25_29_totf,age_25_29_totp,age_30_34_indig_m,age_30_34_indig_f,age_30_34_indig_p,age_30_34_nonind_m,age_30_34_nonind_f,age_30_34_nonind_p,age_30_34_indig_st_nsm,age_30_34_indig_st_nsf,age_30_34_indig_st_nsp,age_30_34_totm,age_30_34_totf,age_30_34_totp,age_35_39_indig_m,age_35_39_indig_f,age_35_39_indig_p,age_35_39_nonind_m,age_35_39_nonind_f,age_35_39_nonind_p,age_35_39_indig_st_nsm,age_35_39_indig_st_nsf,age_35_39_indig_st_nsp,age_35_39_totm,age_35_39_totf,age_35_39_totp,age_40_44_indig_m,age_40_44_indig_f,age_40_44_indig_p,age_40_44_nonind_m
Rest of NSW,1RNSW,1947,16340,15772,32116,8403,7986,16386,69676,66163,135844,5002,4713,9716,83088,78863,161945,1649,1584,3237,14040,13255,27288,1019,971,1988,16703,15811,32516,1521,1546,3069,14165,13626,27790,982,939,1922,16662,16108,32776,1588,1540,3125,14183,13712,27899,988,963,1949,16755,16213,32968,1471,1373,2847,13700,12813,26514,972,928,1908,16152,15118,31271,1372,1318,2693,13146,12170,25311,1040,950,1994,15556,14440,29996,7605,7366,14973,69229,65576,134802,4997,4760,9752,81832,77694,159525,1287,1257,2541,12856,12353,25210,1000,935,1929,15139,14547,29686,1376,1276,2655,12937,12472,25414,993,947,1943,15315,14694,30007,1258,1197,2456,12933,12293,25235,1025,894,1921,15217,14388,29605,1185,1134,2318,12642,12210,24854,999,921,1922,14832,14255,29093,1160,1107,2264,12763,12185,24951,1022,937,1964,14944,14224,29172,6266,5964,12231,64137,61514,125654,5043,4629,9675,75449,72109,147560,4904,4889,9790,61610,63126,124734,4986,4617,9606,71505,72628,144133,4030,4151,8182,62920,65784,128701,4778,4586,9368,71734,74519,146254,3448,3653,7100,61855,65556,127410,4486,4295,8787,69787,73506,143294,3600,4176,7779,69893
Greater Sydney,1GSYD,2192,27851,26381,54233,3967,3586,7548,134558,126880,261443,6186,5711,11899,144709,136177,280892,787,755,1535,26637,25000,51639,1244,1186,2432,28669,26935,55604,733,684,1420,27117,25622,52738,1311,1116,2424,29162,27421,56591,762,706,1474,26806,25372,52175,1309,1130,2442,28877,27212,56086,775,690,1458,27357,26434,53795,1461,1330,2793,29593,28451,58044,725,727,1458,29306,28134,57440,1648,1497,3145,31680,30359,62037,3783,3566,7344,137220,130560,267783,6972,6263,13237,147983,140387,288362,755,635,1383,30493,29034,59521,1847,1686,3530,33091,31350,64435,681,665,1349,31077,29696,60774,1891,1768,3658,33648,32126,65776,631,673,1307,30954,30681,61638,1874,1925,3804,33462,33288,66747,677,662,1335,32622,32323,64947,2240,2130,4367,35536,35117,70648,621,613,1236,33582,33663,67238,2350,2305,4652,36548,36573,73124,3359,3248,6607,158725,155397,314118,10198,9809,20012,172289,168451,340737,2590,2672,5263,173028,178234,351260,12533,12396,24931,188149,193306,381451,2032,2329,4369,179165,185387,364550,12350,11677,24030,193554,199397,392950,1792,1977,3769,164879,167014,331894,10274,9520,19795,176949,178510,355460,1870,2194,4062,156536
Rest of Vic.,2RVIC,1086,8946,8564,17511,1305,1335,2640,40279,38466,78748,2854,2637,5490,44445,42428,86873,260,259,511,8339,7612,15955,542,544,1085,9141,8412,17553,269,263,536,8235,7970,16207,526,568,1096,9034,8801,17832,248,260,514,8629,8068,16696,581,532,1113,9455,8861,18320,228,235,466,8200,7455,15653,592,537,1129,9022,8226,17255,203,201,400,7526,7024,14550,543,518,1054,8275,7737,16014,1210,1216,2428,40931,38136,79066,2786,2691,5477,44925,42043,86967,189,194,380,7406,6952,14353,554,489,1043,8145,7630,15773,234,204,434,7604,7067,14675,581,487,1067,8424,7756,16179,175,172,347,7458,7052,14504,552,578,1132,8181,7802,15982,205,170,371,7251,6966,14220,560,559,1116,8023,7692,15718,195,182,372,7364,7004,14365,592,539,1136,8152,7724,15878,1000,920,1917,37085,35035,72125,2837,2652,5490,40923,38606,79529,754,835,1584,35080,35893,70970,2696,2583,5282,38530,39310,77842,584,659,1244,35123,37565,72683,2583,2637,5225,38294,40864,79154,511,602,1117,34820,37196,72015,2395,2493,4887,37726,40290,78014,556,625,1182,39046
Greater Melbourne,2GMEL,2106,24946,23883,48832,1237,1125,2360,123302,116956,240259,5843,5559,11399,130382,123638,254017,236,224,462,24142,23084,47232,1197,1012,2213,25583,24328,49908,222,242,462,24560,23967,48535,1108,1169,2280,25893,25383,51279,206,230,430,24933,24108,49043,1162,1170,2331,26309,25502,51808,255,251,508,26605,25557,52161,1344,1305,2651,28201,27114,55309,250,230,480,28915,28132,57048,1593,1591,3180,30758,29953,60715,1171,1172,2342,129162,124847,254010,6410,6249,12661,136742,132275,269015,248,239,489,30205,29643,59844,1724,1658,3378,32176,31541,63710,249,241,488,31276,30359,61637,1908,1753,3659,33428,32346,65779,240,235,476,31715,30586,62305,1818,1811,3626,33775,32631,66413,213,230,444,32150,31869,64022,1923,1946,3866,34289,34043,68333,224,214,442,32405,32191,64591,2064,2029,4093,34692,34438,69127,1176,1163,2338,157749,154650,312400,9437,9192,18630,168363,165007,333367,1001,1024,2026,166386,171570,337950,11100,11354,22459,178485,183944,362435,842,781,1627,169012,175598,344607,10945,10733,21682,180801,187112,367913,687,718,1405,152039,154433,306475,9023,8418,17436,161748,163566,325319,736,733,1466,144237
Greater Brisbane,3GBRI,1242,14303,13557,27865,3153,2924,6077,66869,63212,130088,3238,3185,6416,73259,69317,142581,607,601,1205,13296,12642,25938,703,616,1320,14613,13854,28468,652,582,1235,13209,12582,25790,583,645,1233,14444,13812,28261,576,582,1160,13173,12633,25804,678,607,1286,14430,13821,28255,569,569,1136,14024,13466,27494,735,703,1440,15328,14738,30063,570,561,1127,14379,14436,28815,766,835,1597,15716,15831,31541,2973,2889,5864,68077,65762,133842,3469,3405,6872,74523,72056,146581,576,560,1127,15218,14964,30177,885,863,1750,16678,16381,33057,600,555,1155,15610,15911,31518,930,997,1925,17137,17464,34601,519,527,1052,15727,15326,31047,999,1036,2037,17249,16892,34138,522,495,1015,15706,15655,31362,1075,1008,2079,17296,17159,34461,481,472,952,15615,15805,31424,1073,1036,2109,17172,17311,34488,2701,2602,5309,77872,77663,155532,4961,4944,9901,85533,85209,170741,2032,2045,4078,76955,79161,156115,5178,5285,10466,84171,86492,170661,1700,1656,3353,78021,81104,159124,5167,4916,10087,84890,87680,172568,1416,1520,2936,71449,74546,145995,4399,3984,8382,77269,80046,157315,1454,1606,3069,72763
Rest of Qld,3RQLD,1907,15868,14879,30744,7727,7515,15245,67628,63722,131349,4962,4769,9723,80321,76005,156319,1570,1501,3073,13788,12969,26756,1009,976,1987,16359,15450,31809,1503,1390,2890,13698,12918,26617,997,948,1942,16190,15254,31446,1324,1339,2663,13230,12443,25672,929,907,1831,15480,14686,30167,1278,1196,2474,12172,11620,23787,978,998,1974,14425,13813,28243,1217,1177,2397,11778,11467,23248,997,983,1975,13996,13627,27618,6889,6605,13497,64665,61415,126076,4899,4809,9715,76455,72830,149284,1152,1126,2280,11902,11570,23474,1124,1053,2177,14185,13744,27928,1109,1127,2239,12330,11970,24302,1160,1015,2178,14597,14119,28715,1156,1082,2240,12305,12041,24346,1257,1106,2364,14711,14231,28946,1152,1065,2223,12390,12390,24774,1312,1233,2550,14858,14692,29549,1036,1065,2105,12484,12741,25222,1320,1194,2510,14838,15004,29842,5611,5475,11080,61406,60714,122118,6171,5607,11775,73189,71787,144979,4445,4613,9059,62145,65020,127172,6642,5860,12502,73236,75497,148732,3748,4134,7885,63974,68512,132487,6548,5516,12059,74265,78159,152423,3420,3727,7153,62257,66670,128929,6005,5069,11071,71682,75472,147156,3527,3888,7415,68652
Rest of SA,4RSAU,274,2301,2270,4566,854,844,1693,10222,9605,19821,696,662,1356,11767,11107,22869,150,133,282,1987,1964,3946,119,118,241,2251,2214,4468,180,155,328,2044,1926,3974,139,141,275,2357,2218,4581,152,155,311,2045,1954,3994,130,137,267,2326,2248,4570,138,131,267,1781,1629,3412,122,99,222,2036,1859,3900,139,137,276,1698,1427,3121,119,94,217,1955,1662,3618,755,712,1461,9557,8898,18454,626,591,1216,10933,10195,21132,128,143,271,1626,1378,3005,133,97,231,1897,1617,3511,131,131,260,1712,1381,3095,119,124,242,1961,1637,3598,128,122,249,1645,1437,3080,103,115,219,1880,1669,3549,126,130,260,1663,1604,3268,118,96,207,1899,1834,3736,115,111,222,1671,1650,3319,143,118,256,1926,1881,3800,629,631,1262,8316,7452,15761,617,547,1168,9562,8629,18193,567,554,1128,8615,8291,16911,646,566,1214,9833,9415,19247,525,511,1039,8858,8869,17727,639,591,1235,10026,9978,19997,392,416,810,8750,8797,17542,652,552,1206,9792,9763,19557,443,460,901,9979
Greater Adelaide,4GADE,552,7481,6967,14452,991,972,1965,34797,32925,67720,1497,1344,2847,37283,35243,72533,208,203,415,7118,6795,13919,264,307,569,7597,7306,14903,238,218,456,7418,6933,14346,299,290,591,7950,7447,15392,227,204,427,7561,7130,14689,329,316,645,8113,7650,15762,200,189,388,7694,7479,15171,325,327,655,8222,7996,16220,174,200,372,8079,7933,16013,353,364,723,8611,8501,17108,1052,1016,2062,37863,36274,74140,1573,1603,3172,40489,38894,79385,182,182,362,8548,8158,16702,389,369,754,9114,8708,17821,167,181,344,8874,8369,17242,415,382,797,9454,8930,18383,164,166,326,8354,8259,16614,411,360,776,8929,8784,17711,147,185,337,8510,8196,16707,398,445,838,9057,8824,17882,183,166,352,8310,8230,16544,445,396,842,8942,8794,17732,844,873,1718,42594,41212,83811,2056,1947,4006,45495,44039,89535,730,748,1476,40616,41491,82108,2144,2082,4223,43487,44324,87807,566,597,1162,41804,43269,85074,2218,2049,4263,44579,45916,90495,439,498,935,38758,39595,78357,1995,1753,3746,41184,41853,83037,458,555,1010,39383
Greater Perth,5GPER,976,11624,11001,22626,1769,1727,3492,55510,52546,108053,2688,2550,5237,59965,56820,116781,346,346,689,11123,10540,21665,519,510,1029,11990,11397,23387,348,330,682,11100,10765,21866,524,525,1051,11979,11618,23596,377,329,705,11369,10866,22234,549,516,1068,12292,11715,24001,342,280,627,11352,10905,22260,595,512,1102,12289,11696,23988,303,302,599,11884,11398,23279,670,604,1270,12849,12306,25153,1718,1581,3299,56825,54482,111304,2853,2669,5520,61400,58729,120129,327,285,620,12410,11588,24001,690,676,1370,13435,12550,25981,304,333,634,12665,11754,24418,809,718,1531,13779,12807,26589,374,288,661,12517,11803,24323,789,782,1569,13672,12882,26552,330,276,610,12444,12213,24651,862,859,1723,13639,13345,26982,278,250,528,12581,12372,24952,966,876,1844,13825,13495,27321,1609,1442,3054,62615,59724,122344,4120,3916,8039,68351,65083,133434,1424,1207,2634,67853,69305,137152,5611,4936,10549,74881,75449,150329,1107,1021,2129,71674,72329,144004,5529,4694,10220,78313,78040,156352,860,835,1696,63412,64448,127862,4482,3592,8071,68747,68877,137621,823,863,1688,61755
Rest of WA,5RWAU,505,3338,3251,6583,2405,2395,4798,13546,13033,26584,1327,1219,2544,17282,16644,33920,477,450,928,2696,2440,5129,243,228,474,3416,3115,6526,456,476,929,2635,2436,5076,242,248,491,3332,3161,6490,442,388,826,2694,2401,5095,273,219,493,3403,3009,6413,409,360,774,2260,2007,4263,220,169,388,2893,2541,5430,333,300,634,2029,1758,3791,226,196,423,2586,2259,4845,2118,1972,4088,12307,11041,23351,1203,1070,2270,15633,14085,29712,405,366,770,2023,1660,3688,191,169,359,2618,2205,4818,355,327,685,2092,1813,3903,226,212,434,2672,2344,5015,356,350,706,2110,1858,3969,256,214,469,2722,2420,5139,351,350,696,2227,2105,4332,290,257,544,2872,2705,5573,369,328,705,2370,2176,4554,315,259,573,3055,2769,5830,1837,1715,3555,10827,9613,20442,1271,1108,2379,13936,12444,26382,1754,1694,3447,13728,12937,26672,2169,1548,3717,17657,16181,33831,1531,1595,3131,15367,14829,30193,2318,1586,3904,19206,18012,37225,1323,1375,2701,14827,13921,28749,2048,1404,3449,18201,16706,34902,1342,1297,2644,15665
