gcc_name16,gcc_code16,m_agriforestfish_pd,m_agriforestfish_gd_gc,m_agriforestfish_bd,m_agriforestfish_add_d,m_agriforestfish_cert,m_agriforestfish_id_ns,m_agriforestfish_tot,m_min_pd,m_min_gd_gc,m_min_bd,m_min_add_d,m_min_cert,m_min_id_ns,m_min_tot,m_mnfg_pd,m_mnfg_gd_gc,m_mnfg_bd,m_mnfg_add_d,m_mnfg_cert,m_mnfg_id_ns,m_mnfg_tot,m_egw_ws_pd,m_egw_ws_gd_gc,m_egw_ws_bd,m_egw_ws_add_d,m_egw_ws_cert,m_egw_ws_id_ns,m_egw_ws_tot,m_cnstn_pd,m_cnstn_gd_gc,m_cnstn_bd,m_cnstn_add_d,m_cnstn_cert,m_cnstn_id_ns,m_cnstn_tot,m_wtrade_pd,m_wtrade_gd_gc,m_wtrade_bd,m_wtrade_add_d,m_wtrade_cert,m_wtrade_id_ns,m_wtrade_tot,m_rtrade_pd,m_rtrade_gd_gc,m_rtrade_bd,m_rtrade_add_d,m_rtrade_cert,m_rtrade_id_ns,m_rtrade_tot,m_accomfoods_pd,m_accomfoods_gd_gc,m_accomfoods_bd,m_accomfoods_add_d,m_accomfoods_cert,m_accomfoods_id_ns,m_accomfoods_tot,m_transpostwhse_pd,m_transpostwhse_gd_gc,m_transpostwhse_bd,m_transpostwhse_add_d,m_transpostwhse_cert,m_transpostwhse_id_ns,m_transpostwhse_tot,m_infomedtelecom_pd,m_infomedtelecom_gd_gc,m_infomedtelecom_bd,m_infomedtelecom_add_d,m_infomedtelecom_cert,m_infomedtelecom_id_ns,m_infomedtelecom_tot,m_fininsurs_pd,m_fininsurs_gd_gc,m_fininsurs_bd,m_fininsurs_add_d,m_fininsurs_cert,m_fininsurs_id_ns,m_fininsurs_tot,m_renthirreserv_pd,m_renthirreserv_gd_gc,m_renthirreserv_bd,m_renthirreserv_add_d,m_renthirreserv_cert,m_renthirreserv_id_ns,m_renthirreserv_tot,m_proscietechserv_pd,m_proscietechserv_gd_gc,m_proscietechserv_bd,m_proscietechserv_add_d,m_proscietechserv_cert,m_proscietechserv_id_ns,m_proscietechserv_tot,m_adminsupserv_pd,m_adminsupserv_gd_gc,m_adminsupserv_bd,m_adminsupserv_add_d,m_adminsupserv_cert,m_adminsupserv_id_ns,m_adminsupserv_tot,m_pubadmisafety_pd,m_pubadmisafety_gd_gc,m_pubadmisafety_bd,m_pubadmisafety_add_d,m_pubadmisafety_cert,m_pubadmisafety_id_ns,m_pubadmisafety_tot,m_eductrain_pd,m_eductrain_gd_gc,m_eductrain_bd,m_eductrain_add_d,m_eductrain_cert,m_eductrain_id_ns,m_eductrain_tot,m_healthcaresoca_pd,m_healthcaresoca_gd_gc,m_healthcaresoca_bd,m_healthcaresoca_add_d,m_healthcaresoca_cert,m_healthcaresoca_id_ns,m_healthcaresoca_tot,m_artrecserv_pd,m_artrecserv_gd_gc,m_artrecserv_bd,m_artrecserv_add_d,m_artrecserv_cert,m_artrecserv_id_ns,m_artrecserv_tot,m_othserv_pd,m_othserv_gd_gc,m_othserv_bd,m_othserv_add_d,m_othserv_cert,m_othserv_id_ns,m_othserv_tot,m_id_ns_pd,m_id_ns_gd_gc,m_id_ns_bd,m_id_ns_add_d,m_id_ns_cert,m_id_ns_id_ns,m_id_ns_tot,m_tot_pd,m_tot_gd_gc,m_tot_bd,m_tot_add_d,m_tot_cert,m_tot_id_ns,m_tot_tot,f_agriforestfish_pd,f_agriforestfish_gd_gc,f_agriforestfish_bd,f_agriforestfish_add_d,f_agriforestfish_cert,f_agriforestfish_id_ns,f_agriforestfish_tot,f_min_pd,f_min_gd_gc,f_min_bd,f_min_add_d,f_min_cert,f_min_id_ns,f_min_tot,f_mnfg_pd,f_mnfg_gd_gc,f_mnfg_bd,f_mnfg_add_d,f_mnfg_cert,f_mnfg_id_ns,f_mnfg_tot,f_egw_ws_pd,f_egw_ws_gd_gc,f_egw_ws_bd,f_egw_ws_add_d,f_egw_ws_cert,f_egw_ws_id_ns,f_egw_ws_tot,f_cnstn_pd,f_cnstn_gd_gc,f_cnstn_bd,f_cnstn_add_d,f_cnstn_cert,f_cnstn_id_ns,f_cnstn_tot,f_wtrade_pd,f_wtrade_gd_gc,f_wtrade_bd,f_wtrade_add_d,f_wtrade_cert,f_wtrade_id_ns,f_wtrade_tot,f_rtrade_pd,f_rtrade_gd_gc,f_rtrade_bd,f_rtrade_add_d,f_rtrade_cert,f_rtrade_id_ns,f_rtrade_tot,f_accomfoods_pd,f_accomfoods_gd_gc,f_accomfoods_bd,f_accomfoods_add_d
Rest of NSW,1RNSW,611,241,3507,3269,12869,1847,22340,474,181,1679,1832,12968,494,17623,867,228,3471,3392,22370,1310,31645,361,102,936,1519,5722,233,8877,401,180,2907,3574,50190,1959,59220,245,79,1135,1195,6121,428,9204,665,150,2930,2413,14314,1117,21584,391,119,2066,2287,9507,952,15315,310,158,1412,2202,12188,1184,17457,214,88,971,696,1753,149,3868,514,241,2065,1799,1425,147,6198,130,71,810,969,2664,270,4914,2528,1018,9393,3322,4235,575,21074,206,112,975,1176,5832,529,8832,2671,1361,7357,7831,13763,1000,33984,4780,2117,10518,2352,3604,479,23852,3509,1081,9285,4317,7164,850,26205,190,93,907,658,2224,204,4282,438,145,1352,1195,15082,507,18720,439,142,1472,1310,9307,2393,15064,19957,7915,65150,47309,213305,16617,370250,335,352,2650,2261,3412,977,9990,128,44,499,337,853,86,1941,325,161,1828,1609,3522,586,8033,116,51,431,350,699,74,1722,136,99,1133,1512,3190,409,6474,105,81,708,743,1697,190,3518,552,321,3996,4864,14569,2085,26377,356,204,3014,3849
Greater Sydney,1GSYD,267,59,841,470,1405,179,3210,419,63,799,347,1280,77,2985,5457,789,14240,8499,27148,2096,58240,1503,208,2477,1574,4247,246,10251,3870,637,15688,11479,74499,4028,110194,4829,645,11318,5155,9781,1157,32885,5820,798,16775,8684,17276,2229,51579,3032,428,11882,9559,12184,1859,38944,4584,808,11866,9061,19831,2594,48745,5249,974,13266,4702,4763,913,29865,14404,2877,31156,8630,5518,1603,64191,2217,440,5749,3613,5161,700,17880,25232,4048,56733,12145,8989,2760,109901,2511,459,8136,4250,8103,1157,24606,7827,2352,15890,10965,15099,1412,53543,15329,2961,18480,3797,4552,951,46081,11495,2022,23180,6487,7530,1696,52416,1306,316,4706,2258,3784,485,12850,2296,423,5407,3419,20669,931,33140,4496,563,11181,5515,14899,5583,42242,122144,21848,279765,120603,266728,32666,843750,165,43,566,377,579,144,1869,173,34,303,102,121,32,774,2836,543,9162,5008,5820,1251,24622,517,123,1154,490,576,94,2954,1604,339,5245,4009,4782,846,16823,3385,536,8551,4206,4113,863,21654,4809,898,20014,12314,15766,3091,56898,2501,392,11548,8259
Rest of Vic.,2RVIC,304,166,2040,2756,10241,1375,16874,68,28,322,254,2087,96,2863,545,265,2618,2577,16073,1096,23169,236,126,844,830,3494,216,5744,147,141,1417,1959,29853,1259,34775,108,56,676,738,3462,304,5345,289,141,1913,1746,7545,710,12341,180,91,1109,1259,4572,469,7690,171,114,821,1236,6442,772,9548,96,69,633,446,1073,96,2419,264,173,1264,1043,562,110,3420,36,33,393,370,1207,114,2162,1101,484,5075,1931,2123,314,11027,99,87,595,727,2636,270,4413,837,659,2839,3652,5625,490,14110,2171,2004,5468,1532,1863,255,13289,1791,981,4897,2193,3424,450,13741,131,84,644,548,1306,152,2861,199,101,632,699,7459,303,9388,205,95,862,865,5225,1556,8803,8990,5899,35064,27352,116296,10395,204000,202,284,1754,1795,2238,684,6958,17,15,102,67,100,9,303,187,151,1343,1220,2604,393,5893,95,66,364,294,390,40,1248,60,64,614,833,1452,157,3171,51,49,388,421,819,118,1840,216,263,2637,3082,7446,1159,14806,180,141,1564,2091
Greater Melbourne,2GMEL,415,97,1199,801,1816,249,4576,420,82,896,283,914,78,2674,5663,1315,18553,11540,34850,2609,74535,1500,340,3535,1504,3672,292,10842,2308,702,12105,10126,78116,3427,106790,3228,787,9623,4807,9606,994,29052,4738,992,16629,9173,16750,2079,50357,2444,383,10225,8678,11062,1470,34261,3797,973,11387,9497,17565,2471,45692,3765,955,9626,3625,3641,605,22218,7431,2256,19923,6542,3361,959,40470,1420,397,4695,2463,4150,475,13595,20241,4304,50070,10865,7183,2148,94818,2163,631,7293,4276,8063,970,23397,5944,2670,13248,8641,10301,1105,41912,14983,5695,18332,4397,4224,860,48500,9807,2937,20843,6221,7102,1350,48260,1392,573,5825,2687,3878,499,14858,1859,537,4668,3869,18907,996,30843,3491,713,9607,5355,14431,5005,38607,97010,27345,248280,115370,259585,28658,776254,213,105,917,559,638,162,2597,163,53,459,92,91,19,868,2714,871,10050,5275,6120,1232,26256,783,261,2040,727,762,139,4709,980,388,4282,3355,3833,560,13403,1937,597,7016,3495,3541,585,17172,3670,1288,20744,13066,15149,2847,56768,2021,473,10073,7402
Greater Brisbane,3GBRI,180,49,632,457,1351,218,2886,1187,275,2722,737,2728,174,7815,1478,407,4923,4007,19526,1077,31421,692,222,1594,1098,2861,162,6627,1122,336,5695,4825,43430,1825,57228,901,224,2637,1915,6143,442,12253,1144,284,5256,3600,10900,864,22044,872,130,3631,2987,6519,677,14819,1478,462,4675,4673,12358,1289,24928,560,159,2260,1278,1984,176,6412,1685,620,5208,2725,1803,276,12320,612,218,2300,1133,2674,297,7229,7407,2031,20215,5115,4795,913,40473,678,221,2725,1735,4734,508,10607,3365,1800,9139,6788,9116,757,30959,6576,2061,9356,2197,3282,424,23901,4472,1317,11567,3594,4607,751,26313,385,158,1677,881,1867,204,5174,728,271,1989,1687,10868,451,15993,1085,208,3078,2038,8321,2375,17107,36610,11449,101270,53458,159853,13869,376515,125,53,533,369,585,145,1818,404,159,1071,289,341,50,2314,586,195,2547,2017,3384,468,9196,283,116,833,429,479,50,2178,316,197,2009,1688,2735,284,7222,448,164,1666,1201,1921,227,5627,979,374,6585,5250,9947,1167,24302,820,220,4241,3415
Rest of Qld,3RQLD,339,128,2008,2114,8512,1285,14391,406,237,1957,1949,16633,725,21908,515,190,2284,2638,20958,1135,27721,239,90,846,1149,4746,193,7269,371,202,2822,4221,50707,2240,60560,207,88,1146,1177,6254,388,9265,517,167,3018,2631,12821,1076,20227,581,139,2838,3187,9958,948,17660,398,216,1837,3038,11943,1195,18626,145,66,866,712,1808,149,3747,458,213,1841,1825,1300,191,5825,251,101,1225,993,3377,312,6260,1983,738,8576,3179,4661,689,19829,279,113,1296,1432,5761,512,9392,1448,890,5122,6292,11475,931,26158,3509,1989,8644,2116,3474,474,20209,3390,1054,8974,3520,5216,734,22893,193,67,1049,956,2561,258,5085,347,132,1172,1319,13270,615,16850,422,128,1700,1682,9573,2531,16037,15989,6943,59222,46142,205015,16599,349909,208,168,2021,1690,2451,642,7182,127,72,738,478,1219,112,2746,200,122,1409,1527,3147,423,6836,86,52,390,364,634,39,1561,159,123,1434,1813,3330,357,7214,104,69,797,861,1722,194,3754,545,314,4327,5239,12936,1724,25088,604,219,4103,4703
Rest of SA,4RSAU,119,64,841,964,4461,712,7156,60,17,252,190,1899,116,2525,106,67,667,557,4660,353,6410,10,11,53,82,780,39,975,14,15,146,249,5430,307,6164,10,13,148,190,1074,102,1535,36,17,251,240,2062,193,2804,17,9,148,191,1121,129,1620,16,12,96,233,1601,206,2171,0,4,51,40,207,16,323,16,8,76,183,110,24,414,11,4,44,108,247,21,432,110,53,490,246,443,61,1399,18,4,93,139,855,87,1202,97,109,398,698,1465,132,2896,203,201,1157,306,496,56,2430,199,81,731,355,769,102,2233,10,7,46,55,197,36,353,37,28,149,128,2072,88,2500,22,15,104,127,993,357,1619,1115,744,5934,5265,30958,3143,47158,56,85,673,683,1014,237,2751,15,8,74,48,118,13,275,48,46,396,318,802,127,1732,3,3,25,16,55,4,102,3,11,100,150,397,47,697,15,12,92,110,300,33,564,26,38,395,505,2163,276,3404,19,15,269,356
Greater Adelaide,4GADE,128,48,523,366,1016,136,2212,320,62,895,309,1382,77,3048,1066,311,3697,2791,12327,732,20916,325,115,957,646,1848,108,3996,395,138,2475,2185,20455,995,26633,388,118,1416,1068,3487,247,6719,735,165,3113,1951,6576,513,13047,543,75,1947,1361,3827,379,8137,573,172,1677,1707,5052,566,9752,301,93,1148,719,1341,107,3708,610,306,2064,1793,1014,155,5936,167,91,760,698,1155,123,2993,2849,921,8817,2550,2420,413,17971,361,102,1174,942,2943,298,5823,2035,965,5352,3920,6016,489,18778,3780,1176,5875,1487,1724,246,14290,3085,828,7299,2366,3423,494,17491,162,77,779,518,1053,108,2704,376,154,1085,916,6507,306,9344,377,86,1257,851,3256,984,6813,18558,5999,52328,29140,86810,7473,200312,70,33,312,212,268,81,973,89,34,292,91,113,9,633,395,119,1723,1152,1993,293,5674,128,72,430,241,380,33,1277,155,67,822,736,1286,143,3203,170,67,864,525,913,106,2653,522,231,3518,2358,6310,789,13727,449,99,2141,1405
Greater Perth,5GPER,142,39,550,314,932,143,2114,2913,713,7658,3018,13331,751,28379,1257,321,4704,3325,15548,792,25946,612,149,1519,750,2399,142,5574,1139,355,6219,5794,37976,1802,53286,618,162,2300,1525,4594,371,9563,1214,244,5129,2835,8093,756,18261,701,162,3553,3052,5393,597,13465,1036,289,3596,3601,8249,937,17705,388,126,1435,945,1473,152,4528,1058,490,3790,2105,1187,268,8898,336,166,1758,1233,1917,242,5647,5356,1388,16977,4624,4093,860,33294,557,179,2216,1441,3968,423,8779,2465,1324,6706,5124,7358,721,23712,4564,2136,7867,1647,2466,359,19034,3265,927,8753,2548,3247,642,19368,373,140,1592,824,1721,184,4822,618,195,1831,1462,10225,392,14729,1116,228,3507,2247,8168,1821,17098,29709,9726,91659,48415,142337,12350,334199,77,37,435,242,343,102,1237,948,364,2902,988,1428,204,6835,489,225,2205,1513,2164,350,6955,280,114,778,345,438,55,2004,423,239,2335,1859,2779,389,8016,260,127,1348,901,1330,203,4162,1059,406,6286,4383,8469,1345,21953,683,175,4249,3048
Rest of WA,5RWAU,116,48,1078,908,3686,549,6384,418,153,1710,1484,10939,502,15206,117,55,747,523,4405,266,6110,31,10,145,216,1390,65,1856,85,26,611,942,10549,469,12688,22,17,190,214,1297,84,1817,63,25,421,386,2261,187,3339,70,17,404,441,1691,197,2820,67,43,319,626,2882,295,4229,10,4,75,66,224,18,401,32,19,146,204,149,27,575,17,7,140,179,567,59,967,226,90,1147,575,1047,124,3214,35,15,202,200,1150,110,1716,250,178,867,1181,1957,214,4654,321,493,1591,379,707,81,3571,366,156,1188,441,834,132,3121,33,8,168,129,385,34,754,82,29,212,185,3186,153,3850,71,29,282,318,2356,547,3601,2418,1432,11645,9602,51664,4127,80884,60,133,903,714,993,343,3156,94,66,601,441,949,93,2240,49,48,377,312,631,107,1515,19,7,63,57,130,12,292,15,23,250,337,754,86,1465,17,11,101,111,341,43,618,79,56,749,816,2780,419,4902,89,47,786,773
