gcc_code16,pts_400_499_mng,pts_400_499_pro,pts_400_499_tectw,pts_400_499_copsw,pts_400_499_claw,pts_400_499_swks,pts_400_499_maopdv,pts_400_499_lab,pts_400_499_idns,pts_400_499_tot,pts_500_649_mng,pts_500_649_pro,pts_500_649_tectw,pts_500_649_copsw,pts_500_649_claw,pts_500_649_swks,pts_500_649_maopdv,pts_500_649_lab,pts_500_649_idns,pts_500_649_tot,pts_650_799_mng,pts_650_799_pro,pts_650_799_tectw,pts_650_799_copsw,pts_650_799_claw,pts_650_799_swks,pts_650_799_maopdv,pts_650_799_lab,pts_650_799_idns,pts_650_799_tot,pts_800_999_mng,pts_800_999_pro,pts_800_999_tectw,pts_800_999_copsw,pts_800_999_claw,pts_800_999_swks,pts_800_999_maopdv,pts_800_999_lab,pts_800_999_idns,pts_800_999_tot,pts_1000_1249_mng,pts_1000_1249_pro,pts_1000_1249_tectw,pts_1000_1249_copsw,pts_1000_1249_claw,pts_1000_1249_swks,pts_1000_1249_maopdv,pts_1000_1249_lab,pts_1000_1249_idns,pts_1000_1249_tot,pts_1250_1499_mng,pts_1250_1499_pro,pts_1250_1499_tectw,pts_1250_1499_copsw,pts_1250_1499_claw,pts_1250_1499_swks,pts_1250_1499_maopdv,pts_1250_1499_lab,pts_1250_1499_idns,pts_1250_1499_tot,pts_1500_1749_mng,pts_1500_1749_pro,pts_1500_1749_tectw,pts_1500_1749_copsw,pts_1500_1749_claw,pts_1500_1749_swks,pts_1500_1749_maopdv,pts_1500_1749_lab,pts_1500_1749_idns,pts_1500_1749_tot,pts_1750_1999_mng,pts_1750_1999_pro,pts_1750_1999_tectw,pts_1750_1999_copsw,pts_1750_1999_claw,pts_1750_1999_swks,pts_1750_1999_maopdv,pts_1750_1999_lab,pts_1750_1999_idns,pts_1750_1999_tot,pts_2000_2999_mng,pts_2000_2999_pro,pts_2000_2999_tectw,pts_2000_2999_copsw,pts_2000_2999_claw,pts_2000_2999_swks,pts_2000_2999_maopdv,pts_2000_2999_lab,pts_2000_2999_idns,pts_2000_2999_tot,pts_3000mo_mng,pts_3000mo_pro,pts_3000mo_tectw,pts_3000mo_copsw,pts_3000mo_claw,pts_3000mo_swks,pts_3000mo_maopdv,pts_3000mo_lab,pts_3000mo_idns,pts_3000mo_tot,pts_pins_mng,pts_pins_pro,pts_pins_tectw,pts_pins_copsw,pts_pins_claw,pts_pins_swks,pts_pins_maopdv,pts_pins_lab,pts_pins_idns,pts_pins_tot,pts_tot_mng,pts_tot_pro,pts_tot_tectw,pts_tot_copsw,pts_tot_claw,pts_tot_swks,pts_tot_maopdv,pts_tot_lab,pts_tot_idns,pts_tot_tot,ss_ns_nni_mng,ss_ns_nni_pro,ss_ns_nni_tectw,ss_ns_nni_copsw,ss_ns_nni_claw,ss_ns_nni_swks,ss_ns_nni_maopdv,ss_ns_nni_lab,ss_ns_nni_idns,ss_ns_nni_tot,ss_ns_1_149_mng,ss_ns_1_149_pro,ss_ns_1_149_tectw,ss_ns_1_149_copsw,ss_ns_1_149_claw,ss_ns_1_149_swks,ss_ns_1_149_maopdv,ss_ns_1_149_lab,ss_ns_1_149_idns,ss_ns_1_149_tot,ss_ns_150_299_mng,ss_ns_150_299_pro,ss_ns_150_299_tectw,ss_ns_150_299_copsw,ss_ns_150_299_claw,ss_ns_150_299_swks,ss_ns_150_299_maopdv,ss_ns_150_299_lab,ss_ns_150_299_idns,ss_ns_150_299_tot,ss_ns_300_399_mng,ss_ns_300_399_pro,ss_ns_300_399_tectw,ss_ns_300_399_copsw,ss_ns_300_399_claw,ss_ns_300_399_swks,ss_ns_300_399_maopdv,ss_ns_300_399_lab,ss_ns_300_399_idns,ss_ns_300_399_tot,ss_ns_400_499_mng,ss_ns_400_499_pro,ss_ns_400_499_tectw,ss_ns_400_499_copsw,ss_ns_400_499_claw,ss_ns_400_499_swks,ss_ns_400_499_maopdv,ss_ns_400_499_lab,ss_ns_400_499_idns,ss_ns_400_499_tot,ss_ns_500_649_mng,ss_ns_500_649_pro,ss_ns_500_649_tectw,ss_ns_500_649_copsw,ss_ns_500_649_claw,ss_ns_500_649_swks,ss_ns_500_649_maopdv,ss_ns_500_649_lab,ss_ns_500_649_idns,ss_ns_500_649_tot,ss_ns_650_799_mng,ss_ns_650_799_pro,ss_ns_650_799_tectw,ss_ns_650_799_copsw,ss_ns_650_799_claw,ss_ns_650_799_swks,ss_ns_650_799_maopdv,ss_ns_650_799_lab,ss_ns_650_799_idns,ss_ns_650_799_tot,ss_ns_800_999_mng,ss_ns_800_999_pro,ss_ns_800_999_tectw,ss_ns_800_999_copsw,ss_ns_800_999_claw,ss_ns_800_999_swks,ss_ns_800_999_maopdv,ss_ns_800_999_lab,ss_ns_800_999_idns,ss_ns_800_999_tot,gcc_name16
1RNSW,39,101,1707,483,160,331,35,199,16,3075,84,173,1987,572,259,336,40,200,17,3664,101,230,1055,522,319,256,33,153,18,2681,100,246,504,295,248,125,24,72,6,1619,69,230,253,126,127,38,15,34,7,906,36,136,94,56,36,12,10,14,0,393,9,49,36,19,12,6,9,3,0,138,3,12,23,4,0,0,4,0,0,51,3,12,9,3,0,3,0,0,0,38,0,0,10,12,0,0,0,0,0,23,10,18,101,38,16,34,3,11,30,265,515,1373,6717,3178,1402,2293,277,1384,152,17286,0,0,0,4,0,4,0,10,0,18,4,3,6,28,6,49,0,36,5,128,3,3,12,19,4,25,0,22,10,93,3,7,25,19,4,23,0,23,3,101,4,6,46,20,5,22,0,19,6,135,10,7,61,32,8,25,4,38,7,187,5,7,54,32,10,18,6,22,9,155,17,4,23,14,13,11,8,14,4,110,Rest of NSW
1GSYD,96,235,2477,880,386,719,83,452,64,5390,156,375,3066,1015,554,711,117,380,63,6446,200,564,1640,852,691,465,100,283,62,4855,282,694,854,513,781,332,100,158,42,3756,245,834,415,228,507,140,44,72,43,2528,97,541,149,95,170,48,8,18,19,1148,67,193,63,34,59,23,4,4,9,452,15,51,26,12,11,4,3,7,4,143,8,38,15,19,13,7,0,3,3,108,5,7,6,21,0,0,0,3,3,58,14,43,189,96,48,82,6,30,89,607,1345,4114,10556,5869,3992,4887,710,2498,569,34533,0,0,3,3,0,15,0,3,3,29,0,7,6,40,8,71,3,28,10,179,0,7,12,40,4,58,0,25,9,166,11,4,20,22,16,32,4,12,3,135,6,3,49,19,7,21,3,23,10,143,0,10,69,28,22,31,4,20,20,211,10,23,49,28,23,18,13,27,5,202,13,21,21,19,23,10,13,24,19,154,Greater Sydney
2RVIC,37,23,803,190,64,137,10,88,18,1370,53,53,994,231,90,140,10,103,11,1679,47,69,467,171,73,101,19,82,5,1043,54,105,193,90,100,33,10,52,3,641,41,91,94,39,42,11,11,27,0,352,5,49,28,12,12,9,0,3,0,119,8,18,15,8,4,0,0,3,0,52,0,3,8,3,3,0,0,0,0,14,0,0,6,0,0,0,0,0,0,5,3,3,5,3,0,3,0,4,0,21,5,4,61,25,5,18,0,13,17,150,304,487,3187,1247,502,1031,84,720,88,7651,0,0,0,0,0,9,0,9,0,19,4,0,0,20,3,53,0,25,3,106,0,0,12,18,5,24,3,15,5,78,3,0,20,10,4,17,0,15,0,59,3,0,47,14,4,10,3,12,8,95,7,0,40,20,11,11,3,12,7,101,7,7,34,11,9,12,3,12,0,89,4,13,19,6,6,3,3,12,5,75,Rest of Vic.
2GMEL,91,150,1885,561,283,590,66,291,50,3967,115,209,2252,565,347,515,84,279,42,4405,148,301,1213,498,440,347,95,153,33,3228,199,494,623,287,449,189,60,102,22,2423,122,549,359,123,276,72,22,50,25,1596,43,246,114,57,82,36,11,6,15,610,21,56,60,27,25,17,3,5,3,216,3,19,16,13,3,3,3,4,0,64,10,10,16,25,4,3,0,3,0,72,3,5,14,44,7,4,3,3,3,83,10,46,206,80,35,95,13,37,78,598,918,2445,8034,4040,2549,4264,571,2019,416,25250,0,3,0,0,0,4,0,5,9,31,0,3,9,38,9,102,0,42,7,209,3,3,12,30,8,72,4,27,10,180,4,4,33,24,11,29,8,21,12,139,4,6,50,30,3,26,0,20,4,142,8,3,65,21,11,29,11,25,15,196,11,13,37,22,28,24,8,26,5,168,13,14,26,17,21,16,7,8,7,137,Greater Melbourne
3GBRI,38,86,569,336,166,313,28,174,20,1737,52,114,786,505,262,315,54,135,17,2250,94,200,541,445,331,221,40,100,27,2003,140,272,338,249,416,125,40,62,18,1647,67,322,166,119,264,38,20,22,12,1023,28,205,75,57,87,12,10,8,3,482,14,93,40,24,20,4,3,5,0,209,3,29,12,9,0,0,3,3,0,61,7,10,9,13,4,5,0,3,0,45,0,0,0,8,0,0,0,0,3,11,7,19,42,36,17,41,0,15,28,205,511,1514,3044,2656,1876,2212,321,1093,173,13406,0,0,3,4,0,4,0,4,0,15,0,0,3,15,4,28,3,23,7,85,0,0,4,14,3,26,5,19,3,72,0,0,8,13,3,15,3,12,5,62,3,3,23,9,0,13,3,7,3,68,4,3,37,12,8,13,3,16,11,101,5,7,13,15,19,10,0,15,7,93,3,5,18,3,7,5,3,14,5,57,Greater Brisbane
3RQLD,31,63,664,346,110,298,28,158,8,1699,60,115,956,525,234,339,38,138,16,2417,103,138,646,471,326,238,38,131,7,2106,93,189,371,234,253,109,28,78,9,1366,55,216,192,95,141,26,20,22,7,774,20,129,89,41,51,4,10,9,3,357,11,63,55,21,7,3,7,5,0,168,0,15,26,3,4,0,6,0,0,58,0,23,24,3,4,3,11,4,0,77,4,3,3,17,3,0,4,3,0,34,3,13,61,37,23,41,3,21,26,231,436,1073,3631,2586,1379,2138,274,1089,129,12731,0,0,0,0,0,0,0,9,5,21,3,0,8,18,3,59,3,30,7,128,4,0,0,14,3,26,0,15,7,75,3,3,14,19,3,17,6,8,9,80,0,0,20,7,4,19,3,24,4,88,3,3,49,15,8,26,0,27,0,141,3,4,35,16,19,18,6,32,12,141,9,8,24,7,12,7,8,29,3,110,Rest of Qld
4RSAU,3,8,146,38,26,40,0,25,0,285,0,11,174,54,25,17,4,24,0,318,10,14,92,50,29,24,5,21,3,251,17,17,34,23,22,13,0,18,3,143,5,16,15,10,9,0,6,6,0,67,0,19,11,7,0,3,0,7,0,40,0,0,0,0,0,0,4,0,0,11,0,3,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,5,4,8,0,7,0,3,3,33,52,104,610,284,141,204,33,232,21,1689,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,4,0,18,0,0,0,3,0,4,0,7,0,8,0,0,0,3,4,3,0,0,0,10,0,0,3,5,0,3,0,0,0,18,3,0,6,6,0,0,0,7,3,31,3,0,9,3,3,0,0,9,0,25,4,0,5,0,0,3,0,7,0,17,Rest of SA
4GADE,19,35,405,167,86,180,14,95,17,1014,23,71,488,221,111,183,16,92,11,1218,41,76,322,200,130,123,15,50,11,966,59,126,153,125,153,53,7,32,11,719,30,127,77,48,66,18,4,16,0,391,9,56,23,22,15,3,3,0,0,129,3,28,16,6,8,0,0,0,0,61,0,3,0,9,3,0,0,0,0,17,4,5,0,5,0,0,0,0,0,14,0,3,4,11,0,0,0,0,0,15,3,3,20,13,3,19,0,8,8,91,237,619,1780,1334,753,1423,110,737,85,7076,0,0,0,4,0,3,0,3,0,14,0,0,0,13,0,32,0,21,3,68,0,0,0,13,0,27,0,10,4,63,0,0,3,7,0,10,0,10,0,35,0,3,7,6,4,7,0,0,0,38,0,3,13,20,4,15,4,6,5,72,3,0,7,4,5,5,0,7,0,39,4,3,7,7,5,7,3,3,0,39,Greater Adelaide
5GPER,22,55,806,276,94,298,34,139,17,1747,41,56,925,323,121,278,39,124,18,1923,49,102,523,255,205,155,37,87,14,1427,99,108,262,163,188,78,37,49,9,995,46,181,127,85,154,35,15,11,11,655,25,131,50,38,54,12,6,4,7,328,5,47,33,18,19,3,0,4,0,143,9,19,9,10,5,3,0,3,0,60,8,13,7,12,6,0,0,3,0,52,3,0,4,10,4,3,3,0,0,29,8,8,69,28,9,39,0,13,20,186,347,868,3368,2099,1094,2248,302,1068,142,11536,0,0,3,5,0,4,0,0,3,17,0,0,3,16,0,42,0,18,0,83,0,0,8,8,0,41,0,22,0,76,3,0,6,10,3,16,0,5,0,57,0,0,21,12,4,12,0,7,0,55,7,3,23,10,10,13,4,10,3,77,5,6,20,12,8,7,3,14,4,77,0,7,16,9,6,3,0,10,4,49,Greater Perth
5RWAU,5,9,211,42,25,39,4,22,0,360,3,10,269,73,36,33,8,26,10,473,6,17,152,65,47,29,4,20,5,354,15,15,93,31,38,10,9,10,4,226,8,31,53,21,38,7,4,8,0,172,3,16,33,6,7,0,5,8,3,91,3,3,28,3,7,0,3,6,0,48,0,9,24,4,3,0,7,0,0,47,3,9,20,0,4,0,5,3,0,43,0,3,4,0,0,0,0,4,0,19,4,0,17,5,0,3,3,4,7,36,63,143,1060,371,240,273,54,193,32,2423,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,5,0,3,0,20,0,0,0,3,0,0,0,4,0,9,0,0,5,5,0,4,0,3,0,18,0,3,6,7,0,4,0,6,0,25,0,0,3,5,0,7,0,4,0,19,0,0,12,3,3,10,0,0,0,33,0,5,5,4,5,4,0,4,4,30,Rest of WA
