gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,8747,16096,25257,2810982.5,4077854.0,1351844.1,8240680.5,5155022.0,13395702.0
1RNSW,Rest of NSW,7847,2113,10072,2095719.4,391419.6,499543.4,2986682.5,2506842.0,5493524.5
2GMEL,Greater Melbourne,20085,19306,39870,5638202.0,4856720.0,1676301.0,12171223.0,7642185.5,19813408.0
2RVIC,Rest of Vic.,9738,818,10612,2436673.5,149759.8,403723.8,2990157.2,1338353.8,4328511.0
3GBRI,Greater Brisbane,7324,6345,13718,1887401.8,1403756.8,684617.9,3975776.5,2860312.8,6836089.0
3RQLD,Rest of Qld,10824,2967,13853,2902465.2,586183.8,595268.1,4083917.0,3248410.0,7332327.0
4GADE,Greater Adelaide,4746,1597,6373,1018446.4,308907.7,274397.6,1601751.8,3805697.5,5407449.0
4RSAU,Rest of SA,2064,186,2261,431318.8,38710.1,83477.8,553506.7,303456.2,856962.9
5GPER,Greater Perth,12078,2579,14984,3210836.5,667133.1,427969.8,4305939.0,,
5RWAU,Rest of WA,3406,854,4269,1097994.4,293286.4,182481.0,1573761.8,,
6GHOB,Greater Hobart,662,158,829,161002.7,24260.6,69799.7,255063.0,266883.0,521946.0
6RTAS,Rest of Tas.,1055,224,1297,253200.7,34214.2,71563.0,358977.9,271858.6,630836.5
7GDAR,Greater Darwin,543,882,1438,190339.1,246425.5,59721.5,496486.0,,
7RNTE,Rest of NT,122,53,179,31134.3,11281.7,13560.0,55976.0,,
8ACTE,Australian Capital Territory,1785,3071,4865,533579.5,607003.7,115619.2,1256202.4,712922.7,1969125.1
