gcc_code16,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons,gcc_name16
1GSYD,957477,2998215,87364,201525,153211,420844,240580,622370,102954,214305,166397,357068,230420,501545,2023,4481,501793,1077397,1290,2065,1846,3117,1472,2026,7504,18851,12103,26055,7721,17052,1719678,4741088,136055,1855734,4741088,Greater Sydney
1RNSW,853234,2197776,63921,109235,33287,67093,97211,176324,47821,77488,11399,19417,11802,20990,488,900,71509,118794,10931,18817,7579,12567,2324,3772,3889,8897,24714,44050,8510,17158,1055183,2554095,148688,1203865,2554095,Rest of NSW
2GMEL,1111561,3247800,168985,362663,111013,285386,280003,648046,96854,184063,55443,96721,106546,198174,380,754,259221,479713,1085,1602,2242,3175,888,1056,4395,10139,8610,15967,5153,11124,1664540,4402654,167500,1832043,4402654,Greater Melbourne
2RVIC,509283,1256182,35096,56156,4892,9966,39986,66127,15996,24065,722,1273,597,1303,48,90,17372,26729,2759,4265,2541,4151,549,891,1741,3921,7586,13234,3506,7199,577735,1369466,111130,688865,1369466,Rest of Vic.
3GBRI,628096,1822095,27593,49385,57586,131641,85182,181026,38672,66187,32973,60410,38061,72273,211,438,109915,199308,3081,4720,2201,3308,545,881,929,2425,6751,11331,3455,6988,833399,2220749,68401,901797,2220749,Greater Brisbane
3RQLD,709788,1914859,54417,96711,50016,107282,104436,203998,43474,74959,24958,45519,32541,60909,239,405,101206,181798,24024,44410,5203,8979,3489,6464,1758,4157,34472,64007,8435,16090,958343,2380752,127174,1085510,2380752,Rest of Qld
4GADE,381275,1005924,65828,123190,22296,49781,88129,172973,30611,52051,4541,7939,6371,11166,101,187,41623,71339,760,1281,456,785,227,300,601,1398,2052,3763,1667,3576,514742,1257573,47407,562147,1257573,Greater Adelaide
4RSAU,136425,324922,12074,21684,468,969,12547,22656,4042,5712,74,107,34,56,10,25,4161,5902,2177,3848,1015,1767,793,1092,418,886,4407,7595,1265,2559,158804,363635,44839,203645,363635,Rest of SA
5GPER,555837,1546185,87341,173217,31133,67421,118472,240631,19228,32325,13253,22440,20037,34867,65,101,52589,89739,1533,2321,804,1269,665,887,599,1506,3612,5984,1837,3920,732349,1886460,85730,818081,1886460,Greater Perth
5RWAU,169694,438825,12374,21729,1979,4149,14351,25879,4213,6866,240,388,237,395,37,68,4737,7720,10800,20437,1449,2486,1853,3588,660,1484,14761,27995,2200,4226,205742,504637,47139,252886,504637,Rest of WA
6GHOB,75850,188988,3289,5312,2226,4199,5507,9512,6232,10189,1057,1710,727,1123,80,135,8089,13155,98,159,122,213,100,129,196,472,517,974,242,501,90210,213135,8800,99009,213135,Greater Hobart
6RTAS,106388,253267,5603,8225,1226,2350,6828,10577,3918,5853,174,238,227,280,108,175,4423,6549,389,631,371,625,112,200,338,696,1206,2158,556,1145,119401,273690,23331,142735,273690,Rest of Tas.
7GDAR,29873,91658,2933,6232,2269,5230,5201,11461,4341,9189,2084,4348,5273,11181,16,49,11715,24764,1657,3391,375,643,428,798,171,426,2638,5264,341,677,49770,133832,5532,55297,133832,Greater Darwin
7RNTE,18277,67849,2973,7290,857,1789,3828,9076,1487,2627,181,314,89,137,21,36,1780,3113,3484,7145,348,650,827,1777,430,1022,5088,10586,505,1137,29476,91764,5181,34662,91764,Rest of NT
8ACTE,99109,279171,14701,29288,12215,28127,26915,57410,5122,8903,8158,14640,10577,18151,214,356,24069,42061,56,73,132,216,63,69,48,152,300,500,302,564,150693,379709,12593,163286,379709,Australian Capital Territory
9OTER,1241,3154,64,157,42,84,102,243,71,119,74,233,8,15,3,3,159,371,3,0,8,7,10,13,13,16,29,44,20,38,1556,3837,371,1933,3837,Other Territories
