gcc_code16,agff_mng,agff_pro,agff_tech_trds_wks,agff_com_persl_svce_wks,agff_cler_admin_wks,agff_sales_wks,agff_mach_ops_dvrs,agff_labourers,agff_idns,agff_tot,min_mng,min_pro,min_tech_trds_wks,min_com_persl_svce_wks,min_cler_admin_wks,min_sales_wks,min_mach_ops_dvrs,min_labourers,min_idns,min_tot,mnf_mng,mnf_pro,mnf_tech_trds_wks,mnf_com_persl_svce_wks,mnf_cler_admin_wks,mnf_sales_wks,mnf_mach_ops_dvrs,mnf_labourers,mnf_idns,mnf_tot,egwws_mng,egwws_pro,egwws_tech_trds_wks,egwws_com_persl_svce_wks,egwws_cler_admin_wks,egwws_sales_wks,egwws_mach_ops_dvrs,egwws_labourers,egwws_idns,egwws_tot,const_mng,const_pro,const_tech_trds_wks,const_com_persl_svce_wks,const_cler_admin_wks,const_sales_wks,const_mach_ops_dvrs,const_labourers,const_idns,const_tot,wst_mng,wst_pro,wst_tech_trds_wks,wst_com_persl_svce_wks,wst_cler_admin_wks,wst_sales_wks,wst_mach_ops_dvrs,wst_labourers,wst_idns,wst_tot,rett_mng,rett_pro,rett_tech_trds_wks,rett_com_persl_svce_wks,rett_cler_admin_wks,rett_sales_wks,rett_mach_ops_dvrs,rett_labourers,rett_idns,rett_tot,acfd_mng,acfd_pro,acfd_tech_trds_wks,acfd_com_persl_svce_wks,acfd_cler_admin_wks,acfd_sales_wks,acfd_mach_ops_dvrs,acfd_labourers,acfd_idns,acfd_tot,tpw_mng,tpw_pro,tpw_tech_trds_wks,tpw_com_persl_svce_wks,tpw_cler_admin_wks,tpw_sales_wks,tpw_mach_ops_dvrs,tpw_labourers,tpw_idns,tpw_tot,imt_mng,imt_pro,imt_tech_trds_wks,imt_com_persl_svce_wks,imt_cler_admin_wks,imt_sales_wks,imt_mach_ops_dvrs,imt_labourers,imt_idns,imt_tot,finins_mng,finins_pro,finins_tech_trds_wks,finins_com_persl_svce_wks,finins_cler_admin_wks,finins_sales_wks,finins_mach_ops_dvrs,finins_labourers,finins_idns,finins_tot,rhre_mng,rhre_pro,rhre_tech_trds_wks,rhre_com_persl_svce_wks,rhre_cler_admin_wks,rhre_sales_wks,rhre_mach_ops_dvrs,rhre_labourers,rhre_idns,rhre_tot,prosts_mng,prosts_pro,prosts_tech_trds_wks,prosts_com_persl_svce_wks,prosts_cler_admin_wks,prosts_sales_wks,prosts_mach_ops_dvrs,prosts_labourers,prosts_idns,prosts_tot,adsup_mng,adsup_pro,adsup_tech_trds_wks,adsup_com_persl_svce_wks,adsup_cler_admin_wks,adsup_sales_wks,adsup_mach_ops_dvrs,adsup_labourers,adsup_idns,adsup_tot,pubas_mng,pubas_pro,pubas_tech_trds_wks,pubas_com_persl_svce_wks,pubas_cler_admin_wks,pubas_sales_wks,pubas_mach_ops_dvrs,pubas_labourers,pubas_idns,pubas_tot,edtrn_mng,edtrn_pro,edtrn_tech_trds_wks,edtrn_com_persl_svce_wks,edtrn_cler_admin_wks,edtrn_sales_wks,edtrn_mach_ops_dvrs,edtrn_labourers,edtrn_idns,edtrn_tot,hlthc_sa_mng,hlthc_sa_pro,hlthc_sa_tech_trds_wks,hlthc_sa_com_persl_svce_wks,hlthc_sa_cler_admin_wks,hlthc_sa_sales_wks,hlthc_sa_mach_ops_dvrs,hlthc_sa_labourers,hlthc_sa_idns,hlthc_sa_tot,artsr_mng,artsr_pro,artsr_tech_trds_wks,artsr_com_persl_svce_wks,artsr_cler_admin_wks,artsr_sales_wks,artsr_mach_ops_dvrs,artsr_labourers,artsr_idns,artsr_tot,othsvs_mng,othsvs_pro,othsvs_tech_trds_wks,othsvs_com_persl_svce_wks,othsvs_cler_admin_wks,othsvs_sales_wks,othsvs_mach_ops_dvrs,othsvs_labourers,othsvs_idns,othsvs_tot,idns_mng,idns_pro,idns_tech_trds_wks,idns_com_persl_svce_wks,idns_cler_admin_wks,idns_sales_wks,idns_mach_ops_dvrs,idns_labourers,idns_idns,idns_tot,gcc_name16
1RNSW,36554,1330,3074,157,2367,697,2725,13293,598,60794,1766,2266,6956,86,1269,96,11052,794,294,24581,8081,4261,17521,681,5237,3436,8609,14219,734,62785,1315,1694,4240,44,1977,234,2166,1116,183,12981,8670,2183,31514,137,7768,1114,7810,11115,632,70936,3404,1621,2255,83,3058,4808,2962,1534,172,19899,16206,2931,7637,1021,5616,63749,2904,9827,496,110395,14449,580,11219,25009,3658,10193,1573,19075,575,86336,3853,1284,2051,492,7694,1477,18962,2076,344,38232,1062,2383,1482,68,1299,1336,89,262,77,8058,2507,4976,319,109,10914,813,135,169,314,20270,1415,925,583,187,2838,7054,507,698,192,14394,3380,21082,5635,179,11551,515,288,875,297,43804,2042,2520,2332,2777,4752,511,1012,12645,257,28847,6812,12949,6283,14831,17229,384,3584,4270,1259,67607,6589,54542,2416,15749,10536,285,415,2361,421,93312,6566,58224,5330,50843,19783,751,1114,7836,978,151425,1751,2342,1660,3144,1154,595,296,1290,133,12355,2458,2559,20436,5381,4095,815,758,3585,264,40340,3997,2617,6190,1852,3982,2654,3517,5306,7977,38091,Rest of NSW
1GSYD,3453,508,825,54,759,330,589,2429,135,9082,871,1042,904,25,523,59,1366,155,62,5003,23914,16337,27822,1152,15603,7562,17717,19374,1603,131078,2872,3920,3344,67,2964,451,2657,1149,257,17686,24356,10535,63828,320,18797,2620,8760,21388,1641,152242,20168,16520,4829,206,15427,11056,9598,3280,878,81966,34950,14638,11295,2048,14637,107823,9787,14022,1425,210614,25483,3191,22719,45517,6322,18136,2727,25279,1085,150466,12249,9036,4344,4167,24347,5384,43851,5408,1495,110271,11940,29454,6587,332,7780,4457,589,917,762,62826,26966,56308,2145,664,49736,5277,936,1073,2685,145782,6644,6456,1309,404,8676,17798,813,1225,687,44017,32064,130029,14810,709,36167,4784,724,1520,2157,222977,10478,11657,3648,7087,11825,2410,2724,22319,771,72934,15575,30925,8514,27586,31819,735,4017,4046,2381,125599,15281,112445,4347,23896,20095,720,678,2776,988,181229,14806,109640,8744,72320,37645,1955,2079,9835,1794,258809,6006,8967,3067,9729,4232,1769,365,2097,494,36734,7617,9133,30189,12262,9300,1822,1208,5727,677,77930,14631,14973,13480,4508,14125,7689,10552,11464,20620,112047,Greater Sydney
2RVIC,29114,916,1992,124,1505,441,1904,9457,414,45865,397,363,899,26,223,23,1310,233,50,3521,6288,3054,11696,622,3457,2639,6335,13138,522,47746,1052,1125,2331,37,1448,143,1626,758,151,8670,4805,851,18538,107,3893,653,4069,5594,364,38870,1988,1007,1171,51,1662,3142,1689,1334,94,12135,9694,2147,4319,543,3530,35870,2101,5628,273,64103,7725,216,5586,11155,1285,5893,452,10499,261,43077,2130,621,968,358,3985,1013,10051,966,189,20268,617,1498,1001,48,852,797,77,212,42,5142,1317,2940,110,67,5343,337,28,62,117,10332,590,440,260,126,1419,2984,174,257,81,6324,1677,10344,3330,86,6159,301,107,371,166,22544,1007,1193,1475,1231,2288,213,511,5830,126,13857,3697,6035,2270,11065,7506,166,1098,1802,667,34307,3457,30369,1490,9015,4879,151,185,1198,248,50983,3742,33939,3078,27779,10976,401,485,5331,453,86177,1223,1460,1154,1981,710,452,119,1014,95,8213,1270,1309,10677,2728,1932,401,341,2040,123,20822,2623,1470,3524,1084,2005,1505,2008,3185,4609,22016,Rest of Vic.
2GMEL,4414,774,1232,79,1097,482,918,3244,148,12391,800,1258,445,16,472,39,639,111,64,3853,29307,19182,34697,1554,17483,9306,22449,26983,1635,162602,3791,5285,2505,48,4563,1149,2520,1000,298,21148,19730,7516,64471,278,16004,2573,7704,18153,1257,137679,17440,11990,4905,226,14012,11631,9878,3717,586,74395,35010,13331,10984,1857,14575,112738,8840,13602,1072,212006,22413,1753,20565,39315,4451,18359,1670,26243,682,135458,11904,8961,4144,2912,22612,5034,40790,4958,1136,102441,8736,19173,5275,338,6403,3974,341,612,436,45291,15436,34872,1063,408,37616,3947,301,271,1518,95422,5309,4695,1161,595,7246,14706,649,1249,479,36097,25502,109929,14397,706,31695,3460,794,1449,1676,189618,8508,9597,4822,6246,12280,1947,2639,20455,696,67204,13126,26222,5254,27975,25993,526,1075,3669,2431,106291,14226,112707,4962,26829,17826,669,381,2429,910,180940,13441,105721,8287,72230,34856,1576,1816,8439,1260,247621,7381,9327,3277,12860,4085,2098,312,2446,549,42339,7029,7467,30155,11405,8326,1556,1153,5690,503,73291,13652,12160,12541,4083,11809,7019,10068,10955,17801,100092,Greater Melbourne
3GBRI,3541,524,574,38,676,252,524,3160,101,9390,2184,3661,1124,43,1479,76,1006,210,104,9884,10266,5528,16614,592,7499,3647,9268,14446,713,68570,1791,2717,2276,39,2153,217,1601,581,137,11518,10291,4047,32009,136,9738,1428,5330,10639,663,74279,6354,4062,2624,165,5770,5087,5075,2082,277,31485,15501,4888,5826,955,6575,54213,4730,8571,499,101751,10912,1135,8217,20228,2354,10082,1661,14047,400,69041,6317,5676,3345,2314,12439,2585,22708,3457,731,59567,2379,5074,2226,148,2492,1706,149,340,223,14743,5109,11280,473,125,15607,1868,140,128,589,35325,2916,2158,801,307,4094,9488,595,965,289,21614,10189,46134,8024,318,15979,1290,408,931,688,83956,3712,4399,2278,3361,5876,861,1022,11295,304,33108,9032,19765,4795,16040,22286,438,1319,2126,1349,77148,7862,55046,3049,16645,10669,497,283,3442,493,97997,7440,57037,5065,41332,21425,973,948,4938,889,140031,2559,3268,1431,4080,1918,747,147,1160,165,15487,3657,3940,15785,6206,4669,869,673,3195,270,39269,5440,4580,6068,1799,5481,2920,4449,5201,7816,43743,Greater Brisbane
3RQLD,24544,1297,2020,223,2261,486,3298,14235,401,48764,2206,3026,11487,194,1875,101,15505,1527,418,36338,7466,3089,18290,654,5398,3107,8113,11138,531,57791,1055,1225,4078,44,1767,176,2110,978,175,11606,9068,2307,32718,151,9927,1231,8185,11093,708,75389,4025,1585,2770,121,3657,5111,3564,1979,202,23001,16116,3065,7121,951,5981,60054,3310,9633,478,106709,15120,1046,11377,22664,4615,10834,1450,18797,532,86427,4134,2634,3112,1383,8067,1759,18510,2409,472,42476,1213,2559,1820,90,1652,1499,169,378,115,9497,2217,5089,259,61,8873,1197,132,134,306,18277,2331,1241,923,250,3824,9736,637,986,264,20195,3869,20768,6273,183,11522,758,384,1062,315,45148,2745,2568,2518,3321,5837,1078,1098,12107,293,31574,5338,10276,5961,14262,14695,439,3003,4522,890,59374,6222,49546,2824,18496,8619,342,365,4399,400,91210,5903,49477,4219,43787,18935,872,856,6600,812,131455,2260,2762,2242,4572,1630,1146,500,1585,210,16907,2845,2571,18947,5853,4334,807,630,3627,290,39904,4855,3063,6999,1927,4780,3192,3667,5526,7847,41868,Rest of Qld
4RSAU,12956,455,959,39,1013,174,1115,5538,168,22410,321,492,1659,46,213,7,2051,246,82,5118,1823,986,3221,210,1096,686,2210,4232,188,14653,120,53,504,6,145,43,283,248,37,1439,943,141,3752,38,911,114,1165,1265,76,8400,566,277,403,15,457,899,496,719,46,3876,2353,399,1207,125,863,8714,450,1753,66,15922,2168,44,1343,2651,409,1097,114,2801,66,10695,582,188,317,75,1121,221,2792,329,54,5672,98,243,141,5,148,131,9,48,9,828,212,420,10,12,1008,94,0,22,21,1804,121,67,49,31,335,647,43,85,24,1399,223,1339,605,34,1076,63,41,135,35,3542,290,376,398,354,396,53,252,2090,66,4281,738,1233,503,2031,1686,53,383,453,134,7220,696,6544,377,2514,1146,17,135,247,43,11722,716,5432,542,7233,2130,117,74,1441,131,17823,170,198,256,232,123,41,14,191,10,1227,291,334,2831,581,529,95,85,508,33,5283,566,236,666,202,417,287,459,874,1092,4805,Rest of SA
4GADE,2656,266,439,18,439,155,343,1685,75,6076,554,1029,515,21,378,17,531,99,33,3183,6866,3982,10631,527,4354,2737,5371,9031,481,43978,1062,1368,1434,14,1606,288,981,479,140,7369,4698,1603,15126,333,4391,808,2737,4823,373,34892,3352,2131,1731,40,2680,2923,2450,1205,148,16664,9184,2485,3414,616,3675,34295,2708,5944,279,62598,6284,358,5064,11439,1076,4889,587,8597,201,38504,2355,1273,1126,721,5456,972,10169,1092,228,23394,1111,2691,1371,48,1594,1075,84,273,109,8356,2389,5129,259,122,9196,807,54,50,271,18280,1090,794,344,192,1746,3479,176,438,132,8387,3862,19956,3828,127,7144,511,215,542,285,36469,1621,1851,1382,2177,2550,365,611,7359,183,18109,4936,11740,3223,9634,12177,264,592,1044,960,44584,3957,30848,1679,8008,5798,153,140,599,235,51418,4246,34826,3053,28294,12894,607,646,4179,508,89263,1403,1580,796,2597,944,429,76,509,103,8449,1875,2128,9623,3250,2643,507,419,1792,163,22402,2058,1788,2451,869,2093,1252,1675,2219,3552,17961,Greater Adelaide
5GPER,1966,400,513,20,545,191,378,1736,79,5820,4877,9049,4388,138,3828,133,2947,922,418,26703,7807,4741,15229,714,5770,3093,6388,6104,633,50484,1616,2299,1861,24,1982,185,1134,521,181,9803,9310,4484,31323,194,9779,1382,4702,8601,795,70570,4629,2715,2334,71,4327,3798,4154,1702,237,23967,12669,3867,4810,742,5392,48453,3762,8362,444,88498,8925,682,8108,16764,1843,7881,1186,11924,331,57653,4028,2841,2167,1329,8545,1529,16025,1923,452,38833,1405,3015,1698,71,1442,1325,114,447,134,9653,3483,8250,406,90,10355,1054,178,116,381,24307,2230,1635,768,205,3724,6763,347,595,218,16482,7627,35041,7136,213,11637,789,449,780,500,64163,2681,2943,2171,2410,4132,609,884,9645,277,25751,6600,14142,4348,13099,14931,295,1051,2197,1127,57791,5964,45290,3211,14613,7421,264,162,2624,404,79953,5105,44686,4560,32601,16500,677,945,4436,650,110161,2353,2706,1472,4924,1662,761,130,1225,159,15378,3064,3277,14420,5518,3865,670,675,2853,257,34600,5113,4838,6448,1619,5175,2622,3639,4228,5899,39585,Greater Perth
5RWAU,13058,512,1059,61,851,171,1080,4456,193,21445,2344,4925,15742,420,1898,75,16429,2650,697,45177,1471,822,4373,179,982,602,2023,2536,166,13150,291,218,1292,17,384,30,613,437,94,3369,1895,882,10932,48,2135,190,3458,4155,276,23976,706,377,777,20,644,995,631,505,45,4719,3189,521,1385,149,1100,10893,549,2429,101,20316,3236,115,2363,3488,949,1462,247,4296,141,16302,1115,905,1035,252,1879,308,5155,677,136,11464,147,349,263,11,165,195,19,66,11,1236,310,633,90,14,1374,124,78,25,35,2678,429,155,308,69,686,1329,171,172,37,3351,559,3086,2093,60,1815,82,219,519,78,8513,560,529,931,552,965,134,455,2902,75,7109,1472,2170,1115,3525,2987,69,695,995,249,13280,1530,9975,890,4336,1366,45,53,1097,99,19393,1051,8114,877,7589,3130,136,150,1162,162,22378,432,579,284,555,301,96,31,237,31,2541,567,654,4338,1083,1030,182,217,801,82,8959,1052,705,2326,470,978,586,1038,1678,1927,10768,Rest of WA
