gcc_code16,tot_65_69_hw_0,tot_65_69_hw_1_15,tot_65_69_hw_16_24,tot_65_69_hw_25_34,tot_65_69_hw_35_39,tot_65_69_hw_40,tot_65_69_hw_41_48,tot_65_69_hw_49mor,tot_65_69_hw_ns,tot_65_69_tot,tot_70_74_hw_0,tot_70_74_hw_1_15,tot_70_74_hw_16_24,tot_70_74_hw_25_34,tot_70_74_hw_35_39,tot_70_74_hw_40,tot_70_74_hw_41_48,tot_70_74_hw_49mor,tot_70_74_hw_ns,tot_70_74_tot,tot_75ov_hw_0,tot_75ov_hw_1_15,tot_75ov_hw_16_24,tot_75ov_hw_25_34,tot_75ov_hw_35_39,tot_75ov_hw_40,tot_75ov_hw_41_48,tot_75ov_hw_49mor,tot_75ov_hw_ns,tot_75ov_tot,tot_tot_hw_0,tot_tot_hw_1_15,tot_tot_hw_16_24,tot_tot_hw_25_34,tot_tot_hw_35_39,tot_tot_hw_40,tot_tot_hw_41_48,tot_tot_hw_49mor,tot_tot_hw_ns,tot_tot_tot,gcc_name16
9OTER,7,24,9,20,36,24,14,30,6,167,0,13,4,0,10,7,5,7,0,54,0,11,3,5,0,0,0,10,3,35,168,227,177,244,591,410,319,476,75,2692,Other Territories
8ACTE,273,908,618,568,737,663,311,543,65,4678,76,413,232,171,149,149,71,136,38,1437,46,250,80,66,49,60,17,46,54,665,9400,20817,17216,21210,51430,44853,23317,29131,3274,220648,Australian Capital Territory
7RNTE,56,88,105,77,166,149,73,215,25,958,11,52,22,29,45,37,17,63,14,297,6,26,15,10,12,10,10,25,14,134,1624,2092,1896,2756,7321,6158,3104,7840,1066,33860,Rest of NT
7GDAR,85,182,145,164,318,257,99,320,35,1601,24,95,50,48,68,66,29,72,18,464,9,52,17,28,24,21,9,27,10,196,3120,4532,4397,5589,15030,13257,7309,17315,1567,72120,Greater Darwin
6RTAS,236,847,523,444,344,377,166,488,85,3501,65,414,204,150,63,126,57,180,64,1325,49,231,125,99,38,66,41,104,70,828,4661,14312,12074,14180,19825,15988,9346,14412,2013,106812,Rest of Tas.
6GHOB,122,707,465,339,353,279,134,299,55,2761,62,326,144,91,62,67,35,61,20,872,24,176,61,52,24,19,21,21,51,453,4036,12833,10990,13420,21499,15748,8575,10797,1459,99359,Greater Hobart
5RWAU,519,1459,953,803,679,867,531,1786,179,7772,210,742,428,359,150,289,157,608,114,3060,120,446,245,243,89,204,78,303,150,1873,14558,24578,19742,23985,31821,33909,25634,80488,5392,260110,Rest of WA
5GPER,1120,4793,3715,2865,3059,2822,1421,2401,315,22505,358,2386,1317,928,587,673,300,609,181,7342,178,1286,610,356,189,256,125,228,187,3420,28950,106321,89921,93327,161127,162834,80183,113933,13567,850156,Greater Perth
4RSAU,372,1194,780,714,489,640,350,1060,128,5725,143,591,351,315,122,243,116,383,100,2375,109,427,179,197,110,162,70,233,162,1643,6372,18744,15222,19158,24285,21421,13529,26510,2889,148135,Rest of SA
4GADE,754,3400,2315,2047,2199,1678,998,1691,243,15333,233,1665,791,634,423,390,196,499,147,4975,136,831,333,284,170,156,114,193,192,2404,19955,70962,58272,73823,124338,87703,52080,64808,8370,560314,Greater Adelaide
3RQLD,1315,5737,3726,3879,3528,3404,1713,5250,666,29216,485,2902,1552,1376,815,1114,477,1986,392,11110,290,1559,729,694,330,559,268,1168,578,6175,34323,112218,93482,126686,183316,154965,92147,177902,18887,993929,Rest of Qld
3GBRI,1059,4467,3176,3257,3571,3071,1519,3155,388,23661,302,2174,1206,996,658,788,382,886,213,7599,146,1099,466,397,254,270,119,325,312,3393,33245,110101,98511,117930,215168,193971,99981,151886,17105,1037906,Greater Brisbane
2RVIC,1366,4379,2887,2610,1883,2260,1031,3172,477,20066,469,2022,1084,943,475,742,313,1286,333,7664,361,1246,667,664,348,547,240,824,511,5409,23975,76639,62259,71728,95934,92074,49555,81275,11544,564981,Rest of Vic.
2GMEL,2177,9931,7486,7069,7221,6566,2938,5418,925,49734,818,5140,2759,2240,1649,1732,706,1549,504,17088,438,2863,1165,948,608,681,258,694,638,8290,61696,235746,211657,219347,399039,414394,192240,273794,38241,2046169,Greater Melbourne
1RNSW,1718,7054,5042,3936,3572,3786,1645,5409,784,32947,669,3554,1974,1590,818,1299,570,2204,535,13210,471,2068,1181,962,510,874,381,1458,894,8796,37214,125022,108538,126216,188464,163788,86924,149363,19900,1005433,Rest of NSW
1GSYD,2207,10261,8862,6477,8394,8269,3292,6624,978,55355,800,5421,3611,2365,2018,2280,831,1821,479,19621,452,3152,1551,1109,654,877,291,761,571,9410,63108,218788,227092,209086,434710,478061,206972,328605,42877,2209294,Greater Sydney
