gccsa_code16,gccsa_name16,num_owners_managers_unincorp_enteprise_000_males,num_owners_managers_unincorp_enteprise_000_females,num_owners_managers_unincorp_enteprise_000_person,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
1GSYD,Greater Sydney,234.87400000000002,143.401,378.272,34150,27409,31523
1RNSW,Rest of NSW,158.028,108.166,266.191,29532,22070,26358
2GMEL,Greater Melbourne,211.551,126.598,338.153,34017,25160,30660
2RVIC,Rest of Vic.,94.367,63.575,157.938,29812,21683,26334
3GBRI,Greater Brisbane,98.955,62.261,161.218,36725,25046,32034
3RQLD,Rest of Qld,146.468,96.083,242.549,33477,22294,28573
4GADE,Greater Adelaide,63.883,37.747,101.631,33644,25319,30372
4RSAU,Rest of SA,29.651,20.938000000000002,50.586999999999996,32708,26315,29890
5GPER,Greater Perth,100.961,57.185,158.145,45452,29453,39067
5RWAU,Rest of WA,36.118,24.563000000000002,60.677,38100,25878,32770
6GHOB,Greater Hobart,11.495999999999999,6.857,18.358,33267,26750,30743
6RTAS,Rest of Tas.,17.361,11.073,28.432,29346,21483,25899
7GDAR,Greater Darwin,7.303999999999999,3.85,11.158,48484,37326,44562
7RNTE,Rest of NT,2.199,1.433,3.633,43035,37653,40768
8ACTE,Australian Capital Territory,14.491,8.868,23.357,42946,34973,39794
