gcc_code16,tot_nni_mng,tot_nni_pro,tot_nni_tectw,tot_nni_copsw,tot_nni_claw,tot_nni_swks,tot_nni_maopdv,tot_nni_lab,tot_nni_idns,tot_nni_tot,tot_1_149_mng,tot_1_149_pro,tot_1_149_tectw,tot_1_149_copsw,tot_1_149_claw,tot_1_149_swks,tot_1_149_maopdv,tot_1_149_lab,tot_1_149_idns,tot_1_149_tot,tot_150_299_mng,tot_150_299_pro,tot_150_299_tectw,tot_150_299_copsw,tot_150_299_claw,tot_150_299_swks,tot_150_299_maopdv,tot_150_299_lab,tot_150_299_idns,tot_150_299_tot,tot_300_399_mng,tot_300_399_pro,tot_300_399_tectw,tot_300_399_copsw,tot_300_399_claw,tot_300_399_swks,tot_300_399_maopdv,tot_300_399_lab,tot_300_399_idns,tot_300_399_tot,tot_400_499_mng,tot_400_499_pro,tot_400_499_tectw,tot_400_499_copsw,tot_400_499_claw,tot_400_499_swks,tot_400_499_maopdv,tot_400_499_lab,tot_400_499_idns,tot_400_499_tot,tot_500_649_mng,tot_500_649_pro,tot_500_649_tectw,tot_500_649_copsw,tot_500_649_claw,tot_500_649_swks,tot_500_649_maopdv,tot_500_649_lab,tot_500_649_idns,tot_500_649_tot,tot_650_799_mng,tot_650_799_pro,tot_650_799_tectw,tot_650_799_copsw,tot_650_799_claw,tot_650_799_swks,tot_650_799_maopdv,tot_650_799_lab,tot_650_799_idns,tot_650_799_tot,tot_800_999_mng,tot_800_999_pro,tot_800_999_tectw,tot_800_999_copsw,tot_800_999_claw,tot_800_999_swks,tot_800_999_maopdv,tot_800_999_lab,tot_800_999_idns,tot_800_999_tot,tot_1000_1249_mng,tot_1000_1249_pro,tot_1000_1249_tectw,tot_1000_1249_copsw,tot_1000_1249_claw,tot_1000_1249_swks,tot_1000_1249_maopdv,tot_1000_1249_lab,tot_1000_1249_idns,tot_1000_1249_tot,tot_1250_1499_mng,tot_1250_1499_pro,tot_1250_1499_tectw,tot_1250_1499_copsw,tot_1250_1499_claw,tot_1250_1499_swks,tot_1250_1499_maopdv,tot_1250_1499_lab,tot_1250_1499_idns,tot_1250_1499_tot,tot_1500_1749_mng,tot_1500_1749_pro,tot_1500_1749_tectw,tot_1500_1749_copsw,tot_1500_1749_claw,tot_1500_1749_swks,tot_1500_1749_maopdv,tot_1500_1749_lab,tot_1500_1749_idns,tot_1500_1749_tot,tot_1750_1999_mng,tot_1750_1999_pro,tot_1750_1999_tectw,tot_1750_1999_copsw,tot_1750_1999_claw,tot_1750_1999_swks,tot_1750_1999_maopdv,tot_1750_1999_lab,tot_1750_1999_idns,tot_1750_1999_tot,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,gcc_name16
1RNSW,1802,490,511,345,515,255,143,376,272,4707,1029,1180,727,1539,950,1349,189,1273,218,8456,2019,2431,2109,3995,2387,2603,496,2667,324,19027,2557,3197,3162,5275,3261,3207,777,3380,409,25226,3052,4308,4352,7101,4571,3882,1024,3903,469,32666,4914,8176,8223,12721,8562,5674,1878,5585,676,56404,6584,11276,12687,14779,11199,6299,3108,6968,858,73761,9148,15592,17991,12797,13773,5208,4876,6972,1005,87366,11059,23369,19217,9111,13549,3605,5207,4886,1069,91069,8407,22255,12219,4586,7874,1885,3559,2350,690,63828,8382,23495,9490,3764,4741,1367,2839,1350,649,56069,6437,20950,6051,3021,2413,755,2253,721,462,43058,14106,21767,8110,3003,2850,1018,4111,654,538,56157,7950,10355,2338,425,1069,658,671,260,285,24016,1407,1659,1712,1100,971,597,589,887,1398,10318,88853,170495,108887,83561,78686,38359,31699,42242,9330,652116,Rest of NSW
1GSYD,1616,1824,797,695,1024,707,228,392,729,8011,816,3248,1061,2847,1865,2155,357,1376,397,14114,1518,5759,2789,7200,4545,5519,1096,3315,720,32456,2360,7244,4606,9597,6374,6564,1845,4942,840,44369,2849,8815,6518,11805,8194,7779,2480,6323,1040,55793,5436,16373,11189,17920,14838,10945,4123,8027,1461,90306,8713,23665,17092,21333,22171,12423,7541,10066,2025,125032,15362,38662,26851,22150,33435,12733,10385,10398,2751,172720,23123,65918,33772,17530,40307,11056,9724,7539,3266,212234,20919,67365,23641,9589,27070,7267,5789,3801,2302,167733,23445,72879,18218,7544,19029,5706,3883,2657,2060,155419,20754,62821,11285,5161,10322,3680,2326,1496,1381,119230,56315,99533,13534,5474,14431,6279,2392,1389,2026,201374,59168,66344,3762,1148,8808,4881,474,420,1844,146845,2585,5383,2784,1819,2489,1227,782,939,3751,21772,244978,545828,177891,141806,214907,98923,53408,63079,26601,1567421,Greater Sydney
2RVIC,1393,298,312,204,267,157,74,253,181,3137,781,735,536,1056,502,1024,94,894,141,5763,1400,1609,1353,2537,1210,1659,289,1668,205,11924,1823,2019,1929,3246,1813,1905,436,1967,230,15365,2160,2512,2672,4400,2394,2221,574,2257,262,19459,3312,4847,4651,7730,4163,2987,1076,3418,347,32524,4296,6807,7565,8123,5383,3295,1913,4278,436,42102,5835,10483,10633,7058,6339,2732,2825,4162,531,50590,6674,15578,10392,5428,5861,1819,2913,3028,549,52233,5038,14339,6010,3153,3328,977,1741,1380,396,36366,4895,12953,4156,2188,2134,631,1146,895,320,29312,3745,9044,2543,1327,971,418,708,579,209,19553,6977,7814,3301,1187,1179,530,849,470,215,22515,3634,4503,1244,248,415,298,233,172,144,10883,939,998,1087,674,473,379,326,544,827,6254,52892,94532,58380,48546,36420,21035,15196,25967,5001,357966,Rest of Vic.
2GMEL,1766,1769,818,766,1078,725,202,454,716,8295,1002,3669,1338,3949,1900,3250,379,1902,441,17830,1858,6813,3362,9068,4647,6814,1187,4355,638,38749,2711,7645,5013,10805,6067,7612,1785,5459,783,47877,3161,9509,6990,13152,7995,7964,2218,6455,895,58337,5989,17260,11713,20387,13748,10670,4153,8373,1278,93579,9115,24167,18360,22922,20389,11690,7944,10391,1701,126685,15421,40579,28549,22793,30550,11425,10876,9985,2221,172391,21691,67170,34334,16822,33955,9712,9537,7304,2531,203046,19067,66271,22561,9375,22049,6018,4974,3596,1840,155744,21370,66609,16824,6100,14694,4498,3160,2291,1598,137145,18431,50115,10704,3856,7357,2910,1681,1372,1093,97523,45942,70185,12322,3615,9976,4689,1980,1518,1523,151742,40705,44786,3118,880,5328,3308,380,409,1155,100071,2589,5184,3307,2156,2322,1397,860,1074,3341,22244,210820,481736,179310,146644,182061,92673,51322,64938,21770,1431270,Greater Melbourne
3GBRI,739,765,439,317,469,293,108,286,270,3692,437,1456,613,1907,834,1697,227,1248,173,8582,782,2503,1342,4188,1918,2880,552,2152,281,16592,1121,3082,2029,4981,2599,3142,808,2799,337,20893,1375,3696,2932,6450,3450,3511,1018,3346,378,26167,2465,7076,5241,11542,6684,5080,1884,4664,552,45188,4017,10153,8616,13380,9960,5780,3845,5919,802,62482,7115,16792,14256,11644,15250,5457,5401,6085,1037,83044,10090,28701,18645,9121,18549,4541,5007,4269,1208,100133,8591,30268,13306,5178,12032,2691,2818,2001,893,77768,9970,36211,10151,3845,7928,2205,1718,1327,822,74177,8476,25228,6424,2424,4095,1285,943,798,598,50269,21304,35608,7502,2251,5641,1854,1048,761,756,76725,16436,21495,1942,347,2408,1241,222,203,466,44755,901,1917,1290,920,963,507,361,549,1497,8916,93811,224949,94726,78497,92774,42174,25960,36413,10068,699373,Greater Brisbane
3RQLD,1533,591,595,344,586,334,158,401,251,4794,778,1106,766,1809,910,1741,210,1430,192,8940,1368,2096,1795,3730,2048,2758,521,2576,289,17178,1916,2536,2696,4811,2780,3013,709,3128,399,21994,2071,3296,3643,6989,3618,3744,1055,3782,412,28616,3715,6304,6653,12965,6959,5622,1878,5755,550,50401,5327,9132,10983,14682,9866,6503,3235,7103,769,67610,8161,13825,16918,11987,12311,5489,4582,6895,930,81107,10375,22011,19889,8878,12452,3956,4830,4858,967,88213,7864,22203,13586,4827,7327,2191,3278,2325,704,64303,7948,25776,10674,3604,4589,1575,2871,1509,553,59101,5832,16052,7220,2300,2181,830,2624,843,365,38236,11881,18436,12399,2004,2602,1103,4621,975,529,54559,7304,10554,4428,329,1052,686,1271,377,346,26347,1183,1490,1820,1118,818,616,618,871,1464,9988,77253,155408,114070,80375,70102,40164,32446,42831,8717,621371,Rest of Qld
4RSAU,344,56,90,49,78,29,18,77,36,786,163,105,130,235,140,231,27,272,26,1331,386,269,327,534,313,361,69,532,43,2834,495,305,427,729,384,376,99,558,74,3450,566,435,607,1084,531,476,143,704,80,4625,882,774,1043,1932,906,750,274,1013,88,7670,1177,1184,1581,1997,1180,747,443,1369,108,9788,1566,1774,2342,1713,1358,630,703,1405,113,11594,1892,2688,2546,1264,1345,431,799,1108,128,12205,1293,2762,1502,680,696,222,606,505,104,8376,1192,2753,1108,415,444,159,519,271,90,6943,866,2100,841,295,210,82,421,141,56,5008,1579,1665,1428,480,238,85,526,145,85,6225,788,865,406,56,110,57,91,75,34,2471,237,189,264,151,78,69,84,165,130,1357,13419,17927,14636,11602,8022,4702,4825,8333,1203,84666,Rest of SA
4GADE,367,334,206,198,210,145,39,135,136,1770,225,804,370,1002,384,869,100,784,97,4640,478,1518,943,2401,1036,1738,279,1414,156,9962,628,1772,1398,2925,1484,1895,438,1606,168,12328,839,2322,2090,4070,2058,2149,547,1899,209,16183,1499,4385,3566,7268,3929,2938,974,2712,323,27595,2392,6258,5713,7880,5522,3102,1818,3274,397,36364,4064,10317,8762,7464,8225,3015,2747,3198,577,48366,5539,16484,10329,5846,9533,2371,2380,2168,647,55302,4756,16602,6879,2822,5619,1356,1146,907,491,40573,5308,18736,4761,1969,3629,956,765,489,418,37029,4473,14417,2615,1396,1911,571,389,266,248,26279,9792,14911,2695,1925,2107,760,425,261,313,33196,5815,8619,573,254,743,407,97,101,171,16785,413,1001,659,539,452,268,150,284,646,4406,46593,118485,51570,47968,46852,22544,12283,19488,5005,370778,Greater Adelaide
5GPER,678,635,420,330,468,301,80,253,208,3370,392,1373,630,1762,765,1539,197,1054,139,7847,573,2361,1384,3615,1787,2826,494,2125,226,15398,809,2588,1789,4227,2165,2993,648,2553,271,18048,1031,3265,2489,5230,2857,3074,814,2895,304,21961,1831,5732,4294,8565,5284,4095,1292,3401,410,34909,2819,7618,6353,9729,6742,4060,2199,3712,517,43746,4989,11672,10819,10227,9990,3848,3559,3806,709,59621,7112,19919,16411,7750,13339,3321,4016,3354,882,76108,6211,22187,12915,4167,9436,2285,2488,1698,818,62207,7247,25294,10593,3506,6295,1727,1961,1141,742,58504,6212,22347,6914,2518,3356,1076,1213,722,554,44913,17776,33974,9765,2596,4952,1626,1737,912,822,74171,16532,21654,3523,394,2685,1087,540,318,568,47297,705,1584,1307,704,773,420,300,422,1156,7376,74907,182211,89601,65323,70894,34286,21538,28365,8334,575463,Greater Perth
5RWAU,416,105,120,71,135,65,56,107,81,1158,211,220,160,377,221,338,50,318,47,1945,403,450,382,706,456,435,98,616,63,3616,459,524,501,888,536,480,135,727,77,4321,563,683,736,1125,729,600,156,775,79,5437,999,1061,1171,2004,1282,832,326,1213,121,9004,1140,1432,1756,2261,1584,992,484,1372,160,11183,1681,2031,2729,2256,1894,911,806,1638,177,14124,2247,3366,4170,1705,2204,661,1196,1512,228,17293,1867,3732,3481,1013,1481,395,1159,967,162,14249,1865,4442,3681,936,1080,292,1608,701,178,14779,1510,4149,3563,671,644,179,1843,610,180,13352,3522,6789,11269,1029,1082,201,4598,1351,375,30208,3281,4163,8649,198,628,144,1729,970,309,20077,337,335,631,233,182,119,260,244,379,2723,20492,33484,42998,15481,14146,6639,14503,13112,2624,163481,Rest of WA
