gcc_code16,tpw_oth_tspt_p,tpw_pstcour_pu_d_svc_m,tpw_pstcour_pu_d_svc_f,tpw_pstcour_pu_d_svc_p,tpw_tspt_supt_svs_m,tpw_tspt_supt_svs_f,tpw_tspt_supt_svs_p,tpw_wh_storage_svs_m,tpw_wh_storage_svs_f,tpw_wh_storage_svs_p,tpw_tot_m,tpw_tot_f,tpw_tot_p,imt_imt_nfd_m,imt_imt_nfd_f,imt_imt_nfd_p,imt_pubexc_inetmusp_m,imt_pubexc_inetmusp_f,imt_pubexc_inetmusp_p,imt_motionp_sr_act_m,imt_motionp_sr_act_f,imt_motionp_sr_act_p,imt_brdcast_ex_inet_m,imt_brdcast_ex_inet_f,imt_brdcast_ex_inet_p,imt_inetpub_brdcast_m,imt_inetpub_brdcast_f,imt_inetpub_brdcast_p,imt_tel_svs_m,imt_tel_svs_f,imt_tel_svs_p,imt_isp_wsp_dp_svce_m,imt_isp_wsp_dp_svce_f,imt_isp_wsp_dp_svce_p,imt_lib_and_oth_is_m,imt_lib_and_oth_is_f,imt_lib_and_oth_is_p,imt_tot_m,imt_tot_f,imt_tot_p,finins_finins_nfd_m,finins_finins_nfd_f,finins_finins_nfd_p,finins_finance_m,finins_finance_f,finins_finance_p,finins_ins_and_super_funds_m,finins_ins_and_super_funds_f,finins_ins_and_super_funds_p,finins_aux_finins_svs_m,finins_aux_finins_svs_f,finins_aux_finins_svs_p,finins_tot_m,finins_tot_f,finins_tot_p,rhre_rhre_nfd_m,rhre_rhre_nfd_f,rhre_rhre_nfd_p,rhre_rhsvc_ex_reale_m,rhre_rhsvc_ex_reale_f,rhre_rhsvc_ex_reale_p,rhre_pops_and_re_svs_m,rhre_pops_and_re_svs_f,rhre_pops_and_re_svs_p,rhre_tot_m,rhre_tot_f,rhre_tot_p,prosts_prosts_nfd_m,prosts_prosts_nfd_f,prosts_prosts_nfd_p,prosts_prosts_ex_csd_rs_m,prosts_prosts_ex_csd_rs_f,prosts_prosts_ex_csd_rs_p,prosts_csd_rs_m,prosts_csd_rs_f,prosts_csd_rs_p,prosts_tot_m,prosts_tot_f,prosts_tot_p,adsup_adsup_nfd_m,adsup_adsup_nfd_f,adsup_adsup_nfd_p,adsup_admin_svs_m,adsup_admin_svs_f,adsup_admin_svs_p,adsup_bldcln_pc_oth_svc_m,adsup_bldcln_pc_oth_svc_f,adsup_bldcln_pc_oth_svc_p,adsup_tot_m,adsup_tot_f,adsup_tot_p,pubas_pubas_nfd_m,pubas_pubas_nfd_f,pubas_pubas_nfd_p,pubas_pubadm_m,pubas_pubadm_f,pubas_pubadm_p,pubas_defen_m,pubas_defen_f,pubas_defen_p,pubas_po_s_and_r_svs_m,pubas_po_s_and_r_svs_f,pubas_po_s_and_r_svs_p,pubas_tot_m,pubas_tot_f,pubas_tot_p,edtrn_edtrn_nfd_m,edtrn_edtrn_nfd_f,edtrn_edtrn_nfd_p,edtrn_presch_and_sch_ed_m,edtrn_presch_and_sch_ed_f,edtrn_presch_and_sch_ed_p,edtrn_tertiary_ed_m,edtrn_tertiary_ed_f,edtrn_tertiary_ed_p,edtrn_adultcom_andothed_m,edtrn_adultcom_andothed_f,edtrn_adultcom_andothed_p,edtrn_tot_m,edtrn_tot_f,edtrn_tot_p,hc_sa_hc_sa_nfd_m,hc_sa_hc_sa_nfd_f,hc_sa_hc_sa_nfd_p,hc_sa_hospitals_m,hc_sa_hospitals_f,hc_sa_hospitals_p,hc_sa_med_oth_hcs_m,hc_sa_med_oth_hcs_f,hc_sa_med_oth_hcs_p,hc_sa_resident_cs_m,hc_sa_resident_cs_f,hc_sa_resident_cs_p,hc_sa_soc_assis_svs_m,hc_sa_soc_assis_svs_f,hc_sa_soc_assis_svs_p,hc_sa_tot_m,hc_sa_tot_f,hc_sa_tot_p,artsr_artsr_nfd_m,artsr_artsr_nfd_f,artsr_artsr_nfd_p,artsr_heritage_ac_m,artsr_heritage_ac_f,artsr_heritage_ac_p,artsr_creative_paa_m,artsr_creative_paa_f,artsr_creative_paa_p,artsr_sports_rec_ac_m,artsr_sports_rec_ac_f,artsr_sports_rec_ac_p,artsr_gambling_ac_m,artsr_gambling_ac_f,artsr_gambling_ac_p,artsr_tot_m,artsr_tot_f,artsr_tot_p,othsvs_othsvs_nfd_m,othsvs_othsvs_nfd_f,othsvs_othsvs_nfd_p,othsvs_repair_maintenanc_m,othsvs_repair_maintenanc_f,othsvs_repair_maintenanc_p,othsvs_personal_othsvs_m,othsvs_personal_othsvs_f,othsvs_personal_othsvs_p,othsvs_prihes_ug_spa_hou_m,othsvs_prihes_ug_spa_hou_f,othsvs_prihes_ug_spa_hou_p,othsvs_tot_m,othsvs_tot_f,othsvs_tot_p,inad_des_inad_des_m,inad_des_inad_des_f,inad_des_inad_des_p,industry_of_em_ns_m,industry_of_em_ns_f,industry_of_em_ns_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,505,4017,2411,6424,2389,536,2923,1282,478,1763,29997,8237,38232,108,65,177,672,1052,1727,709,564,1276,675,554,1227,20,12,30,1786,852,2637,382,168,556,61,360,428,4423,3635,8058,136,173,312,3109,7034,10136,1526,3720,5250,2115,2455,4566,6885,13382,20270,43,33,71,2042,851,2895,4269,7157,11429,6355,8041,14394,110,56,168,17220,21450,38673,3793,1164,4959,21128,22672,43804,26,53,80,4610,8990,13605,7338,7823,15163,11976,16868,28847,114,107,220,20388,22502,42889,6584,1839,8420,11126,4952,16082,38208,29399,67607,536,991,1527,15044,50870,65914,7319,11433,18751,2370,4743,7116,25275,68038,93312,557,2546,3100,8843,33017,41858,9742,29623,39362,4771,26745,31522,7022,28562,35583,30935,120487,151425,119,129,250,1088,841,1930,987,1071,2054,4066,3577,7644,258,230,482,6508,5846,12355,34,8,44,17332,3313,20649,5107,14368,19478,9,152,162,22493,17849,40340,17278,8866,26151,6632,5313,11943,505708,499719,1005433,Rest of NSW
1GSYD,1309,11694,4346,16039,10073,4105,14177,9442,3454,12902,82600,27674,110271,1008,876,1885,4900,6233,11127,4452,3388,7841,5965,5071,11037,655,696,1351,14890,6112,21000,5123,2047,7166,462,955,1415,37458,25370,62826,2243,1513,3759,39114,34740,73855,12923,15426,28351,23100,16724,39819,77378,68405,145782,113,126,234,4593,2344,6939,18199,18640,36843,22906,21111,44017,938,597,1531,81422,82751,164170,42223,15050,57273,124581,98391,222977,61,120,179,18096,25779,43873,16398,12476,28876,34563,38374,72934,273,309,575,34718,42712,77430,9089,2366,11452,24949,11190,36139,69033,56568,125599,1597,2848,4445,25179,85517,110694,19528,26057,45583,7412,13090,20500,53713,127511,181229,938,3238,4173,19563,59206,78773,21579,56121,77705,7915,31043,38956,11032,48168,59200,61029,197777,258809,410,419,833,1650,2060,3707,4280,4181,8460,9421,8197,17625,3767,2339,6110,19530,17203,36734,52,34,92,24806,5102,29911,16350,30638,46984,24,921,944,41239,36696,77930,50142,30838,80973,17961,13111,31074,1152769,1056525,2209294,Greater Sydney
2RVIC,564,2107,1424,3531,1222,418,1643,1082,285,1371,15797,4476,20268,65,38,97,674,763,1440,343,298,643,298,233,533,12,3,12,986,550,1531,241,118,360,88,448,534,2704,2441,5142,75,67,142,1832,3729,5558,750,1477,2230,1175,1223,2397,3837,6497,10332,13,40,55,880,470,1351,1889,3030,4917,2786,3537,6324,70,34,102,8849,10942,19785,2038,617,2653,10954,11589,22544,18,44,54,2127,3920,6043,3869,3882,7758,6010,7846,13857,38,39,77,8635,13343,21979,2867,815,3680,5976,2590,8571,17515,16789,34307,358,693,1050,9245,28425,37668,3248,5107,8356,1332,2581,3915,14175,36807,50983,233,1249,1478,5309,26407,31715,5456,16122,21574,1818,12853,14674,3054,13669,16732,15870,70302,86177,72,64,140,837,700,1543,504,570,1072,2558,2565,5123,138,197,337,4115,4094,8213,12,11,20,8719,1557,10273,2709,7740,10449,4,69,73,11446,9377,20822,9861,5076,14936,3970,3112,7079,282606,282377,564981,Rest of Vic.
2GMEL,908,11999,5379,17382,10256,4420,14670,8894,3077,11975,77324,25112,102441,654,473,1119,3068,3529,6597,3646,2717,6367,2193,1693,3881,207,195,403,14557,6306,20862,3148,1226,4375,493,1191,1679,27962,17330,45291,1181,867,2048,23308,22345,45649,10235,11495,21730,14964,11028,25992,49688,45734,95422,86,134,225,4203,2071,6280,13891,15705,29594,18185,17914,36097,782,508,1295,70794,70962,141758,35140,11428,46564,106714,82904,189618,57,126,182,16579,22834,39414,16030,11572,27602,32671,34532,67204,187,194,385,26313,40203,66509,4834,1703,6535,22632,10230,32861,53967,52326,106291,1602,2986,4592,24702,81522,106225,21428,28420,49851,7147,13124,20275,54893,126053,180940,829,2989,3818,17283,63072,80360,19680,53770,73454,7249,30670,37924,8355,43710,52066,53407,194211,247621,437,387,828,1858,2177,4037,3701,3799,7499,11358,9969,21323,5361,3301,8657,22711,19628,42339,65,30,92,25179,4630,29809,13974,28714,42685,28,669,698,39245,34042,73291,46618,26709,73318,15390,11377,26770,1062579,983586,2046169,Greater Melbourne
3GBRI,511,5023,2584,7611,6025,2306,8337,4309,1318,5627,44342,15227,59567,178,110,286,1101,1170,2272,1020,816,1835,816,646,1462,52,38,86,4335,2022,6358,1132,473,1605,201,629,829,8837,5904,14743,324,335,660,5676,7452,13125,4866,6764,11632,5228,4681,9909,16095,19232,35325,49,50,101,2643,1164,3810,7846,9851,17700,10544,11073,21614,298,142,442,33016,32855,65874,13058,4580,17638,46374,37579,83956,22,59,85,7403,11133,18532,7764,6730,14493,15190,17921,33108,123,149,270,20518,27873,48386,7331,1704,9039,12735,6713,19446,40706,36438,77148,880,1459,2335,13568,48671,62238,10797,14735,25539,2750,5125,7877,27998,69997,97997,404,1425,1828,11905,36930,48837,10328,27925,38253,3450,16927,20377,5186,25552,30736,31277,108758,140031,141,135,275,686,654,1345,1438,1582,3019,4011,3985,7993,1657,1206,2859,7930,7555,15487,24,13,39,13002,2547,15550,7213,16144,23362,9,306,317,20255,19015,39269,21068,11367,32430,6514,4801,11310,527553,510348,1037906,Greater Brisbane
3RQLD,1833,3148,2252,5406,3906,1307,5210,1367,506,1872,31988,10485,42476,137,92,229,714,980,1693,1053,749,1800,878,932,1814,24,20,49,1953,966,2923,411,199,605,59,322,385,5235,4264,9497,234,269,505,2529,5790,8315,1335,1895,3227,2993,3238,6233,7090,11195,18277,58,67,122,2738,1445,4179,6228,9669,15894,9017,11181,20195,111,92,204,17902,22028,39922,3726,1289,5023,21736,23411,45148,19,82,97,5845,10279,16118,7628,7725,15356,13489,18080,31574,91,105,197,17972,19383,37363,6417,1320,7743,9747,4337,14080,34228,25151,59374,626,1327,1955,14234,53203,67444,5754,9183,14940,2345,4528,6878,22966,68243,91210,347,1556,1898,9665,34630,44296,9146,26688,35838,3181,19109,22287,4631,22510,27140,26969,104493,131455,136,175,309,1283,1099,2384,891,1005,1894,5029,5036,10069,1149,1103,2255,8489,8420,16907,27,10,39,15805,3526,19330,5274,15136,20412,13,114,129,21110,18795,39904,19393,10972,30371,6351,5145,11495,501616,492314,993929,Rest of Qld
4RSAU,136,462,396,860,289,47,335,223,65,291,4372,1304,5672,7,4,18,115,176,290,31,35,70,58,65,123,0,0,0,135,73,207,23,15,32,9,77,82,379,449,828,12,6,16,249,849,1096,95,172,268,187,234,419,549,1256,1804,6,8,9,171,106,278,359,747,1107,542,862,1399,18,4,21,1376,1901,3275,161,83,240,1555,1984,3542,0,8,8,584,867,1455,1304,1515,2820,1886,2392,4281,14,4,22,2194,2686,4882,101,15,115,1487,718,2203,3800,3423,7220,59,161,225,2180,7808,9988,306,597,904,188,426,606,2731,8992,11722,41,296,337,456,3455,3909,1156,4487,5643,452,3777,4231,619,3081,3702,2724,15095,17823,15,19,28,147,112,256,80,138,222,341,340,687,16,23,35,593,632,1227,4,6,10,2479,497,2976,619,1670,2286,0,15,12,3101,2187,5283,2075,1149,3221,884,707,1585,78189,69948,148135,Rest of SA
4GADE,468,2936,998,3936,1998,524,2528,1386,385,1767,18571,4817,23394,99,62,160,741,668,1411,651,479,1131,530,385,915,17,13,32,2224,1052,3275,769,276,1045,99,292,387,5128,3227,8356,136,134,262,3602,5233,8837,1522,2672,4198,2403,2571,4981,7664,10613,18280,26,22,48,1106,476,1584,3025,3733,6753,4156,4228,8387,138,111,245,14803,14935,29738,5075,1408,6482,20014,16455,36469,8,36,44,3166,5083,8251,5111,4702,9813,8284,9824,18109,53,100,160,12106,16821,28925,4280,1004,5287,7075,3142,10218,23519,21065,44584,409,769,1181,7912,23820,31734,5878,8252,14131,1691,2691,4378,15885,35533,51418,249,832,1081,5793,21079,26868,6440,18834,25273,3917,15060,18972,3617,13445,17064,20011,69251,89263,124,114,234,366,361,726,814,884,1697,2286,2222,4507,679,602,1281,4272,4179,8449,13,8,23,7685,1371,9054,4145,9032,13172,9,135,144,11850,10549,22402,8516,4478,12994,2757,2205,4969,281645,278672,560314,Greater Adelaide
5GPER,594,3928,1844,5775,4281,1452,5741,2251,792,3043,29136,9700,38833,150,114,266,877,981,1857,765,653,1421,597,457,1051,65,53,117,2456,848,3303,884,296,1182,129,330,453,5924,3731,9653,225,273,500,4510,6138,10646,1960,3185,5148,4342,3670,8014,11037,13272,24307,36,43,82,2218,1060,3277,5292,7830,13124,7551,8924,16482,204,123,325,28368,25275,53645,7866,2331,10195,36433,27733,64163,10,44,57,5628,7713,13338,6476,5888,12364,12120,13637,25751,115,135,255,15235,20574,35807,3254,889,4140,11741,5849,17588,30347,27444,57791,546,1122,1675,11045,42091,53133,7678,10832,18517,2353,4279,6634,21627,58327,79953,382,1639,2020,7701,28289,35989,7588,24691,32283,3093,15888,18981,3699,17181,20880,22466,87702,110161,106,110,217,866,954,1817,958,1142,2100,3590,3770,7357,2135,1749,3883,7657,7721,15378,22,10,31,12361,2508,14865,5433,14103,19532,4,162,173,17816,16782,34600,20510,10780,31291,4691,3603,8290,431724,418438,850156,Greater Perth
5RWAU,287,538,638,1178,1180,362,1547,428,110,539,8684,2779,11464,17,14,23,93,162,251,90,112,202,103,107,213,3,0,3,259,94,353,38,13,54,9,125,136,610,624,1236,19,17,33,499,1157,1656,109,228,335,272,380,649,899,1780,2678,7,8,16,801,341,1146,677,1517,2190,1482,1866,3351,18,13,30,4547,3458,8006,371,101,476,4940,3574,8513,9,4,16,1535,1908,3448,1630,2016,3647,3175,3933,7109,31,39,74,3980,4970,8956,156,29,183,2770,1302,4069,6934,6349,13280,106,257,365,3140,12912,16049,609,1141,1747,408,816,1227,4266,15125,19393,117,634,756,1159,5596,6754,1465,4783,6250,412,3257,3666,856,4104,4954,4005,18375,22378,13,15,28,545,401,950,127,206,337,448,677,1127,35,65,97,1180,1361,2541,3,3,10,4150,864,5011,1077,2845,3922,3,17,24,5228,3729,8959,5583,2533,8112,1495,1160,2652,153587,106527,260110,Rest of WA
6GHOB,95,405,176,580,404,82,482,100,44,144,2628,855,3480,12,5,18,152,133,289,89,107,189,110,117,230,3,5,10,569,342,912,55,20,74,32,114,149,1021,840,1865,16,14,27,440,613,1052,255,448,705,366,410,780,1073,1491,2563,0,4,4,211,111,327,418,574,984,627,685,1315,26,22,46,2707,2399,5109,706,131,837,3434,2549,5986,3,4,6,624,784,1406,528,645,1181,1161,1435,2590,19,11,31,3566,5101,8663,141,67,209,1374,762,2138,5110,5940,11049,68,106,177,1672,4791,6463,1284,1621,2899,242,398,643,3260,6918,10183,52,180,235,948,3192,4135,1056,3194,4249,493,2393,2887,761,2905,3673,3315,11861,15176,24,22,40,268,234,495,204,204,405,404,381,788,291,236,527,1185,1072,2261,0,3,4,1167,173,1348,747,1714,2458,0,3,3,1920,1896,3818,1352,726,2076,443,391,837,48574,50786,99359,Greater Hobart
6RTAS,126,401,325,721,495,96,588,178,45,229,3900,1154,5053,6,3,11,123,135,258,45,51,95,71,64,134,4,0,4,226,84,307,22,7,30,15,81,97,513,421,938,4,8,15,361,828,1185,101,200,298,186,247,432,653,1279,1927,4,5,10,210,132,345,339,618,952,551,757,1306,5,6,16,1588,1855,3449,310,78,387,1908,1940,3849,0,5,4,637,880,1519,578,741,1325,1219,1632,2843,7,8,13,1764,2620,4382,28,16,49,789,348,1138,2583,3002,5583,62,120,184,1748,5660,7405,650,915,1565,147,289,434,2605,6985,9592,37,191,231,755,2982,3735,898,2840,3735,468,3044,3505,683,2630,3319,2844,11686,14531,23,17,38,241,209,448,109,119,229,336,314,650,123,161,282,825,825,1651,3,0,3,1549,260,1806,560,1605,2165,0,5,8,2119,1868,3983,1846,903,2749,606,514,1114,54161,52656,106812,Rest of Tas.
