gccsa_code16,m_ind_15_19_pd_gd_gcl,m_ind_15_19_bdl,m_ind_15_19_adip_dipl,m_ind_15_19_ct_iii_iv,m_ind_15_19_ct_i_ii,m_ind_15_19_cl_nfd,m_ind_15_19_loe_ns,m_ind_15_19_tot,m_ind_20_24_pd_gd_gcl,m_ind_20_24_bdl,m_ind_20_24_adip_dipl,m_ind_20_24_ct_iii_iv,m_ind_20_24_ct_i_ii,m_ind_20_24_cl_nfd,m_ind_20_24_loe_ns,m_ind_20_24_tot,m_ind_25_34_pd_gd_gcl,m_ind_25_34_bdl,m_ind_25_34_adip_dipl,m_ind_25_34_ct_iii_iv,m_ind_25_34_ct_i_ii,m_ind_25_34_cl_nfd,m_ind_25_34_loe_ns,m_ind_25_34_tot,m_ind_35_44_pd_gd_gcl,m_ind_35_44_bdl,m_ind_35_44_adip_dipl,m_ind_35_44_ct_iii_iv,m_ind_35_44_ct_i_ii,m_ind_35_44_cl_nfd,m_ind_35_44_loe_ns,m_ind_35_44_tot,m_ind_45_54_pd_gd_gcl,m_ind_45_54_bdl,m_ind_45_54_adip_dipl,m_ind_45_54_ct_iii_iv,m_ind_45_54_ct_i_ii,m_ind_45_54_cl_nfd,m_ind_45_54_loe_ns,m_ind_45_54_tot,m_ind_55_64_pd_gd_gcl,m_ind_55_64_bdl,m_ind_55_64_adip_dipl,m_ind_55_64_ct_iii_iv,m_ind_55_64_ct_i_ii,m_ind_55_64_cl_nfd,m_ind_55_64_loe_ns,m_ind_55_64_tot,m_ind_65ov_ptgdde_gddp_gdct,m_ind_65ov_bdl,m_ind_65ov_adip_dipl,m_ind_65ov_ct_iii_iv,m_ind_65ov_ct_i_ii,m_ind_65ov_cl_nfd,m_ind_65ov_loe_ns,m_ind_65ov_tot,m_ind_tot_pd_gd_gcl,m_ind_tot_bdl,m_ind_tot_adip_dipl,m_ind_tot_ct_iii_iv,m_ind_tot_ct_i_ii,m_ind_tot_cl_nfd,m_ind_tot_loe_ns,m_ind_tot_tot,m_noni_15_19_pd_gd_gcl,m_noni_15_19_bdl,m_noni_15_19_adip_dipl,m_noni_15_19_ct_iii_iv,m_noni_15_19_ct_i_ii,m_noni_15_19_cl_nfd,m_noni_15_19_loe_ns,m_noni_15_19_tot,m_noni_20_24_pd_gd_gcl,m_noni_20_24_bdl,m_noni_20_24_adip_dipl,m_noni_20_24_ct_iii_iv,m_noni_20_24_ct_i_ii,m_noni_20_24_cl_nfd,m_noni_20_24_loe_ns,m_noni_20_24_tot,m_noni_25_34_pd_gd_gcl,m_noni_25_34_bdl,m_noni_25_34_adip_dipl,m_noni_25_34_ct_iii_iv,m_noni_25_34_ct_i_ii,m_noni_25_34_cl_nfd,m_noni_25_34_loe_ns,m_noni_25_34_tot,m_noni_35_44_pd_gd_gcl,m_noni_35_44_bdl,m_noni_35_44_adip_dipl,m_noni_35_44_ct_iii_iv,m_noni_35_44_ct_i_ii,m_noni_35_44_cl_nfd,m_noni_35_44_loe_ns,m_noni_35_44_tot,m_noni_45_54_pd_gd_gcl,m_noni_45_54_bdl,m_noni_45_54_adip_dipl,m_noni_45_54_ct_iii_iv,m_noni_45_54_ct_i_ii,m_noni_45_54_cl_nfd,m_noni_45_54_loe_ns,m_noni_45_54_tot,m_noni_55_64_pd_gd_gcl,m_noni_55_64_bdl,m_noni_55_64_adip_dipl,m_noni_55_64_ct_iii_iv,m_noni_55_64_ct_i_ii,m_noni_55_64_cl_nfd,m_noni_55_64_loe_ns,m_noni_55_64_tot,m_noni_65ov_ptgdde_gddp_gdct,m_noni_65ov_bdl,m_noni_65ov_adip_dipl,m_noni_65ov_ct_iii_iv,m_noni_65ov_ct_i_ii,m_noni_65ov_cl_nfd,m_noni_65ov_loe_ns,m_noni_65ov_tot,m_noni_totpdde_gddp_gdct,m_noni_tot_bdl,m_noni_tot_adip_dipl,m_noni_tot_ct_iii_iv,m_noni_tot_ct_i_ii,m_noni_tot_cl_nfd,m_noni_tot_loe_ns,m_noni_tot_tot,m_is_ns_15_19_pd_gd_gcll,m_is_ns_15_19_bdl,m_is_ns_15_19_adip_dipl,m_is_ns_15_19_ct_iii_iv_l,m_is_ns_15_19_ct_i_ii,m_is_ns_15_19_cl_nfd,m_is_ns_15_19_loe_ns,m_is_ns_15_19_tot,m_is_ns_20_24_pd_gd_gcll,m_is_ns_20_24_bdl,m_is_ns_20_24_addip_and_dipl,m_is_ns_20_24_ct_iii_iv_l,m_is_ns_20_24_ct_i_ii,m_is_ns_20_24_cl_nfd,m_is_ns_20_24_loe_ns,m_is_ns_20_24_tot,m_is_ns_25_34_pd_gd_gcll,m_is_ns_25_34_bdl,m_is_ns_25_34_addip_and_dipl,m_is_ns_25_34_ct_iii_iv_l,m_is_ns_25_34_ct_i_ii_l,m_is_ns_25_34_cl_nfd,m_is_ns_25_34_loe_ns,m_is_ns_25_34_tot,m_is_ns_35_44_pd_gd_gcll,m_is_ns_35_44_bdl,m_is_ns_35_44_adip_dipl,m_is_ns_35_44_ct_iii_iv_l,m_is_ns_35_44_ct_i_ii_l,m_is_ns_35_44_cl_nfd,m_is_ns_35_44_loe_ns,m_is_ns_35_44_tot,m_is_ns_45_54_pdde_gddp_gdc,m_is_ns_45_54_bdl,m_is_ns_45_54_adip_dipl,m_is_ns_45_54_ct_iii_iv_l,m_is_ns_45_54_ct_i_ii_l,m_is_ns_45_54_cl_nfd,m_is_ns_45_54_loe_ns,m_is_ns_45_54_tot,m_is_ns_55_64_pd_gd_gcl,m_is_ns_55_64_bdl,m_is_ns_55_64_adip_dipl,m_is_ns_55_64_ct_iii_iv_l,m_is_ns_55_64_ct_i_ii_l,m_is_ns_55_64_cl_nfd,m_is_ns_55_64_loe_ns,m_is_ns_55_64_tot,m_is_ns_65ov_pd_gd_gcl,m_is_ns_65ov_bdl,m_is_ns_65ov_adip_dipl,m_is_ns_65ov_ct_iii_iv_l,m_is_ns_65ov_ct_i_ii,m_is_ns_65ov_cl_nfd,m_is_ns_65ov_loe_ns,m_is_ns_65ov_tot,m_is_ns_totpdde_gddp_gdct,m_is_ns_tot_bdl,m_is_ns_tot_adip_dipl,m_is_ns_tot_ct_iii_iv_l,m_is_ns_tot_ct_i_ii,m_is_ns_tot_cl_nfd,m_is_ns_tot_loe_ns,m_is_ns_tot_tot,m_t_15_19_pd_gd_gcl,m_t_15_19_bdl,m_t_15_19_adip_dipl,m_t_15_19_ct_iii_iv,m_t_15_19_ct_i_ii,m_t_15_19_cl_nfd,m_t_15_19_loe_ns,m_t_15_19_tot,gcc_name16
1RNSW,0,0,20,320,108,54,834,1336,7,63,95,1369,211,83,746,2573,66,319,322,2507,182,154,1443,4987,88,260,412,1934,128,141,967,3933,106,241,446,1652,114,127,739,3420,108,189,297,1150,42,93,524,2404,53,95,103,605,10,53,542,1462,423,1164,1686,9538,804,704,5792,20115,14,36,185,2887,833,288,3732,7976,221,3983,2076,17413,1551,800,2529,28572,5193,17581,8852,45784,1934,1810,5379,86528,7530,17924,12704,45197,1419,2250,5679,92702,7852,15001,14247,51753,1335,2893,6527,99604,8769,15787,13550,51182,1203,3613,7453,101548,8447,15705,14534,62123,1138,5595,22939,130483,38028,86013,66147,276330,9418,17237,54244,547417,0,0,0,41,12,10,4158,4218,3,20,13,147,7,9,4462,4666,16,72,51,295,16,20,8849,9315,30,84,62,376,9,22,8704,9288,25,60,94,414,16,32,10565,11211,49,85,93,443,13,29,11324,12033,43,104,106,624,13,62,16829,17787,169,430,418,2338,89,179,64899,68516,16,45,201,3244,951,351,8721,13531,Rest of NSW
1GSYD,0,5,21,173,50,14,252,505,19,146,116,720,74,52,313,1436,104,321,276,1275,74,70,535,2661,128,241,307,930,48,63,402,2115,112,205,278,854,31,76,291,1841,82,138,153,504,15,63,213,1173,54,71,82,316,8,27,185,737,504,1135,1226,4765,294,364,2187,10479,45,246,857,3700,717,467,4401,10432,2190,26704,10223,21327,1556,1614,5155,68771,44120,102178,35428,59952,2585,4398,12605,261270,48794,79680,34986,59362,2123,5128,11206,241276,33826,56047,31079,61424,1886,5768,10644,200679,24679,41968,22031,49981,1409,5842,9714,155620,18995,35792,19995,60220,1392,7507,23084,166984,172646,342613,154599,315965,11665,30728,76810,1105027,0,9,5,52,9,3,6039,6115,11,75,47,134,8,15,9309,9598,79,257,124,251,17,27,23550,24303,89,205,114,288,11,34,18139,18876,88,130,125,325,9,33,15212,15923,83,130,96,310,13,33,12451,13120,96,213,137,578,8,53,16243,17330,442,1020,658,1941,72,196,100945,105267,45,257,887,3928,769,485,10694,17054,Greater Sydney
2RVIC,0,0,5,53,19,4,130,207,0,11,31,252,36,14,79,426,13,45,63,447,30,23,181,796,21,47,63,274,19,28,185,625,22,34,73,267,20,28,151,596,29,38,69,167,11,26,93,425,16,17,33,82,3,15,111,269,98,197,327,1540,121,136,928,3354,11,19,133,2055,468,110,2498,5294,222,2362,1433,10788,801,441,1545,17586,2751,9624,5464,26550,964,1053,3468,49870,3939,9989,6789,24893,749,1210,3606,51178,4179,7567,7511,28595,617,1354,4080,53899,4405,8002,7938,26422,612,1600,4598,53576,4048,7472,9141,28914,464,2183,12412,64635,19558,45040,38416,148213,4662,7941,32202,296036,0,0,0,30,3,0,2286,2331,5,10,16,109,11,9,2472,2629,16,36,40,188,8,9,4758,5054,20,42,44,157,10,8,4706,4984,19,38,45,224,3,23,5867,6212,30,44,46,230,7,9,6254,6616,27,46,83,385,6,21,9900,10463,106,219,272,1324,48,85,36239,38289,11,22,138,2148,487,114,4917,7833,Rest of Vic.
2GMEL,0,0,4,73,19,6,78,178,3,38,66,294,22,16,95,534,38,189,146,558,33,30,198,1189,74,126,119,374,25,34,157,901,70,93,115,329,5,22,119,754,50,69,67,171,3,13,65,431,14,27,43,91,0,9,79,265,248,540,561,1884,103,124,791,4253,33,184,834,4988,963,438,4389,11830,2595,25875,11558,23522,1849,1497,4810,71697,40656,94586,36778,65105,2461,3759,10823,254163,40825,72778,32014,58093,1972,4136,9322,219141,28701,48859,27191,62191,1545,4347,8883,181710,21276,34580,20741,47866,991,3989,8295,137727,16065,28562,21814,53280,826,4643,21208,146394,150150,305405,150933,315044,10603,22799,67734,1022667,0,3,7,37,3,0,5459,5510,10,93,61,186,20,13,8435,8827,86,296,142,327,17,34,20447,21354,97,178,113,305,10,24,16025,16747,85,149,112,395,20,27,13874,14657,67,133,127,321,10,35,11459,12147,83,171,170,671,8,53,15788,16949,428,1025,732,2244,89,179,91491,96190,40,186,848,5096,982,442,9935,17521,Greater Melbourne
3GBRI,0,0,23,234,101,15,234,612,7,63,96,622,95,46,311,1246,53,189,185,1083,74,50,519,2155,60,203,226,790,49,61,342,1721,86,160,224,610,19,52,227,1377,54,97,123,329,9,23,120,761,20,23,32,161,3,16,114,363,273,734,914,3820,349,258,1869,8222,9,83,752,4589,1530,460,2370,9794,767,10129,5008,14948,1633,900,2564,35951,12896,35165,13296,40279,1662,2094,5693,111086,15855,30049,14870,36352,1159,2319,5185,105792,13298,21645,14860,35384,779,2119,4589,92668,9530,14673,11333,29507,514,2037,4313,71902,7042,12442,9906,32537,465,2688,11440,76526,59406,124184,70016,193592,7748,12621,36155,503720,3,0,0,18,13,4,2991,3030,3,25,28,93,8,5,4531,4687,18,78,51,179,4,12,9694,10044,43,88,61,185,7,10,8140,8526,29,79,59,193,5,20,7818,8197,36,50,53,180,3,10,6228,6568,24,74,69,322,3,21,7371,7890,157,394,319,1172,42,91,46771,48950,13,89,781,4840,1644,474,5596,13440,Greater Brisbane
3RQLD,0,3,12,405,195,60,818,1499,8,52,75,1143,211,84,813,2386,49,149,211,2183,244,144,1173,4157,79,206,363,1858,145,141,920,3710,79,188,374,1463,101,116,655,2980,78,135,212,791,49,72,431,1777,22,56,93,341,22,30,352,912,313,788,1348,8177,957,663,5165,17416,7,67,478,4276,1600,384,3120,9936,385,4445,2511,16883,1758,780,2018,28789,4787,17489,8999,47383,1707,1960,4433,86753,6564,17012,12608,46963,1246,2326,4841,91550,6742,13661,14052,48160,1007,2621,5526,91775,5997,11457,12082,43586,718,2711,5964,82521,5411,11359,11805,47041,655,3695,16724,96690,29889,75490,62532,254294,8695,14476,42630,488007,0,0,3,42,14,0,4248,4312,0,22,14,118,8,15,5675,5856,11,45,41,252,9,9,12461,12828,18,64,66,267,4,19,11661,12103,19,53,84,327,8,23,12568,13085,33,62,49,335,3,15,11300,11797,33,69,89,499,4,34,14020,14757,115,326,355,1834,55,122,71934,74736,8,70,493,4716,1815,451,8194,15745,Rest of Qld
4RSAU,0,0,4,28,8,7,118,172,0,0,9,95,27,12,144,284,0,6,10,203,27,20,273,548,3,7,15,163,24,14,186,419,3,9,43,170,16,29,184,456,3,9,27,84,10,11,96,244,3,7,23,42,7,8,69,159,14,45,131,800,116,98,1071,2268,0,4,17,492,175,53,672,1416,21,294,139,2503,307,125,443,3831,303,1540,800,6651,474,346,1092,11212,439,1627,1239,6431,318,436,1177,11667,491,1312,1589,7344,235,516,1268,12763,669,1407,1833,7253,204,561,1391,13313,651,1488,2087,8435,166,741,3517,17081,2573,7672,7713,39112,1875,2781,9565,71286,0,0,0,5,0,0,501,504,0,7,0,25,3,0,525,561,4,7,8,46,0,5,1138,1216,0,13,11,55,3,5,1205,1293,3,6,16,74,0,4,1582,1687,8,13,12,82,0,8,1669,1784,0,9,17,107,3,4,2421,2561,15,58,65,396,6,25,9037,9608,0,3,23,524,191,60,1292,2091,Rest of SA
4GADE,0,0,3,75,25,9,89,201,0,14,12,193,48,11,85,368,16,75,46,344,43,29,159,711,22,55,75,203,14,17,114,490,28,54,60,155,7,12,73,389,20,31,57,105,15,20,44,286,11,15,17,60,0,3,58,164,93,255,263,1127,147,98,617,2606,6,33,122,1726,560,167,1329,3940,349,4798,1767,7590,1068,450,1158,17184,6686,17939,6937,21242,1389,1056,2569,57810,7875,15586,7922,18831,937,1275,2523,54943,6415,11016,8610,21092,662,1460,2683,51923,5460,9178,7400,18236,466,1536,2694,44969,4921,9018,7766,22642,418,2228,7208,54192,31704,67570,40522,111357,5488,8168,20157,284965,0,0,0,11,6,0,1276,1294,0,24,12,49,6,6,1794,1893,13,70,26,97,11,4,3943,4174,20,58,27,108,3,12,3553,3778,18,41,37,122,5,7,3677,3914,22,39,35,132,0,12,3344,3583,18,55,43,270,3,15,4647,5054,100,293,179,783,40,53,22239,23693,6,32,126,1813,588,173,2695,5439,Greater Adelaide
5GPER,0,0,6,100,44,10,189,357,8,33,17,291,58,19,339,762,20,100,77,661,44,30,604,1540,33,70,72,349,17,25,421,989,35,78,85,284,13,26,213,739,34,40,59,154,10,13,87,404,11,23,32,69,3,6,80,226,137,351,355,1915,194,120,1942,5010,6,55,444,2720,1317,241,1829,6621,579,8278,3717,13198,1264,632,1938,29596,10583,32097,13293,37313,1508,1739,5048,101582,13057,26803,13268,31902,950,1941,4712,92639,10693,19525,12623,33165,698,2053,4333,83095,7637,13801,10252,27111,458,1796,3779,64832,5934,11575,10700,29016,347,2435,10247,70245,48485,112135,64291,174431,6539,10844,31891,448623,0,0,3,23,11,0,2455,2496,4,36,17,70,7,3,3794,3930,21,86,36,160,4,10,10581,10894,17,64,43,134,6,4,8183,8454,37,65,54,182,3,18,7377,7738,27,63,60,177,0,9,5829,6169,25,61,57,305,3,20,6846,7323,124,371,266,1058,32,62,45075,46995,6,59,454,2846,1378,255,4477,9470,Greater Perth
5RWAU,0,0,4,81,53,15,412,556,0,7,8,272,84,32,370,769,10,34,36,689,79,57,710,1612,7,32,74,481,57,52,590,1298,16,42,59,398,32,31,369,950,7,37,49,225,19,20,201,563,12,0,27,66,3,7,199,313,55,150,254,2211,335,211,2847,6064,0,7,42,857,405,75,743,2132,35,446,331,3860,378,148,496,5693,767,3260,1788,12281,471,438,1364,20370,1131,3334,2459,11697,310,618,1310,20856,988,2650,2691,11561,279,607,1427,20198,932,2218,2462,9579,204,633,1386,17413,783,1768,2207,7890,126,767,3121,16665,4639,13683,11980,57723,2181,3289,9835,103324,0,0,0,12,3,0,1056,1075,0,4,3,34,0,0,1183,1220,0,13,13,88,3,5,4254,4376,0,22,17,79,4,3,3931,4052,8,16,28,101,0,0,3964,4121,3,5,16,97,3,5,3336,3463,0,12,15,99,0,8,3233,3369,14,73,96,497,13,26,20958,21667,0,7,48,945,464,92,2207,3760,Rest of WA
