gcc_code16,m_hbn_in_reg_marr_15_24,m_hbn_in_reg_marr_25_34,m_hbn_in_reg_marr_35_44,m_hbn_in_reg_marr_45_54,m_hbn_in_reg_marr_55_64,m_hbn_in_reg_marr_65_74,m_hbn_in_reg_marr_75_84,m_hbn_in_reg_marr_85ov,m_hbn_in_reg_marr_tot,m_ptn_in_defacto_marr_15_24,m_ptn_in_defacto_marr_25_34,m_ptn_in_defacto_marr_35_44,m_ptn_in_defacto_marr_45_54,m_ptn_in_defacto_marr_55_64,m_ptn_in_defacto_marr_65_74,m_ptn_in_defacto_marr_75_84,m_ptn_in_defacto_marr_85ov,m_ptn_in_defacto_marr_tot,m_lonepnt_15_24,m_lonepnt_25_34,m_lonepnt_35_44,m_lonepnt_45_54,m_lonepnt_55_64,m_lonepnt_65_74,m_lonepnt_75_84,m_lonepnt_85ov,m_lonepnt_tot,m_child_under_15,m_dep_stud_15_24,m_non_dep_child_15_24,m_non_dep_child_25_34,m_non_dep_child_35_44,m_non_dep_child_45_54,m_non_dep_child_55_64,m_non_dep_child_65_74,m_non_dep_child_75_84,m_non_dep_child_85ov,m_non_dep_child_tot,m_oth_related_pers_15_24,m_oth_related_pers_25_34,m_oth_related_pers_35_44,m_oth_related_pers_45_54,m_oth_related_pers_55_64,m_oth_related_pers_65_74,m_oth_related_pers_75_84,m_oth_related_pers_85ov,m_oth_related_pers_tot,m_unreltd_pers_in_hsehld_15_24,m_unreltd_pers_in_hsehld_25_34,m_unreltd_pers_in_hsehld_35_44,m_unreltd_pers_in_hsehld_45_54,m_unreltd_pers_in_hsehld_55_64,m_unreltd_pers_in_hsehld_65_74,m_unreltd_pers_in_hsehld_75_84,m_unreltd_pers_in_hsehld_85ov,m_unreltd_pers_in_hsehld_tot,m_grp_hsehld_mem_15_24,m_grp_hsehld_mem_25_34,m_grp_hsehld_mem_35_44,m_grp_hsehld_mem_45_54,m_grp_hsehld_mem_55_64,m_grp_hsehld_mem_65_74,m_grp_hsehld_mem_75_84,m_grp_hsehld_mem_85ov,m_grp_hsehld_mem_tot,m_lonepsn_15_24,m_lonepsn_25_34,m_lonepsn_35_44,m_lonepsn_45_54,m_lonepsn_55_64,m_lonepsn_65_74,m_lonepsn_75_84,m_lonepsn_85ov,m_lonepsn_tot,m_vis_within_aus_0_14,m_vis_within_aus_15_24,m_vis_within_aus_25_34,m_vis_within_aus_35_44,m_vis_within_aus_45_54,m_vis_within_aus_55_64,m_vis_within_aus_65_74,m_vis_within_aus_75_84,m_vis_within_aus_85ov,m_vis_within_aus_tot,m_os_v_0_14_yr,m_os_v_15_24_yr,m_os_v_25_34_yr,m_os_v_35_44_yr,m_os_v_45_54_yr,m_os_v_55_64_yr,m_os_v_65_74_yr,m_os_v_75_84_yr,m_os_v_85_yr_over,m_overseas_v_total,m_tot_0_14,m_tot_15_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85ov,m_tot_tot,f_wife_in_reg_marr_15_24,f_wife_in_reg_marr_25_34,f_wife_in_reg_marr_35_44,f_wife_in_reg_marr_45_54,f_wife_in_reg_marr_55_64,f_wife_in_reg_marr_65_74,f_wife_in_reg_marr_75_84,f_wife_in_reg_marr_85ov,f_wife_in_reg_marr_tot,f_ptn_in_defacto_marr_15_24,f_ptn_in_defacto_marr_25_34,f_ptn_in_defacto_marr_35_44,f_ptn_in_defacto_marr_45_54,f_ptn_in_defacto_marr_55_64,f_ptn_in_defacto_marr_65_74,f_ptn_in_defacto_marr_75_84,f_ptn_in_defacto_marr_85ov,f_ptn_in_defacto_marr_tot,f_lonepnt_15_24,f_lonepnt_25_34,f_lonepnt_35_44,f_lonepnt_45_54,f_lonepnt_55_64,f_lonepnt_65_74,f_lonepnt_75_84,f_lonepnt_85ov,f_lonepnt_tot,f_child_under_15,f_dep_stud_15_24,f_non_dep_child_15_24,f_non_dep_child_25_34,f_non_dep_child_35_44,f_non_dep_child_45_54,f_non_dep_child_55_64,f_non_dep_child_65_74,f_non_dep_child_75_84,f_non_dep_child_85ov,f_non_dep_child_tot,f_oth_related_pers_15_24,f_oth_related_pers_25_34,f_oth_related_pers_35_44,f_oth_related_pers_45_54,f_oth_related_pers_55_64,f_oth_related_pers_65_74,f_oth_related_pers_75_84,f_oth_related_pers_85ov,f_oth_related_pers_tot,gcc_name16
1RNSW,1907,42129,75285,86669,96954,89201,46231,11082,449470,9844,27105,18755,17320,12963,6506,1803,282,94585,367,1629,4604,7210,4687,2141,1396,951,22990,230269,49628,47640,21443,9782,7717,3668,513,13,0,90782,6505,3431,1583,2242,2890,2340,1418,772,21175,4169,3737,1927,1874,1309,599,229,49,13892,9872,9946,3713,4586,5152,3466,1361,308,38416,4161,12039,13855,21415,28051,24232,14347,6218,124313,6181,8016,8428,6218,6174,7422,7661,2880,590,53574,466,965,906,381,359,503,373,139,41,4132,236915,143084,130787,136112,155567,163616,137039,69819,20293,1193234,4040,55959,83708,94142,99327,79740,33952,5193,456060,14920,28296,19201,17584,11695,4969,1096,152,97909,5324,16883,24903,24627,11369,5706,5431,3631,97868,218167,51269,30620,11394,3799,3358,2411,554,28,0,52161,5049,1810,874,2180,4260,4425,3450,2346,24398,Rest of NSW
1GSYD,4257,120017,203183,187424,159580,117211,58323,15299,865300,9937,51928,33608,24517,14527,6293,1618,274,142704,429,1645,5134,9810,7843,3730,2205,1475,32264,436505,127740,85716,67738,21565,12700,5056,710,22,3,193516,16659,14864,5469,4905,5605,4253,2719,1607,56081,11560,17007,5583,4140,2764,1171,340,95,42668,26130,43741,13075,8887,7338,4452,1548,432,105605,6558,23016,25183,27871,28002,23129,13591,7183,154534,6363,7867,11521,7888,6708,5257,3800,1775,578,51767,1949,4381,4244,2021,1956,3963,3035,795,109,22461,444815,301236,355723,322708,288919,239947,167789,82941,27052,2231135,11599,161549,213232,188551,152053,99703,40204,6745,873638,15161,54221,30495,22034,11983,4249,802,161,139097,4010,18387,36464,44948,26913,12042,9094,5930,157781,413276,130410,61958,46130,11482,7181,3980,916,43,3,131696,14032,10954,3824,5697,12161,11731,9578,5818,73808,Greater Sydney
2RVIC,921,22861,41399,48857,54249,46911,23814,5871,244882,5381,15653,10523,9368,6663,3121,782,133,51625,203,701,2195,3685,2260,946,596,406,10989,123354,29325,24612,10362,4663,3233,1459,210,11,0,44539,2930,1633,749,970,1201,940,568,317,9308,1956,1663,778,714,463,214,77,21,5892,5912,5522,1940,2203,2281,1593,576,123,20146,2731,7260,8096,12657,15897,13468,7494,3442,71037,3235,4002,4158,2908,2919,3042,2502,902,248,23913,232,611,550,238,197,242,201,44,25,2341,126819,78588,70349,73494,84807,87755,70103,34862,10591,637363,1868,30073,45766,52970,54663,42505,17287,2840,247960,8030,16126,10721,9481,5969,2270,475,81,53155,2315,8054,12740,13300,5870,2631,2346,1599,48841,116850,29843,15301,5873,1947,1534,1031,206,8,0,25892,2287,1029,401,987,1809,1756,1350,794,10419,Rest of Vic.
2GMEL,3216,110775,184070,172567,143780,106715,55662,14366,791148,10477,57370,34390,24686,14092,5486,1303,277,148079,364,1456,4846,10040,7563,3133,1978,1307,30683,396157,122015,73275,56363,18304,11459,4416,598,19,0,164426,16686,14511,4332,3964,4220,3136,1970,1120,49932,10127,12708,3832,2797,1773,647,185,54,32118,32184,43336,11255,7212,5637,3345,1212,341,104522,9060,26593,26423,28991,27097,21112,12935,7121,159330,5907,7960,10878,6995,5923,4745,3579,1725,626,48346,1904,4214,3464,1724,1957,3657,2661,588,82,20260,403975,289575,337448,296171,269585,216983,150412,77578,25289,2067016,9041,146919,190803,173798,137930,94414,39250,6491,798653,15868,59365,32940,23037,11557,3886,740,123,147521,3159,15777,33735,43987,24007,10346,8207,4875,144080,376153,124376,52333,39633,9401,6371,3364,651,23,4,111775,14072,10259,3181,4572,9195,8329,6965,4077,60651,Greater Melbourne
3GBRI,2217,50508,85103,83707,71773,55182,24682,5805,378971,10399,32360,19284,13976,7632,3348,759,114,87879,328,1396,3934,5590,3448,1494,861,554,17591,213804,52850,40307,20293,7980,4651,1839,254,6,0,75339,8546,5821,2172,2156,2426,1866,1064,571,24626,7112,7022,2693,1927,1200,540,158,42,20688,16872,19251,6024,4721,3915,2282,795,174,54033,3676,11637,12408,14276,14143,11762,6530,3127,77562,4058,5354,5825,3850,3240,3062,2819,1111,286,29609,874,2278,1720,720,785,1255,1015,278,53,8976,218735,149931,155834,144181,135035,110690,80566,36235,10722,1041927,4800,66383,91841,86047,69664,47865,17210,2669,386483,15342,33371,18643,13154,6583,2373,444,48,89969,3551,12859,20892,21216,9979,4753,3353,2134,78736,202471,53792,28327,12894,3864,2646,1563,350,11,0,49658,7266,4130,1458,2617,4741,4609,3354,1956,30135,Greater Brisbane
3RQLD,2165,40955,72905,81764,81089,71514,34800,7595,392789,11789,30295,20103,16833,11197,5638,1428,210,97492,371,1771,4412,6201,3598,1677,997,585,19604,220286,43542,41917,16551,7661,5159,2212,323,15,0,73830,6582,4023,1993,2197,2486,1982,1256,623,21141,4949,4479,2282,1961,1304,708,247,59,15987,10243,11754,5031,5191,5168,3553,1335,248,42529,4556,11400,12981,18278,21154,18839,10124,4158,101486,5873,7214,7524,5951,6414,10473,15998,5664,828,65937,972,2025,1644,625,685,950,978,396,68,8337,227128,135343,130391,133942,144689,139637,121214,56263,14368,1102977,4414,56235,83764,88571,82298,62968,23815,3506,405560,17761,32293,20098,16935,10052,4036,806,108,102098,4569,15296,23861,21776,9282,4546,3770,2275,85381,208676,43764,27323,8844,3345,2731,1774,377,24,0,44409,5446,2464,1128,2371,4327,4294,3155,1912,25100,Rest of Qld
4RSAU,326,5557,9729,12666,15101,14191,7184,1693,66438,1522,4020,2761,2846,2017,976,263,40,14449,46,271,702,1024,595,235,153,92,3127,31770,6370,6328,2450,1064,792,314,50,0,0,11001,846,449,239,302,316,225,99,76,2557,478,355,194,200,115,61,15,0,1422,930,969,493,596,608,354,137,39,4122,912,2323,2494,4289,5169,4074,2280,993,22536,944,1206,1294,1073,1326,1743,1681,421,97,9774,63,198,231,66,58,57,42,17,3,735,32778,19161,17915,18818,24091,26039,21895,10569,3039,174296,626,7531,11183,13760,15479,12934,5213,799,67517,2424,4080,2898,2843,1881,735,160,40,15053,637,2206,3123,3018,1172,578,513,336,11577,29968,6523,3639,1107,359,336,234,54,5,0,5734,600,224,109,283,390,379,288,184,2446,Rest of SA
4GADE,1025,26465,44831,46590,44237,36608,19476,5343,224577,4059,15289,9554,8045,5308,2274,568,109,45207,155,722,2246,3697,2449,852,551,374,11062,109416,32966,22499,14003,4821,3175,1298,161,3,0,45958,4308,2899,1103,1066,1137,742,416,264,11938,2727,2527,990,732,460,182,37,12,7675,7665,8643,2822,2578,2004,1101,376,107,25282,2325,7974,8966,11755,11623,8670,5152,2960,59426,2093,2919,3431,2305,2109,1660,1265,543,219,16548,431,920,563,338,331,648,441,101,20,3786,111948,81555,82516,77970,80087,70825,52296,27223,9418,593844,2469,35739,47670,48210,43984,33463,14271,2568,228365,6235,16082,9415,8030,4747,1732,350,63,46652,1614,6959,11726,13518,7031,2771,2302,1440,47362,103979,33403,15317,8286,2033,1613,955,199,8,0,28419,3732,1999,644,1128,2265,1816,1404,892,13882,Greater Adelaide
5GPER,1580,44522,74323,73870,62508,48120,23749,5839,334505,6671,27894,14973,11481,6690,2932,729,132,71506,198,878,2626,4496,2935,1225,623,364,13338,178617,48094,34501,18394,5998,3462,1390,182,11,0,63938,7532,5637,1655,1484,1530,1028,639,359,19872,4200,5718,1914,1208,670,241,76,22,14040,9506,15098,4842,3440,2587,1434,535,139,37577,3383,12166,11559,13093,12934,10258,5855,2857,72107,2831,3749,4798,3091,2570,2277,1788,783,237,22116,701,1430,1392,659,675,1303,1005,265,45,7460,182147,120852,136499,121636,115771,94818,68214,33253,9993,883173,4103,61816,82021,76644,61979,41554,17089,2679,347887,11006,30100,15006,11249,5899,2112,453,67,75893,2292,9350,15565,17486,8908,3512,2525,1576,61219,169326,48809,23898,11163,2676,1734,1110,254,11,0,40843,6173,3689,1049,1763,3337,3006,2238,1328,22587,Greater Perth
5RWAU,438,8568,15501,17024,16828,13304,6008,1361,79029,2350,6887,4845,4232,2857,1120,278,40,22603,81,314,853,1267,687,287,159,93,3731,48706,7526,8447,2959,1238,788,284,47,3,0,13766,1665,906,452,450,483,368,182,90,4604,765,730,374,274,205,105,33,0,2495,1350,1799,793,903,753,432,134,31,6201,1082,2931,2992,4626,5398,4097,1916,718,23765,1789,1599,2320,1937,2333,4113,5654,1458,183,21385,121,338,487,126,161,187,157,33,3,1617,50618,25642,27912,29117,32048,31794,25566,10211,2523,235426,908,12311,17723,18172,16948,11408,4121,589,82173,3641,7645,4993,4280,2482,790,191,15,24043,929,3089,4183,3788,1563,704,514,301,15059,46349,7447,5235,1498,521,333,238,36,3,0,7861,1278,488,274,513,710,579,441,250,4517,Rest of WA
6GHOB,143,3596,6343,7243,7700,6264,3137,799,35228,942,3139,2081,1842,1184,526,127,19,9857,27,167,459,759,390,160,92,60,2107,19269,5069,3396,1853,722,463,249,29,0,0,6701,587,321,151,147,201,137,100,28,1670,416,344,131,106,58,39,8,0,1109,1322,1437,419,351,357,211,77,22,4193,446,1322,1467,1928,2229,1663,981,511,10535,462,641,697,412,378,345,257,88,23,3313,37,111,66,38,20,53,36,9,4,373,19766,13096,12937,12222,13234,12769,9317,4619,1466,99426,294,4684,7177,7609,7731,5553,2227,372,35644,1420,3246,2154,1764,1041,368,68,9,10068,463,1623,2276,2314,1076,472,333,216,8767,18252,4743,2348,957,338,238,154,32,3,0,4061,447,225,74,152,336,295,257,147,1933,Greater Hobart
6RTAS,278,4047,7257,9776,11430,10086,4787,1010,48664,1301,3273,2441,2321,1642,775,176,33,11964,49,217,537,756,447,207,144,71,2430,23730,5445,5031,1864,906,633,264,43,0,0,8737,633,291,128,216,234,183,114,41,1840,390,245,143,120,95,46,20,7,1076,1053,829,325,438,463,364,119,27,3621,722,1555,1805,2966,3537,2852,1624,649,15711,578,907,815,516,614,691,462,182,53,4812,28,99,116,42,23,31,24,11,6,377,24338,15913,13239,14084,17862,18835,15049,7184,1903,128402,494,5414,8424,10775,11552,8896,3253,468,49276,1963,3389,2502,2299,1380,556,124,19,12223,631,1933,2707,2559,1000,524,479,272,10109,22603,5357,3034,945,389,331,225,37,0,0,4965,448,149,65,170,342,349,237,158,1926,Rest of Tas.
7RNTE,555,2240,2496,2347,1812,839,212,35,10544,357,1069,832,630,391,122,22,0,3423,36,108,164,185,118,71,22,6,713,9833,1029,1738,774,263,106,21,0,0,0,2905,1115,685,438,377,198,121,59,12,3008,146,135,73,64,47,21,6,0,498,205,349,151,146,108,45,10,3,1023,175,463,413,658,686,416,143,22,2976,619,373,508,479,606,1275,1527,265,13,5674,40,113,117,40,58,62,45,16,0,499,10495,5839,6455,5351,5187,4729,3215,753,101,42110,819,2670,2602,2328,1597,516,119,12,10661,486,1218,826,629,302,89,19,4,3570,310,760,806,682,398,187,78,19,3249,9167,927,1277,496,186,105,31,3,0,0,2103,824,504,351,442,429,256,119,40,2957,Rest of NT
7GDAR,146,3354,5081,4372,3363,1973,621,83,18994,720,2749,1501,1249,706,218,41,4,7188,23,91,231,334,217,102,34,14,1041,12501,2266,2127,961,344,183,39,3,0,0,3654,456,402,173,134,123,87,58,20,1456,368,653,260,183,112,55,11,4,1649,652,1357,532,435,305,155,38,6,3480,266,867,809,1031,1046,693,234,63,4999,388,308,572,501,568,823,989,286,44,4470,39,77,153,63,60,94,86,18,4,593,12929,7416,11147,9475,8556,6826,4366,1339,239,62297,405,4561,5350,4269,2965,1429,332,33,19344,1155,2849,1470,1192,566,162,17,0,7407,176,631,991,949,431,213,122,45,3556,11967,2194,1243,514,159,73,35,8,0,0,2038,376,252,106,164,295,221,149,52,1608,Greater Darwin
8ACTE,273,10063,16867,14690,12067,8987,4032,1018,68005,1570,6014,3343,2471,1427,562,121,25,15539,42,169,612,1019,599,232,107,74,2851,36287,9259,5574,3221,1088,589,239,29,0,0,10743,1142,875,277,267,249,153,92,67,3119,961,960,341,179,99,31,9,7,2587,3101,3729,838,550,414,193,82,24,8930,844,3166,2704,2842,2638,1816,951,502,15471,572,811,1110,763,689,642,398,146,47,5183,130,336,209,141,114,220,230,28,7,1408,36987,23910,29525,26978,23420,18598,12639,5565,1770,179379,708,13477,17381,14551,11489,7761,2899,487,68745,2362,6197,3280,2393,1197,398,68,7,15910,303,1462,2966,3457,1685,673,463,266,11280,34040,9198,4010,1941,522,309,169,39,0,0,6998,910,631,218,272,595,588,392,261,3863,Australian Capital Territory
9OTER,3,64,138,139,155,139,41,14,695,10,15,44,39,21,7,3,0,146,0,0,6,11,12,7,3,0,38,372,53,63,27,13,6,0,0,0,0,116,3,4,3,6,3,3,6,3,33,0,0,0,3,3,0,0,0,9,0,4,0,4,0,0,3,0,16,10,9,22,46,54,34,16,6,196,11,5,23,10,15,21,18,8,0,110,3,3,3,7,0,3,6,0,0,32,382,150,168,248,267,280,209,79,26,1813,10,103,154,149,150,102,30,4,695,11,26,44,39,21,7,0,0,151,4,13,22,34,17,11,7,3,109,354,58,32,20,7,11,3,0,0,0,73,12,4,7,5,9,15,5,0,52,Other Territories
