gcc_name16,gcc_code16,f_china_0_4_yrs,f_china_5_14_yrs,f_china_15_24_yrs,f_china_25_44_yrs,f_china_45_54_yrs,f_china_55_64_yrs,f_china_65_74_yrs,f_china_75_84_yrs,f_china_85_yrs_ov,f_china_tot,f_croatia_0_4_yrs,f_croatia_5_14_yrs,f_croatia_15_24_yrs,f_croatia_25_44_yrs,f_croatia_45_54_yrs,f_croatia_55_64_yrs,f_croatia_65_74_yrs,f_croatia_75_84_yrs,f_croatia_85_yrs_ov,f_croatia_tot,f_egypt_0_4_yrs,f_egypt_5_14_yrs,f_egypt_15_24_yrs,f_egypt_25_44_yrs,f_egypt_45_54_yrs,f_egypt_55_64_yrs,f_egypt_65_74_yrs,f_egypt_75_84_yrs,f_egypt_85_yrs_ov,f_egypt_tot,f_england_0_4_yrs,f_england_5_14_yrs,f_england_15_24_yrs,f_england_25_44_yrs,f_england_45_54_yrs,f_england_55_64_yrs,f_england_65_74_yrs,f_england_75_84_yrs,f_england_85_yrs_ov,f_england_tot,f_fiji_0_4_yrs,f_fiji_5_14_yrs,f_fiji_15_24_yrs,f_fiji_25_44_yrs,f_fiji_45_54_yrs,f_fiji_55_64_yrs,f_fiji_65_74_yrs,f_fiji_75_84_yrs,f_fiji_85_yrs_ov,f_fiji_tot,f_france_0_4_yrs,f_france_5_14_yrs,f_france_15_24_yrs,f_france_25_44_yrs,f_france_45_54_yrs,f_france_55_64_yrs,f_france_65_74_yrs,f_france_75_84_yrs,f_france_85_yrs_ov,f_france_tot,f_germany_0_4_yrs,f_germany_5_14_yrs,f_germany_15_24_yrs,f_germany_25_44_yrs,f_germany_45_54_yrs,f_germany_55_64_yrs,f_germany_65_74_yrs,f_germany_75_84_yrs,f_germany_85_yrs_ov,f_germany_tot,f_greece_0_4_yrs,f_greece_5_14_yrs,f_greece_15_24_yrs,f_greece_25_44_yrs,f_greece_45_54_yrs,f_greece_55_64_yrs,f_greece_65_74_yrs,f_greece_75_84_yrs,f_greece_85_yrs_ov,f_greece_tot,f_hong_kong_0_4_yrs,f_hong_kong_5_14_yrs,f_hong_kong_15_24_yrs,f_hong_kong_25_44_yrs,f_hong_kong_45_54_yrs,f_hong_kong_55_64_yrs,f_hong_kong_65_74_yrs,f_hong_kong_75_84_yrs,f_hong_kong_85_yrs_ov,f_hong_kong_tot,f_india_0_4_yrs,f_india_5_14_yrs,f_india_15_24_yrs,f_india_25_44_yrs,f_india_45_54_yrs,f_india_55_64_yrs,f_india_65_74_yrs,f_india_75_84_yrs,f_india_85_yrs_ov,f_india_tot,f_indonesia_0_4_yrs,f_indonesia_5_14_yrs,f_indonesia_15_24_yrs,f_indonesia_25_44_yrs,f_indonesia_45_54_yrs,f_indonesia_55_64_yrs,f_indonesia_65_74_yrs,f_indonesia_75_84_yrs,f_indonesia_85_yrs_ov,f_indonesia_tot,f_iran_0_4_yrs,f_iran_5_14_yrs,f_iran_15_24_yrs,f_iran_25_44_yrs,f_iran_45_54_yrs,f_iran_55_64_yrs,f_iran_65_74_yrs,f_iran_75_84_yrs,f_iran_85_yrs_ov,f_iran_tot,f_iraq_0_4_yrs,f_iraq_5_14_yrs,f_iraq_15_24_yrs,f_iraq_25_44_yrs,f_iraq_45_54_yrs,f_iraq_55_64_yrs,f_iraq_65_74_yrs,f_iraq_75_84_yrs,f_iraq_85_yrs_ov,f_iraq_tot,f_ireland_0_4_yrs,f_ireland_5_14_yrs,f_ireland_15_24_yrs,f_ireland_25_44_yrs,f_ireland_45_54_yrs,f_ireland_55_64_yrs,f_ireland_65_74_yrs,f_ireland_75_84_yrs,f_ireland_85_yrs_ov,f_ireland_tot,f_italy_0_4_yrs,f_italy_5_14_yrs,f_italy_15_24_yrs,f_italy_25_44_yrs,f_italy_45_54_yrs,f_italy_55_64_yrs,f_italy_65_74_yrs,f_italy_75_84_yrs,f_italy_85_yrs_ov,f_italy_tot,f_japan_0_4_yrs,f_japan_5_14_yrs,f_japan_15_24_yrs,f_japan_25_44_yrs,f_japan_45_54_yrs,f_japan_55_64_yrs,f_japan_65_74_yrs,f_japan_75_84_yrs,f_japan_85_yrs_ov,f_japan_tot,f_korea_south_0_4_yrs,f_korea_south_5_14_yrs,f_korea_south_15_24_yrs,f_korea_south_25_44_yrs,f_korea_south_45_54_yrs,f_korea_south_55_64_yrs,f_korea_south_65_74_yrs,f_korea_south_75_84_yrs,f_korea_south_85_yrs_ov,f_korea_south_tot,f_lebanon_0_4_yrs,f_lebanon_5_14_yrs,f_lebanon_15_24_yrs,f_lebanon_25_44_yrs,f_lebanon_45_54_yrs,f_lebanon_55_64_yrs,f_lebanon_65_74_yrs,f_lebanon_75_84_yrs,f_lebanon_85_yrs_ov,f_lebanon_tot,f_malaysia_0_4_yrs,f_malaysia_5_14_yrs,f_malaysia_15_24_yrs,f_malaysia_25_44_yrs,f_malaysia_45_54_yrs,f_malaysia_55_64_yrs,f_malaysia_65_74_yrs,f_malaysia_75_84_yrs,f_malaysia_85_yrs_ov,f_malaysia_tot,f_malta_0_4_yrs,f_malta_5_14_yrs,f_malta_15_24_yrs,f_malta_25_44_yrs,f_malta_45_54_yrs,f_malta_55_64_yrs,f_malta_65_74_yrs,f_malta_75_84_yrs,f_malta_85_yrs_ov,f_malta_tot
Rest of NSW,1RNSW,37,179,1032,2067,746,490,228,124,69,4974,0,0,21,92,208,232,287,282,60,1189,15,41,19,128,36,83,133,49,34,534,120,912,972,4172,6605,7526,9346,5709,2390,37763,7,34,91,402,260,227,134,52,12,1221,4,34,45,267,171,151,117,62,29,898,7,47,133,648,558,952,2144,844,542,5882,0,9,6,55,75,201,348,364,138,1199,11,35,130,252,131,208,61,32,7,870,122,453,391,3484,505,450,307,175,76,5960,17,48,77,455,178,125,99,43,26,1075,9,39,54,311,59,50,19,8,3,559,26,75,48,195,61,36,12,7,0,470,22,172,56,516,311,278,318,210,72,1955,3,21,47,192,280,653,1086,1195,633,4120,15,64,96,462,200,108,67,32,18,1063,15,52,166,664,141,60,25,3,3,1126,3,15,35,148,156,122,83,27,26,613,24,62,160,562,352,294,172,75,14,1718,0,3,4,23,63,250,430,173,50,998
Greater Sydney,1GSYD,760,2616,21556,49927,20510,16122,7397,4911,1986,125767,3,19,135,842,1072,1420,1662,1315,340,6810,93,425,379,1947,1215,1662,1689,1054,502,8966,636,3766,3732,18563,13739,11280,10802,6236,3189,71944,30,293,1010,6836,3619,2980,1481,617,153,17018,43,230,485,2355,575,348,297,154,107,4593,48,190,530,2540,1243,1000,2395,1072,770,9791,33,194,260,720,924,2096,4515,4428,1116,14283,190,601,2136,7082,3522,5046,1869,574,167,21182,1710,3907,4497,36242,6190,4057,2304,1214,460,60580,82,423,2429,7916,2292,1709,1024,391,157,16429,46,459,814,4851,1435,1230,628,325,151,9947,130,1254,2569,7622,3323,2258,1253,636,195,19232,51,415,321,4406,1303,923,906,509,237,9067,25,143,339,1866,1615,2997,5036,5123,2430,19575,118,402,669,4153,1788,676,372,144,63,8384,198,1015,3170,12590,4462,2850,1359,622,192,26465,93,413,1035,7418,6791,5964,3239,1573,610,27132,95,449,1434,5506,2367,2741,1867,571,180,15219,0,11,38,205,378,1397,2401,1273,487,6179
Rest of Vic.,2RVIC,16,116,432,1111,360,198,103,35,14,2382,0,3,12,82,165,211,326,254,76,1136,0,35,15,58,18,36,51,16,8,235,59,504,424,2006,3102,4302,5085,2933,1231,19641,3,19,36,150,76,59,21,11,0,382,4,17,33,125,65,55,52,27,7,381,0,31,50,314,250,477,1220,534,331,3206,0,5,8,27,57,142,246,211,55,746,3,16,67,161,46,53,25,3,4,385,98,270,265,2501,240,231,142,79,41,3861,8,24,40,230,95,41,44,24,13,520,7,76,61,186,29,24,14,7,0,398,13,36,53,230,57,15,9,3,0,426,6,63,37,258,146,180,197,123,52,1066,3,9,17,80,203,557,984,1034,491,3381,5,39,30,226,74,31,22,8,5,439,3,15,54,212,14,11,0,3,0,322,0,3,4,25,30,22,10,10,3,112,17,57,128,512,214,194,69,25,5,1220,0,3,4,23,39,170,293,125,26,693
Greater Melbourne,2GMEL,601,2970,21946,36225,11795,8302,3371,2202,832,88242,3,17,91,777,1119,1443,1696,1341,320,6814,62,403,325,1212,776,1212,1259,752,367,6362,502,3095,3342,13337,12142,11369,11284,6936,3318,65323,11,140,363,2341,1138,811,420,198,39,5461,31,149,306,1334,433,265,276,151,83,3030,40,166,553,1936,1166,1126,3028,1567,983,10568,34,339,382,1046,1941,3811,7515,7227,1799,24105,124,400,1540,4364,1579,1917,741,234,65,10968,1657,4353,6065,45962,6187,4598,2798,1299,525,73442,92,310,2018,5013,895,591,403,154,57,9530,90,720,778,3963,728,483,239,102,27,7125,73,660,1148,3849,1437,809,399,208,56,8635,55,333,225,2732,832,751,723,502,255,6402,41,197,366,1598,2141,5334,8917,9473,4133,32202,68,313,560,2982,861,285,214,76,65,5432,63,429,1360,4362,914,345,134,43,12,7670,44,142,407,2421,1990,1587,822,389,121,7930,281,1196,4252,9796,3504,3687,1996,665,197,25565,3,23,77,371,573,2079,3025,1615,536,8295
Greater Brisbane,3GBRI,168,624,5237,9228,2449,1604,780,467,169,20727,0,3,27,172,203,175,175,156,42,962,14,92,57,137,47,63,106,46,22,583,272,2489,3009,8248,9127,7200,7349,4219,1740,43652,16,132,386,2079,1030,855,398,174,35,5103,14,82,150,635,252,141,137,74,28,1523,15,87,263,1065,703,626,1248,450,258,4712,6,21,30,75,70,149,285,289,125,1051,38,153,871,1491,548,712,262,94,27,4189,335,1105,1498,10007,1309,860,547,268,113,16048,34,177,373,1196,386,251,221,126,47,2815,31,233,251,1325,228,128,72,27,14,2301,41,124,132,403,120,62,19,4,3,917,31,257,133,1321,436,347,319,220,105,3167,15,45,89,384,222,386,696,725,382,2938,46,154,455,1883,568,184,104,49,43,3481,82,396,1038,3755,747,254,97,35,3,6404,4,20,11,109,111,91,60,21,6,430,61,262,1091,2064,947,816,466,153,44,5900,0,4,10,33,40,96,179,72,21,451
Rest of Qld,3RQLD,56,267,1083,2832,1075,562,263,129,51,6314,0,8,14,91,132,171,176,147,40,780,12,47,13,99,51,85,105,64,46,512,210,1913,2531,7450,8834,7950,9210,5118,2029,45248,11,85,169,571,371,277,134,74,13,1702,6,49,143,462,201,179,176,90,26,1329,16,79,276,1089,802,888,1507,840,347,5857,0,7,13,56,49,67,141,117,30,490,13,78,282,482,234,243,70,29,5,1431,134,467,563,3687,515,335,259,145,62,6168,21,83,135,656,242,207,151,79,60,1638,3,46,49,323,80,73,51,16,12,655,40,80,38,170,32,19,5,7,0,392,21,156,122,673,334,255,293,178,72,2103,5,46,84,304,194,376,722,706,430,2862,47,257,415,2709,1032,308,178,66,28,5037,33,163,502,1813,409,132,64,21,3,3151,0,10,0,44,50,32,30,14,0,188,21,85,215,758,527,412,201,81,24,2326,0,0,3,25,44,150,326,133,56,744
Rest of SA,4RSAU,0,23,35,185,64,30,13,3,0,343,0,0,0,3,12,27,45,42,7,134,0,0,0,10,0,5,4,6,0,25,10,109,128,525,1593,2152,2257,1400,449,8629,0,7,7,26,22,5,3,0,0,77,0,3,8,23,25,11,25,8,4,109,0,0,13,88,106,154,337,183,109,985,0,3,3,5,16,46,92,115,25,309,0,3,9,38,4,3,0,3,0,59,27,52,27,338,61,55,43,12,8,618,0,3,8,53,13,14,10,3,0,103,0,0,3,10,0,0,0,0,0,17,0,0,0,5,0,3,0,0,0,7,0,8,4,51,25,24,43,29,9,184,0,3,12,13,29,67,133,181,71,501,0,0,5,38,15,8,8,0,0,77,0,3,9,57,3,0,3,0,0,81,0,3,0,6,3,3,0,0,0,22,0,3,8,69,29,20,13,7,0,154,0,0,0,0,5,18,26,11,3,66
Greater Adelaide,4GADE,100,507,3418,6227,1287,928,418,190,70,13147,0,3,29,180,202,248,275,258,82,1280,14,76,37,165,58,81,112,66,47,669,124,1345,1859,4685,8729,8716,7812,5605,2553,41427,0,16,41,218,112,95,61,26,4,561,11,32,50,187,127,81,67,48,22,626,3,42,119,447,418,621,1445,762,574,4435,0,28,53,135,195,645,1212,1456,467,4191,21,57,502,596,141,232,100,24,9,1679,293,1217,1053,7776,828,514,373,207,89,12352,33,77,116,568,129,77,81,36,13,1133,23,203,299,1034,221,153,86,43,21,2077,11,52,115,282,108,46,25,7,3,655,9,88,57,298,196,225,211,229,86,1398,10,31,69,238,492,1368,2516,2819,1327,8870,12,51,120,521,165,49,42,15,7,984,27,190,328,1031,249,63,21,6,0,1916,6,12,50,186,144,149,105,46,26,725,54,205,848,1563,498,451,343,89,38,4093,0,0,6,27,32,150,249,135,64,653
Greater Perth,5GPER,149,637,2151,6892,2115,1261,469,260,127,14062,0,15,34,368,310,488,439,360,136,2159,16,150,57,251,96,125,162,84,55,992,459,4293,5554,17444,18116,14128,12598,7639,2995,83230,0,30,32,226,109,91,34,14,4,537,18,68,141,805,239,110,100,63,23,1556,18,95,281,1266,721,562,1084,387,276,4693,3,25,13,83,72,142,266,360,164,1125,36,122,477,1340,374,419,177,69,22,3037,418,1465,1925,11592,2159,1748,1503,828,359,21996,65,365,770,3106,906,599,346,130,63,6348,30,197,221,1448,307,212,125,49,23,2616,32,155,233,754,222,98,41,9,4,1546,63,542,446,3690,878,831,634,413,164,7664,26,109,171,851,573,1159,2262,2121,1110,8371,41,136,198,1565,489,166,107,43,13,2766,47,184,391,2086,345,156,48,14,4,3276,6,23,26,158,102,97,42,23,9,473,95,680,1910,5524,2378,2441,1515,597,162,15304,0,0,8,25,46,106,127,52,15,379
Rest of WA,5RWAU,5,27,30,258,107,38,13,10,3,494,0,0,3,14,15,35,20,12,3,107,0,0,0,20,0,5,8,0,0,45,37,364,394,2266,2897,2869,2695,1453,520,13500,0,17,8,64,27,14,9,4,0,146,0,4,35,138,36,26,27,9,3,282,3,21,64,343,165,160,360,79,50,1243,0,0,0,8,4,12,8,18,0,54,0,3,12,78,17,24,4,0,0,143,30,96,64,651,101,104,76,56,19,1204,15,32,34,281,86,32,24,11,9,519,0,5,4,44,3,3,3,0,0,61,0,0,4,22,6,3,0,4,0,34,8,69,48,398,87,100,83,37,22,851,0,9,24,84,44,93,199,189,112,748,0,15,13,144,28,8,3,0,3,216,6,7,41,155,13,3,0,0,0,225,0,0,0,6,6,8,4,3,0,24,3,8,22,168,94,90,41,18,3,451,0,0,0,0,7,9,15,6,0,40
