gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,15532,31603,47803,4692311.5,8471549.0,1809913.5,14973774.0,6930400.5,21904174.0
1RNSW,Rest of NSW,11035,4007,15249,3148882.5,876359.5,592553.2,4617795.0,2369659.5,6987454.5
2GMEL,Greater Melbourne,23050,33048,56667,6955892.5,8366057.0,1852864.8,17174814.0,7427418.0,24602232.0
2RVIC,Rest of Vic.,10001,888,10969,2673142.2,166533.0,482325.9,3322001.2,1197621.2,4519622.5
3GBRI,Greater Brisbane,11242,17949,29550,2959478.2,4250253.5,835331.9,8045064.0,3282552.5,11327616.0
3RQLD,Rest of Qld,11829,5182,17100,3258657.0,1225699.8,541284.1,5025641.0,2764762.0,7790403.0
4GADE,Greater Adelaide,5728,3275,9123,1316119.0,670783.7,304837.6,2291740.5,1176786.9,3468527.2
4RSAU,Rest of SA,2166,56,2238,491663.9,10687.7,78442.2,580793.7,271595.2,852388.9
5GPER,Greater Perth,19792,8400,28492,5312060.0,2124576.8,576457.4,8013094.5,3341468.8,11354563.0
5RWAU,Rest of WA,3799,371,4193,1193061.5,112437.3,142891.4,1448390.2,829067.5,2277457.8
6GHOB,Greater Hobart,1049,206,1265,250071.0,37970.1,54922.1,342963.3,241134.8,584098.1
6RTAS,Rest of Tas.,1342,239,1602,321259.1,38972.0,65402.5,425633.5,237380.5,663014.0
7GDAR,Greater Darwin,822,822,1659,305478.3,222055.3,64008.7,591542.3,721948.7,1313491.0
7RNTE,Rest of NT,74,29,154,20330.9,9114.1,24653.2,54098.1,161717.3,215815.4
8ACTE,Australian Capital Territory,1305,2943,4255,457848.3,674377.7,106490.1,1238716.1,686445.9,1925162.0
