gcc_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total,gcc_name16
1GSYD,97598,157795,74398,49490,107223,35459,14260,536230,50738,92178,58718,43949,92065,30747,7914,376314,24751,40222,25891,20768,66598,24342,2083,204653,10699,12216,6126,4508,45952,16249,345,96096,932510,963490,407344,317199,988533,307456,76047,3992576,Greater Sydney
1RNSW,59768,110793,58154,39943,62801,31655,1598,364722,32411,68610,52223,45886,68742,34254,1050,303178,16240,29222,21638,21811,50446,29077,411,168858,6961,8473,4688,3999,30798,16312,104,71337,425547,565169,282127,227648,442303,220595,12580,2175967,Rest of NSW
2GMEL,90182,145868,67768,42840,94119,32286,12404,485456,45712,83333,53694,39894,82744,29284,6563,341225,23093,37424,24587,19664,61313,24761,1460,192296,9558,11313,5813,4174,42286,15019,241,88400,891646,922809,381329,289846,876999,278733,60700,3702060,Greater Melbourne
2RVIC,32209,59577,31050,20958,33234,16945,802,194776,16385,34112,26329,24263,35003,18164,515,154769,7677,14111,10822,11097,25653,15372,154,84886,3358,4456,2622,2344,17160,8302,71,38312,231272,298977,148754,123541,231449,118722,7076,1159788,Rest of Vic.
3GBRI,45164,77884,37147,23597,41731,15895,4459,245886,21757,43998,31293,25311,39678,15294,2711,180052,9536,16753,12173,10642,26581,12180,789,88655,4136,4782,2495,1956,16798,8362,143,38678,440137,498189,209196,156089,368232,136937,27672,1836450,Greater Brisbane
3RQLD,54522,96071,47490,33493,58715,31877,5925,328096,30589,60423,43630,39210,64712,32714,5628,276904,13434,23379,16641,17029,41176,22882,2354,136893,4847,5658,3135,2719,21815,11083,424,49677,420422,530619,245552,201492,413977,222019,47934,2082014,Rest of Qld
4GADE,28598,51969,24237,13815,27665,8649,2177,157113,14133,29957,21680,15781,26893,8712,1214,118372,7276,13052,9718,7895,21171,8123,272,67513,3390,4490,2486,1794,16714,5140,60,34082,239974,295136,130461,91452,231102,68549,10830,1067496,Greater Adelaide
4RSAU,9048,16600,9020,6242,10052,4827,211,55999,4826,10114,8291,7709,10631,5029,128,46731,2133,4068,3392,3432,7283,3835,48,24199,957,1215,752,655,4592,2053,6,10225,57453,81114,42974,35678,62183,31967,2289,313653,Rest of SA
5GPER,37957,66284,31729,20750,37339,13956,4501,212510,18170,37658,25131,20574,34211,13072,2543,151364,8672,15902,11043,9768,23997,11709,682,81769,3538,4613,2595,1971,14336,7494,123,34670,361247,411272,176213,142773,327658,122593,22208,1563967,Greater Perth
5RWAU,12118,20758,10665,7751,15846,9747,839,77719,6086,11747,8483,8191,12743,7353,475,55073,2337,4040,3008,3265,6487,4342,128,23603,804,1047,603,543,3189,1698,16,7901,87678,112134,52727,47246,99113,65685,6515,471102,Rest of WA
6GHOB,5114,9767,4465,2554,4753,1916,216,28785,2368,5247,3909,3034,4681,1814,103,21149,1177,2227,1622,1465,3482,1585,22,11584,547,758,411,314,2341,825,13,5211,39276,51603,23185,15913,35996,13618,1497,181077,Greater Hobart
6RTAS,6543,12060,6690,4858,7683,3248,136,41226,3083,6945,5624,5508,7783,3676,82,32694,1473,2632,2205,2252,5381,2790,31,16763,619,736,437,394,2992,1214,14,6419,43158,60005,31315,26535,48726,21202,1240,232190,Rest of Tas.
7GDAR,2863,4781,1834,1071,3424,2519,486,16976,1280,2234,1276,938,2543,1587,320,10158,348,617,380,282,1085,592,73,3372,99,101,52,31,348,137,9,781,26111,30811,11014,7761,25599,18230,4665,124188,Greater Darwin
7RNTE,2358,3203,1247,673,2648,2246,453,12829,1100,1551,723,500,2172,1425,210,7671,261,307,154,138,649,412,56,1978,42,43,29,13,152,83,5,367,17974,19165,7553,4513,16246,14810,3771,84027,Rest of NT
8ACTE,7832,15514,6816,3189,5235,2605,790,41982,3776,8821,5553,3531,4656,2051,496,28878,1709,3402,2245,1617,3281,1681,74,14013,732,961,527,361,2194,1325,18,6127,82352,101613,39005,22395,53607,22522,4538,326033,Australian Capital Territory
9OTER,130,225,91,78,154,145,11,840,85,145,77,59,131,97,15,617,18,48,26,24,67,37,16,239,8,8,3,9,25,9,3,66,740,1051,405,340,877,951,107,4460,Other Territories
