gcc_name16,gcc_code16,m_agriforestfish_0,m_agriforestfish_1_15,m_agriforestfish_16_24,m_agriforestfish_25_34,m_agriforestfish_35_39,m_agriforestfish_40,m_agriforestfish_41_48,m_agriforestfish_49over,m_agriforestfish_hours_ns,m_agriforestfish_tot,m_min_0,m_min_1_15,m_min_16_24,m_min_25_34,m_min_35_39,m_min_40,m_min_41_48,m_min_49over,m_min_hours_ns,m_min_tot,m_mnfg_0,m_mnfg_1_15,m_mnfg_16_24,m_mnfg_25_34,m_mnfg_35_39,m_mnfg_40,m_mnfg_41_48,m_mnfg_49over,m_mnfg_hours_ns,m_mnfg_tot,m_egw_ws_0,m_egw_ws_1_15,m_egw_ws_16_24,m_egw_ws_25_34,m_egw_ws_35_39,m_egw_ws_40,m_egw_ws_41_48,m_egw_ws_49over,m_egw_ws_hours_ns,m_egw_ws_tot,m_cnstn_0,m_cnstn_1_15,m_cnstn_16_24,m_cnstn_25_34,m_cnstn_35_39,m_cnstn_40,m_cnstn_41_48,m_cnstn_49over,m_cnstn_hours_ns,m_cnstn_tot,m_wtrade_0,m_wtrade_1_15,m_wtrade_16_24,m_wtrade_25_34,m_wtrade_35_39,m_wtrade_40,m_wtrade_41_48,m_wtrade_49over,m_wtrade_hours_ns,m_wtrade_tot,m_rtrade_0,m_rtrade_1_15,m_rtrade_16_24,m_rtrade_25_34,m_rtrade_35_39,m_rtrade_40,m_rtrade_41_48,m_rtrade_49over,m_rtrade_hours_ns,m_rtrade_tot,m_accomfoods_0,m_accomfoods_1_15,m_accomfoods_16_24,m_accomfoods_25_34,m_accomfoods_35_39,m_accomfoods_40,m_accomfoods_41_48,m_accomfoods_49over,m_accomfoods_hours_ns,m_accomfoods_tot,m_transpostwhse_0,m_transpostwhse_1_15,m_transpostwhse_16_24,m_transpostwhse_25_34,m_transpostwhse_35_39,m_transpostwhse_40,m_transpostwhse_41_48,m_transpostwhse_49over,m_transpostwhse_hours_ns,m_transpostwhse_tot,m_infomedtelecom_0,m_infomedtelecom_1_15,m_infomedtelecom_16_24,m_infomedtelecom_25_34,m_infomedtelecom_35_39,m_infomedtelecom_40,m_infomedtelecom_41_48,m_infomedtelecom_49over,m_infomedtelecom_hours_ns,m_infomedtelecom_tot,m_fininsurs_0,m_fininsurs_1_15,m_fininsurs_16_24,m_fininsurs_25_34,m_fininsurs_35_39,m_fininsurs_40,m_fininsurs_41_48,m_fininsurs_49over,m_fininsurs_hours_ns,m_fininsurs_tot,m_renthirreserv_0,m_renthirreserv_1_15,m_renthirreserv_16_24,m_renthirreserv_25_34,m_renthirreserv_35_39,m_renthirreserv_40,m_renthirreserv_41_48,m_renthirreserv_49over,m_renthirreserv_hours_ns,m_renthirreserv_tot,m_proscietechserv_0,m_proscietechserv_1_15,m_proscietechserv_16_24,m_proscietechserv_25_34,m_proscietechserv_35_39,m_proscietechserv_40,m_proscietechserv_41_48,m_proscietechserv_49over,m_proscietechserv_hours_ns,m_proscietechserv_tot,m_adminsupserv_0,m_adminsupserv_1_15,m_adminsupserv_16_24,m_adminsupserv_25_34,m_adminsupserv_35_39,m_adminsupserv_40,m_adminsupserv_41_48,m_adminsupserv_49over,m_adminsupserv_hours_ns,m_adminsupserv_tot,m_pubadmisafety_0,m_pubadmisafety_1_15,m_pubadmisafety_16_24,m_pubadmisafety_25_34,m_pubadmisafety_35_39,m_pubadmisafety_40,m_pubadmisafety_41_48,m_pubadmisafety_49over,m_pubadmisafety_hours_ns,m_pubadmisafety_tot,m_eductrain_0,m_eductrain_1_15,m_eductrain_16_24,m_eductrain_25_34,m_eductrain_35_39,m_eductrain_40,m_eductrain_41_48,m_eductrain_49over,m_eductrain_hours_ns,m_eductrain_tot,m_healthcaresoca_0,m_healthcaresoca_1_15,m_healthcaresoca_16_24,m_healthcaresoca_25_34,m_healthcaresoca_35_39,m_healthcaresoca_40,m_healthcaresoca_41_48,m_healthcaresoca_49over,m_healthcaresoca_hours_ns,m_healthcaresoca_tot,m_artrecserv_0,m_artrecserv_1_15,m_artrecserv_16_24,m_artrecserv_25_34,m_artrecserv_35_39,m_artrecserv_40,m_artrecserv_41_48,m_artrecserv_49over,m_artrecserv_hours_ns,m_artrecserv_tot,m_othserv_0,m_othserv_1_15,m_othserv_16_24,m_othserv_25_34,m_othserv_35_39,m_othserv_40,m_othserv_41_48,m_othserv_49over,m_othserv_hours_ns,m_othserv_tot,m_id_ns_0,m_id_ns_1_15,m_id_ns_16_24,m_id_ns_25_34,m_id_ns_35_39,m_id_ns_40,m_id_ns_41_48,m_id_ns_49over,m_id_ns_hours_ns,m_id_ns_tot
Rest of NSW,1RNSW,1291,2566,2430,3241,4188,7431,3783,19104,817,44854,1111,297,415,589,3201,3533,5117,9415,347,24019,1298,1470,1637,2674,12658,12677,8031,9390,530,50372,385,195,256,510,3690,3146,1508,1842,117,11648,2355,3487,4273,6196,13240,24446,10066,19667,1207,84946,329,685,557,737,3072,3760,2506,4038,140,15828,1295,7641,4287,4763,9253,6618,4557,7243,554,46214,1019,9670,4155,4221,4507,3536,2220,5425,560,35314,1438,2289,2477,2931,5148,5668,3953,10222,569,34686,157,459,298,367,1326,1374,707,1031,33,5740,234,372,294,412,1716,2182,1052,1766,63,8093,186,549,381,434,925,1383,887,2125,67,6936,541,1832,1421,1802,3973,5874,2975,6161,226,24800,539,2459,1687,2121,2776,2840,1133,1962,258,15781,1864,1379,1320,1859,15187,9523,7307,5877,450,44774,824,3210,2061,2532,5560,5155,2753,5032,268,27394,1184,2233,3028,4400,7269,6650,2487,4324,356,31920,274,1485,638,751,1328,1125,550,1091,107,7336,552,1460,1153,1484,5104,5843,3113,5480,261,24450,990,1955,1424,1646,4371,4987,2010,3968,5544,26896
Greater Sydney,1GSYD,117,537,513,553,919,1221,573,1533,112,6067,169,85,105,100,553,810,512,1432,36,3806,1431,2649,3463,3422,23906,22531,12385,17955,806,88549,296,255,324,378,3455,4160,1722,2941,140,13667,3087,6147,8857,10296,20845,48776,20038,39878,2488,160415,701,1540,1859,1760,11455,14621,6820,10794,364,49920,2048,13515,11293,8532,18492,17353,8646,15376,1196,96447,1677,14955,14296,7518,10841,9656,5411,10953,1116,76421,2342,4152,5273,6991,16476,19711,10420,20287,1322,86980,641,1629,1337,1514,8369,11652,4783,7940,270,38142,1438,1575,1806,2761,14753,24233,10161,19405,557,76689,330,1278,1183,1175,3204,6029,2924,6718,194,23036,1894,5693,5534,5623,18226,39993,15350,31882,878,125065,829,4154,5202,4067,7533,8642,3280,5520,531,39758,2391,2026,2208,2690,21057,16363,10966,9969,677,68336,1212,9125,4298,3952,10656,10573,5052,9194,543,54601,1486,4346,5346,6249,13886,14677,5504,10072,599,62173,527,3410,1917,2044,3151,4077,1772,3285,252,20428,699,2918,2851,3049,8493,10660,5198,8804,541,43215,1499,4555,4836,4083,12092,15593,5053,9933,13571,71216
Rest of Vic.,2RVIC,1138,2088,1673,2449,3015,5443,2882,14228,645,33560,300,96,82,80,389,514,665,1936,53,4131,1130,1218,1233,1914,9188,9748,6482,6444,395,37742,363,197,207,309,2036,1953,1150,1332,82,7641,1594,1786,1909,3242,7566,15097,6331,10634,720,48881,285,495,446,515,1975,2371,1620,2228,80,10024,803,4889,2202,2501,5186,4099,2811,3977,363,26828,567,5348,1827,1738,1998,1686,1084,2724,291,17265,841,1089,1171,1428,2603,3522,2486,5940,353,19428,107,318,162,205,866,753,512,616,32,3567,124,164,154,221,943,1337,714,1021,38,4708,95,209,145,164,435,619,403,987,32,3098,348,951,738,1047,2067,3144,1673,2971,105,13046,275,1344,923,969,1421,1336,569,1026,124,7999,1068,745,655,950,4955,5412,2921,2624,176,19512,425,1571,1076,1356,3084,2692,1813,2936,149,15105,691,1291,1415,2481,3205,3291,1500,2119,166,16158,180,981,406,457,841,707,385,725,62,4749,324,892,606,839,2602,3239,1472,2454,145,12577,693,1172,801,942,2454,3030,1138,2440,3218,15896
Greater Melbourne,2GMEL,248,668,673,723,1382,1763,770,1955,149,8327,204,93,66,68,331,705,431,1461,36,3394,2025,3333,3732,4764,32413,29779,16824,19989,1011,113873,300,324,365,486,3868,4373,2030,2871,135,14757,3366,4886,6352,9757,23179,48809,19439,33793,2169,151744,772,1776,1838,1967,10729,13228,6714,9396,319,46744,2033,16080,10074,8590,18241,16251,8981,14162,1075,95488,1371,16728,11338,6619,8507,7605,4737,9275,1064,67244,2226,3590,4878,6744,14934,18874,10687,17040,1214,80188,534,1401,1181,1388,6737,8535,3465,5085,232,28570,981,1076,1331,1847,9279,17348,6304,10802,363,49338,306,999,872,1021,2818,4172,2373,5558,169,18287,1806,5471,4557,5663,17073,34023,13525,24837,714,107676,837,4428,5005,4370,7662,7212,3095,4621,519,37747,1975,2331,2056,2683,14458,14642,7967,7128,481,53717,1093,8693,4206,4317,10717,10561,5651,9959,525,55715,1518,4089,4627,7143,11582,11245,5776,8447,574,54990,602,4784,2188,2356,3534,4293,1921,3530,260,23474,695,2755,2822,2974,8911,9914,4835,7367,496,40779,1522,4333,3920,3875,12223,13858,4753,8795,11620,64905
Greater Brisbane,3GBRI,136,416,439,603,831,1112,548,1960,86,6136,510,121,132,185,914,1739,1272,4447,89,9409,943,1256,1410,2290,14625,12120,7997,9659,455,50761,242,137,162,296,1730,2691,1298,2020,59,8636,1761,2649,3072,5045,10835,21331,11450,23004,1010,80149,364,692,635,926,5132,5499,3318,4655,164,21385,954,7264,4527,4661,8776,6642,4233,7251,462,44770,665,8850,4908,3553,3736,3011,2024,4327,457,31532,1463,1695,2494,3789,9071,9043,6036,11493,669,45756,200,543,387,497,2390,2174,1110,1692,70,9073,293,375,482,618,3684,4413,2041,3720,76,15705,168,660,532,746,1540,2170,1215,3388,91,10495,811,2378,1974,2361,7055,13723,6179,12184,259,46926,432,2127,2353,2092,3377,3208,1512,2500,201,17804,1649,1065,1154,1719,12325,10423,6105,5707,378,40520,666,3797,1856,2867,5667,5309,2782,5087,244,28278,959,2098,2302,3691,7822,6698,2885,4885,293,31631,235,1561,760,919,1446,1473,667,1238,78,8371,411,1409,1205,1575,4611,4927,2731,4270,219,21355,721,1835,1548,1745,5532,6011,2230,4813,4895,29336
Rest of Qld,3RQLD,813,1702,1442,2219,2909,5200,2804,16445,590,34124,2287,450,480,560,2176,2341,5934,17976,496,32679,1073,1327,1146,2077,10200,9932,7949,9935,459,44099,355,198,193,343,2303,2609,1462,2264,76,9796,2340,3239,3439,6284,11579,20371,11404,25403,1137,85193,359,635,503,752,3595,3802,2672,4336,127,16785,1083,7063,3741,4768,8510,5876,4225,7751,466,43488,839,8342,4259,4480,4828,3781,2693,6270,509,36010,1470,1738,1949,2936,5814,5899,4312,11060,561,35746,162,406,281,414,1391,1299,629,1217,55,5859,154,310,290,438,1492,2008,1016,2121,60,7883,169,649,503,733,1243,1835,1143,3176,102,9549,533,1650,1157,1530,3481,5543,2704,7198,169,23969,441,2098,1667,2189,2998,2741,1365,2897,252,16643,1594,1154,974,1536,10528,9047,5802,6013,425,37069,675,2535,1526,2996,4472,4302,2433,4649,241,23830,1001,1649,2166,3689,6439,6008,2308,4261,264,27796,248,1490,777,1058,1782,1449,724,1256,110,8892,490,1489,1154,1713,4544,5081,2779,5289,271,22806,997,1850,1393,1901,4215,4925,2159,5343,5199,27973
Rest of SA,4RSAU,650,866,798,1261,1759,3058,1785,6699,264,17143,272,73,103,75,270,293,537,2251,58,3936,382,332,323,558,2672,2849,1916,1937,107,11060,63,51,46,79,348,385,221,256,17,1465,320,442,455,846,1718,2458,1250,2072,107,9675,101,119,97,143,516,849,470,642,34,2977,205,1122,510,674,1167,877,758,1060,75,6445,127,1019,371,464,387,296,245,691,70,3658,231,357,375,421,657,693,540,1699,109,5088,14,34,16,23,131,90,55,100,10,477,29,26,20,20,102,176,80,138,3,604,24,52,26,41,111,96,74,179,9,617,58,211,101,139,280,344,206,449,24,1799,88,340,232,308,400,383,202,314,28,2296,205,149,108,200,1395,944,617,485,39,4149,102,306,193,313,502,437,342,614,21,2825,122,258,281,478,697,389,199,377,29,2841,20,141,69,61,118,75,47,96,13,642,96,256,169,227,751,792,416,676,39,3416,169,259,168,216,485,500,233,521,744,3288
Greater Adelaide,4GADE,164,446,327,484,824,849,492,1032,75,4685,326,70,78,82,366,592,478,1869,34,3898,651,1027,1037,1673,10674,7373,5258,4934,255,32879,167,145,124,219,1396,1466,891,1089,43,5541,1036,1768,1740,3312,6676,10733,5208,8668,482,39625,265,554,406,603,3192,2814,1913,2212,75,12036,717,5443,2668,3203,5651,3574,3012,3767,291,28328,426,5252,2423,2282,2013,1564,1399,2260,254,17864,701,914,1204,1882,4027,3446,2840,4266,242,19516,137,381,249,283,1559,1454,591,730,28,5411,201,229,237,424,2126,1938,1096,1442,42,7736,128,319,280,287,735,776,537,1076,38,4188,424,1414,966,1240,3921,5337,2605,4591,121,20620,257,1435,1230,1486,2200,1496,887,1092,115,10204,881,711,676,1152,7885,6196,3547,2721,192,23951,446,2225,1160,1363,3451,2979,1674,2948,115,16360,695,1571,1806,3149,5723,3034,1794,2698,178,20641,129,1022,415,591,706,712,346,564,53,4536,277,885,698,1002,3000,2765,1629,2106,109,12469,397,984,676,908,2440,2063,866,1605,2220,12148
Greater Perth,5GPER,167,400,362,393,596,813,397,1121,47,4300,2839,679,653,552,2476,5369,4500,18987,442,36503,883,1241,1158,1484,10259,9492,6398,7255,284,38454,259,144,131,238,1712,1857,1238,1691,53,7335,2243,2932,3495,5236,10191,21867,10136,20746,1039,77889,364,630,570,728,3646,4678,2618,3459,115,16800,875,7088,4204,3497,6678,5566,3364,5670,387,37334,739,7837,4298,2644,3212,2837,1821,3699,365,27446,1128,1524,1785,2920,5243,6564,4470,7701,495,31836,138,563,316,392,1415,1804,731,934,53,6350,228,360,327,539,2060,3596,1548,2523,62,11245,165,588,410,510,1126,1697,970,2255,43,7771,829,2041,1662,2007,5663,11542,5148,8852,213,37960,448,1900,1989,1646,2237,2777,1281,2295,163,14740,1274,1189,1048,1186,8435,8572,4723,4503,269,31198,616,3096,1542,1770,4303,4570,2308,3799,185,22193,647,1775,1923,2485,5601,4858,2213,3393,219,23114,227,1679,725,840,1400,1307,657,1035,79,7951,462,1281,1110,1302,3786,4666,2441,4005,181,19244,876,1836,1516,1527,4453,6142,2436,4931,4031,27743
Rest of WA,5RWAU,684,779,723,911,809,2357,1465,7359,247,15336,1717,447,374,241,742,1394,3832,13295,370,22409,388,364,256,451,1553,1938,1981,2426,90,9450,137,53,47,99,579,477,463,702,28,2592,891,703,710,1243,2113,3761,2076,7121,241,18859,101,134,83,121,449,745,564,1119,27,3350,209,1191,532,647,1266,1160,787,1399,76,7268,216,1121,470,581,685,556,434,1347,96,5509,485,459,450,541,769,1276,1133,3005,132,8244,23,80,21,43,124,134,96,117,5,649,27,33,19,40,92,230,154,218,3,813,53,99,66,92,157,269,149,544,18,1441,157,253,173,240,433,688,371,1590,33,3934,156,432,266,376,352,442,257,793,40,3119,409,240,207,269,1555,1866,1131,1157,81,6909,142,335,248,407,826,910,519,800,46,4241,171,307,336,492,912,766,340,549,30,3891,92,153,89,95,234,253,84,183,16,1192,173,287,224,308,727,1133,697,1556,91,5192,349,443,246,332,631,1015,535,1606,1184,6352
