gccsa_code16,m_emp_worked_ft_a_15_24_y,m_emp_worked_ft_a_25_34_y,m_emp_worked_ft_a_35_44_y,m_emp_worked_ft_a_45_54_y,m_emp_worked_ft_a_55_64_y,m_emp_worked_ft_a_65_and_over,m_emp_worked_ft_tot,m_emp_worked_pt_a_15_24_y,m_emp_worked_pt_a_25_34_y,m_emp_worked_pt_a_35_44_y,m_emp_worked_pt_a_45_54_y,m_emp_worked_pt_a_55_64_y,m_emp_worked_pt_a_65_and_over,m_emp_worked_pt_tot,m_eafw_a_15_24_y,m_eafw_a_25_34_y,m_eafw_a_35_44_y,m_eafw_a_45_54_y,m_eafw_a_55_64_y,m_eafw_a_65_over,m_eafw_tot,m_emp_tot_age_15_24_y,m_emp_tot_age_25_34_y,m_emp_tot_age_35_44_y,m_emp_tot_age_45_54_y,m_emp_tot_age_55_64_y,m_emp_tot_a_65_over,m_emp_tot_tot,m_unemp_a_15_24_y,m_unemp_a_25_34_y,m_unemp_a_35_44_y,m_unemp_a_45_54_y,m_unemp_a_55_64_y,m_unemp_a_65_over,m_unemp_tot,m_tot_lf_ag_15_24_y,m_tot_lf_ag_25_34_y,m_tot_lf_ag_35_44_y,m_tot_lf_ag_45_54_y,m_tot_lf_ag_55_64_y,m_tot_lf_ag_65_and_over,m_tot_lf_tot,m_not_in_lf_age_15_24_y,m_not_in_lf_age_25_34_y,m_not_in_lf_age_35_44_y,m_not_in_lf_age_45_54_y,m_not_in_lf_age_55_64_y,m_not_in_lf_a_65and_over,m_not_in_lf_tot,m_lf_stat_ns_a_15_24_y,m_lf_stat_ns_a_25_34_y,m_lf_stat_ns_a_35_44_y,m_lf_stat_ns_a_45_54_y,m_lf_stat_ns_a_55_64_y,m_lf_stat_ns_a_65and_over,m_lf_status_ns_tot,m_tot_age_15_24_y,m_tot_age_25_34_y,m_tot_age_35_44_y,m_tot_age_45_54_y,m_tot_age_55_64_y,m_tot_a_65_and_over,m_tot_tot,f_emp_worked_ft_age_15_24_y,f_emp_worked_ft_age_25_34_y,f_emp_worked_ft_age_35_44_y,f_emp_worked_ft_age_45_54_y,f_emp_worked_ft_age_55_64_y,f_emp_worked_ft_a_65_and_over,f_emp_worked_ft_tot,f_emp_worked_pt_age_15_24_y,f_emp_worked_pt_age_25_34_y,f_emp_worked_pt_age_35_44_y,f_emp_worked_pt_age_45_54_y,f_emp_worked_pt_age_55_64_y,f_emp_worked_pt_a_65_and_over,f_emp_worked_pt_tot,f_eafw_a_15_24_y,f_eafw_a_25_34_y,f_eafw_a_35_44_y,f_eafw_a_45_54_y,f_eafw_a_55_64_y,f_eafw_a_65_and_over,f_eafw_tot,f_emp_tot_a_15_24_y,f_emp_tot_a_25_34_y,f_emp_tot_a_35_44_y,f_emp_tot_a_45_54_y,f_emp_tot_a_55_64_y,f_emp_tot_a_65_and_over,f_emp_tot_tot,f_unemp_a_15_24_y,f_unemp_a_25_34_y,f_unemp_a_35_44_y,f_unemp_a_45_54_y,f_unemp_a_55_64_y,f_unemp_a_65_and_over,f_unemp_tot,f_tot_lf_a_15_24_y,f_tot_lf_a_25_34_y,f_tot_lf_a_35_44_y,f_tot_lf_a_45_54_y,f_tot_lf_a_55_64_y,f_tot_lf_a_65_and_over,f_tot_lf_tot,f_not_in_lf_a_15_24_y,f_not_in_lf_a_25_34_y,f_not_in_lf_a_35_44_y,f_not_in_lf_a_45_54_y,f_not_in_lf_a_55_64_y,f_not_in_lf_a_65and_over,f_not_in_lf_tot,f_lf_stat_ns_a_15_24_y,f_lf_stat_ns_a_25_34_y,f_lf_stat_ns_a_35_44_y,f_lf_stat_ns_a_45_54_y,f_lf_stat_ns_a_55_64_y,f_lf_stat_ns_a_65over,f_lf_status_ns_tot,f_tot_a_15_24_y,f_tot_a_25_34_y,f_tot_a_35_44_y,f_tot_a_45_54_y,f_tot_a_55_64_y,f_tot_a_65_over,f_tot_tot,p_emp_worked_ft_a_15_24_y,p_emp_worked_ft_a_25_34_y,p_emp_worked_ft_a_35_44_y,p_emp_worked_ft_a_45_54_y,p_emp_worked_ft_a_55_64_y,p_emp_worked_ft_a_65_over,p_emp_worked_ft_tot,p_emp_worked_pt_a_15_24_y,p_emp_worked_pt_a_25_34_y,p_emp_worked_pt_a_35_44_y,p_emp_worked_pt_a_45_54_y,p_emp_worked_pt_a_55_64_y,p_emp_worked_pt_a_65_over,p_emp_worked_pt_tot,p_emp_awa_fr_wk_a_15_24_y,p_emp_awa_fro_wk_a_25_34_y,p_emp_awa_fr_wk_a_35_44_y,p_emp_awa_fr_wk_a_45_54_y,p_emp_awa_fr_wk_a_55_64_y,p_emp_awa_fr_wk_ag_65_over,p_emp_awa_frop_wk_tot,p_emp_tot_a_15_24_y,p_emp_tot_a_25_34_y,p_emp_tot_a_35_44_y,p_emp_tot_a_45_54_y,p_emp_tot_a_55_64_y,p_emp_tot_a_65_over,p_emp_tot_tot,p_unemp_a_15_24_y,p_unemp_a_25_34_y,p_unemp_a_35_44_y,p_unemp_a_45_54_y,p_unemp_a_55_64_y,p_unemp_a_65_and_over,p_unemp_tot,p_tot_lf_ag_15_24_y,p_tot_lf_ag_25_34_y,p_tot_lf_ag_35_44_y,p_tot_lf_ag_45_54_y,p_tot_lf_ag_55_64_y,p_tot_lf_ag_65_and_over,p_tot_lf_tot,p_not_in_lf_age_15_24_y,p_not_in_lf_age_25_34_y,p_not_in_lf_age_35_44_y,p_not_in_lf_age_45_54_y,p_not_in_lf_age_55_64_y,p_not_in_lf_a_65and_over,p_not_in_lf_tot,p_lf_stat_ns_a_15_24_y,p_lf_stat_ns_a_25_34_y,p_lf_stat_ns_a_35_44_y,p_lf_stat_ns_a_45_54_y,p_lf_stat_ns_a_55_64_y,p_lf_stat_ns_a_65and_over,p_lf_status_ns_tot,p_tot_age_15_24_y,p_tot_age_25_34_y,p_tot_age_35_44_y,p_tot_age_45_54_y,p_tot_age_55_64_y,p_tot_a_65_and_over,p_tot_tot,gcc_name16
1RNSW,2846,3708,3007,2768,1494,210,14031,2000,981,684,718,550,196,5129,409,328,237,257,183,41,1467,5252,5014,3933,3738,2230,458,20627,2067,1036,691,557,319,26,4692,7320,6049,4628,4297,2551,482,25325,6253,2642,2233,2464,2549,3063,19203,306,246,180,174,164,196,1271,13872,8939,7044,6938,5267,3743,45797,1538,1976,1938,2140,1033,99,8722,3057,1916,1886,1730,950,164,9705,420,376,282,249,154,40,1526,5012,4269,4113,4116,2138,305,19951,1598,765,675,504,197,15,3749,6611,5039,4788,4620,2328,320,23699,6434,3796,2881,3222,3254,3718,23300,289,207,167,184,144,253,1238,13333,9040,7834,8021,5731,4285,48239,4379,5683,4950,4907,2528,312,22761,5061,2892,2573,2441,1498,367,14831,827,707,524,510,333,90,2987,10269,9281,8042,7853,4366,760,40579,3665,1802,1367,1064,514,37,8446,13930,11079,9412,8917,4875,801,49027,12683,6437,5118,5687,5803,6776,42510,594,450,347,352,311,452,2505,27205,17974,14880,14964,10992,8034,94041,Rest of NSW
1GSYD,1907,2521,2008,1766,894,145,9234,1132,441,327,288,215,98,2491,254,194,133,134,89,22,829,3287,3154,2466,2188,1194,264,12561,846,358,263,185,114,15,1779,4138,3509,2731,2370,1311,280,14341,2879,1034,867,968,922,1261,7933,126,76,64,68,57,73,459,7142,4620,3662,3404,2290,1615,22734,1243,1579,1387,1374,657,73,6312,1703,985,919,825,451,88,4977,207,213,145,108,75,26,778,3150,2776,2450,2312,1182,190,12064,694,314,228,214,55,6,1517,3849,3095,2686,2520,1241,196,13585,2848,1833,1429,1305,1273,1595,10285,114,83,62,85,59,103,506,6815,5008,4174,3910,2575,1898,24378,3150,4099,3392,3139,1545,217,15549,2835,1426,1246,1112,664,184,7473,454,405,279,247,167,57,1606,6439,5933,4920,4498,2378,459,24624,1545,676,495,391,174,21,3296,7985,6604,5412,4895,2553,480,27925,5733,2870,2303,2268,2199,2852,18221,243,156,123,150,114,180,972,13959,9631,7836,7313,4862,3510,47114,Greater Sydney
2RVIC,450,557,436,445,248,40,2173,323,145,99,93,107,23,794,81,61,45,43,34,8,269,850,764,576,583,387,67,3235,294,165,83,85,45,3,688,1150,935,667,670,430,73,3920,1002,377,381,420,400,506,3087,55,25,23,36,29,34,213,2209,1343,1075,1120,859,613,7216,221,265,293,304,159,16,1260,491,329,298,254,165,30,1568,68,79,41,40,35,15,279,784,665,636,593,358,64,3100,233,136,115,79,34,3,595,1018,801,748,671,393,64,3695,1068,674,455,555,492,576,3823,46,20,18,46,28,49,210,2136,1497,1221,1271,914,690,7731,669,820,731,751,406,55,3425,815,474,397,343,276,53,2355,151,137,84,81,71,27,547,1636,1427,1216,1175,746,130,6328,530,302,196,164,79,13,1285,2165,1731,1407,1339,826,141,7618,2071,1054,842,975,896,1077,6907,103,49,44,83,59,83,424,4341,2833,2294,2395,1775,1305,14944,Rest of Vic.
2GMEL,562,990,797,667,343,46,3411,430,213,124,114,102,46,1024,71,67,59,45,35,10,283,1066,1269,973,825,481,100,4719,293,131,94,65,30,3,616,1356,1405,1067,889,517,107,5330,954,402,325,359,264,385,2691,38,37,35,25,23,38,195,2344,1843,1425,1274,805,526,8222,363,630,427,443,191,34,2082,627,380,367,308,183,32,1904,65,97,64,42,26,11,300,1055,1103,858,796,398,73,4293,256,128,84,72,33,7,586,1319,1230,944,870,431,81,4872,988,560,479,452,402,548,3424,30,14,25,32,30,61,192,2336,1804,1453,1356,863,685,8487,923,1620,1225,1113,535,81,5498,1062,593,489,421,288,76,2929,137,161,121,90,57,24,585,2120,2379,1835,1621,878,172,9007,549,259,176,140,68,6,1200,2670,2629,2012,1761,945,185,10205,1942,960,804,811,669,934,6120,67,51,58,55,54,95,384,4683,3645,2874,2630,1668,1208,16713,Greater Melbourne
3GBRI,1228,1773,1454,1212,561,64,6295,956,397,264,237,142,46,2043,178,147,113,96,52,26,616,2369,2317,1835,1542,759,135,8953,937,423,240,158,97,11,1857,3305,2737,2070,1698,853,138,10808,2284,943,739,732,662,732,6086,89,54,63,44,36,35,327,5681,3735,2875,2476,1553,909,17223,788,1085,971,951,432,56,4281,1378,669,665,549,292,44,3597,161,171,126,91,52,17,616,2328,1920,1754,1596,774,114,8493,812,330,264,181,63,10,1648,3134,2248,2021,1773,830,122,10136,2292,1407,1070,976,937,1024,7702,67,48,41,43,29,75,296,5496,3704,3126,2791,1796,1220,18136,2018,2853,2426,2160,995,120,10575,2339,1062,927,781,437,90,5640,335,317,242,191,101,42,1229,4692,4240,3593,3137,1530,245,17444,1747,751,496,334,151,14,3505,6445,4991,4092,3477,1682,264,20947,4571,2342,1810,1707,1598,1756,13786,160,99,101,90,68,111,627,11171,7434,6003,5269,3347,2134,35361,Greater Brisbane
3RQLD,2304,3146,2810,2522,1291,186,12254,1664,843,699,622,390,110,4326,346,318,296,246,137,33,1382,4319,4311,3806,3385,1816,332,17967,2111,1215,912,660,357,48,5309,6431,5525,4717,4041,2176,383,23272,5624,2404,2054,2096,1863,2170,16218,449,266,174,143,132,126,1284,12501,8196,6950,6286,4172,2676,40775,1343,1753,1951,1909,869,110,7943,2380,1549,1623,1423,778,120,7869,321,327,242,233,143,37,1310,4045,3630,3810,3571,1789,273,17119,1600,1009,845,635,241,11,4352,5640,4644,4654,4209,2035,285,21466,6056,3881,2821,2662,2561,2883,20858,380,223,139,163,130,185,1230,12077,8749,7619,7028,4729,3349,43556,3650,4901,4759,4434,2155,298,20196,4047,2392,2323,2043,1167,237,12202,671,646,536,476,282,76,2686,8360,7941,7616,6953,3608,608,35085,3710,2229,1757,1296,606,61,9655,12071,10170,9373,8252,4212,665,44741,11680,6289,4874,4757,4427,5045,37070,827,490,316,304,262,318,2514,24581,16941,14563,13314,8897,6032,84325,Rest of Qld
4RSAU,190,270,243,237,137,29,1104,177,106,75,77,46,17,491,41,33,26,38,24,6,160,408,405,346,357,199,48,1759,194,159,104,94,47,3,609,599,561,449,455,250,48,2368,709,449,323,373,262,300,2413,76,86,59,60,48,33,356,1384,1093,832,885,558,376,5141,115,146,144,197,88,9,706,223,178,175,168,102,12,861,38,41,21,33,20,5,162,378,369,335,395,208,34,1720,150,68,92,63,20,0,398,529,438,430,456,233,35,2122,749,548,394,399,334,362,2783,69,76,53,65,49,22,349,1342,1068,875,922,615,418,5242,312,419,387,435,224,37,1808,398,281,250,243,144,27,1353,77,69,51,74,40,10,324,788,772,682,752,412,78,3480,343,233,199,156,71,3,1006,1127,1004,884,907,483,85,4485,1453,1003,720,767,591,661,5192,142,161,115,129,101,52,705,2727,2164,1712,1808,1177,802,10381,Rest of SA
4GADE,304,554,365,295,160,32,1707,290,143,86,82,63,17,685,40,51,31,14,26,3,176,638,750,479,393,249,47,2560,278,155,94,66,36,3,630,918,899,579,456,287,49,3193,941,362,286,313,281,258,2437,39,29,25,20,11,26,144,1891,1294,889,787,580,332,5774,238,324,253,286,140,18,1247,368,254,227,185,111,22,1154,49,66,55,29,21,9,229,658,637,529,499,269,44,2633,230,101,84,57,35,0,503,886,737,610,554,304,44,3139,970,585,427,403,351,370,3112,34,24,13,20,15,31,131,1891,1350,1056,980,670,444,6382,543,874,617,576,296,44,2956,660,393,310,269,172,39,1838,94,120,86,44,54,10,408,1293,1385,1012,894,520,94,5197,505,253,178,123,66,3,1132,1803,1638,1189,1015,592,97,6326,1909,943,719,715,632,630,5546,69,55,37,39,24,51,274,3781,2639,1947,1765,1247,774,12156,Greater Adelaide
5GPER,568,994,646,558,318,40,3120,380,182,97,111,74,29,861,102,121,81,88,50,5,441,1047,1293,819,758,438,71,4422,504,297,188,151,67,13,1225,1556,1582,1007,912,502,87,5642,1702,886,628,451,331,354,4347,71,60,46,52,27,40,303,3333,2534,1681,1407,862,482,10295,400,520,436,484,239,26,2104,521,353,324,258,165,35,1661,95,94,69,52,34,4,351,1016,973,819,799,440,66,4117,384,216,152,124,62,9,937,1400,1184,973,921,501,75,5052,1546,990,691,613,525,545,4911,74,53,43,39,39,54,299,3024,2229,1702,1577,1059,676,10264,973,1512,1080,1044,551,68,5227,894,538,420,368,235,63,2520,195,213,148,139,83,15,790,2063,2263,1638,1553,878,140,8532,891,507,341,274,131,20,2164,2958,2769,1979,1827,1006,164,10695,3250,1878,1314,1060,856,900,9258,148,111,90,89,66,88,602,6350,4760,3381,2983,1924,1156,20554,Greater Perth
5RWAU,564,1005,804,701,411,63,3543,309,228,189,177,127,41,1072,105,150,123,113,78,27,591,982,1383,1110,989,619,126,5209,559,446,364,251,112,20,1754,1541,1825,1474,1241,731,143,6959,2159,1289,1028,854,669,669,6674,256,169,161,118,82,72,848,3955,3284,2669,2212,1475,884,14479,326,483,561,605,271,35,2295,385,422,373,349,215,46,1790,98,120,96,103,57,16,478,810,1021,1028,1058,541,101,4566,380,304,298,218,78,8,1291,1192,1328,1330,1280,612,107,5853,2296,1763,1201,1151,970,925,8310,201,206,144,143,88,101,886,3693,3295,2675,2571,1676,1138,15041,893,1485,1368,1308,685,101,5833,691,650,565,528,341,86,2862,208,268,212,212,130,36,1077,1795,2401,2141,2050,1161,222,9769,943,750,664,478,188,26,3043,2731,3157,2801,2526,1341,253,12811,4459,3044,2233,2001,1643,1599,14981,456,373,308,260,167,177,1733,7644,6577,5342,4782,3151,2019,29521,Rest of WA
