gcc_name16,gcc_code16,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total
Greater Sydney,1GSYD,79585,14982,96022,798053,251487,23544,1073085,2557663,292952,3923700
Rest of NSW,1RNSW,55514,15070,71398,395667,171259,17784,584706,1366810,206749,2158275
Greater Melbourne,2GMEL,73797,14002,89151,745189,239874,23943,1009000,2388318,268192,3665515
Rest of Vic.,2RVIC,30420,7822,38801,215993,93218,9997,319205,739010,115137,1173346
Greater Brisbane,3GBRI,30198,7728,38357,383499,131263,15830,530593,1158726,137083,1826402
Rest of Qld,3RQLD,36886,9778,47131,383147,131849,16576,531572,1227659,193026,1952257
Greater Adelaide,4GADE,29056,4703,34170,205535,84940,8261,298736,702830,68199,1069769
Rest of SA,4RSAU,8247,1901,10292,54198,24696,2697,81582,200085,29566,311230
Greater Perth,5GPER,27171,7105,34652,328296,110953,12497,451741,995241,126550,1573536
Rest of WA,5RWAU,6064,1584,7752,83650,28147,4250,116051,250768,51385,418207
Greater Hobart,6GHOB,4462,750,5275,34527,14757,1737,51019,117668,13577,182260
Rest of Tas.,6RTAS,5282,1116,6490,41751,16836,1797,60386,155337,20866,236592
Greater Darwin,7GDAR,510,103,626,22297,6088,801,29179,64988,15137,109301
Rest of NT,7RNTE,231,61,310,13021,7908,2396,23322,33143,11241,67701
Australian Capital Territory,8ACTE,4771,1276,6155,67241,23272,2686,93202,207514,21695,322415
Other Territories,9OTER,43,9,51,608,214,26,847,2129,738,3714
