gcc_name16,gcc_code16,t_lplfs_ept_dc_0_4,t_lplfs_ept_dc_5_9,t_lplfs_ept_dc_10_12,t_lplfs_ept_dc_13_14,t_lplfs_ept_dc_15_17,t_lplfs_ept_dc_18_20,t_lplfs_ept_dc_21_24,t_lplfs_ept_tot,t_lplfs_eaw_dc_0_4,t_lplfs_eaw_dc_5_9,t_lplfs_eaw_dc_10_12,t_lplfs_eaw_dc_13_14,t_lplfs_eaw_dc_15_17,t_lplfs_eaw_dc_18_20,t_lplfs_eaw_dc_21_24,t_lplfs_eaw_tot,t_lplfs_hns_dc_0_4,t_lplfs_hns_dc_5_9,t_lplfs_hns_dc_10_12,t_lplfs_hns_dc_13_14,t_lplfs_hns_dc_15_17,t_lplfs_hns_dc_18_20,t_lplfs_hns_dc_21_24,t_lplfs_hns_tot,t_lplfs_ew_tot_dc_0_4,t_lplfs_ew_tot_dc_5_9,t_lplfs_ew_tot_dc_10_12,t_lplfs_ew_tot_dc_13_14,t_lplfs_ew_tot_dc_15_17,t_lplfs_ew_tot_dc_18_20,t_lplfs_ew_tot_dc_21_24,t_lplfs_ew_tot_tot,t_lplfs_ulftw_dc_0_4,t_lplfs_ulftw_dc_5_9,t_lplfs_ulftw_dc_10_12,t_lplfs_ulftw_dc_13_14,t_lplfs_ulftw_dc_15_17,t_lplfs_ulftw_dc_18_20,t_lplfs_ulftw_dc_21_24,t_lplfs_ulftw_tot,t_lplfs_ulptw_dc_0_4,t_lplfs_ulptw_dc_5_9,t_lplfs_ulptw_dc_10_12,t_lplfs_ulptw_dc_13_14,t_lplfs_ulptw_dc_15_17,t_lplfs_ulptw_dc_18_20,t_lplfs_ulptw_dc_21_24,t_lplfs_ulptw_tot,t_lplfs_u_t_dc_0_4,t_lplfs_u_t_dc_5_9,t_lplfs_u_t_dc_10_12,t_lplfs_u_t_dc_13_14,t_lplfs_u_t_dc_15_17,t_lplfs_u_t_dc_18_20,t_lplfs_u_t_dc_21_24,t_lplfs_u_t_tot,t_lplfs_t_lf_dc_0_4,t_lplfs_t_lf_dc_5_9,t_lplfs_t_lf_dc_10_12,t_lplfs_t_lf_dc_13_14,t_lplfs_t_lf_dc_15_17,t_lplfs_t_lf_dc_18_20,t_lplfs_t_lf_dc_21_24,t_lplfs_t_lf_tot,t_lplfs_nlf_dc_0_4,t_lplfs_nlf_dc_5_9,t_lplfs_nlf_dc_10_12,t_lplfs_nlf_dc_13_14,t_lplfs_nlf_dc_15_17,t_lplfs_nlf_dc_18_20,t_lplfs_nlf_dc_21_24,t_lplfs_nlf_tot,t_lplfs_lfsns_dc_0_4,t_lplfs_lfsns_dc_5_9,t_lplfs_lfsns_dc_10_12,t_lplfs_lfsns_dc_13_14,t_lplfs_lfsns_dc_15_17,t_lplfs_lfsns_dc_18_20,t_lplfs_lfsns_dc_21_24,t_lplfs_lfsns_tot,t_lplfs_tot_dc_0_4,t_lplfs_tot_dc_5_9,t_lplfs_tot_dc_10_12,t_lplfs_tot_dc_13_14,t_lplfs_tot_dc_15_17,t_lplfs_tot_dc_18_20,t_lplfs_tot_dc_21_24,t_lplfs_tot_tot
Rest of NSW,1RNSW,5466,10441,7006,4736,5958,1226,391,35227,656,554,339,253,341,77,31,2254,222,317,244,172,236,44,23,1271,9014,17856,13260,9784,13804,3250,1182,68149,612,1511,1028,709,820,165,47,4884,1193,2043,894,568,573,103,43,5415,1801,3551,1920,1274,1397,273,91,10301,10816,21404,15174,11059,15199,3520,1267,78444,16731,14872,7789,4835,4822,945,399,50400,333,396,269,180,127,19,6,1329,27892,36668,23237,16073,20147,4489,1668,130179
Greater Sydney,1GSYD,5728,11298,7865,5433,7439,3282,1708,42752,795,511,302,223,351,174,120,2483,294,425,324,249,370,173,94,1936,12045,23414,17761,13206,19942,9967,5466,101799,551,1269,782,599,883,368,196,4647,1091,2151,1213,778,908,391,189,6735,1636,3423,1993,1379,1794,757,392,11379,13681,26842,19750,14586,21739,10722,5856,113178,17911,17326,9626,6424,7955,3824,2347,65406,375,417,249,180,126,67,33,1447,31968,44581,29622,21186,29820,14616,8236,180029
Rest of Vic.,2RVIC,2682,5433,3743,2587,3591,919,259,19223,373,317,193,138,213,49,20,1291,83,136,114,75,118,22,11,566,4168,8564,6499,4948,7607,2141,690,34619,215,650,427,288,356,77,26,2046,468,1010,544,314,350,83,16,2787,686,1655,970,606,712,159,38,4833,4859,10220,7470,5553,8319,2306,734,39457,8000,7292,3640,2481,2672,679,200,24960,142,164,106,77,61,17,4,577,13006,17669,11217,8117,11049,3000,933,64989
Greater Melbourne,2GMEL,5485,11343,8180,5855,8048,4085,2032,45020,706,461,322,255,360,225,155,2484,294,396,320,236,344,223,131,1947,10461,21058,16245,12433,19172,10833,5959,96164,627,1255,826,601,927,506,252,4996,973,1980,1208,756,846,431,215,6406,1602,3235,2033,1350,1773,935,467,11400,12066,24292,18280,13786,20943,11769,6424,107566,15487,14850,8397,5595,7378,3768,2237,57706,343,394,251,188,164,76,49,1464,27895,39538,26921,19567,28484,15615,8711,166735
Greater Brisbane,3GBRI,3717,7198,4855,3108,4096,1362,601,24938,561,421,248,192,225,72,51,1784,172,296,165,126,175,61,27,1022,7461,14759,11034,7800,11135,4151,1979,58328,720,1359,819,490,640,170,90,4284,948,1498,713,446,431,109,54,4193,1666,2854,1535,936,1063,273,142,8471,9133,17615,12570,8732,12205,4421,2129,66795,11145,10528,5634,3458,3779,1194,648,36373,206,256,165,96,69,18,9,819,20483,28395,18364,12285,16045,5638,2779,103991
Rest of Qld,3RQLD,4480,9449,6284,4234,5173,825,381,30831,459,484,289,188,282,58,36,1789,201,314,244,179,223,34,19,1211,8012,17010,12461,9043,12247,2259,1034,62070,817,1831,1146,731,814,105,45,5496,1099,2027,1025,634,542,89,32,5452,1914,3867,2174,1367,1353,197,81,10944,9925,20878,14631,10408,13602,2456,1108,73018,14247,13333,6640,4223,4102,688,339,43577,296,352,214,153,105,10,7,1146,24470,34562,21490,14784,17809,3151,1460,117736
Rest of SA,4RSAU,584,1377,1019,683,886,146,41,4743,84,80,38,35,53,7,5,294,22,40,24,16,34,5,0,135,928,2138,1676,1303,1836,300,89,8265,84,216,164,97,127,25,0,716,135,242,152,75,86,12,8,705,223,458,313,171,219,34,7,1419,1145,2597,1986,1475,2050,331,96,9684,2140,1986,1071,707,691,124,24,6744,59,83,44,32,18,0,0,236,3347,4664,3096,2212,2764,455,122,16663
Greater Adelaide,4GADE,2163,4266,2965,2089,2917,1164,609,16170,332,209,132,93,150,61,49,1029,83,117,83,58,72,37,16,462,3674,7316,5474,4120,6608,3028,1641,31854,257,609,352,262,346,143,51,2019,431,767,449,248,282,100,50,2317,685,1372,800,509,622,246,105,4342,4359,8688,6273,4630,7230,3266,1741,36192,6090,5745,3040,2108,2463,1005,543,20999,132,155,83,46,39,16,9,478,10584,14587,9394,6788,9731,4287,2297,57662
Greater Perth,5GPER,2800,5931,4038,2750,3795,1370,682,21367,336,255,179,138,217,74,66,1258,115,153,93,81,129,56,29,660,5035,10486,7848,5996,9200,3749,2003,44320,415,936,610,426,579,204,88,3252,659,1278,723,400,401,107,58,3635,1068,2218,1332,828,988,315,148,6887,6102,12701,9176,6828,10189,4062,2147,51207,7963,7314,3703,2359,2620,899,547,25396,180,197,120,68,46,12,4,634,14245,20213,13004,9252,12846,4973,2699,77234
Rest of WA,5RWAU,773,1741,1244,803,950,75,25,5607,97,123,84,52,65,5,8,435,37,50,32,33,38,3,0,192,1374,3071,2401,1774,2226,213,74,11134,98,287,184,166,135,14,3,894,161,379,184,97,99,15,4,937,262,669,362,263,235,27,6,1834,1641,3739,2766,2039,2465,243,77,12965,3114,2793,1405,869,717,52,20,8977,117,138,90,49,23,3,0,413,4869,6668,4261,2959,3202,291,96,22359
