gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
1GSYD,Greater Sydney,2034.03,1855.0220000000002,3889.05,32699,23272,27584
1RNSW,Rest of NSW,991.9889999999999,920.711,1912.6979999999999,27540,18991,22660
2GMEL,Greater Melbourne,1829.385,1726.295,3555.6859999999997,31398,20800,25433
2RVIC,Rest of Vic.,547.155,529.986,1077.136,26055,16545,20516
3GBRI,Greater Brisbane,953.495,873.765,1827.259,31016,21846,25934
3RQLD,Rest of Qld,996.658,904.5,1901.1570000000002,26027,17883,21336
4GADE,Greater Adelaide,478.639,460.67400000000004,939.318,33124,22833,27195
4RSAU,Rest of SA,143.29,127.009,270.301,24436,16948,20156
5GPER,Greater Perth,885.938,760.613,1646.5539999999999,34966,21499,27340
5RWAU,Rest of WA,229.725,198.59400000000002,428.32,29878,16062,21802
6GHOB,Greater Hobart,82.85700000000001,84.068,166.923,30246,21317,25031
6RTAS,Rest of Tas.,107.632,99.652,207.28099999999998,26216,17601,21096
7GDAR,Greater Darwin,78.959,66.818,145.774,31921,20500,25704
7RNTE,Rest of NT,29.206999999999997,28.06,57.25899999999999,20926,16125,18381
8ACTE,Australian Capital Territory,169.29,167.283,336.57099999999997,40138,29795,34478
