gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,17941,38609,57572,5916593.5,12382560.0,2019963.1,20319116.0,11320012.0,31639128.0
1RNSW,Rest of NSW,11270,3958,15416,3482191.2,884557.6,629934.1,4996683.0,3005657.2,8002340.0
2GMEL,Greater Melbourne,26408,28437,55141,8696963.0,8727593.0,2087098.6,19511654.0,10613237.0,30124892.0
2RVIC,Rest of Vic.,9476,682,10202,2801445.0,143574.5,533384.3,3478403.8,1884168.6,5362572.5
3GBRI,Greater Brisbane,12207,12469,24783,3472544.0,3309116.5,777630.3,7559291.0,4152607.2,11711898.0
3RQLD,Rest of Qld,12402,5843,18366,3647086.2,2204306.2,594753.5,6446146.0,3994252.8,10440399.0
4GADE,Greater Adelaide,6165,3602,9817,1503076.6,847627.7,321584.8,2672289.2,2004896.2,4677185.5
4RSAU,Rest of SA,1670,51,1727,408178.8,8799.0,71041.6,488019.4,554350.3,1042369.7
5GPER,Greater Perth,12395,5160,17630,3529046.0,1395376.2,430033.2,5354455.5,3832179.5,9186635.0
5RWAU,Rest of WA,2580,131,2737,740969.4,33053.0,122297.0,896319.3,953461.8,1849781.2
6GHOB,Greater Hobart,803,231,1044,210250.3,52154.3,58708.8,321113.4,239704.0,560817.5
6RTAS,Rest of Tas.,1023,163,1204,272815.2,29284.0,56908.3,359007.5,248402.9,607410.4
7GDAR,Greater Darwin,520,134,668,175242.9,34418.6,57157.9,266819.4,,
7RNTE,Rest of NT,196,44,244,83490.2,14643.0,44222.3,142355.5,,
8ACTE,Australian Capital Territory,1054,4468,5524,387368.2,1134053.9,101054.7,1622476.8,888432.8,2510909.5
