gcc_name16,gcc_code16,m_15_19y_udw_5_hrs_less,m_15_19y_udw_5_14_hrs,m_15_19y_udw_15_29_hrs,m_15_19y_udw_30_hrs_more,m_15_19y_no_udw,m_15_19y_udw_notstated,m_15_19y_total,m_20_24y_udw_5_hrs_less,m_20_24y_udw_5_14_hrs,m_20_24y_udw_15_29_hrs,m_20_24y_udw_30_hrs_more,m_20_24y_no_udw,m_20_24y_udw_notstated,m_20_24y_total,m_25_34y_udw_5_hrs_less,m_25_34y_udw_5_14_hrs,m_25_34y_udw_15_29_hrs,m_25_34y_udw_30_hrs_more,m_25_34y_no_udw,m_25_34y_udw_notstated,m_25_34y_total,m_35_44y_udw_5_hrs_less,m_35_44y_udw_5_14_hrs,m_35_44y_udw_15_29_hrs,m_35_44y_udw_30_hrs_more,m_35_44y_no_udw,m_35_44y_udw_notstated,m_35_44y_total,m_45_54y_udw_5_hrs_less,m_45_54y_udw_5_14_hrs,m_45_54y_udw_15_29_hrs,m_45_54y_udw_30_hrs_more,m_45_54y_no_udw,m_45_54y_udw_notstated,m_45_54y_total,m_55_64y_udw_5_hrs_less,m_55_64y_udw_5_14_hrs,m_55_64y_udw_15_29_hrs,m_55_64y_udw_30_hrs_more,m_55_64y_no_udw,m_55_64y_udw_notstated,m_55_64y_total,m_65_74y_udw_5_hrs_less,m_65_74y_udw_5_14_hrs,m_65_74y_udw_15_29_hrs,m_65_74y_udw_30_hrs_more,m_65_74y_no_udw,m_65_74y_udw_notstated,m_65_74y_total,m_75_84y_udw_5_hrs_less,m_75_84y_udw_5_14_hrs,m_75_84y_udw_15_29_hrs,m_75_84y_udw_30_hrs_more,m_75_84y_no_udw,m_75_84y_udw_notstated,m_75_84y_total,m_85y_ov_udw_5_hrs_less,m_85y_ov_udw_5_14_hrs,m_85y_ov_udw_15_29_hrs,m_85y_ov_udw_30_hrs_more,m_85y_ov_no_udw,m_85y_ov_udw_notstated,m_85y_ov_total,m_tot_udw_5_hrs_less,m_tot_udw_5_14_hrs,m_tot_udw_15_29_hrs,m_tot_udw_30_hrs_more,m_tot_no_udw,m_tot_udw_notstated,m_tot_total,f_15_19y_udw_5_hrs_less,f_15_19y_udw_5_14_hrs,f_15_19y_udw_15_29_hrs,f_15_19y_udw_30_hrs_more,f_15_19y_no_udw,f_15_19y_udw_notstated,f_15_19y_total,f_20_24y_udw_5_hrs_less,f_20_24y_udw_5_14_hrs,f_20_24y_udw_15_29_hrs,f_20_24y_udw_30_hrs_more,f_20_24y_no_udw,f_20_24y_udw_notstated,f_20_24y_total,f_25_34y_udw_5_hrs_less,f_25_34y_udw_5_14_hrs,f_25_34y_udw_15_29_hrs,f_25_34y_udw_30_hrs_more,f_25_34y_no_udw,f_25_34y_udw_notstated,f_25_34y_total,f_35_44y_udw_5_hrs_less,f_35_44y_udw_5_14_hrs,f_35_44y_udw_15_29_hrs,f_35_44y_udw_30_hrs_more,f_35_44y_no_udw,f_35_44y_udw_notstated,f_35_44y_total,f_45_54y_udw_5_hrs_less,f_45_54y_udw_5_14_hrs,f_45_54y_udw_15_29_hrs,f_45_54y_udw_30_hrs_more,f_45_54y_no_udw,f_45_54y_udw_notstated,f_45_54y_total,f_55_64y_udw_5_hrs_less,f_55_64y_udw_5_14_hrs,f_55_64y_udw_15_29_hrs,f_55_64y_udw_30_hrs_more,f_55_64y_no_udw,f_55_64y_udw_notstated,f_55_64y_total,f_65_74y_udw_5_hrs_less,f_65_74y_udw_5_14_hrs,f_65_74y_udw_15_29_hrs,f_65_74y_udw_30_hrs_more,f_65_74y_no_udw,f_65_74y_udw_notstated,f_65_74y_total,f_75_84y_udw_5_hrs_less,f_75_84y_udw_5_14_hrs,f_75_84y_udw_15_29_hrs,f_75_84y_udw_30_hrs_more,f_75_84y_no_udw,f_75_84y_udw_notstated,f_75_84y_total,f_85y_ov_udw_5_hrs_less,f_85y_ov_udw_5_14_hrs,f_85y_ov_udw_15_29_hrs,f_85y_ov_udw_30_hrs_more,f_85y_ov_no_udw,f_85y_ov_udw_notstated,f_85y_ov_total,f_tot_udw_5_hrs_less,f_tot_udw_5_14_hrs,f_tot_udw_15_29_hrs,f_tot_udw_30_hrs_more,f_tot_no_udw,f_tot_udw_notstated,f_tot_total,p_15_19y_udw_5_hrs_less,p_15_19y_udw_5_14_hrs,p_15_19y_udw_15_29_hrs,p_15_19y_udw_30_hrs_more,p_15_19y_no_udw,p_15_19y_udw_notstated,p_15_19y_total,p_20_24y_udw_5_hrs_less,p_20_24y_udw_5_14_hrs,p_20_24y_udw_15_29_hrs,p_20_24y_udw_30_hrs_more,p_20_24y_no_udw,p_20_24y_udw_notstated,p_20_24y_total,p_25_34y_udw_5_hrs_less,p_25_34y_udw_5_14_hrs,p_25_34y_udw_15_29_hrs,p_25_34y_udw_30_hrs_more,p_25_34y_no_udw,p_25_34y_udw_notstated,p_25_34y_total,p_35_44y_udw_5_hrs_less,p_35_44y_udw_5_14_hrs,p_35_44y_udw_15_29_hrs,p_35_44y_udw_30_hrs_more,p_35_44y_no_udw,p_35_44y_udw_notstated,p_35_44y_total,p_45_54y_udw_5_hrs_less,p_45_54y_udw_5_14_hrs,p_45_54y_udw_15_29_hrs,p_45_54y_udw_30_hrs_more,p_45_54y_no_udw,p_45_54y_udw_notstated,p_45_54y_total,p_55_64y_udw_5_hrs_less,p_55_64y_udw_5_14_hrs,p_55_64y_udw_15_29_hrs,p_55_64y_udw_30_hrs_more,p_55_64y_no_udw,p_55_64y_udw_notstated,p_55_64y_total,p_65_74y_udw_5_hrs_less,p_65_74y_udw_5_14_hrs,p_65_74y_udw_15_29_hrs,p_65_74y_udw_30_hrs_more,p_65_74y_no_udw,p_65_74y_udw_notstated,p_65_74y_total,p_75_84y_udw_5_hrs_less,p_75_84y_udw_5_14_hrs,p_75_84y_udw_15_29_hrs,p_75_84y_udw_30_hrs_more,p_75_84y_no_udw,p_75_84y_udw_notstated,p_75_84y_total,p_85y_ov_udw_5_hrs_less,p_85y_ov_udw_5_14_hrs,p_85y_ov_udw_15_29_hrs,p_85y_ov_udw_30_hrs_more
Rest of NSW,1RNSW,33586,6304,687,334,31672,9254,81832,27336,12187,1885,976,25760,7302,75449,46001,39845,8587,4111,30347,14331,143234,40110,49235,13868,6677,24872,13749,148516,44695,54848,15411,7080,32073,15780,169896,40892,53608,18289,9994,38829,16825,178427,22784,37529,20169,13711,38760,17336,150284,9458,14872,9097,7604,24440,12952,78420,2815,3429,1871,1575,10962,5913,26562,267681,271863,89866,52058,257719,113439,1052624,34332,9106,1259,688,24138,8172,77694,23292,18789,5071,4605,14691,5661,72109,24184,44347,23100,29832,15012,10678,147152,14337,48901,35333,34746,12390,10699,156403,19429,62217,39626,26489,17570,13327,178659,18771,57184,39851,29988,24513,15228,185530,9825,31114,32054,32218,30574,17167,152945,6910,14318,12594,14132,26135,16231,90318,4147,5059,2805,2411,19951,10456,44829,155223,291025,191692,175120,184966,107616,1105649,67915,15405,1940,1020,55813,17425,159525,50628,30975,6954,5579,40453,12961,147560,70185,84193,31688,33949,45360,25012,290388,54449,98132,49204,41426,37262,24452,304924,64127,117061,55040,33574,49642,29106,348557,59659,110789,58142,39983,63336,32047,363959,32613,68637,52221,45925,69334,34502,303231,16365,29191,21692,21737,50569,29182,168736,6959,8489,4676,3982
Greater Sydney,1GSYD,58095,10201,943,447,67054,11242,147983,59563,19729,2624,1168,75387,13813,172289,132561,81061,12988,5234,116987,32874,381705,107514,103108,23084,9304,75924,25527,344463,89363,94677,22265,9064,70150,21866,307388,65796,75737,20837,9607,63568,18076,253616,34110,47531,20043,10911,51720,15108,179414,13903,19610,9695,6229,32194,10678,92308,4284,4814,2360,1678,16412,5602,35147,565195,456470,114840,53647,569390,154780,1914314,59887,14769,1846,756,53137,9991,140387,60661,31330,6157,4313,53815,12176,168451,96685,102380,40010,48057,76423,29139,392700,46502,101530,65946,70902,44985,21722,351579,38927,103430,66675,49498,42601,19070,320191,32277,82781,53895,40115,44117,17209,270395,17202,45633,39174,33434,41347,16285,193069,10967,20912,16390,14728,34811,13939,111741,6457,7445,3803,2862,29621,10694,60875,369554,510212,293888,264661,420856,150218,2009383,117982,24973,2783,1205,120185,21232,288362,120223,51067,8782,5484,129203,25993,340737,229250,183441,52999,53286,193415,62013,774405,154015,204634,89035,80205,120906,47244,696037,128285,198107,88942,58563,112747,40937,627580,98075,158525,74733,49720,107683,35283,524011,51306,93157,59212,44348,93073,31385,372488,24872,40518,26083,20958,67001,24619,204051,10742,12256,6159,4539
Rest of Vic.,2RVIC,18927,3118,338,181,17186,5179,44925,15282,6785,1017,467,13599,3776,40923,25317,21370,4547,2222,15648,7720,76820,22749,26404,7421,3427,12662,7512,80170,25166,29871,7903,3690,17388,8944,92963,23230,29549,9261,4792,21345,9308,97495,12738,19986,10057,7116,21463,10070,81432,4929,7849,4548,3805,12897,7256,41289,1465,1877,1000,885,6010,3111,14351,149807,146813,46096,26591,138188,62885,570369,19022,4596,641,321,12722,4743,42043,12830,10167,2610,2265,7612,3120,38606,13545,23918,12003,16712,8042,5950,80178,7831,25719,19181,20361,6230,6051,85363,10150,34357,22216,15273,9646,7515,99158,9849,31214,22373,16495,13498,8800,102238,5047,16295,17533,17999,16568,9956,83397,3224,7009,6678,7605,14075,8955,47547,1962,2670,1646,1478,11356,5337,24446,83470,155944,104874,98518,99747,60422,602974,37946,7717,978,504,29904,9923,86967,28106,16956,3626,2736,21211,6898,79529,38860,45291,16552,18936,23688,13672,157001,30583,52115,26603,23787,18886,13563,165539,35319,64224,30118,18963,27029,16457,192122,33085,60766,31639,21286,34845,18103,199728,17784,36282,27589,25120,38034,20023,164829,8157,14865,11228,11413,26965,16209,88833,3430,4539,2645,2366
Greater Melbourne,2GMEL,55743,8796,861,418,60308,10615,136742,60681,21120,2635,1160,70399,12364,168363,129163,82514,12852,5128,101280,28347,359284,100310,98273,21568,8536,64447,21860,314991,86015,89541,20262,7926,62494,19536,285775,62139,68801,18009,7863,56526,16266,229601,31717,42969,17790,9337,46782,14518,163110,13496,18567,9084,5714,29956,11272,88091,4069,4636,2186,1614,15340,5361,33202,543338,435215,105245,47697,507535,140139,1779168,58610,12887,1530,585,48840,9822,132275,62126,32252,5939,3697,49740,11250,165007,93580,103120,38462,45047,64686,26168,371061,42474,96683,62057,66252,37369,19253,324092,36107,101410,63822,44845,37389,17968,301538,28888,78166,50149,35205,38621,16275,247299,15269,42411,36989,31304,38766,16425,181172,10252,19708,16028,14355,32947,14664,107963,5612,6830,3720,2620,27281,9889,55950,352919,493470,278698,243909,375638,141716,1886350,114349,21683,2389,1007,109148,20440,269015,122807,53365,8580,4852,120140,23619,333367,222747,185639,51309,50174,165964,54513,730345,142785,194957,83623,74788,101813,41116,639084,122123,190950,84086,52773,99883,37501,587317,91024,146966,68158,43071,95144,32539,476902,46988,85382,54782,40640,85551,30944,344283,23755,38274,25117,20073,62906,25937,196050,9678,11465,5909,4230
Greater Brisbane,3GBRI,33627,6300,670,277,28007,5637,74523,33412,13256,1732,761,29657,6717,85533,59808,44620,8043,3270,39113,14201,169060,47405,52687,12719,5165,26246,11645,155864,42520,49477,11830,4776,26632,10758,145989,30625,37650,11117,5184,25409,8754,118736,14650,23347,11636,6999,21839,7669,86138,5214,8362,4899,3553,12565,5270,39855,1572,1878,933,780,5751,2768,13676,268841,237571,63568,30758,215222,73424,889380,33962,8869,1165,514,22530,5017,72056,31349,20051,4419,3386,20196,5810,85209,39457,53053,21639,24684,23344,11995,174171,20905,53303,32849,31433,14264,9313,162065,20214,56262,31688,20634,15222,9044,153071,15101,40990,26319,18594,16844,8191,126053,7092,20780,19758,18466,18026,7945,92065,4177,8304,7213,7097,13912,6948,47651,2543,2872,1563,1173,10956,5575,24673,174798,264495,146609,125978,155300,69846,937019,67588,15173,1835,787,50541,10657,146581,64764,33306,6150,4144,49854,12528,170741,99262,97678,29678,27952,62458,26202,343233,68315,105994,45560,36596,40509,20956,317932,62741,105739,43519,25411,41852,19801,299059,45728,78641,37437,23781,42254,16948,244790,21742,44128,31394,25465,39865,15619,178208,9392,16669,12105,10648,26479,12217,87505,4108,4747,2491,1955
Rest of Qld,3RQLD,32720,6712,829,384,27497,8311,76455,26222,12433,1948,1016,23641,7930,73189,47478,39391,8227,4085,31957,16358,147501,42341,47445,12501,6154,26545,15322,150306,43251,50693,13503,6399,31284,16433,161566,34742,44219,14176,7839,34116,15291,150381,18565,29801,15494,10997,32443,14014,121315,6969,11313,6649,5748,18757,9192,58621,1860,2229,1207,1062,7767,3937,18069,254145,244233,74543,43678,234006,106798,957411,32420,9375,1414,700,21504,7419,72830,22681,18958,4748,4416,14383,6607,71787,27390,45550,22093,28569,17042,13018,153661,17305,49727,33095,32960,13144,12152,158382,20572,60016,34773,23299,17149,13586,169397,17005,47839,31466,24560,21059,13383,155306,8189,24375,24796,25837,24486,13440,121125,5015,9967,8633,10283,18546,10862,63300,2714,3135,1771,1536,13302,6604,29061,153287,268948,162778,152160,160618,97063,994854,65146,16093,2245,1080,48996,15727,149284,48904,31386,6696,5434,38027,14534,144979,74870,84941,30321,32653,49000,29376,301158,59642,97174,45597,39117,39691,27471,308690,63818,110707,48276,29701,48438,30027,330959,51745,92053,45647,32396,55170,28678,305688,26760,54174,40286,36838,56926,27458,242444,11978,21282,15279,16032,37298,20047,121922,4575,5367,2977,2597
Rest of SA,4RSAU,4671,965,122,58,3798,1322,10933,3362,1818,336,166,2908,972,9562,5996,5720,1364,716,3820,2238,19858,5462,6681,2062,1026,3498,2191,20921,6800,8333,2443,1186,5116,2509,26390,6587,8289,2800,1547,6469,2571,28251,3632,5884,3263,2387,6247,2716,24131,1374,2245,1497,1277,3704,1847,11942,424,527,298,278,1636,798,3954,38308,40457,14173,8652,37196,17156,155949,4554,1369,218,109,2828,1122,10195,2391,2542,802,727,1438,728,8629,2612,5662,3275,4741,1715,1381,19391,1679,6316,4819,5057,1575,1412,20866,2490,9172,5987,3888,2514,1891,25939,2520,8266,6222,4712,3607,2214,27537,1359,4465,5175,5418,4736,2479,23633,844,1914,1956,2188,3763,2084,12753,547,697,460,381,2973,1276,6336,18999,40405,28924,27213,25159,14590,155286,9218,2333,341,169,6626,2441,21132,5750,4358,1142,889,4347,1698,18193,8610,11384,4639,5457,5533,3621,39251,7147,12995,6877,6081,5078,3605,41789,9287,17503,8425,5075,7634,4404,52332,9102,16547,9028,6262,10074,4781,55791,4994,10345,8441,7807,10990,5191,47762,2214,4164,3451,3470,7468,3933,24701,973,1219,756,654
Greater Adelaide,4GADE,17389,3057,306,103,16887,2736,40489,17232,6922,986,375,17309,2668,45495,30536,24400,4573,1865,21018,5682,88071,24015,28751,7317,2988,14744,5172,82983,23819,29810,7199,2868,16412,5334,85442,19388,24634,6968,3073,16811,4804,75675,10003,16305,7614,3920,14792,4379,57017,4206,6570,3800,2517,9862,3508,30457,1356,1795,908,731,5733,1844,12371,147948,142239,39677,18449,133560,36116,517997,18240,4407,515,230,13021,2478,38894,16432,10450,2089,1593,11116,2358,44039,19247,28320,11885,13603,12261,4925,90237,9752,27651,18106,17077,7556,4126,84275,10700,33112,19653,11521,9241,4412,88637,9662,28071,17520,10841,11332,4629,82047,4635,14604,14461,12115,12929,5062,63808,3221,6725,6068,5474,11659,4893,38044,2051,2732,1581,1082,11019,3333,21797,93933,156073,91872,73532,100147,36211,551769,35631,7463,830,330,29907,5218,79385,33668,17367,3079,1971,28428,5018,89535,49782,52714,16456,15465,33283,10603,178301,33761,56398,25425,20068,22300,9296,167253,34519,62929,26848,14389,25653,9743,174077,29051,52708,24484,13913,28141,9436,157723,14635,30907,22073,16038,27725,9439,120817,7424,13300,9866,7995,21521,8396,68502,3404,4530,2490,1815
Greater Perth,5GPER,26808,5022,459,205,24362,4541,61400,25640,9723,1270,534,25515,5657,68351,52585,38013,6652,2658,38667,14619,153198,40053,42633,9936,4388,27010,11451,135474,36663,40850,9429,4024,26960,10126,128061,26508,31957,8699,4048,23924,8005,103140,12929,20811,9002,5069,19466,6705,73986,4988,8101,4321,3014,11614,5055,37102,1414,1877,1021,745,5044,2578,12680,227606,198999,50787,24685,202564,68745,773386,27381,7072,820,338,18989,4134,58729,24162,15119,3125,2403,15635,4636,65083,32933,45056,18660,23959,21578,11303,153484,15384,41080,27643,31490,13122,8421,137133,15032,45695,28476,20087,13451,7887,130632,12055,35158,23399,16863,15133,7212,109824,5630,17599,16591,15814,15696,7061,78385,3776,7996,6810,6859,12591,6859,44899,2148,2747,1588,1239,9318,4938,21972,138491,217518,127107,119061,135509,62451,800146,54189,12097,1275,547,43346,8674,120129,49802,24840,4399,2939,41148,10296,133434,85519,83067,25307,26618,60246,25922,306680,55436,83706,37578,35880,40136,19872,272610,51693,86549,37908,24113,40417,18014,258693,38565,67115,32092,20915,39056,15222,212965,18555,38411,25596,20882,35158,13770,152368,8767,16097,11137,9879,24208,11911,82007,3561,4623,2607,1983
Rest of WA,5RWAU,6409,1478,177,92,5244,2235,15633,4615,2414,403,203,4380,1918,13936,10416,8810,1893,969,8894,5881,36864,9472,10531,2765,1503,7643,5399,37316,9512,11136,2988,1550,8906,5245,39332,7780,9585,3098,1788,8548,4436,35231,3700,5889,2976,2232,6418,3177,24386,1308,1993,1240,1111,3119,1920,10696,361,451,237,221,1213,671,3157,53575,52289,15770,9672,54372,30883,216557,6128,1882,311,171,3667,1923,14085,3337,3412,1052,971,2267,1400,12444,5011,9316,4898,7695,3597,3681,34190,3158,9710,7005,8292,2669,3253,34084,3738,11810,7481,5512,3715,3616,35869,3082,9480,6922,5619,4354,3368,32821,1362,4181,4582,5345,4032,2763,22272,834,1735,1638,2019,2942,2129,11297,416,578,354,308,1939,1006,4595,27066,52102,34243,35924,29179,23134,201648,12532,3366,486,266,8911,4152,29712,7954,5828,1456,1174,6654,3321,26382,15422,18127,6793,8659,12498,9563,71057,12626,20245,9769,9795,10312,8652,71401,13248,22946,10471,7057,12616,8859,75202,10865,19066,10015,7404,12899,7799,68053,5066,10067,7556,7578,10449,5942,46655,2139,3730,2876,3133,6066,4053,21993,782,1030,590,531
