yr,gifts_donations_rptd_by_taxpayers_p_num,gifts_donations_rptd_by_taxpayers_med_aud,mtd_trvl_wrk_empy_p_used1mtd_train_tram_num,mtd_trvl_wrk_empy_p_used1mtd_bus_num,mtd_trvl_wrk_empy_p_used1mtd_car_as_driver_pax_num,mtd_trvl_wrk_empy_p_used1mtd_motor_bike_scooter_num,mtd_trvl_wrk_empy_p_used1mtd_bicycle_num,mtd_trvl_wrk_empy_p_used1mtd_oth_inc_taxis_num,mtd_trvl_wrk_empy_p_used1mtd_walked_only_num,mtd_trvl_wrk_empy_p_tot_used1mtd_num,mtd_trvl_wrk_empy_p_tot_used_more_than1mtd_num,mtd_trvl_wrk_empy_p_oth_wrked_home_num,mtd_trvl_wrk_empy_p_oth_empy_but_no_wrk_num,mtd_trvl_wrk_empy_p_oth_mtd_trvl_ns_num,mtd_trvl_wrk_empy_p_tot_empy_num,hslds_by_type_lone_hslds_num,hslds_by_type_grp_hslds_num,hslds_by_type_fam_hslds_num,hslds_by_type_tot_hslds_num,hslds_by_type_avg_hsld_size_num,fam_by_type_cpl_fam_chld_under_15_and_or_dpnt_studts_num,fam_by_type_cpl_fam_non_dpnt_chld_only_num,fam_by_type_cpl_fam_wo_chld_num,fam_by_type1prnt_fam_chld_under_15_or_dpnt_studts_num,fam_by_type1prnt_fam_non_dpnt_chld_only_num,fam_by_type_oth_fam_num,fam_by_type_tot_fam_num,fam_by_type_avg_fam_size_num,soc_mar_st_regd_mar_st_married_regd_marriage_num,soc_mar_st_regd_mar_st_married_de_facto_marriage_num,soc_mar_st_regd_mar_st_no_married_num,soc_mar_st_regd_mar_st_married_pr100,soc_mar_st_regd_mar_st_never_married_pr100,soc_mar_st_regd_mar_st_widowed_pr100,soc_mar_st_regd_mar_st_divorced_pr100,soc_mar_st_regd_mar_st_separtd_pr100,access_net_home_net_acsd_dwl_pr100,access_net_home_net_no_acsd_dwl_pr100,rent_mrtg_pay_avg_monthly_hsld_rent_payment_aud,rent_mrtg_pay_avg_monthly_hsld_mrtg_payment_aud,unpd_ccare_p_no_prov_ccare_pr100,unpd_ccare_p_cared_own_chld_chld_pr100,unpd_ccare_p_cared_oth_chld_chld_pr100,unpd_ccare_p_cared_own_chld_chld_oth_chld_chld_pr100,unpd_ccare_unpd_ccare_ns_pr100,unpd_wrk_p_provd_unpd_asst_p_dsblty_pr100,unpd_wrk_p_undertaking_voltry_wrk_org_grp_pr100,count_all_chld_fam_avg_num_all_chld_fam_num,hous_suitbl_dwl_xtr_bdrms_num,hous_suitbl_dwl_bdrms_spare_num,hous_suitbl_dwl_no_bdrms_spare_num,dwl_structure_separt_hse_num,dwl_structure_semi_det_row_tce_house_twnhse_etc_num,dwl_structure_flat_apartment_num,dwl_structure_oth_dwl_num,tenure_type_owned_outright_pr100,tenure_type_owned_mrtg_pr100,tenure_type_rent_pr100,hsld_strs_hslds_mrtg_repay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_mrtg_repay_grt_eq_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_grt_eq_30_pr100_hsld_inc_pr100,homelessness_homelessness_rt10000_p_rt,commuting_wrk_avg_comdist_p_of_ur_kms,commuting_wrk_med_comdist_p_of_ur_kms,commuting_wrk_avg_comdist_place_wrk_kms,commuting_wrk_med_comdist_place_wrk_kms,commuting_wrk_avg_comdist_p_of_ur_f_kms,commuting_wrk_avg_comdist_p_of_ur_m_kms,commuting_wrk_med_comdist_p_of_ur_f_kms,commuting_wrk_med_comdist_p_of_ur_m_kms,commuting_wrk_avg_comdist_p_of_ur_managers_kms,commuting_wrk_avg_comdist_p_of_ur_pros_kms,commuting_wrk_avg_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_cmty_p_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_avg_comdist_p_of_ur_labourers_kms,commuting_wrk_med_comdist_p_of_ur_managers_kms,commuting_wrk_med_comdist_p_of_ur_pros_kms,commuting_wrk_med_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_cmty_p_wrk_kms,commuting_wrk_med_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_med_comdist_p_of_ur_labourers_kms,commuting_wrk_avg_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_avg_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_avg_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_avg_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_avg_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_avg_comdist_p_of_ur_yr_9_belo_kms,commuting_wrk_med_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_med_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_med_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_med_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_med_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_med_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_med_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_med_comdist_p_of_ur_yr_9_belo_kms,gcc_code16,gcc_name16,ogc_fid
2011,975754,125,188925.0,107895.0,1200504.0,12644.0,15626.0,15459.0,84556.0,1654036.0,118747.0,81610.0,178359.0,30517.0,2063269.0,343808.0,64954.0,1112635.0,1521399.0,3.0,457282.0,106607.0,385713.0,113012.0,68203.0,21731.0,1152551.0,3.0,1615890.0,242552.0,1368899.0,49.7,34.7,5.1,7.6,2.8,,,1575.0,2390.0,64.8,20.0,6.6,0.7,7.9,10.8,15.1,1.9,,,,926062.0,194168.0,391891.0,7004.0,30.4,34.8,31.6,88.0,12.0,87.4,12.6,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,1
2012,934484,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,2
2013,944840,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,3
2014,959458,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,4
2015,985502,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,5
2016,973095,159,249669.0,125503.0,1286546.0,14890.0,16471.0,17078.0,91577.0,1828741.0,147618.0,98906.0,176467.0,20986.0,2272718.0,351423.0,76795.0,1195662.0,1623872.0,3.0,501235.0,116187.0,416588.0,113778.0,76269.0,22992.0,1247047.0,3.0,1717301.0,303434.0,1518312.0,49.3,35.5,4.7,7.6,2.8,85.6,11.7,1996.0,2384.0,65.2,20.3,6.4,0.6,7.5,11.1,16.7,1.9,106750.0,1015542.0,400304.0,924225.0,227235.0,456231.0,9132.0,29.1,33.2,34.1,91.6,8.4,85.8,14.2,60.2,15.3,10.6,16.0,10.8,13.8,16.6,9.5,11.8,16.2,15.0,17.2,13.7,15.9,12.7,16.8,14.3,11.4,10.7,12.1,8.5,11.7,8.1,12.5,9.6,14.8,14.8,14.7,15.8,17.6,15.7,14.8,13.7,11.1,10.4,10.7,10.9,12.0,9.9,9.9,8.5,1GSYD,Greater Sydney,6
2011,508581,78,5195.0,8574.0,762470.0,6966.0,7689.0,8443.0,43396.0,859599.0,12183.0,61422.0,120551.0,17618.0,1071373.0,255336.0,29799.0,664768.0,949900.0,2.0,219110.0,48860.0,283300.0,80704.0,35986.0,9048.0,677002.0,3.0,898484.0,176172.0,727347.0,49.0,31.2,7.0,9.4,3.4,,,991.0,1720.0,64.2,19.0,7.9,1.0,7.8,12.5,20.0,1.9,,,,791640.0,69756.0,73293.0,14141.0,37.7,31.0,27.6,92.0,8.0,90.0,10.0,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,7
2012,473634,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,8
2013,471900,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,9
2014,473603,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,10
2015,478723,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,11
2016,470729,100,5570.0,8224.0,810075.0,6251.0,6824.0,8309.0,39029.0,897875.0,13041.0,64010.0,116274.0,12963.0,1104163.0,269360.0,32214.0,678869.0,980442.0,2.0,217125.0,52808.0,292934.0,78846.0,42014.0,9450.0,693180.0,3.0,895321.0,202701.0,772575.0,47.7,32.2,6.7,9.8,3.6,77.4,19.5,1212.0,1719.0,63.3,18.3,7.9,0.8,9.6,12.6,20.8,1.9,24296.0,749276.0,147283.0,805591.0,90212.0,63144.0,14462.0,37.4,30.6,27.9,94.2,5.8,89.2,10.8,32.8,18.4,7.8,16.3,7.2,16.0,20.8,7.0,8.7,19.7,19.9,19.8,16.4,16.5,13.2,25.3,16.8,7.2,8.7,8.9,6.8,7.8,5.7,13.0,7.0,21.8,20.2,19.7,19.1,19.1,16.2,16.9,16.1,9.0,9.3,8.6,8.4,8.5,6.5,6.9,6.0,1RNSW,Rest of NSW,12
