gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
1GSYD,Greater Sydney,1727.91,1645.558,3373.47,35519,23142,28569,51631,35769,43110
1RNSW,Rest of NSW,843.235,819.2819999999999,1662.523,30620,18154,23160,45664,26640,35365
2GMEL,Greater Melbourne,1550.3,1518.861,3069.157,34620,21067,26520,49615,32184,40299
2RVIC,Rest of Vic.,458.533,458.10400000000004,916.6419999999999,29155,16681,21619,44208,24747,33565
3GBRI,Greater Brisbane,841.927,781.471,1623.401,34700,22000,27312,51974,34348,42560
3RQLD,Rest of Qld,891.5060000000001,816.929,1708.433,29743,17347,22421,49609,29152,38356
4GADE,Greater Adelaide,431.34,429.162,860.5,35309,22265,27518,48739,31363,39660
4RSAU,Rest of SA,122.883,112.59,235.47400000000002,25996,16375,20252,42736,24233,32372
5GPER,Greater Perth,826.1569999999999,715.2560000000001,1541.4160000000002,37602,20716,27783,60501,33302,45487
5RWAU,Rest of WA,208.49,180.729,389.221,32670,15564,22385,59259,28254,41451
6GHOB,Greater Hobart,70.612,75.65,146.255,33065,21235,25760,44458,29786,36523
6RTAS,Rest of Tas.,92.06,88.63600000000001,180.69299999999998,29538,17285,22000,42603,24590,32841
7GDAR,Greater Darwin,76.683,64.58800000000001,141.269,29663,18649,23843,57891,38705,48146
7RNTE,Rest of NT,28.159000000000002,28.135,56.294,21000,14571,17520,43564,32810,37907
8ACTE,Australian Capital Territory,149.391,151.42700000000002,300.824,45362,32145,38139,60658,45633,52767
