gcc_code16,sw_1000_1249_tot,sw_1250_1499_a_15_19,sw_1250_1499_a_20_24,sw_1250_1499_a_25_34,sw_1250_1499_a_35_44,sw_1250_1499_a_45_54,sw_1250_1499_a_55_64,sw_1250_1499_a_65_74,sw_1250_1499_a_75ov,sw_1250_1499_tot,sw_1500_1749_a_15_19,sw_1500_1749_a_20_24,sw_1500_1749_a_25_34,sw_1500_1749_a_35_44,sw_1500_1749_a_45_54,sw_1500_1749_a_55_64,sw_1500_1749_a_65_74,sw_1500_1749_a_75ov,sw_1500_1749_tot,sw_1750_1999_a_15_19,sw_1750_1999_a_20_24,sw_1750_1999_a_25_34,sw_1750_1999_a_35_44,sw_1750_1999_a_45_54,sw_1750_1999_a_55_64,sw_1750_1999_a_65_74,sw_1750_1999_a_75ov,sw_1750_1999_tot,sw_2000_2999_a_15_19,sw_2000_2999_a_20_24,sw_2000_2999_a_25_34,sw_2000_2999_a_35_44,sw_2000_2999_a_45_54,sw_2000_2999_a_55_64,sw_2000_2999_a_65_74,sw_2000_2999_a_75ov,sw_2000_2999_tot,sw_3000mo_a_15_19,sw_3000mo_a_20_24,sw_3000mo_a_25_34,sw_3000mo_a_35_44,sw_3000mo_a_45_54,sw_3000mo_a_55_64,sw_3000mo_a_65_74,sw_3000mo_a_75ov,sw_3000mo_tot,sw_pins_a_15_19,sw_pins_a_20_24,sw_pins_a_25_34,sw_pins_a_35_44,sw_pins_a_45_54,sw_pins_a_55_64,sw_pins_a_65_74,sw_pins_a_75ov,sw_pins_tot,sw_tot_a_15_19,sw_tot_a_20_24,sw_tot_a_25_34,sw_tot_a_35_44,sw_tot_a_45_54,sw_tot_a_55_64,sw_tot_a_65_74,sw_tot_a_75ov,sw_tot_tot,maopd_nni_a_15_19,maopd_nni_a_20_24,maopd_nni_a_25_34,maopd_nni_a_35_44,maopd_nni_a_45_54,maopd_nni_a_55_64,maopd_nni_a_65_74,maopd_nni_a_75ove,maopd_nni_tot,maopd_1_149_a_15_19,maopd_1_149_a_20_24,maopd_1_149_a_25_34,maopd_1_149_a_35_44,maopd_1_149_a_45_54,maopd_1_149_a_55_64,maopd_1_149_a_65_74,maopd_1_149_a_75ov,maopd_1_149_tot,maopd_150_299_a_15_19,maopd_150_299_a_20_24,maopd_150_299_a_25_34,maopd_150_299_a_35_44,maopd_150_299_a_45_54,maopd_150_299_a_55_64,maopd_150_299_a_65_74,maopd_150_299_a_75ov,maopd_150_299_tot,maopd_300_399_a_15_19,maopd_300_399_a_20_24,maopd_300_399_a_25_34,maopd_300_399_a_35_44,maopd_300_399_a_45_54,maopd_300_399_a_55_64,maopd_300_399_a_65_74,maopd_300_399_a_75ov,maopd_300_399_tot,maopd_400_499_a_15_19,maopd_400_499_a_20_24,maopd_400_499_a_25_34,maopd_400_499_a_35_44,maopd_400_499_a_45_54,maopd_400_499_a_55_64,maopd_400_499_a_65_74,maopd_400_499_a_75ov,maopd_400_499_tot,maopd_500_649_a_15_19,maopd_500_649_a_20_24,maopd_500_649_a_25_34,maopd_500_649_a_35_44,maopd_500_649_a_45_54,maopd_500_649_a_55_64,maopd_500_649_a_65_74,maopd_500_649_a_75ov,maopd_500_649_tot,maopd_650_799_a_15_19,maopd_650_799_a_20_24,maopd_650_799_a_25_34,maopd_650_799_a_35_44,maopd_650_799_a_45_54,maopd_650_799_a_55_64,maopd_650_799_a_65_74,maopd_650_799_a_75ov,maopd_650_799_tot,maopd_800_999_a_15_19,maopd_800_999_a_20_24,maopd_800_999_a_25_34,maopd_800_999_a_35_44,maopd_800_999_a_45_54,maopd_800_999_a_55_64,maopd_800_999_a_65_74,maopd_800_999_a_75ov,maopd_800_999_tot,maopd_1000_1249_a_15_19,maopd_1000_1249_a_20_24,maopd_1000_1249_a_25_34,maopd_1000_1249_a_35_44,maopd_1000_1249_a_45_54,maopd_1000_1249_a_55_64,maopd_1000_1249_a_65_74,maopd_1000_1249_a_75ov,maopd_1000_1249_tot,maopd_1250_1499_a_15_19,maopd_1250_1499_a_20_24,maopd_1250_1499_a_25_34,maopd_1250_1499_a_35_44,maopd_1250_1499_a_45_54,maopd_1250_1499_a_55_64,maopd_1250_1499_a_65_74,maopd_1250_1499_a_75ov,maopd_1250_1499_tot,maopd_1500_1749_a_15_19,maopd_1500_1749_a_20_24,maopd_1500_1749_a_25_34,maopd_1500_1749_a_35_44,maopd_1500_1749_a_45_54,maopd_1500_1749_a_55_64,maopd_1500_1749_a_65_74,maopd_1500_1749_a_75ov,maopd_1500_1749_tot,maopd_1750_1999_a_15_19,maopd_1750_1999_a_20_24,maopd_1750_1999_a_25_34,maopd_1750_1999_a_35_44,maopd_1750_1999_a_45_54,maopd_1750_1999_a_55_64,maopd_1750_1999_a_65_74,maopd_1750_1999_a_75ov,maopd_1750_1999_tot,maopd_2000_2999_a_15_19,maopd_2000_2999_a_20_24,maopd_2000_2999_a_25_34,maopd_2000_2999_a_35_44,maopd_2000_2999_a_45_54,maopd_2000_2999_a_55_64,maopd_2000_2999_a_65_74,maopd_2000_2999_a_75ov,maopd_2000_2999_tot,maopd_3000mo_a_15_19,maopd_3000mo_a_20_24,maopd_3000mo_a_25_34,maopd_3000mo_a_35_44,maopd_3000mo_a_45_54,maopd_3000mo_a_55_64,maopd_3000mo_a_65_74,maopd_3000mo_a_75ov,maopd_3000mo_tot,maopd_pins_a_15_19,maopd_pins_a_20_24,maopd_pins_a_25_34,maopd_pins_a_35_44,maopd_pins_a_45_54,maopd_pins_a_55_64,maopd_pins_a_65_74,maopd_pins_a_75ov,maopd_pins_tot,maopd_tot_a_15_19,gcc_name16
1RNSW,6646,11,117,689,848,909,655,128,15,3367,0,58,352,520,649,456,91,11,2141,0,13,186,313,315,217,64,13,1120,3,8,197,370,435,338,100,15,1464,16,23,101,244,267,199,78,17,940,505,231,229,218,254,190,78,20,1715,22812,14276,15949,14512,17005,13276,3274,420,101526,35,18,33,50,92,55,16,3,304,491,93,45,48,76,92,40,10,891,261,220,133,116,215,258,128,17,1345,154,241,213,216,310,447,277,43,1904,139,252,270,318,475,629,368,47,2505,170,509,612,605,1025,1168,551,58,4699,135,715,1420,1404,1901,1800,572,43,7991,97,773,1963,2243,3186,2923,560,37,11782,49,556,2006,2392,3345,2977,498,36,11853,20,245,1398,1752,2233,1710,260,20,7634,3,185,1165,1441,1715,1207,180,10,5901,7,88,877,1207,1261,768,83,7,4295,4,67,1438,2173,2060,1162,98,7,7008,3,20,212,327,340,168,42,10,1124,26,54,179,228,343,289,95,25,1239,1587,Rest of NSW
1GSYD,17596,23,503,3382,2717,2350,1510,376,36,10887,14,210,2444,2240,1996,1119,272,34,8338,9,102,1466,1567,1240,674,185,27,5276,4,78,2089,2743,2167,1069,280,28,8467,25,51,975,2190,1913,801,229,60,6249,532,489,520,392,404,319,113,24,2795,32610,35963,44611,32616,30309,20285,5737,716,202837,45,59,102,92,112,73,17,4,502,578,289,124,107,113,101,56,4,1376,450,596,405,322,413,482,171,26,2860,237,714,710,558,743,768,272,23,4029,221,747,1093,898,1008,986,343,48,5348,314,1156,1903,1767,2075,1881,546,63,9710,322,1857,4220,3761,4326,3362,791,52,18691,201,1739,5711,5567,6391,4675,915,51,25246,77,915,4425,5107,5883,4549,856,32,21852,24,364,2382,3096,3535,2582,485,22,12487,12,177,1443,2088,2447,1652,303,13,8143,4,65,820,1372,1325,849,129,7,4560,3,52,753,1280,1283,770,123,4,4271,3,35,150,260,261,138,31,0,874,39,113,327,375,464,379,97,12,1799,2540,Greater Sydney
2RVIC,3527,5,57,398,461,436,329,81,5,1784,0,21,169,305,344,219,57,11,1132,4,10,127,186,176,127,34,8,677,0,8,126,250,236,140,47,11,818,29,17,45,129,143,93,39,13,509,311,139,97,130,164,149,47,9,1050,13550,8344,8392,8055,9532,7557,1859,208,57511,13,9,23,20,39,33,10,3,146,130,33,23,26,45,53,16,0,334,84,126,97,73,108,132,82,3,711,57,118,136,128,170,257,140,20,1026,61,151,158,163,277,356,164,20,1349,85,248,340,358,570,662,305,31,2597,94,497,809,842,1172,1168,297,29,4896,61,436,1141,1306,1933,1714,326,19,6930,23,285,1047,1319,1904,1650,271,29,6529,6,120,569,847,1083,888,157,12,3689,3,68,392,556,734,549,79,9,2390,4,21,247,322,451,308,47,4,1393,3,14,240,336,512,352,36,3,1492,0,6,68,106,125,103,16,3,427,13,47,83,126,199,210,52,7,739,640,Rest of Vic.
2GMEL,16224,17,384,3037,2463,2273,1318,334,27,9854,14,188,1876,2004,1791,981,257,17,7125,7,78,1084,1346,1211,611,155,22,4514,10,67,1486,2256,1882,902,197,20,6809,34,59,634,1589,1368,615,154,30,4488,776,665,536,473,514,353,126,27,3470,35343,40079,42474,30215,29637,19170,5264,618,202783,35,68,92,72,105,78,22,3,467,473,313,167,97,128,104,46,5,1341,322,688,561,354,322,336,130,17,2733,151,739,933,567,533,507,201,22,3668,160,694,1109,822,834,756,306,39,4724,193,1129,2217,1712,1911,1697,501,47,9402,198,1864,4598,3978,4514,3422,704,39,19313,124,1586,5648,5642,6724,4833,770,36,25361,37,695,4190,5057,5922,4377,736,39,21049,5,221,2065,2644,3198,2263,384,17,10802,0,93,1072,1578,2023,1418,244,9,6443,0,54,555,863,1137,739,124,3,3482,0,37,570,973,1114,704,99,8,3504,5,9,126,189,203,161,33,7,733,28,156,331,346,570,406,102,9,1945,1733,Greater Melbourne
3GBRI,8214,3,190,1245,1251,1183,782,163,22,4840,8,81,757,1024,988,647,166,25,3696,3,36,389,602,586,310,109,7,2041,6,23,482,872,867,443,115,21,2833,18,28,266,543,562,309,102,33,1861,347,205,194,150,178,150,40,9,1277,21303,17847,18303,14205,14403,10062,2814,312,99241,29,25,36,52,54,40,13,0,256,436,130,66,57,53,55,26,4,830,348,310,179,149,131,141,67,8,1339,188,373,365,205,221,252,133,17,1749,144,392,491,300,342,366,183,19,2230,216,668,920,735,833,765,327,30,4499,207,1252,2475,1919,2010,1539,399,32,9837,174,1197,3283,2956,3232,2398,431,13,13677,67,651,2459,2898,3188,2334,431,23,12047,15,248,1281,1546,1852,1229,206,3,6391,5,89,712,963,1191,787,119,10,3867,0,37,364,523,621,407,68,0,2022,0,27,354,585,603,349,52,3,1970,3,14,74,120,125,63,16,0,412,28,81,140,193,228,190,54,0,907,1869,Greater Brisbane
3RQLD,7743,12,145,763,952,1096,729,226,18,3932,4,54,421,678,772,545,133,17,2627,3,17,171,379,408,311,88,20,1401,3,14,255,476,545,374,130,25,1814,20,19,124,319,302,235,94,28,1144,464,220,204,202,276,213,80,7,1663,23364,14195,15974,15208,17541,13273,3935,417,103913,39,21,45,50,84,85,32,0,355,366,88,51,67,76,83,43,4,768,280,217,148,145,194,245,129,19,1376,173,209,217,213,325,378,233,32,1782,167,281,354,356,419,587,333,44,2533,203,498,654,719,1067,1070,476,43,4730,177,891,1594,1515,1983,1724,516,36,8434,118,856,2126,2381,3065,2657,525,30,11753,70,655,2106,2393,3100,2540,464,18,11357,31,373,1558,1711,2189,1511,228,10,7604,25,255,1382,1542,1825,1169,157,8,6355,13,154,1283,1461,1561,953,122,4,5551,6,165,2021,2662,2620,1466,139,9,9103,0,29,486,712,697,389,49,4,2379,27,76,222,270,373,332,95,10,1414,1703,Rest of Qld
4RSAU,871,0,21,87,76,118,89,20,4,412,0,8,33,55,94,71,16,3,274,0,0,16,28,47,36,6,0,131,0,0,17,24,46,31,4,3,129,5,4,4,27,37,20,10,0,102,63,27,25,28,36,21,12,3,215,2736,1663,2065,2030,2608,1962,446,59,13557,4,3,10,16,13,11,0,0,53,62,19,8,7,11,17,4,4,132,30,29,18,15,36,54,30,6,221,16,29,25,34,57,76,49,4,286,26,28,38,49,85,89,71,12,400,21,54,89,114,157,195,113,19,751,30,114,215,219,299,272,86,12,1245,24,142,352,347,507,457,92,4,1929,11,124,382,396,584,542,71,5,2110,6,61,299,306,402,302,27,0,1402,7,60,261,295,380,256,27,0,1274,3,26,200,235,284,137,21,3,909,3,21,244,316,300,167,19,0,1069,4,4,40,50,40,45,12,5,193,3,17,27,46,55,46,16,4,202,232,Rest of SA
4GADE,4471,4,50,517,617,635,430,79,12,2342,0,27,271,442,426,328,68,12,1580,0,12,121,254,265,158,41,0,850,6,8,123,336,378,178,45,9,1073,8,4,52,150,173,126,51,15,582,180,146,101,85,115,74,23,4,739,11137,10420,10074,7936,8956,6231,1572,216,56532,17,7,15,12,31,23,5,3,114,183,89,36,16,31,35,17,0,401,130,193,127,75,101,78,46,9,757,74,171,223,135,140,144,73,10,964,52,148,265,192,225,254,107,17,1262,79,262,541,412,502,470,171,7,2445,58,494,1177,951,1233,944,165,14,5031,30,377,1475,1642,1952,1466,209,17,7171,10,182,1081,1430,1729,1268,191,7,5904,3,63,496,658,808,567,85,0,2689,0,33,312,370,498,336,53,3,1610,0,16,173,219,281,147,33,0,865,0,16,151,201,251,163,17,0,798,0,0,35,41,52,41,7,3,181,16,11,72,83,109,75,20,3,390,642,Greater Adelaide
5GPER,6245,12,168,1040,982,985,683,169,19,4054,6,55,636,745,804,524,136,20,2937,6,47,358,482,455,367,92,9,1808,0,50,420,731,734,458,125,16,2533,15,21,197,422,497,292,92,29,1566,283,228,161,120,173,100,47,6,1113,17496,15528,14626,11090,12114,8737,2562,310,82462,17,24,42,45,41,36,17,0,226,358,132,53,34,48,48,19,0,692,285,294,189,116,135,127,58,7,1211,109,282,269,171,190,189,105,24,1332,79,275,396,238,258,289,138,13,1687,128,406,676,523,499,526,217,23,2993,115,796,1443,951,1028,799,243,18,5397,82,789,2235,1753,2005,1481,323,17,8695,32,482,2136,2143,2405,1899,364,12,9473,5,187,1179,1353,1545,1131,216,16,5639,3,109,897,949,1216,838,144,6,4160,0,60,586,651,727,499,90,4,2616,0,56,839,982,1005,571,85,8,3540,0,14,155,277,272,172,16,3,914,14,48,105,144,180,136,41,7,679,1243,Greater Perth
5RWAU,1403,5,49,151,170,201,137,51,6,765,0,34,93,109,156,93,32,3,516,0,8,45,84,87,68,13,0,304,0,5,50,87,104,67,21,4,342,4,3,34,62,64,64,26,3,254,84,30,31,36,61,39,7,0,291,4028,1897,2778,2666,3232,2416,625,61,17712,3,11,17,31,35,22,12,0,126,65,10,17,21,28,19,8,0,162,26,24,35,27,49,58,22,6,247,15,22,46,39,70,90,46,0,328,13,25,47,39,80,117,77,17,426,27,65,114,111,197,163,119,7,797,26,132,211,199,284,305,113,17,1284,26,195,349,358,541,521,123,7,2122,29,204,506,631,834,737,143,13,3093,4,162,578,604,760,583,100,4,2795,6,167,891,878,1006,721,99,7,3773,4,161,1048,1037,1221,770,97,0,4335,8,179,2437,2792,2792,1552,140,10,9919,3,40,643,971,1042,595,69,3,3357,4,24,97,126,161,106,26,3,551,266,Rest of WA
