gcc_name16,gcc_code16,ag_for_fish_ocmngr,ag_for_fish_ocprof,ag_for_fish_octechtrdw,ag_for_fish_occompers,ag_for_fish_occlericadm,ag_for_fish_ocsaleswk,ag_for_fish_ocmacop_driv,ag_for_fish_oclab,ag_for_fish_ocid_ns,agri_for_fish_tot,mining_ocmngr,mining_ocprof,mining_octechtrdw,mining_occompers,mining_occlericadm,mining_ocsaleswk,mining_ocmacop_driv,mining_oclab,mining_ocid_ns,mining_tot,manufact_ocmngr,manufact_ocprof,manufact_octechtrdw,manufact_occompers,manufact_occlericadm,manufact_ocsaleswk,manufact_ocmacop_driv,manufact_oclab,manufact_ocid_ns,manufacturing_tot,el_gas_w_w_ocmngr,el_gas_w_w_ocprof,el_gas_w_w_octechtrdw,el_gas_w_w_occompers,el_gas_w_w_occlericadm,el_gas_w_w_ocsaleswk,el_gas_w_w_ocmacop_driv,el_gas_w_w_oclab,el_gas_w_w_ocid_ns,el_gas_w_w_tot,construc_ocmngr,construc_ocprof,construc_octechtrdw,construc_occompers,construc_occlericadm,construc_ocsaleswk,construc_ocmacop_driv,construc_oclab,construc_ocid_ns,construction_tot,whlesaletde_ocmngr,whlesaletde_ocprof,whlesaletde_octechtrdw,whlesaletde_occompers,whlesaletde_occlericadm,whlesaletde_ocsaleswk,whlesaletde_ocmacop_driv,whlesaletde_oclab,whlesaletde_ocid_ns,whlesaletde_tot,rettde_ocmngr,rettde_ocprof,rettde_octechtrdw,rettde_occompers,rettde_occlericadm,rettde_ocsaleswk,rettde_ocmacop_driv,rettde_oclab,rettde_ocid_ns,rettde_tot,acom_food_ocmngr,acom_food_ocprof,acom_food_octechtrdw,acom_food_occompers,acom_food_occlericadm,acom_food_ocsaleswk,acom_food_ocmacop_driv,acom_food_oclab,acom_food_ocid_ns,acom_food_scs_tot,trans_po_wh_ocmngr,trans_po_wh_ocprof,trans_po_wh_octechtrdw,trans_po_wh_occompers,trans_po_wh_occlericadm,trans_po_wh_ocsaleswk,trans_po_wh_ocmacop_driv,trans_po_wh_oclab,trans_po_wh_ocid_ns,trans_po_wh_tot,infon_med_tel_ocmngr,infon_med_tel_ocprof,infon_med_tel_octechtrdw,infon_med_tel_occompers,infon_med_tel_occlericadm,infon_med_tel_ocsaleswk,infon_med_tel_ocmacop_driv,infon_med_tel_oclab,infon_med_tel_ocid_ns,infon_med_tel_tot,fin_and_ins_s_ocmngr,fin_and_ins_s_ocprof,fin_and_ins_s_octechtrdw,fin_and_ins_s_occompers,fin_and_ins_s_occlericadm,fin_and_ins_s_ocsaleswk,fin_and_ins_s_ocmacop_driv,fin_and_ins_s_oclab,fin_and_ins_s_ocid_ns,fin_and_ins_s_tot,rent_hi_re_es_ocmngr,rent_hi_re_es_ocprof,rent_hi_re_es_octechtrdw,rent_hi_re_es_occompers,rent_hi_re_es_occlericadm,rent_hi_re_es_ocsaleswk,rent_hi_re_es_ocmacop_driv,rent_hi_re_es_oclab,rent_hi_re_es_ocid_ns,rent_hi_re_es_tot,prof_sci_tec_ocmngr,prof_sci_tec_ocprof,prof_sci_tec_octechtrdw,prof_sci_tec_occompers,prof_sci_tec_occlericadm,prof_sci_tec_ocsaleswk,prof_sci_tec_ocmacop_driv,prof_sci_tec_oclab,prof_sci_tec_ocid_ns,prof_sci_tec_tot,admin_sup_s_ocmngr,admin_sup_s_ocprof,admin_sup_s_octechtrdw,admin_sup_s_occompers,admin_sup_s_occlericadm,admin_sup_s_ocsaleswk,admin_sup_s_ocmacop_driv,admin_sup_s_oclab,admin_sup_s_ocid_ns,admin_sup_s_tot,pub_adm_sfty_ocmngr,pub_adm_sfty_ocprof,pub_adm_sfty_octechtrdw,pub_adm_sfty_occompers,pub_adm_sfty_occlericadm,pub_adm_sfty_ocsaleswk,pub_adm_sfty_ocmacop_driv,pub_adm_sfty_oclab,pub_adm_sfty_ocid_ns,pub_adm_sfty_tot,educ_training_ocmngr,educ_training_ocprof,educ_training_octechtrdw,educ_training_occompers,educ_training_occlericadm,educ_training_ocsaleswk,educ_training_ocmacop_driv,educ_training_oclab,educ_training_ocid_ns,educ_training_tot,hlth_care_soc_ocmngr,hlth_care_soc_ocprof,hlth_care_soc_octechtrdw,hlth_care_soc_occompers,hlth_care_soc_occlericadm,hlth_care_soc_ocsaleswk,hlth_care_soc_ocmacop_driv,hlth_care_soc_oclab,hlth_care_soc_ocid_ns,hlth_care_soc_tot,artrecreatocmngr,artrecreatocprof,artrecreatoctechtrdw,artrecreatoccompers,artrecreatocclericadm,artrecreatocsaleswk,artrecreatocmacop_driv,artrecreatoclab,artrecreatocid_ns,artrecreattot,other_scs_ocmngr,other_scs_ocprof,other_scs_octechtrdw,other_scs_occom_ps_w,other_scs_occlericadmin,other_scs_ocsaleswk,other_scs_ocmacop_driv,other_scs_oclab,other_scs_ocid_ns,other_scs_tot,id_ns_ocmngr,id_ns_ocprof,id_ns_octechtrdw,id_ns_occompers,id_ns_occlericadm,id_ns_ocsaleswk,id_ns_ocmacop_driv,id_ns_oclab,id_ns_ocid_ns,id_ns_tot
Rest of NSW,1RNSW,36586,1411,3680,159,2392,701,2986,13995,641,62555,1882,2434,7746,98,1304,99,12112,929,316,26925,8714,4595,18424,692,5479,3913,8989,14760,772,66320,1437,1803,4634,50,2109,254,2393,1228,192,14086,10857,2432,46164,163,8216,1216,9871,16023,834,95770,3970,2105,2478,93,3283,5339,3117,1595,194,22175,16919,3051,7950,1075,5897,65606,3175,10075,528,114261,14493,645,11216,25243,3683,10376,1577,19172,587,86995,4337,1929,2372,907,8407,1681,21524,2439,405,43985,1356,2997,2041,85,1487,1406,127,313,113,9913,2950,5605,403,132,11564,917,177,238,365,22357,1592,1038,650,206,3017,7360,555,791,207,15417,4259,23745,6499,212,12905,770,334,1034,383,50141,2352,2819,3433,3090,5215,553,1221,16918,322,35924,9243,15803,6942,17045,20062,411,3768,4697,1558,79529,7044,58628,2597,16643,11011,306,449,2449,474,99607,7037,59905,5544,54537,20556,789,1144,8021,1032,158555,1936,2852,1786,3459,1279,632,259,1359,145,13706,2696,2849,22104,5685,4349,851,784,3854,294,43467,4389,3026,7043,2025,4351,2950,3897,5966,8812,42468
Greater Sydney,1GSYD,3760,528,947,63,779,346,589,2757,148,9919,866,1097,813,30,519,65,1089,227,67,4773,23576,16198,27991,1166,15478,7751,17609,19439,1618,130833,2799,3893,3430,77,2930,468,2681,1222,265,17755,26862,10682,86042,362,19104,2718,10244,28357,1969,186332,19816,16157,4947,205,15306,11314,9551,3297,879,81471,35107,14713,11349,2070,14602,108756,9731,14114,1452,211890,25794,3223,23022,45878,6318,18246,2760,25483,1104,151831,12179,8642,4197,3890,24829,5340,48431,5558,1530,114594,11781,29373,7360,333,7739,4472,599,991,770,63423,26691,55892,2131,660,49555,5242,902,1042,2692,144806,6613,6442,1348,412,8664,17885,833,1282,708,44186,31848,130319,15054,706,36294,4870,727,1677,2220,223708,10587,11720,5029,7396,11961,2490,2802,28611,804,81401,15293,30640,8645,26903,31639,737,4002,4196,2386,124432,15129,113147,4375,24795,20033,711,771,2784,1011,182770,14656,110981,8845,75413,37574,1971,2110,9958,1847,263351,6022,9667,3115,10079,4233,1804,397,2136,505,37955,7580,9149,31894,13045,9250,1866,1255,6162,699,80900,14810,15341,14521,4741,14326,8004,10931,12154,21556,116381
Rest of Vic.,2RVIC,29309,1001,2480,125,1510,483,2152,9981,446,47481,466,430,1280,27,251,26,1752,319,68,4618,6750,3084,12793,628,3649,2949,6712,13256,532,50356,1173,1228,2546,45,1566,149,1774,831,163,9474,6303,1016,27867,125,4188,707,5273,8533,476,54481,2363,1209,1325,61,1827,3525,1917,1407,102,13734,9871,1949,4497,545,3640,36646,2206,5723,283,65363,7676,244,5574,11359,1350,5927,449,10685,271,43530,2549,969,1244,466,4460,1050,12216,1223,234,24408,823,1833,1353,63,973,834,89,241,67,6273,1579,3431,152,69,5849,413,42,73,148,11759,672,494,307,133,1471,3096,219,305,88,6785,2165,11871,3703,97,6871,446,138,467,213,25977,1184,1381,2258,1399,2490,241,590,7898,151,17593,4037,6542,2435,12531,8358,168,1131,2035,787,38019,3691,31990,1580,9232,5104,157,205,1272,279,53513,3884,34107,3248,29412,11234,424,509,5414,472,88708,1374,1651,1294,2245,784,481,127,1132,116,9192,1364,1474,11503,2875,2054,422,378,2235,135,22437,2902,1648,4165,1177,2183,1688,2244,3637,5255,24896
Greater Melbourne,2GMEL,4794,811,1352,81,1121,494,930,3630,163,13368,855,1373,667,21,493,43,810,168,74,4500,29028,19342,34690,1581,17319,9453,22188,27002,1630,162231,3734,5226,2655,47,4541,1165,2573,1079,299,21319,21801,7700,89674,305,16121,2649,8902,24737,1586,173467,17315,12291,4988,222,13909,11748,9741,3742,587,74537,35410,13752,11026,1883,14577,113919,8763,13712,1099,214139,22754,1810,20929,39766,4484,18453,1714,26441,702,137055,11936,8903,4082,3130,22916,5089,43266,5058,1156,105527,8631,19201,5987,330,6344,3986,345,646,429,45902,15302,34636,1080,411,37431,3905,292,284,1526,94869,5281,4718,1191,587,7243,14737,658,1301,496,36207,25372,110725,14773,722,31906,3705,787,1600,1707,191289,8559,9931,6647,6614,12343,2040,2776,25979,742,75634,12896,26158,5316,28172,25591,525,1069,4040,2412,106181,14117,113772,4971,27637,17702,685,387,2454,931,182653,13490,107837,8419,75280,34797,1624,1827,8519,1316,253104,7326,10011,3374,13253,4122,2120,318,2432,553,43509,7038,7464,31538,12079,8266,1612,1189,6033,525,75730,13969,12600,13503,4320,12019,7265,10365,11613,18639,104281
Greater Brisbane,3GBRI,3598,564,658,43,709,267,585,3468,105,10005,2307,4012,2036,67,1530,80,1906,362,131,12424,10238,5651,17039,606,7593,3775,9586,14884,727,70099,1761,2685,2408,36,2132,204,1680,632,140,11681,11113,4384,43313,159,9856,1436,6706,14740,855,92558,6223,4155,2659,160,5760,5215,5150,2181,272,31776,15434,4998,5871,942,6522,54317,4836,8648,501,102071,11027,1158,8440,20305,2381,10174,1680,14265,408,69836,6259,5442,3342,1956,12566,2560,24266,3587,731,60712,2300,5078,2538,144,2456,1686,161,374,220,14956,4947,11023,498,121,15313,1818,150,138,586,34594,2817,2147,837,311,4070,9434,636,1011,294,21539,10025,46205,8441,328,15999,1429,439,1063,718,84646,3708,4451,2901,3513,6027,879,1150,14770,350,37751,8832,19409,4936,15709,21684,433,1365,2399,1349,76123,7704,55447,3100,16994,10641,507,286,3486,499,98669,7340,57233,5059,42505,21196,985,950,4983,877,141121,2509,3587,1521,4259,1933,803,229,1213,174,16227,3612,3902,16803,6531,4619,880,698,3483,288,40813,5457,4770,6676,1934,5558,3096,4765,5735,8191,46178
Rest of Qld,3RQLD,24947,1390,2171,235,2272,512,3670,14540,443,50175,2273,2891,11881,199,1890,98,16156,1643,443,37480,7798,3197,18639,675,5352,3520,7925,10883,540,58530,1130,1314,4206,44,1845,203,2187,1064,188,12174,11050,2466,46780,178,10238,1334,9709,15794,906,98465,4475,1975,2970,130,3703,5578,3570,1932,210,24544,16854,3197,7294,995,6114,61634,3252,9680,498,109519,15289,1104,11297,22656,4610,10819,1470,18656,540,86450,4546,3497,3360,1931,8502,1831,20286,2735,528,47215,1364,2710,2141,101,1729,1553,173,369,141,10283,2487,5562,285,75,9348,1277,149,153,342,19666,2517,1309,981,258,3876,9952,699,1050,285,20921,4354,22139,6912,192,12337,1034,422,1138,351,48870,2999,2768,3384,3624,5997,1130,1184,16002,330,37422,5773,11045,6231,15788,15711,454,3060,4858,985,63910,6427,50914,2876,18861,8697,359,371,4410,422,93333,6092,50516,4370,46124,19180,917,881,6646,849,135571,2357,3021,2228,4725,1666,1120,464,1562,215,17366,3003,2822,20325,6150,4453,869,664,3950,313,42551,5259,3334,7650,2060,5020,3442,3790,5959,8543,45065
Rest of SA,4RSAU,13051,488,1174,41,1012,184,1212,5782,168,23113,271,356,1389,28,196,4,1910,223,65,4452,1850,949,3454,189,1141,707,2298,4144,192,14924,158,61,574,3,181,43,338,283,42,1693,1232,151,5220,40,995,138,1415,1795,90,11069,626,309,442,15,514,960,547,717,51,4180,2417,358,1266,125,902,9064,486,1813,65,16507,2130,48,1321,2617,395,1114,113,2802,66,10610,651,228,353,99,1250,226,3304,376,57,6544,104,257,199,5,168,141,15,44,10,952,229,464,13,13,1107,110,3,27,23,1995,135,79,65,38,365,705,48,97,25,1558,274,1522,704,31,1265,89,47,160,38,4138,318,395,563,417,457,62,271,2662,66,5211,779,1299,596,2224,1854,59,395,499,146,7864,720,6622,393,2654,1200,21,152,248,44,12050,781,5642,606,7944,2293,124,91,1495,146,19121,170,256,251,268,137,36,14,187,9,1326,310,371,3083,611,573,86,96,562,41,5729,602,267,759,225,453,311,523,966,1200,5303
Greater Adelaide,4GADE,2897,296,510,15,461,162,376,2059,91,6871,650,1267,1073,47,427,22,1033,181,53,4754,6940,4105,10709,563,4321,2905,5345,9230,484,44593,1052,1369,1497,16,1590,299,998,493,141,7462,5270,1682,22355,345,4435,827,3215,6889,491,45503,3394,2261,1767,40,2638,3069,2424,1237,151,16988,9359,2625,3405,630,3679,34553,2707,5945,290,63195,6395,372,5163,11617,1110,4906,603,8689,208,39067,2401,1350,1167,766,5652,998,10630,1165,238,24359,1135,2727,1578,48,1588,1091,88,309,108,8679,2403,5154,273,122,9166,801,52,53,268,18287,1089,792,346,191,1740,3478,179,454,134,8408,3907,20287,3990,131,7254,623,231,615,302,37334,1690,1963,2036,2431,2577,403,643,9583,203,21528,4984,11811,3241,9967,12101,266,602,1065,976,45013,3966,31660,1710,8152,5787,163,141,608,237,52423,4237,35346,3099,29797,12791,627,642,4253,509,91299,1423,1696,832,2721,954,449,98,534,107,8809,1895,2176,10099,3465,2616,524,431,1972,174,23353,2141,1910,2738,905,2145,1365,1734,2424,3769,19133
Greater Perth,5GPER,2434,459,634,24,589,202,437,2113,100,6994,5858,11594,11345,344,4510,150,9271,2204,683,45956,7913,4935,15862,726,5797,3241,6670,6242,661,52043,1645,2337,2042,31,2011,198,1239,566,184,10260,10113,4948,44624,218,10069,1437,6274,12812,1005,91517,4721,2902,2525,70,4338,4028,4186,1761,246,24783,13008,3992,4895,760,5429,49031,3786,8414,461,89774,9224,758,8504,17023,1925,7935,1256,12441,350,59412,4160,3023,2287,1490,8912,1563,17909,2076,473,41895,1425,3088,2003,71,1460,1349,125,496,137,10153,3515,8330,457,92,10405,1068,210,123,394,24599,2254,1669,824,202,3754,6860,384,637,214,16788,7732,35811,7675,232,11917,976,497,979,529,66361,2814,3097,3052,2597,4284,647,1059,12763,307,30622,6643,14299,4489,13589,15011,297,1067,2287,1159,58848,6010,46191,3237,14984,7420,264,168,2655,435,81359,5159,45592,4661,34399,16535,695,951,4567,679,113247,2382,2892,1488,5104,1661,766,135,1246,163,15838,3094,3374,15586,5934,3867,695,726,3174,276,36729,5291,5183,7421,1786,5336,2817,3895,4816,6493,43030
Rest of WA,5RWAU,12800,524,1252,52,823,168,1160,4501,195,21476,1387,2420,8872,215,1256,54,10118,1479,431,26227,1444,727,4041,173,971,632,1806,2478,158,12430,278,195,1142,12,403,27,554,405,82,3097,1852,550,10450,39,1998,201,2824,3566,237,21719,729,370,694,19,656,1039,639,491,43,4678,3167,486,1390,147,1110,11108,556,2454,102,20520,3034,85,2038,3359,857,1451,190,3841,133,14977,1103,699,857,228,1920,322,5159,660,131,11073,151,356,295,8,165,204,21,67,19,1283,307,617,49,11,1405,127,52,27,34,2633,430,155,293,77,683,1341,150,182,37,3338,548,2977,1472,56,1935,108,168,365,65,7689,511,479,895,531,955,125,334,3315,78,7224,1479,2135,1113,3561,3035,68,704,1022,250,13374,1510,9968,901,4421,1398,47,52,1111,109,19521,1046,7830,892,7955,3171,137,166,1189,164,22551,423,594,296,566,303,102,31,244,32,2596,573,667,4385,1151,1034,177,194,810,76,9080,1044,613,2011,444,971,570,980,1537,1754,9929
