gcc_name16,gcc_code16,f_id_ns_0,f_id_ns_1_15,f_id_ns_16_24,f_id_ns_25_34,f_id_ns_35_39,f_id_ns_40,f_id_ns_41_48,f_id_ns_49over,f_id_ns_hours_ns,f_id_ns_tot,f_tot_0,f_tot_1_15,f_tot_16_24,f_tot_25_34,f_tot_35_39,f_tot_40,f_tot_41_48,f_tot_49over,f_tot_hours_ns,f_tot_tot,p_agriforestfish_0,p_agriforestfish_1_15,p_agriforestfish_16_24,p_agriforestfish_25_34,p_agriforestfish_35_39,p_agriforestfish_40,p_agriforestfish_41_48,p_agriforestfish_49over,p_agriforestfish_hours_ns,p_agriforestfish_tot,p_min_0,p_min_1_15,p_min_16_24,p_min_25_34,p_min_35_39,p_min_40,p_min_41_48,p_min_49over,p_min_hours_ns,p_min_tot,p_mnfg_0,p_mnfg_1_15,p_mnfg_16_24,p_mnfg_25_34,p_mnfg_35_39,p_mnfg_40,p_mnfg_41_48,p_mnfg_49over,p_mnfg_hours_ns,p_mnfg_tot,p_egw_ws_0,p_egw_ws_1_15,p_egw_ws_16_24,p_egw_ws_25_34,p_egw_ws_35_39,p_egw_ws_40,p_egw_ws_41_48,p_egw_ws_49over,p_egw_ws_hours_ns,p_egw_ws_tot,p_cnstn_0,p_cnstn_1_15,p_cnstn_16_24,p_cnstn_25_34,p_cnstn_35_39,p_cnstn_40,p_cnstn_41_48,p_cnstn_49over,p_cnstn_hours_ns,p_cnstn_tot,p_wtrade_0,p_wtrade_1_15,p_wtrade_16_24,p_wtrade_25_34,p_wtrade_35_39,p_wtrade_40,p_wtrade_41_48,p_wtrade_49over,p_wtrade_hours_ns,p_wtrade_tot,p_rtrade_0,p_rtrade_1_15,p_rtrade_16_24,p_rtrade_25_34,p_rtrade_35_39,p_rtrade_40,p_rtrade_41_48,p_rtrade_49over,p_rtrade_hours_ns,p_rtrade_tot,p_accomfoods_0,p_accomfoods_1_15,p_accomfoods_16_24,p_accomfoods_25_34,p_accomfoods_35_39,p_accomfoods_40,p_accomfoods_41_48,p_accomfoods_49over,p_accomfoods_hours_ns,p_accomfoods_tot,p_transpostwhse_0,p_transpostwhse_1_15,p_transpostwhse_16_24,p_transpostwhse_25_34,p_transpostwhse_35_39,p_transpostwhse_40,p_transpostwhse_41_48,p_transpostwhse_49over,p_transpostwhse_hours_ns,p_transpostwhse_tot,p_infomedtelecom_0,p_infomedtelecom_1_15,p_infomedtelecom_16_24,p_infomedtelecom_25_34,p_infomedtelecom_35_39,p_infomedtelecom_40,p_infomedtelecom_41_48,p_infomedtelecom_49over,p_infomedtelecom_hours_ns,p_infomedtelecom_tot,p_fininsurs_0,p_fininsurs_1_15,p_fininsurs_16_24,p_fininsurs_25_34,p_fininsurs_35_39,p_fininsurs_40,p_fininsurs_41_48,p_fininsurs_49over,p_fininsurs_hours_ns,p_fininsurs_tot,p_renthirreserv_0,p_renthirreserv_1_15,p_renthirreserv_16_24,p_renthirreserv_25_34,p_renthirreserv_35_39,p_renthirreserv_40,p_renthirreserv_41_48,p_renthirreserv_49over,p_renthirreserv_hours_ns,p_renthirreserv_tot,p_proscietechserv_0,p_proscietechserv_1_15,p_proscietechserv_16_24,p_proscietechserv_25_34,p_proscietechserv_35_39,p_proscietechserv_40,p_proscietechserv_41_48,p_proscietechserv_49over,p_proscietechserv_hours_ns,p_proscietechserv_tot,p_adminsupserv_0,p_adminsupserv_1_15,p_adminsupserv_16_24,p_adminsupserv_25_34,p_adminsupserv_35_39,p_adminsupserv_40,p_adminsupserv_41_48,p_adminsupserv_49over,p_adminsupserv_hours_ns,p_adminsupserv_tot,p_pubadmisafety_0,p_pubadmisafety_1_15,p_pubadmisafety_16_24,p_pubadmisafety_25_34,p_pubadmisafety_35_39,p_pubadmisafety_40,p_pubadmisafety_41_48,p_pubadmisafety_49over,p_pubadmisafety_hours_ns,p_pubadmisafety_tot,p_eductrain_0,p_eductrain_1_15,p_eductrain_16_24,p_eductrain_25_34,p_eductrain_35_39,p_eductrain_40,p_eductrain_41_48,p_eductrain_49over,p_eductrain_hours_ns,p_eductrain_tot,p_healthcaresoca_0,p_healthcaresoca_1_15,p_healthcaresoca_16_24,p_healthcaresoca_25_34,p_healthcaresoca_35_39,p_healthcaresoca_40,p_healthcaresoca_41_48,p_healthcaresoca_49over,p_healthcaresoca_hours_ns,p_healthcaresoca_tot,p_artrecserv_0,p_artrecserv_1_15,p_artrecserv_16_24,p_artrecserv_25_34,p_artrecserv_35_39,p_artrecserv_40,p_artrecserv_41_48,p_artrecserv_49over,p_artrecserv_hours_ns,p_artrecserv_tot
Rest of NSW,1RNSW,756,2549,1710,1766,1779,1487,455,926,4135,15563,24521,88884,82742,92290,96467,66416,29726,41557,9542,532137,1979,5296,4623,5697,5805,9964,4722,23289,1188,62555,1306,435,605,852,3579,3981,5598,10195,377,26925,1864,3834,3654,5029,16046,15333,9251,10620,694,66320,486,314,503,863,4479,3676,1652,1998,122,14086,2714,5558,5872,7840,14933,26301,10733,20505,1310,95770,535,1448,1406,1703,4406,4877,3057,4562,186,22175,4274,25171,16493,17139,20239,11456,7619,10533,1343,114261,2944,27431,12749,12559,9659,6884,4200,9218,1351,86995,1856,3696,3880,4402,6852,6947,4570,11088,689,43985,342,1067,785,881,2416,1977,1024,1351,74,9913,1080,1328,2275,2679,5733,4501,1994,2613,159,22357,457,1487,1336,1492,3174,2817,1551,2966,126,15417,1501,5602,5051,6039,9189,9480,4606,8274,386,50141,1291,7406,5080,5330,6167,5155,1888,3078,532,35924,4208,3292,4965,6242,27000,14892,10112,8115,694,79529,4006,13226,12399,14735,17772,14533,8188,13864,880,99607,8011,14576,26313,32713,30739,25153,8147,11326,1572,158555,578,3417,1566,1744,2111,1679,837,1587,189,13706
Greater Sydney,1GSYD,1450,5751,5292,4316,7393,7036,1955,2823,9156,45171,40250,145210,152995,140589,211504,191103,74243,93248,18637,1067789,239,1144,1076,1190,1528,1794,781,1978,186,9919,212,153,190,198,750,1062,595,1567,45,4773,2648,6566,7771,7685,35997,31510,15889,21647,1119,130833,467,406,635,723,4669,5258,2118,3314,164,17755,3807,9865,12629,13587,25057,54589,21782,42265,2748,186332,1640,3570,4761,4882,19835,22524,9772,13962,537,81471,5977,39777,32020,26031,38531,30572,14444,22035,2503,211890,3892,36702,30296,17879,19846,16330,8863,15882,2142,151831,3536,6319,8312,10530,23470,25624,12681,22496,1631,114594,1603,3515,3443,3641,13579,17913,7590,11718,413,63423,4905,4198,7565,9651,30967,42648,16583,27254,1042,144806,1001,3419,3550,3343,7326,11160,4946,9079,362,44186,5263,15453,16916,16468,35681,62803,24781,44893,1450,223708,2100,10807,12210,9456,15347,15908,5972,8594,998,81401,5687,4989,7517,8509,39476,27078,15991,14086,1106,124432,6190,29165,22363,21334,32447,30294,14695,24676,1611,182770,9952,25851,40776,41099,54620,49876,15723,22844,2608,263351,1212,7665,4500,4422,5440,6649,2830,4801,434,37955
Rest of Vic.,2RVIC,577,1526,985,985,963,816,268,505,2376,9005,15638,54949,48694,52921,47356,33351,16052,22158,5562,296681,1760,4447,3371,4389,4319,7263,3609,17374,942,47481,332,133,136,140,462,609,723,2033,53,4618,1706,3255,2861,3561,11854,11874,7441,7277,522,50356,489,309,416,540,2527,2384,1270,1450,83,9474,1824,3060,2765,4117,8350,15991,6593,10999,787,54481,444,1057,949,1058,2754,2971,1911,2478,110,13734,2578,15657,8806,9318,10779,7111,4547,5788,791,65363,1667,15342,5974,5410,4359,3184,2068,4783,747,43530,1079,1923,1874,2249,3475,4161,2841,6395,405,24408,233,827,523,554,1488,1107,719,772,47,6273,599,669,1196,1361,2700,2515,1196,1444,81,11759,228,668,621,608,1378,1191,704,1339,53,6785,846,3105,2632,3193,4581,4923,2522,3968,201,25977,666,4122,2568,2466,2882,2201,927,1484,283,17593,2476,2544,3201,3704,9309,8418,4236,3803,339,38019,2171,6957,7293,7803,9380,6850,4929,7638,480,53513,5516,9497,16296,20631,14533,11464,4432,5470,876,88708,428,2341,1081,1150,1346,1057,588,1063,133,9192
Greater Melbourne,2GMEL,1419,5785,4455,4186,6274,5341,1523,2197,8201,39376,40097,159563,147371,150970,187904,152448,66484,76656,17045,998542,455,1494,1427,1515,2268,2515,1108,2385,206,13368,268,143,167,169,471,1008,559,1685,37,4500,3484,8865,8960,10377,45489,39535,20766,23345,1404,162231,639,586,892,1153,5904,5987,2599,3377,169,21319,3972,8290,9489,12774,26848,53242,20898,35540,2409,173467,1722,4180,4877,5228,17910,19367,9054,11706,490,74537,6102,47948,30484,26652,37180,28077,14982,20324,2392,214139,3370,41260,24261,15996,15756,12824,7974,13474,2137,137055,3367,5649,7695,10390,21274,23968,12764,18966,1457,105527,1234,3100,2920,3256,10428,12427,5179,6968,373,45902,3401,3148,5953,7054,19554,29700,10255,15130,667,94869,908,2938,2868,2933,6594,8079,4107,7455,324,36207,4995,15074,14598,16238,32357,51775,20929,34073,1248,191289,2104,11740,11564,9743,14663,12633,5261,7002,931,75634,5339,6049,8350,9933,28365,23767,12701,10850,833,106181,5840,28697,23224,22903,32542,26657,15856,25476,1460,182653,11220,27719,40024,50371,48601,37944,15419,19332,2476,253104,1355,10504,5042,5089,6027,6727,3146,5147,463,43509
Greater Brisbane,3GBRI,570,2421,1804,1877,2647,2256,689,1172,3397,16845,21219,74705,69770,81391,107541,75552,35105,42761,7720,515756,238,970,989,1272,1445,1654,777,2498,157,10005,698,202,304,395,1420,2538,1671,5092,104,12424,1501,3120,3169,4681,20118,15930,9788,11168,624,70099,402,234,405,597,2457,3562,1638,2313,69,11681,2108,4339,4513,6694,12984,24001,12488,24328,1115,92558,619,1515,1596,2181,7919,7822,4322,5584,222,31776,2844,21296,14037,14385,19153,11579,7289,10451,1038,102071,1730,21630,11753,9464,7918,5780,3776,6820,968,69836,2173,2768,4153,5806,12822,11849,7380,12937,827,60712,432,1208,994,1218,3905,3182,1610,2318,98,14956,1290,1223,2191,2902,9239,8433,3717,5389,196,34594,478,1827,1559,1945,3933,4549,2226,4870,161,21539,2196,6634,6376,7067,14419,21291,9509,16667,494,84646,1085,5859,5676,4814,7033,5993,2747,4141,406,37751,4006,2554,4132,5477,24211,17495,9443,8160,638,76123,3629,14585,11312,15514,17323,14111,7894,13599,712,98669,6551,12757,19602,26604,33099,21493,8412,11320,1280,141121,565,3682,1897,2074,2510,2361,1095,1878,163,16227
Rest of Qld,3RQLD,699,2749,1777,2123,2109,1865,585,1298,3888,17093,20912,79122,69590,91122,96622,63283,31770,48104,8817,509346,1329,3824,3137,4363,4468,7464,3748,20955,890,50175,2648,653,691,826,2624,2888,6792,19809,546,37480,1457,3260,2733,4125,13378,12456,9248,11292,583,58530,461,335,379,623,2863,3275,1668,2486,84,12174,2756,5481,5178,8231,13710,22643,12331,26882,1262,98465,608,1417,1330,1840,5432,5267,3374,5090,180,24544,3318,22800,14515,17366,20407,10718,7639,11662,1095,109519,2353,22330,12330,13581,10874,7500,5312,10964,1209,86450,1941,3176,3376,4791,8017,7618,5267,12322,700,47215,304,962,767,1068,2535,1911,980,1666,84,10283,746,1121,1536,2144,4790,4144,1934,3121,136,19666,476,1894,1630,2102,4046,3823,2093,4669,185,20921,1323,5276,4341,5357,8703,9412,4453,9660,349,48870,1115,6693,4792,5651,6551,5132,2389,4596,504,37422,3362,2762,3266,4325,19612,13838,8099,7988,671,63910,3704,12105,10582,17278,15211,12339,7520,13825,768,93333,6675,11263,18851,28279,30506,20406,7480,10784,1331,135571,580,3593,1960,2579,3013,2327,1211,1879,230,17366
Rest of SA,4RSAU,127,355,201,226,192,168,53,134,559,2013,3762,13645,11845,14068,11671,7072,4079,6430,1331,73903,934,1948,1530,2174,2363,3886,2118,7775,381,23113,300,99,146,108,315,363,611,2459,59,4452,554,932,786,1134,3472,3458,2225,2226,132,14924,86,80,66,113,400,418,233,272,19,1693,381,748,676,1063,1953,2638,1310,2173,122,11069,158,260,228,306,773,1079,581,739,54,4180,642,3651,2261,2796,2606,1514,1250,1611,168,16507,388,3517,1580,1533,926,629,535,1323,174,10610,295,634,615,670,853,847,644,1863,121,6544,37,121,76,79,267,153,84,120,20,952,115,183,238,310,399,372,154,217,16,1995,72,199,143,161,372,211,135,256,6,1558,160,622,441,587,726,593,350,618,40,4138,199,1232,684,752,807,612,341,513,71,5211,468,382,582,744,2482,1534,854,740,71,7864,567,1420,1698,2136,1760,1317,1126,1945,79,12050,1136,2239,3516,4677,3684,1604,832,1223,204,19121,56,343,168,164,203,132,76,154,21,1326
Greater Adelaide,4GADE,294,1218,753,865,989,647,244,373,1611,6986,13030,48355,42490,51497,58708,31158,17102,18146,3930,284414,253,867,641,836,1132,1124,622,1280,116,6871,381,109,137,164,536,768,582,2026,45,4754,1023,2629,2352,3374,13900,9135,6156,5678,351,44593,277,239,298,448,2057,1838,1073,1187,49,7462,1232,2939,2534,4208,7683,11690,5640,9029,542,45503,417,1063,959,1337,4577,3673,2326,2550,96,16988,2107,15598,8546,9600,11131,5827,4656,5122,617,63195,1083,13211,6070,5721,4025,2762,2323,3353,527,39067,959,1455,1783,2695,5121,4160,3210,4690,285,24359,286,819,640,742,2414,1941,818,957,56,8679,779,847,1532,2160,5266,3613,1915,2087,89,18287,265,832,728,852,1825,1473,886,1467,67,8408,1097,3734,3158,3799,7571,7859,3927,5973,221,37334,669,4149,3276,3258,4285,2542,1440,1697,218,21528,2292,1662,2892,4069,14715,9800,5288,3984,305,45013,2054,7440,6279,7507,9783,7165,4575,7270,350,52423,4632,9870,14249,20315,21358,9206,4806,6059,800,91299,284,2380,1014,1272,1269,1125,576,809,94,8809
Greater Perth,5GPER,581,2758,1769,1631,2169,2082,606,944,2751,15288,18226,74060,65466,66826,82431,61365,26250,31785,6392,432800,274,848,788,860,1019,1184,548,1390,82,6994,3544,961,1319,1166,3589,7602,5673,21598,513,45956,1312,3258,2888,3302,13292,12058,7460,8099,389,52043,402,281,399,531,2658,2486,1524,1905,66,10260,2675,5020,5240,6934,12297,25027,11087,22032,1186,91517,613,1457,1497,1827,5612,6370,3267,3983,158,24783,2690,21704,13770,12298,15201,9905,5485,7825,900,89774,1741,18967,10107,7054,6448,5271,3143,5841,831,59412,1635,2580,2936,4530,7288,8509,5272,8540,601,41895,269,1218,823,865,2202,2487,998,1205,85,10153,938,1325,2050,2258,5334,6591,2550,3413,133,24599,431,1648,1385,1534,3130,3678,1719,3140,109,16788,1950,6024,5333,5708,10858,17154,7412,11563,353,66361,981,5550,4776,3879,4664,4871,2083,3473,343,30622,3037,3075,4050,4138,17170,13632,7039,6281,434,58848,3018,12260,10635,11621,14124,12569,6683,9827,616,81359,5163,12952,17635,20972,25780,15323,6222,8157,1033,113247,550,4016,1934,1933,2464,2161,1069,1542,155,15838
Rest of WA,5RWAU,203,592,356,390,388,397,115,319,812,3573,5468,17329,14427,17123,16619,12881,6929,11931,1968,104674,1013,1851,1462,1669,1177,3269,1819,8839,373,21476,2059,589,521,399,936,1839,4445,15015,428,26227,540,824,634,906,2033,2424,2265,2677,118,12430,164,90,107,154,697,569,532,768,33,3097,1042,1274,1030,1617,2469,4233,2257,7533,274,21719,149,284,221,279,697,1010,749,1250,32,4678,768,4371,2618,3079,3479,2234,1538,2206,232,20520,597,3666,1838,2181,1621,1301,926,2604,245,14977,639,892,796,979,1150,1686,1385,3380,164,11073,45,207,99,129,266,210,155,164,13,1283,158,231,292,306,496,530,260,345,14,2633,138,315,223,321,679,598,301,727,29,3338,325,918,734,814,1077,1185,626,1957,56,7689,317,1428,898,1058,864,852,463,1244,94,7224,823,796,925,1007,3295,3095,1642,1648,147,13374,944,2285,2481,3276,3143,2808,1768,2632,191,19521,1293,2509,3383,4511,4722,2985,1174,1780,202,22551,169,559,291,306,423,384,142,285,38,2596
Greater Hobart,6GHOB,68,192,125,135,147,87,24,58,280,1112,2518,8423,7700,8971,9860,5302,2784,3198,623,49382,69,172,151,206,325,356,185,363,23,1843,23,11,9,9,15,43,62,118,0,283,170,447,360,395,1243,1138,725,655,45,5173,72,46,54,116,696,438,259,270,8,1958,207,391,388,626,1284,2391,871,1176,84,7405,58,160,120,141,467,365,217,253,8,1804,466,2546,1417,1517,2025,1122,714,811,88,10702,241,2672,1094,993,852,604,455,748,98,7762,168,254,321,365,630,644,434,644,50,3500,83,160,151,191,520,378,187,166,8,1843,115,120,202,283,799,466,235,252,11,2488,36,136,107,116,309,204,128,209,8,1258,197,625,514,674,1269,1169,592,811,35,5889,110,633,412,395,529,377,174,217,31,2884,625,404,856,1228,3660,1731,1012,964,78,10566,373,1355,1332,1522,1803,1409,864,1283,69,10010,749,1492,2464,3408,2898,1588,782,1164,99,14645,77,512,266,312,389,299,155,201,27,2235
Rest of Tas.,6RTAS,93,310,168,195,169,114,46,71,415,1589,2974,10553,9528,10331,9626,5719,2894,4002,987,56603,375,857,709,958,1108,1706,856,2792,175,9527,146,44,47,49,133,195,484,797,41,1932,366,691,642,807,2379,1976,1380,1335,83,9659,69,52,66,88,436,359,222,247,16,1553,292,535,485,802,1504,2626,1185,1470,109,9010,100,232,173,256,756,658,360,471,26,3037,484,2843,1829,1953,2398,1214,861,1147,135,12867,407,2921,1339,1181,900,547,414,914,141,8758,369,495,503,555,822,846,618,1319,89,5615,44,119,111,108,289,167,120,113,8,1079,115,136,222,275,574,393,138,184,11,2046,63,147,123,134,344,212,124,256,12,1422,163,580,455,539,870,724,358,597,33,4319,137,837,513,458,626,366,194,297,66,3504,401,415,640,869,1874,1040,544,540,57,6380,410,1367,1588,1583,1834,1248,770,1213,73,10079,931,1811,2731,3668,2905,1803,824,1175,156,16000,81,420,225,246,298,231,92,166,20,1775
Rest of NT,7RNTE,43,39,26,38,82,62,25,48,255,612,738,1188,1179,1665,3857,2590,1156,2009,494,14868,36,50,56,45,111,212,59,682,30,1270,90,16,15,23,43,139,187,484,12,1013,17,27,15,17,71,92,61,97,3,399,13,11,4,12,93,80,53,73,3,339,70,77,47,98,273,361,230,593,28,1762,10,10,14,15,58,53,46,96,3,295,92,304,194,275,444,270,219,316,34,2155,69,217,148,192,345,427,232,504,39,2178,55,61,58,112,165,184,122,298,19,1080,7,29,15,16,74,46,16,31,0,239,8,11,14,19,48,38,13,17,3,170,13,13,17,27,76,59,34,54,3,295,42,68,49,81,206,228,131,192,7,1005,26,78,75,118,194,154,86,185,17,933,256,193,223,357,1645,1244,541,739,66,5278,159,277,285,454,899,695,339,621,53,3794,234,237,338,509,1520,906,294,458,88,4585,35,99,70,89,142,134,45,78,16,692
Greater Darwin,7GDAR,48,101,82,98,181,170,40,106,273,1094,1578,2888,2823,3775,8168,5667,2783,4141,637,32474,31,50,35,56,77,166,75,254,24,763,134,30,22,27,75,138,125,928,16,1497,61,103,83,108,416,484,284,477,20,2029,67,15,15,49,375,287,177,292,17,1285,293,253,250,417,917,1518,861,3903,128,8541,33,43,53,76,386,346,192,297,8,1441,165,862,616,670,1201,655,394,641,74,5280,91,840,725,609,795,559,360,629,78,4686,147,130,204,313,718,649,448,741,47,3401,35,57,52,45,211,166,87,99,10,759,59,32,33,94,235,246,85,157,6,948,33,78,51,76,278,217,147,298,9,1199,171,235,212,292,713,877,391,1686,37,4622,66,250,231,265,432,357,194,341,31,2168,918,233,342,628,3631,3149,1880,2327,163,13267,230,456,477,539,1332,1032,583,1002,66,5711,315,398,618,897,1961,1273,513,684,83,6739,42,210,127,149,333,300,106,175,20,1453
Australian Capital Territory,8ACTE,98,324,204,189,318,255,107,123,499,2111,5495,12439,10893,13263,23753,16329,8484,8806,1350,100807,19,90,66,78,115,90,39,84,10,590,11,4,7,4,14,16,11,54,0,115,80,344,218,212,691,785,426,604,20,3377,61,28,47,66,440,387,195,211,11,1447,279,535,515,797,1572,3624,1618,2925,150,12012,52,139,102,131,443,499,278,387,15,2042,498,3622,2062,1935,2610,1398,971,1305,191,14588,422,4100,2120,1563,1638,1247,737,1299,256,13391,215,315,302,487,973,947,593,825,51,4708,142,281,241,278,963,877,412,411,29,3625,135,175,186,276,840,743,359,429,16,3164,78,193,141,173,609,622,324,505,20,2660,572,1181,1145,1551,4054,5340,2324,2999,124,19287,176,820,776,618,966,910,366,524,65,5227,3448,1338,2570,4615,18865,15461,8473,8076,379,63236,804,2916,1801,2200,4170,2855,1833,2890,166,19629,1004,2181,2820,3509,5217,3237,1287,1852,180,21297,139,891,397,404,657,437,253,348,49,3586
Other Territories,9OTER,3,3,0,3,10,3,0,6,11,37,62,126,99,132,229,133,62,93,33,970,0,3,5,8,6,4,3,12,0,34,10,5,3,3,55,15,24,27,3,149,0,11,6,3,9,5,7,3,4,43,0,3,0,0,12,11,3,9,0,41,10,8,4,11,32,33,23,22,0,141,0,0,0,0,0,3,6,4,0,21,5,29,18,25,33,22,22,28,3,184,14,34,35,31,55,21,11,38,6,251,10,17,11,14,23,16,4,14,3,103,0,5,3,0,8,0,0,0,0,15,3,0,3,5,8,3,0,0,0,18,0,7,3,4,6,7,3,6,0,28,0,4,0,4,13,9,11,8,0,48,4,17,13,24,25,11,4,11,6,116,29,14,8,17,115,67,73,107,4,431,11,16,10,25,28,29,14,19,4,159,8,14,3,11,22,30,3,9,3,109,6,3,10,11,25,10,8,3,0,74
