gcc_name16,gcc_code16,p_png_0_4_yrs,p_png_5_14_yrs,p_png_15_24_yrs,p_png_25_44_yrs,p_png_45_54_yrs,p_png_55_64_yrs,p_png_65_74_yrs,p_png_75_84_yrs,p_png_85_yrs_ov,p_png_tot,p_philippines_0_4_yrs,p_philippines_5_14_yrs,p_philippines_15_24_yrs,p_philippines_25_44_yrs,p_philippines_45_54_yrs,p_philippines_55_64_yrs,p_philippines_65_74_yrs,p_philippines_75_84_yrs,p_philippines_85_yrs_ov,p_philippines_tot,p_poland_0_4_yrs,p_poland_5_14_yrs,p_poland_15_24_yrs,p_poland_25_44_yrs,p_poland_45_54_yrs,p_poland_55_64_yrs,p_poland_65_74_yrs,p_poland_75_84_yrs,p_poland_85_yrs_ov,p_poland_tot,p_scotland_0_4_yrs,p_scotland_5_14_yrs,p_scotland_15_24_yrs,p_scotland_25_44_yrs,p_scotland_45_54_yrs,p_scotland_55_64_yrs,p_scotland_65_74_yrs,p_scotland_75_84_yrs,p_scotland_85_yrs_ov,p_scotland_tot,p_singapore_0_4_yrs,p_singapore_5_14_yrs,p_singapore_15_24_yrs,p_singapore_25_44_yrs,p_singapore_45_54_yrs,p_singapore_55_64_yrs,p_singapore_65_74_yrs,p_singapore_75_84_yrs,p_singapore_85_yrs_ov,p_singapore_tot,p_south_africa_0_4_yrs,p_south_africa_5_14_yrs,p_south_africa_15_24_yrs,p_south_africa_25_44_yrs,p_south_africa_45_54_yrs,p_south_africa_55_64_yrs,p_south_africa_65_74_yrs,p_south_africa_75_84_yrs,p_south_africa_85_yrs_ov,p_south_africa_tot,p_se_europe_nfd_0_4_yrs,p_se_europe_nfd_5_14_yrs,p_se_europe_nfd_15_24_yrs,p_se_europe_nfd_25_44_yrs,p_se_europe_nfd_45_54_yrs,p_se_europe_nfd_55_64_yrs,p_se_europe_nfd_65_74_yrs,p_se_europe_nfd_75_84_yrs,p_se_europe_nfd_85_yrs_ov,p_se_europe_nfd_tot,p_sri_lanka_0_4_yrs,p_sri_lanka_5_14_yrs,p_sri_lanka_15_24_yrs,p_sri_lanka_25_44_yrs,p_sri_lanka_45_54_yrs,p_sri_lanka_55_64_yrs,p_sri_lanka_65_74_yrs,p_sri_lanka_75_84_yrs,p_sri_lanka_85_yrs_ov,p_sri_lanka_tot,p_taiwan_0_4_yrs,p_taiwan_5_14_yrs,p_taiwan_15_24_yrs,p_taiwan_25_44_yrs,p_taiwan_45_54_yrs,p_taiwan_55_64_yrs,p_taiwan_65_74_yrs,p_taiwan_75_84_yrs,p_taiwan_85_yrs_ov,p_taiwan_tot,p_thailand_0_4_yrs,p_thailand_5_14_yrs,p_thailand_15_24_yrs,p_thailand_25_44_yrs,p_thailand_45_54_yrs,p_thailand_55_64_yrs,p_thailand_65_74_yrs,p_thailand_75_84_yrs,p_thailand_85_yrs_ov,p_thailand_tot,p_fyrom_0_4_yrs,p_fyrom_5_14_yrs,p_fyrom_15_24_yrs,p_fyrom_25_44_yrs,p_fyrom_45_54_yrs,p_fyrom_55_64_yrs,p_fyrom_65_74_yrs,p_fyrom_75_84_yrs,p_fyrom_85_yrs_ov,p_fyrom_tot,p_turkey_0_4_yrs,p_turkey_5_14_yrs,p_turkey_15_24_yrs,p_turkey_25_44_yrs,p_turkey_45_54_yrs,p_turkey_55_64_yrs,p_turkey_65_74_yrs,p_turkey_75_84_yrs,p_turkey_85_yrs_ov,p_turkey_tot,p_usa_0_4_yrs,p_usa_5_14_yrs,p_usa_15_24_yrs,p_usa_25_44_yrs,p_usa_45_54_yrs,p_usa_55_64_yrs,p_usa_65_74_yrs,p_usa_75_84_yrs,p_usa_85_yrs_ov,p_usa_tot,p_vietnam_0_4_yrs,p_vietnam_5_14_yrs,p_vietnam_15_24_yrs,p_vietnam_25_44_yrs,p_vietnam_45_54_yrs,p_vietnam_55_64_yrs,p_vietnam_65_74_yrs,p_vietnam_75_84_yrs,p_vietnam_85_yrs_ov,p_vietnam_tot,p_wales_0_4_yrs,p_wales_5_14_yrs,p_wales_15_24_yrs,p_wales_25_44_yrs,p_wales_45_54_yrs,p_wales_55_64_yrs,p_wales_65_74_yrs,p_wales_75_84_yrs,p_wales_85_yrs_ov,p_wales_tot,p_zimbabwe_0_4_yrs,p_zimbabwe_5_14_yrs,p_zimbabwe_15_24_yrs,p_zimbabwe_25_44_yrs,p_zimbabwe_45_54_yrs,p_zimbabwe_55_64_yrs,p_zimbabwe_65_74_yrs,p_zimbabwe_75_84_yrs,p_zimbabwe_85_yrs_ov,p_zimbabwe_tot,p_elsewhere_0_4_yrs,p_elsewhere_5_14_yrs,p_elsewhere_15_24_yrs,p_elsewhere_25_44_yrs,p_elsewhere_45_54_yrs,p_elsewhere_55_64_yrs,p_elsewhere_65_74_yrs,p_elsewhere_75_84_yrs,p_elsewhere_85_yrs_ov,p_elsewhere_tot,p_cob_ns_0_4_yrs,p_cob_ns_5_14_yrs,p_cob_ns_15_24_yrs,p_cob_ns_25_44_yrs,p_cob_ns_45_54_yrs,p_cob_ns_55_64_yrs,p_cob_ns_65_74_yrs,p_cob_ns_75_84_yrs,p_cob_ns_85_yrs_ov,p_cob_ns_tot,p_tot_0_4_yrs,p_tot_5_14_yrs,p_tot_15_24_yrs,p_tot_25_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85_yrs_ov,p_tot_tot
Rest of NSW,1RNSW,9,54,87,593,545,369,98,52,14,1829,182,1061,993,4365,1923,1744,709,155,49,11184,4,17,15,411,158,438,416,319,328,2109,28,224,180,908,1529,2216,2978,1774,667,10498,31,99,158,286,251,188,109,62,11,1196,46,541,840,2295,1456,1113,912,371,95,7666,0,0,11,100,261,354,430,403,115,1677,41,182,180,937,344,231,153,66,24,2153,18,51,234,1010,82,44,23,4,0,1468,94,336,488,1597,556,282,92,18,0,3451,9,16,72,563,1043,1371,1385,762,189,5397,9,20,37,311,380,152,150,71,8,1137,139,667,690,1971,1118,1135,1078,263,86,7152,45,140,404,1349,470,394,123,40,28,3002,8,56,73,329,556,554,648,377,146,2744,7,122,254,665,310,288,146,28,3,1822,427,1749,2129,8397,4598,4750,4886,3167,1360,31468,8377,17874,19726,43983,29123,32020,29028,18649,9178,207954,154615,330645,307088,595308,348557,363959,303231,168736,71398,2643536
Greater Sydney,1GSYD,9,66,179,1062,1016,706,263,232,87,3623,514,3368,6360,31789,14001,12023,5479,1309,629,75480,36,98,197,3689,1202,2535,1684,939,949,11326,51,418,519,3818,3180,3604,3550,2049,837,18028,336,1350,1673,3678,1513,1562,951,370,93,11529,231,1691,3390,12475,7054,5231,3283,1479,484,35313,0,0,77,1047,1212,1488,1231,953,260,6268,158,1041,1910,10519,4942,4096,2362,1105,433,26568,151,304,1240,7000,1137,1306,679,121,24,11954,241,748,2638,15012,2466,1496,498,103,25,23224,24,82,252,1944,2220,2704,2389,1178,300,11089,80,184,552,3623,3267,1920,1327,567,131,11644,753,2909,3014,8416,3416,2278,1509,415,137,22846,373,1447,6123,28796,18378,16390,5965,2501,1084,81045,19,98,158,1341,913,707,719,379,157,4494,16,226,658,1927,977,575,202,66,16,4662,2054,8428,15798,75021,32541,26390,21495,12053,5324,199113,15424,25779,35031,96518,38398,33415,26509,17094,10170,298330,310173,590126,629103,1470442,627580,524011,372488,204051,96022,4823991
Rest of Vic.,2RVIC,3,23,30,210,170,92,34,19,4,582,108,590,656,2468,1011,796,368,77,16,6085,0,4,8,200,88,231,233,154,202,1116,11,76,104,533,743,1348,1783,1002,318,5917,8,67,101,205,141,111,54,15,4,698,19,212,360,970,576,397,308,116,31,2992,0,0,0,44,167,248,321,242,67,1086,30,147,144,810,236,177,158,50,28,1776,13,16,202,944,36,21,8,0,0,1233,82,459,415,719,240,104,30,9,3,2059,0,3,8,89,146,241,228,140,27,883,3,22,45,248,261,130,112,46,3,861,57,270,227,805,439,488,485,93,21,2889,14,71,168,800,324,209,55,17,3,1656,3,25,26,142,191,214,284,137,55,1077,0,48,63,253,125,90,56,20,3,652,150,874,1221,3762,1941,2075,2163,1577,707,14482,4830,9938,11126,24901,17119,18622,16712,10429,5133,118811,83665,176804,166501,322532,192122,199728,164829,88833,38801,1433818
Greater Melbourne,2GMEL,13,58,135,870,595,243,82,24,4,2020,422,2786,5117,19349,8324,5831,2480,608,232,45157,11,86,207,3074,1490,3181,2475,1461,1590,13581,58,474,670,3762,3407,4035,4215,2518,995,20140,323,1708,3262,5354,1931,1605,846,267,66,15349,156,1284,2845,8641,4755,3167,2129,874,306,24168,0,0,56,889,1341,1757,1429,1162,327,6969,437,3040,4916,23390,8752,6614,4372,1815,700,54030,107,229,1071,5375,675,742,337,52,22,8606,303,1417,2415,7576,1338,583,226,41,17,13909,15,114,373,3201,3345,4120,3587,1621,371,16747,63,211,592,4439,4530,2558,1592,709,167,14861,528,2206,2188,6152,2543,1659,1127,254,111,16765,404,1586,7253,29860,17312,14554,5109,2081,886,79054,19,111,156,892,724,637,558,346,158,3601,15,178,550,2024,651,412,158,42,8,4032,2025,8722,16161,61278,25938,20758,16578,10661,4859,166973,14844,24038,32598,87529,36767,31938,25964,17555,9655,280877,287178,532524,602383,1369430,587317,476902,344283,196050,89151,4485211
Greater Brisbane,3GBRI,47,455,912,2745,1988,1307,517,303,73,8351,205,1476,2450,8516,3927,2769,1103,283,69,20797,4,29,72,971,360,653,406,239,243,2977,37,448,516,2167,2262,2332,2183,1290,459,11691,88,399,1069,1727,602,539,260,75,17,4774,143,1669,3470,7837,4459,2422,1393,508,167,22068,3,3,19,273,314,405,329,201,61,1610,55,537,649,2750,1171,968,600,251,102,7087,162,401,1696,6553,1054,1311,640,133,22,11976,96,633,909,2723,626,302,126,15,5,5436,0,5,34,165,146,143,97,51,6,644,6,36,75,387,209,87,40,18,6,859,203,1094,1206,3067,1332,1037,749,171,60,8919,102,562,1323,6458,3577,2882,1167,463,193,16731,20,143,212,655,603,453,451,219,99,2844,4,144,586,1841,1009,742,243,71,19,4659,885,4928,8521,27419,10642,7906,5288,2698,1049,69339,7473,13127,17374,41116,18677,15948,12498,7887,5310,139400,147903,296503,317323,661160,299059,244790,178208,87505,38357,2270800
Rest of Qld,3RQLD,56,624,940,2511,1890,1142,389,146,24,7726,286,1857,2054,7457,3460,2445,996,214,43,18805,3,32,47,598,211,439,346,210,150,2037,26,312,384,1492,1668,1969,2502,1303,446,10100,36,134,249,563,390,340,154,47,15,1924,100,1563,2586,5901,3616,2225,1297,588,146,18013,0,0,13,96,200,279,299,218,53,1151,38,273,206,1117,379,297,217,98,28,2658,39,113,523,2257,223,189,115,29,9,3494,123,446,613,2085,819,323,98,22,3,4524,3,0,7,59,98,54,50,22,7,306,8,16,16,185,204,87,79,30,6,632,139,794,830,2313,1219,1257,1062,345,100,8064,37,257,326,1354,425,233,112,26,5,2788,16,131,158,606,528,436,523,281,88,2762,13,214,519,1397,943,693,304,106,24,4203,469,2361,3887,13481,5984,5423,4720,2812,1045,40177,9333,18702,22298,52726,29610,27685,22656,12847,6206,202068,148226,319243,294262,609855,330959,305688,242444,121922,47131,2419724
Rest of SA,4RSAU,0,10,0,53,59,23,5,10,0,154,36,317,220,950,327,250,106,35,6,2246,0,0,0,46,11,38,39,31,38,205,0,30,26,132,302,549,600,351,118,2117,3,0,4,22,25,19,12,3,0,84,11,116,124,325,204,115,77,28,8,1008,0,0,0,7,19,28,48,43,8,159,5,27,15,158,31,16,17,3,0,268,0,4,84,286,0,3,0,0,0,387,9,102,80,142,60,24,6,0,0,418,0,0,0,0,3,3,6,7,0,17,0,0,0,17,16,21,7,9,0,77,13,39,37,148,105,119,92,31,5,589,10,31,28,210,65,25,11,3,0,394,0,9,10,37,59,109,110,62,19,422,0,35,46,107,45,53,14,5,0,313,39,182,158,644,370,475,515,368,145,2895,1095,2384,2473,6098,4420,4811,4242,2398,1309,29228,20840,46004,39320,81032,52332,55791,47762,24701,10292,378074
Greater Adelaide,4GADE,0,30,33,282,232,102,32,26,8,754,113,850,1301,4259,1785,1183,509,159,44,10204,7,42,93,1055,569,1208,777,507,498,4748,14,283,355,1189,1722,2254,2153,1355,525,9860,50,228,460,821,304,269,205,49,12,2403,30,508,916,1771,1133,626,399,159,52,5587,0,0,17,244,285,388,355,310,124,1719,59,404,325,1760,487,215,155,89,21,3520,22,61,230,764,109,68,35,4,0,1299,46,154,315,1419,297,132,38,14,0,2417,0,7,13,53,50,85,72,77,18,368,5,29,28,143,97,81,51,52,22,508,78,408,432,1151,595,522,403,112,49,3760,76,377,1189,5041,2990,2757,948,389,172,13932,6,98,136,392,454,492,400,314,121,2414,11,89,172,443,245,159,33,19,0,1173,540,2871,4611,12631,4937,3839,3279,2478,1430,36615,3256,5710,7489,18137,9792,9413,7895,5500,3203,70409,76145,149800,168917,345562,174077,157723,120817,68502,34170,1295714
Greater Perth,5GPER,13,171,165,592,358,154,24,16,3,1491,419,3493,3725,10491,3914,1758,645,142,27,24624,8,92,131,1592,550,1316,688,423,324,5129,117,1240,1506,5236,4433,4373,3483,1999,636,23033,161,1049,2132,4553,2243,2370,1276,564,133,14465,219,3230,5703,12117,6954,3919,2019,828,273,35262,0,0,28,394,317,466,376,270,102,1954,80,679,612,3276,1026,724,542,246,98,7286,48,55,381,2996,190,165,93,11,0,3938,172,848,1075,2903,880,498,163,33,11,6584,5,27,111,792,545,611,507,285,61,2952,12,42,111,555,221,94,57,30,10,1138,211,1011,951,2450,1209,1090,703,190,73,7885,118,462,1424,6141,3057,2453,946,395,144,15131,25,286,396,1409,1197,907,837,429,174,5657,27,546,1400,3788,1906,1348,494,150,36,9684,865,4932,8048,27852,9640,7042,4710,2456,1047,66589,6746,11183,14519,40317,16905,14506,11343,7804,4699,128025,126713,243617,253558,579291,258693,212965,152368,82007,34652,1943858
Rest of WA,5RWAU,4,75,47,205,139,62,8,5,0,542,141,933,741,2755,1031,430,143,20,0,6187,0,9,14,123,30,77,72,63,55,441,7,58,96,540,606,686,591,313,80,2970,9,27,36,160,116,93,42,21,4,507,44,597,760,1979,1243,590,319,126,29,5694,0,0,0,14,9,31,39,19,13,127,7,60,25,256,81,40,30,11,3,509,4,4,96,591,3,4,0,0,0,706,41,175,176,484,227,75,14,8,3,1209,0,0,0,22,10,22,24,21,4,105,0,3,0,30,17,7,3,0,0,61,25,96,83,435,230,245,186,53,14,1377,13,37,63,343,127,80,26,4,0,706,5,14,24,155,165,175,141,61,24,754,10,139,208,744,383,313,120,17,10,1946,56,330,318,2126,1052,898,691,331,137,5934,2759,5322,5007,16356,8609,7730,5100,2829,1095,54809,34861,71105,56089,142455,75202,68053,46655,21993,7752,524167
