gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,gcc_name16
1GSYD,2181939,2234474,2311268,2387527,2532382,37,38,38,38,38,121599057774,129041252630,138088567023,147207755347,161450590499,44075,45927,47355,48653,50085,55730,57750,59746,61657,63754,78.7,78.7,78.5,78.6,78.2,Greater Sydney
1RNSW,1107415,1132531,1156847,1176556,1221237,40,40,41,41,41,49654917242,53598158457,56529378828,58776655983,62563810290,37863,39746,40907,41890,43003,44839,47326,48865,49957,51230,74.1,74.4,74.3,74.5,73.9,Rest of NSW
2GMEL,1986394,2044031,2113111,2184620,2304322,37,38,38,38,38,101187442835,108104352485,115021726360,121932218480,132662145052,42184,43856,44999,45961,47335,50940,52888,54432,55814,57571,77.9,77.9,77.6,77.6,77.0,Greater Melbourne
2RVIC,611869,624610,635001,648913,673551,40,41,41,41,41,25675694128,27346048347,28738365890,30114193003,32223441324,36449,37962,39090,40044,41269,41963,43781,45257,46407,47841,73.2,73.3,73.1,73.3,72.8,Rest of Vic.
3GBRI,1058337,1091885,1121418,1146079,1201483,37,37,37,37,37,53491676958,58878054652,62677650849,65667119799,70388176117,42808,44999,46370,47455,48600,50543,53923,55891,57297,58584,80.7,81.0,80.7,80.7,80.1,Greater Brisbane
3RQLD,1071647,1116744,1151852,1172283,1216716,38,38,39,39,39,48609873023,54408427728,59027242067,61507546911,64973464871,37903,40093,41674,42584,43472,45360,48721,51246,52468,53401,76.2,76.8,76.8,77.1,76.4,Rest of Qld
4GADE,587743,596663,609162,622764,639749,39,39,39,39,39,27560833424,29344070800,31053927224,32561139830,34370506183,41201,43052,44430,45541,46688,46893,49180,50978,52285,53725,76.5,76.5,76.5,76.5,75.8,Greater Adelaide
4RSAU,157025,160123,162452,165466,168789,41,41,41,42,42,6283077968,6810833219,7179505497,7505138408,7845597041,35159,37191,38198,39134,40170,40013,42535,44195,45358,46482,70.2,70.7,70.7,70.9,70.2,Rest of SA
5GPER,907103,968575,1028069,1054024,1095210,37,37,37,37,37,50846099424,58601520233,66073671482,69436457626,73988981130,44975,47977,50453,51815,52963,56053,60503,64270,65877,67557,78.4,79.1,79.5,79.5,78.9,Greater Perth
5RWAU,232847,243596,254798,259832,267568,39,39,39,39,39,11945849818,13546791953,14932058316,15549611739,16392955198,40365,43410,45452,46457,47548,51303,55612,58604,59845,61267,75.2,76.0,76.2,76.2,75.5,Rest of WA
6GHOB,102818,102784,103315,105298,109712,39,40,40,40,40,4637063714,4832765348,5043103840,5272594931,5627969460,40000,41600,42917,44200,45420,45100,47019,48813,50073,51298,78.2,77.5,77.2,77.2,76.9,Greater Hobart
6RTAS,128320,128134,128037,129384,133410,41,41,42,42,42,5206996119,5438902770,5665893539,5861450871,6207136218,36361,37598,38780,39636,40912,40578,42447,44252,45303,46527,77.0,76.8,76.7,77.0,76.4,Rest of Tas.
7GDAR,72602,77063,82491,87606,91962,36,36,36,35,36,3871520728,4372978638,4948514653,5545021330,6127192859,48793,51851,54214,56619,58731,53325,56746,59989,63295,66627,87.0,87.1,87.7,88.3,87.9,Greater Darwin
7RNTE,33383,34209,35208,36136,37457,37,37,38,38,38,1535404649,1653719302,1762192150,1836227799,1939869943,40446,41999,43341,44080,45162,45994,48342,50051,50814,51789,90.6,90.5,90.6,90.9,90.3,Rest of NT
8ACTE,200711,208327,215393,218325,227764,37,37,37,37,38,12038960558,13031962773,13943170615,14576303814,15507023249,55148,57723,59755,61370,62618,59982,62555,64734,66764,68084,79.9,80.0,79.9,79.6,78.8,Australian Capital Territory
9OTER,842,865,939,1000,942,44,44,42,43,44,49236356,56549169,64321073,68083758,66451402,60284,64600,67494,67675,72741,58475,65375,68500,68084,70543,80.1,79.4,80.4,81.1,76.8,Other Territories
