gcc_code16,m_15_19_ud_wk_l_5_hrs,m_15_19_ud_wk_5_14_hrs,m_15_19_ud_wk_15_29_hrs,m_15_19_ud_wk_30h_more,m_15_19_no_ud_wk,m_15_19_ud_wk_ns,m_15_19_os_v,m_15_19_yr_tot,m_20_24_ud_wk_l_5_hrs,m_20_24_ud_wk_5_14_hrs,m_20_24_ud_wk_15_29_hrs,m_20_24_ud_wk_30h_more,m_20_24_no_ud_wk,m_20_24_ud_wk_ns,m_20_24_os_v,m_20_24_yr_tot,m_25_34_ud_wk_l_5_hrs,m_25_34_ud_wk_5_14_hrs,m_25_34_ud_wk_15_29_hrs,m_25_34_ud_wk_30h_more,m_25_34_no_ud_wk,m_25_34_ud_wk_ns,m_25_34_os_v,m_25_34_yr_tot,m_35_44_ud_wk_l_5_hrs,m_35_44_ud_wk_5_14_hrs,m_35_44_ud_wk_15_29_hrs,m_35_44_ud_wk_30h_more,m_35_44_no_ud_wk,m_35_44_ud_wk_ns,m_35_44_os_v,m_35_44_yr_tot,m_45_54_ud_wk_l_5_hrs,m_45_54_ud_wk_5_14_hrs,m_45_54_ud_wk_15_29_hrs,m_45_54_ud_wk_30h_more,m_45_54_no_ud_wk,m_45_54_ud_wk_ns,m_45_54_os_v,m_45_54_yr_tot,m_55_64_ud_wk_l_5_hrs,m_55_64_ud_wk_5_14_hrs,m_55_64_ud_wk_15_29_hrs,m_55_64_ud_wk_30h_more,m_55_64_no_ud_wk,m_55_64_ud_wk_ns,m_55_64_os_v,m_55_64_yr_tot,m_65_74_ud_wk_l_5_hrs,m_65_74_ud_wk_5_14_hrs,m_65_74_ud_wk_15_29_hrs,m_65_74_ud_wk_30h_more,m_65_74_no_ud_wk,m_65_74_ud_wk_ns,m_65_74_os_v,m_65_74_yr_tot,m_75_84_ud_wk_l_5_hrs,m_75_84_ud_wk_5_14_hrs,m_75_84_ud_wk_15_29_hrs,m_75_84_ud_wk_30h_more,m_75_84_no_ud_wk,m_75_84_ud_wk_ns,m_75_84_os_v,m_75_84_yr_tot,m_85ov_ud_wk_l_5_h,m_85ov_ud_wk_5_14_h,m_85ov_ud_wk_15_29_h,m_85ov_ud_wk_30h_more,m_85ov_no_ud_wk,m_85ov_ud_wk_ns,m_85ov_os_v,m_85_yr_over_tot,m_tot_ud_wk_l_5_hrs,m_tot_ud_wk_5_14_hrs,m_tot_ud_wk_15_29_hrs,m_tot_ud_wk_30h_more,m_tot_no_ud_wk,m_tot_ud_wk_ns,m_total_os_v,m_tot_tot,f_15_19_ud_wk_l_5_hrs,f_15_19_ud_wk_5_14_hrs,f_15_19_ud_wk_15_29_hrs,f_15_19_ud_wk_30h_more,f_15_19_no_ud_wk,f_15_19_ud_wk_ns,f_15_19_os_v,f_15_19_yr_tot,f_20_24_ud_wk_l_5_hrs,f_20_24_ud_wk_5_14_hrs,f_20_24_ud_wk_15_29_hrs,f_20_24_ud_wk_30h_more,f_20_24_no_ud_wk,f_20_24_ud_wk_ns,f_20_24_os_v,f_20_24_yr_tot,f_25_34_ud_wk_l_5_hrs,f_25_34_ud_wk_5_14_hrs,f_25_34_ud_wk_15_29_hrs,f_25_34_ud_wk_30h_more,f_25_34_no_ud_wk,f_25_34_ud_wk_ns,f_25_34_os_v,f_25_34_yr_tot,f_35_44_ud_wk_l_5_hrs,f_35_44_ud_wk_5_14_hrs,f_35_44_ud_wk_15_29_hrs,f_35_44_ud_wk_30h_more,f_35_44_no_ud_wk,f_35_44_ud_wk_ns,f_35_44_os_v,f_35_44_yr_tot,f_45_54_ud_wk_l_5_hrs,f_45_54_ud_wk_5_14_hrs,f_45_54_ud_wk_15_29_hrs,f_45_54_ud_wk_30h_more,f_45_54_no_ud_wk,f_45_54_ud_wk_ns,f_45_54_os_v,f_45_54_yr_tot,f_55_64_ud_wk_l_5_hrs,f_55_64_ud_wk_5_14_hrs,f_55_64_ud_wk_15_29_hrs,f_55_64_ud_wk_30h_more,f_55_64_no_ud_wk,f_55_64_ud_wk_ns,f_55_64_os_v,f_55_64_yr_tot,f_65_74_ud_wk_l_5_hrs,f_65_74_ud_wk_5_14_hrs,f_65_74_ud_wk_15_29_hrs,f_65_74_ud_wk_30h_more,f_65_74_no_ud_wk,f_65_74_ud_wk_ns,f_65_74_os_v,f_65_74_yr_tot,f_75_84_ud_wk_l_5_hrs,f_75_84_ud_wk_5_14_hrs,f_75_84_ud_wk_15_29_hrs,f_75_84_ud_wk_30h_more,f_75_84_no_ud_wk,f_75_84_ud_wk_ns,f_75_84_os_v,f_75_84_yr_tot,f_85ov_ud_wk_l_5_h,f_85ov_ud_wk_5_14_h,f_85ov_ud_wk_15_29_h,f_85ov_ud_wk_30h_more,f_85ov_no_ud_wk,f_85ov_ud_wk_ns,f_85ov_os_v,f_85_yr_over_tot,f_tot_ud_wk_l_5_hrs,f_tot_ud_wk_5_14_hrs,f_tot_ud_wk_15_29_hrs,f_tot_ud_wk_30h_more,f_tot_no_ud_wk,f_tot_ud_wk_ns,f_total_os_v,f_tot_tot,p_15_19_ud_wk_l_5_hrs,p_15_19_ud_wk_5_14_hrs,p_15_19_ud_wk_15_29_hrs,p_15_19_ud_wk_30h_more,p_15_19_no_ud_wk,p_15_19_ud_wk_ns,p_15_19_os_v,p_15_19_yr_tot,p_20_24_ud_wk_l_5_hrs,p_20_24_ud_wk_5_14_hrs,p_20_24_ud_wk_15_29_hrs,p_20_24_ud_wk_30h_more,p_20_24_no_ud_wk,p_20_24_ud_wk_ns,p_20_24_os_v,p_20_24_yr_tot,p_25_34_ud_wk_l_5_hrs,p_25_34_ud_wk_5_14_hrs,p_25_34_ud_wk_15_29_hrs,p_25_34_ud_wk_30h_more,p_25_34_no_ud_wk,p_25_34_ud_wk_ns,p_25_34_os_v,p_25_34_yr_tot,p_35_44_ud_wk_l_5_hrs,p_35_44_ud_wk_5_14_hrs,p_35_44_ud_wk_15_29_hrs,p_35_44_ud_wk_30h_more,p_35_44_no_ud_wk,p_35_44_ud_wk_ns,p_35_44_os_v,p_35_44_yr_tot,p_45_54_ud_wk_l_5_hrs,p_45_54_ud_wk_5_14_hrs,p_45_54_ud_wk_15_29_hrs,p_45_54_ud_wk_30h_more,p_45_54_no_ud_wk,p_45_54_ud_wk_ns,p_45_54_os_v,p_45_54_yr_tot,gcc_name16
1RNSW,33661,6337,683,333,31765,9255,567,82609,27699,12396,1922,977,26155,7457,1172,77786,46734,40238,8637,4135,30729,14487,1415,146374,40535,49589,13922,6722,24967,13918,550,150202,44851,55098,15495,7101,32024,15667,557,170805,41014,53756,18302,10055,38571,16711,648,179050,22701,37570,20195,13687,38476,17311,493,150430,9422,14944,9098,7640,24385,12964,187,78640,2835,3422,1874,1576,10894,5879,45,26522,269458,273346,90134,52232,257969,113651,5636,1062424,34328,9147,1272,701,24055,8126,802,78428,23640,19030,5118,4641,14791,5749,1498,74471,24751,44775,23215,29934,15110,10791,1549,150124,14490,49129,35467,34951,12360,10683,588,157675,19459,62320,39689,26510,17558,13150,706,179393,18758,57041,39855,29894,24232,14942,950,185665,9712,31044,32022,32202,30265,16943,555,152741,6817,14284,12546,14165,26064,16114,230,90218,4130,5053,2814,2423,19903,10439,55,44809,156085,291818,192001,175417,184338,106935,6944,1113535,67992,15485,1959,1028,55829,17379,1375,161044,51344,31421,7040,5619,40949,13208,2672,152254,71484,85012,31855,34068,45835,25280,2964,296497,55029,98718,49389,41678,37328,24603,1137,307875,64308,117424,55187,33616,49583,28820,1270,350199,Rest of NSW
1GSYD,58110,10189,947,452,67166,11385,2725,150974,59485,19668,2624,1166,75428,13967,4640,176984,132162,80901,13019,5236,116927,33231,7081,388562,107375,102879,23027,9288,75867,26175,4353,348956,89412,94568,22220,9045,70168,22899,4329,312628,65497,75417,20722,9521,63305,18362,5490,258326,33708,46995,19837,10764,51208,14773,3670,180955,13817,19398,9597,6157,31952,10509,983,92410,4245,4795,2346,1672,16388,5584,134,35162,563816,454807,114331,53299,568407,156885,33395,1944948,60009,14754,1838,752,53276,10116,3619,144363,60566,31293,6128,4325,53913,12303,6503,175037,96343,102167,39989,48026,76419,29337,7704,399979,46399,101306,65855,70751,45009,21923,4445,355694,38852,103355,66565,49443,42517,19321,6052,326114,32095,82375,53676,39967,43923,17096,8773,277904,17034,45180,38887,33184,40856,15977,4242,195363,10937,20819,16292,14612,34642,13834,1105,112245,6455,7423,3781,2832,29567,10671,207,60934,368693,508688,293014,263898,420124,150567,42654,2047632,118118,24940,2786,1203,120448,21500,6345,295334,120056,50960,8754,5492,129344,26265,11144,352022,228507,183077,53003,53264,193347,62567,14777,788541,153778,204185,88883,80035,120873,48100,8798,704650,128264,197926,88787,58488,112679,42220,10382,638741,Greater Sydney
2RVIC,18919,3125,336,178,17210,5161,341,45261,15433,6832,1030,464,13731,3849,614,41956,25595,21502,4549,2220,15779,7745,864,78258,22814,26489,7428,3413,12568,7450,410,80572,25124,29863,7884,3650,17029,8633,323,92518,22773,29076,9088,4741,20435,8725,309,95136,11839,18940,9642,6881,19762,9147,251,76465,4625,7445,4375,3688,12097,6810,56,39095,1426,1833,992,875,5898,3024,24,14079,148549,145109,45327,26115,134511,60537,3191,563337,19009,4576,642,316,12646,4715,454,42350,13061,10295,2624,2255,7701,3230,706,39871,13751,24077,12022,16723,8109,5926,940,81534,7873,25750,19238,20399,6177,5978,414,85830,10070,34205,22186,15259,9449,7258,473,98896,9437,30500,21961,16217,12797,8222,498,99635,4545,15172,16684,17380,15240,9015,262,78305,3049,6666,6447,7406,13550,8565,101,45788,1934,2623,1627,1469,11261,5273,49,24233,82721,153863,103428,97426,96940,58188,3886,596451,37928,7704,977,496,29856,9875,790,87618,28494,17127,3655,2714,21435,7077,1325,81825,39346,45580,16569,18944,23887,13665,1802,159791,30687,52239,26666,23808,18751,13426,821,166408,35196,64069,30072,18911,26481,15895,793,191410,Rest of Vic.
2GMEL,55841,8824,863,423,60405,10698,2129,139175,60664,21086,2628,1160,70447,12414,3941,172344,128773,82193,12810,5113,101051,28159,5080,363178,99855,97782,21488,8497,64227,21635,2976,316463,85676,89189,20204,7920,62255,19457,3148,287862,61637,68318,17939,7797,55931,16045,4490,232149,30900,41949,17401,9140,45235,13754,3007,161381,13069,18074,8843,5586,28997,10626,681,85880,4008,4544,2135,1583,15152,5240,93,32748,540421,431958,104314,47219,503698,138032,25548,1791183,58761,12921,1533,593,49045,9985,2816,135663,61989,32161,5946,3705,49728,11266,5340,170138,93195,102893,38408,44946,64643,26101,6194,376383,42289,96456,61899,66100,37381,19337,3383,326838,36056,101369,63696,44814,37356,18329,5019,306638,28547,77546,49825,35049,38184,16245,7912,253307,14812,41389,36290,30753,37511,15535,3555,179845,10023,19350,15745,14079,32318,14133,779,106415,5553,6764,3678,2592,27140,9783,144,55653,351227,490848,277017,242623,373301,140700,35152,1910874,114604,21749,2399,1010,109451,20684,4949,274842,122659,53249,8575,4866,120175,23678,9281,342479,221963,185090,51213,50064,165693,54262,11278,739566,142141,194232,83389,74595,101602,40971,6362,643295,121733,190559,83899,52739,99615,37785,8168,594494,Greater Melbourne
3GBRI,33634,6289,668,271,28072,5557,1283,75771,33202,13161,1722,751,29532,6485,2046,86897,59138,44091,7979,3264,38575,13237,2567,168849,46825,52118,12612,5136,25742,10623,1204,154267,41911,48844,11699,4736,26090,9577,1339,144205,30208,37219,11052,5130,24989,8052,1654,118302,14613,23195,11528,6939,21686,7467,1224,86661,5250,8364,4912,3524,12620,5234,344,40256,1579,1902,932,783,5794,2769,62,13814,266350,235181,63103,30544,213109,69010,11727,889020,33910,8811,1157,510,22549,4924,1729,73590,31145,19882,4403,3366,20165,5667,3013,87636,39047,52685,21552,24637,23315,11561,3121,175922,20682,52996,32705,31305,14229,8964,1421,162302,20056,55896,31581,20596,15167,8609,1842,153740,14955,40666,26098,18473,16741,7846,2801,127582,7148,20800,19767,18371,17995,7832,1486,93399,4283,8389,7263,7117,13959,6945,446,48398,2564,2883,1561,1177,11004,5591,84,24866,173789,263009,146088,125550,155122,67927,15944,947429,67544,15095,1828,782,50620,10482,3007,149362,64339,33042,6123,4118,49700,12156,5056,174533,98192,96776,29529,27905,61891,24795,5684,344772,67509,105114,45316,36441,39977,19589,2620,316565,61964,104743,43282,25329,41256,18186,3182,297945,Greater Brisbane
3RQLD,32730,6711,824,380,27455,8413,1986,78512,26493,12542,1970,1030,23874,8199,3295,77401,48339,40101,8353,4091,32657,17591,4295,155430,43116,48213,12681,6223,26960,16344,2179,155719,43957,51383,13647,6475,31827,17341,2734,167356,36270,45782,14622,8062,35989,16780,2593,160095,21036,32947,16709,11698,36791,16594,2711,138476,7938,12529,7244,6103,21091,10718,1189,66806,2010,2387,1284,1116,8162,4233,215,19410,261894,252591,77329,45185,244806,116206,21190,1019207,32468,9434,1416,706,21563,7530,2888,76012,23001,19148,4783,4444,14693,6878,4584,77524,28110,46292,22334,28847,17544,13937,5311,162376,17773,50404,33438,33321,13412,12890,2883,164125,21034,60865,35207,23509,17580,14344,3449,175984,18253,50293,32866,25433,22724,15104,3331,168005,9557,27481,26920,27508,27921,16122,2920,138427,5496,10855,9397,10925,20086,12164,1163,70090,2838,3264,1848,1602,13653,6850,208,30269,158532,278028,168225,156308,169172,105813,26742,1062808,65198,16149,2248,1090,49024,15941,4874,154521,49489,31686,6759,5473,38566,15071,7875,154924,76456,86389,30688,32942,50202,31527,9605,317812,60891,98614,46123,39546,40367,29240,5056,319843,64990,112244,48851,29987,49402,31683,6187,343343,Rest of Qld
4RSAU,4623,960,116,59,3725,1324,105,10916,3439,1872,340,164,2942,1009,220,9985,6156,5865,1398,724,4024,2403,420,20993,5562,6804,2092,1041,3650,2359,130,21635,6911,8448,2468,1197,5260,2642,118,27047,6605,8388,2814,1578,6499,2662,98,28642,3523,5807,3224,2378,6102,2633,72,23730,1308,2202,1473,1262,3601,1785,20,11658,410,529,290,274,1615,783,3,3909,38538,40876,14219,8674,37419,17605,1175,158516,4487,1372,228,104,2759,1108,158,10211,2446,2597,816,727,1458,733,199,8968,2687,5726,3289,4736,1721,1390,349,19899,1690,6333,4805,5031,1591,1393,92,20935,2487,9137,5962,3852,2493,1860,115,25904,2448,8209,6210,4663,3550,2160,112,27355,1301,4306,5065,5335,4528,2400,61,22995,824,1865,1922,2173,3684,2047,28,12545,544,692,458,384,2973,1273,3,6320,18909,40241,28751,27003,24760,14358,1111,155140,9115,2326,342,163,6486,2437,254,21128,5883,4467,1159,897,4397,1741,417,18957,8844,11596,4683,5455,5753,3795,768,40894,7252,13139,6903,6077,5239,3749,223,42576,9398,17579,8431,5049,7753,4502,231,52950,Rest of SA
4GADE,17411,3053,314,108,16931,2687,602,41106,17159,6861,981,374,17243,2572,652,45845,30334,24139,4501,1850,20751,5295,842,87710,23859,28511,7258,2969,14495,4764,494,82351,23620,29561,7148,2863,16092,4873,484,84639,19103,24234,6906,3053,16502,4335,826,74957,9673,15819,7491,3830,14326,4025,518,55686,4118,6437,3745,2482,9645,3354,118,29900,1342,1779,903,726,5725,1836,20,12333,146611,140386,39253,18256,131713,33751,4553,514518,18291,4418,512,232,13076,2457,801,39787,16323,10360,2090,1580,11071,2265,924,44617,19165,28175,11857,13581,12244,4746,1001,90779,9752,27588,18063,17065,7559,4009,520,84562,10664,32999,19610,11529,9195,4236,779,89013,9490,27740,17337,10769,11157,4316,1349,82155,4459,14143,14187,11952,12563,4682,703,62690,3157,6616,5977,5410,11529,4777,155,37616,2047,2715,1580,1075,10989,3302,45,21746,93363,154747,91209,73194,99381,34797,6276,552976,35703,7472,827,341,30006,5146,1397,80893,33479,17222,3067,1954,28314,4842,1577,90463,49498,52317,16361,15434,32994,10046,1842,178486,33613,56092,25324,20037,22053,8782,1016,166916,34276,62556,26755,14389,25287,9117,1266,173659,Greater Adelaide
5GPER,26865,5045,463,202,24429,4530,731,62264,25415,9573,1257,532,25130,5337,1408,68654,51476,37138,6481,2583,36365,12763,2006,148806,39235,41786,9717,4270,25049,9908,1022,130989,35916,40174,9294,3933,24972,8757,996,124041,26065,31442,8578,3982,22645,7112,1581,101406,12646,20404,8803,4969,18875,6312,1131,73137,4918,7983,4273,2969,11471,4925,297,36836,1417,1870,1015,741,5034,2572,45,12692,223947,195414,49887,24176,193967,62213,9221,758831,27406,7080,815,345,19036,4100,1065,59841,23973,15027,3105,2390,15495,4460,2024,66480,32560,44644,18578,23953,21226,10796,2412,154158,15226,40895,27576,31466,12920,8170,1130,137386,14845,45456,28417,20042,13152,7544,1568,131021,11892,34839,23153,16765,14695,6841,2917,111101,5525,17251,16326,15605,15337,6762,1415,78227,3757,7918,6771,6797,12526,6781,381,44932,2123,2743,1582,1226,9302,4921,73,21983,137299,215851,126328,118595,133689,60384,12987,805134,54269,12126,1282,554,43463,8629,1796,122110,49396,24600,4360,2924,40626,9796,3434,135140,84033,81780,25059,26534,57589,23560,4418,302962,54453,82682,37294,35731,37975,18081,2158,268374,50756,85630,37710,23976,38121,16306,2562,255058,Greater Perth
5RWAU,6371,1463,182,88,5191,2229,170,15697,4863,2567,425,210,4826,2270,467,15632,11742,9772,2083,1087,11755,8189,1044,45672,10432,11550,3039,1688,10253,7449,385,44786,10437,12033,3198,1684,11626,7213,469,46658,8585,10496,3328,1905,10669,5815,417,41214,4398,6782,3346,2463,7798,3957,238,28983,1442,2180,1305,1172,3394,2096,62,11648,369,460,247,226,1234,685,10,3221,58631,57297,17154,10528,66744,39888,3261,253513,6081,1894,313,168,3588,1956,236,14233,3522,3505,1070,977,2435,1568,544,13630,5551,9688,4961,7695,4093,4224,1000,37215,3342,9951,7086,8334,2908,3472,327,35425,4004,12129,7603,5567,4168,3986,409,37863,3535,10261,7337,5842,5176,3929,418,36502,1685,4968,5133,5721,4947,3396,238,26090,896,1864,1703,2094,3093,2248,71,11958,436,581,357,316,1961,1017,8,4675,29043,54841,35576,36714,32370,25799,3251,217588,12453,3359,490,265,8775,4188,406,29929,8386,6073,1493,1192,7262,3837,1013,29256,17297,19460,7042,8786,15851,12414,2040,82883,13772,21504,10124,10021,13160,10922,715,80211,14437,24162,10800,7248,15799,11200,878,84519,Rest of WA
