gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
1GSYD,Greater Sydney,1706.12,1637.225,3343.343,34875,22063,27611,50518,34334,41886
1RNSW,Rest of NSW,853.768,835.194,1688.967,29764,16977,22153,45163,25398,34362
2GMEL,Greater Melbourne,1535.5479999999998,1499.094,3034.635,34403,20567,26212,49126,31563,39789
2RVIC,Rest of Vic.,457.327,454.69,912.0169999999999,28718,16173,21114,43784,23970,32807
3GBRI,Greater Brisbane,847.925,778.7510000000001,1626.68,33426,21677,26668,51391,33757,42058
3RQLD,Rest of Qld,902.587,814.1560000000001,1716.739,28660,16706,21745,48971,28411,37706
4GADE,Greater Adelaide,433.134,426.986,860.125,34772,22088,27369,48271,31230,39319
4RSAU,Rest of SA,122.89200000000001,110.759,233.653,26308,16509,20520,42494,24382,32470
5GPER,Greater Perth,835.54,725.62,1561.1570000000002,36481,19156,26238,60015,32078,44531
5RWAU,Rest of WA,212.517,183.01,395.528,31804,14686,21646,59064,27804,40925
6GHOB,Greater Hobart,70.199,74.191,144.39,33213,21752,26242,44577,30090,36837
6RTAS,Rest of Tas.,92.49,86.912,179.40400000000002,29332,17501,22128,42482,24893,33148
7GDAR,Greater Darwin,73.783,65.17,138.95600000000002,28568,17022,22396,55803,38499,46916
7RNTE,Rest of NT,29.29,29.261999999999997,58.54600000000001,19962,12876,16088,43110,33425,38135
8ACTE,Australian Capital Territory,158.316,157.822,316.14099999999996,41609,30300,35644,57619,42964,50100
