gcc_code16,m_15_19_yr_married,m_15_19_yr_separated,m_15_19_yr_divorced,m_15_19_yr_widowed,m_15_19_yr_never_married,m_15_19_yr_tot,m_20_24_yr_married,m_20_24_yr_separated,m_20_24_yr_divorced,m_20_24_yr_widowed,m_20_24_yr_never_married,m_20_24_yr_tot,m_25_34_yr_married,m_25_34_yr_separated,m_25_34_yr_divorced,m_25_34_yr_widowed,m_25_34_yr_never_married,m_25_34_yr_tot,m_35_44_yr_married,m_35_44_yr_separated,m_35_44_yr_divorced,m_35_44_yr_widowed,m_35_44_yr_never_married,m_35_44_yr_tot,m_45_54_yr_married,m_45_54_yr_separated,m_45_54_yr_divorced,m_45_54_yr_widowed,m_45_54_yr_never_married,m_45_54_yr_tot,m_55_64_yr_married,m_55_64_yr_separated,m_55_64_yr_divorced,m_55_64_yr_widowed,m_55_64_yr_never_married,m_55_64_yr_tot,m_65_74_yr_married,m_65_74_yr_separated,m_65_74_yr_divorced,m_65_74_yr_widowed,m_65_74_yr_never_married,m_65_74_yr_tot,m_75_84_yr_married,m_75_84_yr_separated,m_75_84_yr_divorced,m_75_84_yr_widowed,m_75_84_yr_never_married,m_75_84_yr_tot,m_85ov_married,m_85ov_separated,m_85ov_divorced,m_85ov_widowed,m_85ov_never_married,m_85ov_tot,m_os_visitors_married,m_os_visitors_separated,m_os_visitors_divorced,m_os_visitors_widowed,m_os_visitors_never_married,m_os_visitors_tot,m_tot_married,m_tot_separated,m_tot_divorced,m_tot_widowed,m_tot_never_married,m_tot_tot,f_15_19_yr_married,f_15_19_yr_separated,f_15_19_yr_divorced,f_15_19_yr_widowed,f_15_19_yr_never_married,f_15_19_yr_tot,f_20_24_yr_married,f_20_24_yr_separated,f_20_24_yr_divorced,f_20_24_yr_widowed,f_20_24_yr_never_married,f_20_24_yr_tot,f_25_34_yr_married,f_25_34_yr_separated,f_25_34_yr_divorced,f_25_34_yr_widowed,f_25_34_yr_never_married,f_25_34_yr_tot,f_35_44_yr_married,f_35_44_yr_separated,f_35_44_yr_divorced,f_35_44_yr_widowed,f_35_44_yr_never_married,f_35_44_yr_tot,f_45_54_yr_married,f_45_54_yr_separated,f_45_54_yr_divorced,f_45_54_yr_widowed,f_45_54_yr_never_married,f_45_54_yr_tot,f_55_64_yr_married,f_55_64_yr_separated,f_55_64_yr_divorced,f_55_64_yr_widowed,f_55_64_yr_never_married,f_55_64_yr_tot,f_65_74_yr_married,f_65_74_yr_separated,f_65_74_yr_divorced,f_65_74_yr_widowed,f_65_74_yr_never_married,f_65_74_yr_tot,f_75_84_yr_married,f_75_84_yr_separated,f_75_84_yr_divorced,f_75_84_yr_widowed,f_75_84_yr_never_married,f_75_84_yr_tot,f_85ov_married,f_85ov_separated,f_85ov_divorced,f_85ov_widowed,f_85ov_never_married,f_85ov_tot,f_os_visitors_married,f_os_visitors_separated,f_os_visitors_divorced,f_os_visitors_widowed,f_os_visitors_never_married,f_os_visitors_tot,f_tot_married,f_tot_separated,f_tot_divorced,f_tot_widowed,f_tot_never_married,f_tot_tot,p_15_19_yr_married,p_15_19_yr_separated,p_15_19_yr_divorced,p_15_19_yr_widowed,p_15_19_yr_never_married,p_15_19_yr_tot,p_20_24_yr_married,p_20_24_yr_separated,p_20_24_yr_divorced,p_20_24_yr_widowed,p_20_24_yr_never_married,p_20_24_yr_tot,p_25_34_yr_married,p_25_34_yr_separated,p_25_34_yr_divorced,p_25_34_yr_widowed,p_25_34_yr_never_married,p_25_34_yr_tot,p_35_44_yr_married,p_35_44_yr_separated,p_35_44_yr_divorced,p_35_44_yr_widowed,p_35_44_yr_never_married,p_35_44_yr_tot,p_45_54_yr_married,p_45_54_yr_separated,p_45_54_yr_divorced,p_45_54_yr_widowed,p_45_54_yr_never_married,p_45_54_yr_tot,p_55_64_yr_married,p_55_64_yr_separated,p_55_64_yr_divorced,p_55_64_yr_widowed,p_55_64_yr_never_married,p_55_64_yr_tot,p_65_74_yr_married,p_65_74_yr_separated,p_65_74_yr_divorced,p_65_74_yr_widowed,p_65_74_yr_never_married,p_65_74_yr_tot,p_75_84_yr_married,p_75_84_yr_separated,p_75_84_yr_divorced,p_75_84_yr_widowed,p_75_84_yr_never_married,p_75_84_yr_tot,p_85ov_married,p_85ov_separated,p_85ov_divorced,p_85ov_widowed,p_85ov_never_married,p_85ov_tot,p_os_vis_married,p_os_vis_separated,p_os_vis_divorced,p_os_vis_widowed,p_os_vis_never_married,p_os_vis_tot,p_tot_married,p_tot_separated,p_tot_divorced,p_tot_widowed,p_tot_never_married,p_tot_tot,gcc_name16
1RNSW,189,26,56,25,81748,82041,2348,186,86,53,73939,76614,48419,2805,2192,159,91382,144962,84357,6660,9360,383,48896,149653,97241,9389,21918,1292,40409,170245,110470,9208,29650,3579,25494,178403,103510,6212,22282,7584,10353,149940,54138,2090,7655,10717,3848,78453,14418,405,1310,9264,1076,26478,1976,101,265,94,3201,5636,517066,37090,94772,33148,380350,1062424,163,41,26,27,77368,77623,4430,449,123,67,67905,72973,61951,4625,3606,339,78051,148580,90873,8977,14045,1156,42034,157085,103275,11274,29674,3945,30519,178684,112170,9249,35584,10715,16999,184714,92199,4757,24543,24262,6418,152187,40137,1352,8326,37458,2719,89995,7445,247,2043,33677,1340,44759,2210,87,402,441,3798,6944,514858,41057,118382,112091,327147,1113535,351,62,86,51,159112,159672,6779,638,210,121,141842,149585,110369,7432,5806,504,169432,293536,175226,15639,23409,1538,90928,306744,200518,20662,51595,5235,70929,348931,222639,18460,65234,14295,42490,363118,195709,10969,46824,31849,16769,302124,94278,3444,15985,48174,6566,168447,21863,658,3346,42940,2422,71233,4188,188,662,538,7002,12580,1031922,78145,213154,145242,707500,2175967,Rest of NSW
1GSYD,457,51,66,59,147611,148246,6391,279,198,109,165368,172342,143596,5049,5969,305,226560,381478,225331,10620,17737,618,90295,344609,204604,13152,31172,1708,57674,308304,173091,10858,33092,3873,31926,252832,126693,7019,21763,7524,14288,177286,65093,2520,7546,10820,5457,91431,19577,583,1607,11503,1756,35022,17184,414,1148,491,14162,33395,982015,50542,120295,37002,755099,1944948,844,68,59,61,139712,140747,14817,716,432,112,152452,168532,182300,8388,9705,583,191305,392281,229544,14926,27613,1940,77225,351248,203440,16571,46977,6117,46947,320061,166036,12460,47898,16505,26231,269130,109336,6548,31754,32046,11434,191122,46120,1913,11270,46997,4833,111139,9734,365,3404,44440,2779,60728,19487,428,2127,3409,17208,42654,981659,62384,181243,152222,670113,2047632,1303,118,126,121,287324,288992,21210,994,632,219,317819,340875,325892,13440,15671,894,417867,773757,454876,25543,45351,2559,167518,695852,408050,29721,78154,7827,104617,628363,339122,23318,80991,20375,58157,521967,236025,13569,53518,39569,25717,368405,111221,4433,18817,57817,10290,202566,29309,945,5010,55946,4541,95750,36669,835,3275,3905,31362,76047,1963680,112919,301538,189220,1425214,3992576,Greater Sydney
2RVIC,78,16,32,21,44780,44924,1140,85,30,17,40071,41336,26151,1407,1055,75,48704,77391,46136,3568,4572,229,25657,80162,54548,5222,11610,711,20109,92197,60657,4759,15097,1943,12368,94834,52673,3253,10880,3914,5497,76218,27203,981,3440,5379,2036,39038,7657,185,577,4951,684,14057,1131,45,138,50,1829,3191,277378,19516,47421,17288,201741,563337,113,13,19,27,41735,41900,2048,198,43,48,36824,39160,32994,2383,1671,176,43382,80601,49714,4918,7034,630,23124,85418,57787,6294,16231,2035,16069,98422,60999,5007,18731,5786,8613,99141,47565,2516,12259,12412,3289,78040,20040,648,3774,19761,1466,45694,4148,131,894,18188,826,24186,1293,52,198,286,2069,3886,276699,22163,60848,59349,177402,596451,189,32,49,44,86512,86826,3180,284,73,62,76895,80503,59143,3793,2721,244,92085,157989,95853,8481,11606,862,48781,165583,112332,11515,27839,2752,36177,190619,121661,9766,33827,7736,20983,193967,100236,5767,23140,16326,8792,154255,47246,1636,7209,25138,3502,84723,11806,315,1470,23138,1509,38240,2424,96,332,331,3896,7076,554069,41680,108269,76629,379138,1159788,Rest of Vic.
2GMEL,411,50,66,50,136474,137048,4821,242,155,109,163073,168403,129559,4505,4721,299,219009,358098,201243,9804,15557,602,86277,313486,186316,13112,29588,1666,54033,284707,155535,10080,30814,3799,27432,227665,115626,5858,18828,6905,11155,158374,62115,2180,6526,10430,3957,85200,18458,512,1316,10923,1448,32656,13545,260,740,414,10593,25548,887619,46599,108309,35199,713453,1791183,621,66,64,66,132031,132846,11279,586,331,118,152478,164798,163725,7458,8026,557,190419,370188,205515,13852,24265,1776,78051,323449,188479,16376,44737,5382,46638,301613,151329,11583,44802,14134,23554,245390,103304,5831,28949,28998,9208,176285,45117,1798,9885,45064,3771,105634,9329,311,2501,41203,2158,55507,16792,332,1650,3003,13365,35152,895497,58201,165209,140304,651671,1910874,1025,110,135,116,268508,269894,16103,828,487,228,315552,333199,293287,11966,12749,855,409429,728285,406754,23656,39815,2378,164327,636933,374798,29483,74324,7050,100677,586324,306863,21667,75616,17933,50985,473058,218929,11694,47777,35900,20362,334663,107232,3975,16412,55494,7721,190838,27786,824,3816,52127,3607,88162,30338,594,2392,3417,23961,60700,1783117,104800,273517,175506,1365119,3702060,Greater Melbourne
3GBRI,167,20,27,29,74247,74492,2911,186,95,54,81606,84854,57501,3144,2775,136,102721,166286,92060,6528,9566,372,44532,153063,89870,7494,17408,909,27182,142869,77932,5557,18123,2032,13003,116646,60716,3353,12085,3869,5407,85432,27893,1102,3874,5012,2031,39914,7470,238,742,4642,663,13752,5067,151,429,189,5894,11727,421602,27773,65112,17248,357279,889020,266,33,25,25,71515,71861,5651,440,170,66,78295,84621,73295,5045,4285,317,89858,172802,98043,8694,13978,1042,39127,160882,92528,9042,25055,2944,22323,151899,76449,6143,25049,6978,10168,124779,53078,3171,16733,14558,4370,91911,19936,765,5327,19909,2015,47954,3870,145,1304,18392,1068,24777,6043,199,833,1136,7730,15944,429160,33672,92761,65377,326462,947429,437,55,47,57,145758,146356,8564,624,267,121,159899,169471,130798,8185,7057,459,192581,339090,190106,15219,23545,1415,83655,313941,182404,16533,42470,3852,49509,294761,154389,11699,43167,9005,23169,241424,113789,6527,28821,18431,9779,177343,47828,1872,9202,24922,4047,87860,11345,382,2045,23040,1723,38530,11117,350,1255,1324,13620,27672,850765,61446,157875,82622,683739,1836450,Greater Brisbane
3RQLD,166,36,40,39,76254,76522,2777,228,88,58,70956,74104,50207,3060,2593,168,95105,151140,86545,6977,10102,380,49532,153540,97235,9260,21651,1193,35286,164624,100520,7752,26725,2931,19569,157502,95497,5342,20363,6097,8473,135767,46429,1807,6555,7754,3075,65616,10777,320,1129,6067,905,19190,10149,253,875,357,9554,21190,500298,35034,90123,25045,368706,1019207,225,37,21,53,72778,73117,5064,479,125,79,67190,72939,64396,4931,4192,357,83192,157061,93516,9516,15029,1220,41964,161242,101103,11046,29888,3445,27057,172535,102013,7991,32388,9231,13056,164676,84874,4131,21959,19820,4723,135510,32043,1100,6912,27028,1836,68926,5366,189,1543,22088,873,30065,11014,285,1363,1287,12796,26742,499623,39712,113414,84602,325456,1062808,389,72,63,90,149030,149641,7845,708,214,137,138144,147047,114609,7995,6779,528,178294,308203,180062,16496,25133,1602,91491,314785,198339,20311,51540,4636,62341,337159,202530,15740,59111,12160,32624,322176,180374,9468,42322,25922,13191,271279,78472,2906,13470,34784,4911,134542,16143,507,2668,28157,1780,49252,21165,538,2240,1642,22348,47934,999917,74748,203541,109651,694161,2082014,Rest of Qld
4RSAU,41,4,3,5,10758,10812,407,26,10,12,9316,9769,6853,408,288,31,12989,20577,11651,971,1286,59,7547,21506,15136,1426,3484,188,6691,26927,18009,1450,4892,574,3605,28540,16799,923,3394,1135,1416,23665,8215,293,1020,1560,554,11632,2186,69,161,1308,176,3903,375,6,41,24,727,1175,79679,5584,14580,4902,53773,158516,50,3,6,4,9991,10061,700,68,11,12,7989,8772,8284,628,417,53,10164,19549,12043,1160,1736,180,5726,20845,15256,1559,3959,617,4399,25788,17842,1164,4754,1526,1958,27244,15030,593,2914,3690,720,22939,6014,153,878,5221,250,12512,1129,29,225,4793,142,6317,312,14,44,65,680,1111,76658,5367,14941,16149,42027,155140,92,9,11,7,20748,20872,1108,91,21,21,17303,18541,15138,1041,706,87,23158,40123,23692,2132,3017,234,13276,42349,30397,2988,7440,807,11085,52718,35859,2619,9648,2098,5563,55785,31821,1513,6303,4824,2140,46601,14228,441,1893,6776,811,24147,3320,97,386,6103,318,10223,684,17,87,84,1408,2289,156337,10946,29520,21053,95803,313653,Rest of SA
4GADE,111,13,30,21,40327,40504,1369,81,52,33,43669,45196,29869,1384,1328,79,54211,86869,48464,3185,4818,177,25214,81858,49914,4273,10318,570,19079,84155,47363,3271,12085,1330,10080,74131,39439,1858,7820,2477,3569,55163,21665,625,2548,3819,1117,29777,6868,182,558,4301,400,12314,2291,42,141,72,2008,4553,247357,14918,39696,12869,199676,514518,159,11,23,26,38772,38987,2908,174,61,39,40516,43695,39055,2351,2245,193,45928,89777,50673,4422,7228,586,21141,84039,51423,5142,14906,1764,14990,88236,47586,3594,17033,4539,8048,80808,36207,1774,11313,9735,2958,61989,16265,513,3909,15696,1083,37465,3632,120,1089,16191,669,21702,2805,62,305,553,2545,6276,250711,18173,58107,49328,176653,552976,271,22,51,43,79101,79495,4269,255,111,68,84182,88887,68922,3737,3571,268,100137,176641,99133,7608,12044,758,46358,165901,101337,9414,25225,2338,34074,172390,94950,6869,29118,5867,18127,154937,75649,3633,19133,12213,6533,117159,37935,1140,6458,19517,2196,67242,10506,303,1647,20497,1068,34020,5093,102,449,631,4552,10830,498068,33091,97803,62194,376332,1067496,Greater Adelaide
5GPER,149,18,30,24,61322,61542,2329,113,54,40,64714,67248,52102,2271,2040,132,90249,146798,82082,4641,6835,266,36134,129967,80181,5943,13640,734,22534,123040,67924,4358,14929,1590,11020,99824,52395,2669,9739,2926,4278,72014,26631,849,3370,4239,1459,36543,7333,207,632,3997,467,12639,4497,145,403,179,3993,9221,375639,21222,51676,14134,296166,758831,227,30,20,14,58493,58780,4969,305,116,41,59028,64454,68634,3843,3467,264,75538,151750,88017,6457,10526,837,30409,136255,82420,7042,20036,2298,17658,129457,67759,4786,21344,5967,8333,108183,45597,2454,13883,11753,3116,76808,19629,713,5135,17783,1299,44555,3685,130,1215,16241,632,21906,5543,184,753,1240,5272,12987,386489,25934,76494,56440,259780,805134,376,48,50,32,119816,120321,7299,417,165,83,123739,131706,120734,6120,5508,394,165793,298548,170104,11097,17366,1105,66546,266219,162609,12989,33683,3036,40189,252494,135681,9137,36274,7565,19351,208010,97994,5123,23629,14684,7398,148824,46259,1554,8497,22024,2759,81092,11021,340,1846,20247,1097,34546,10043,331,1153,1421,9264,22208,762120,47157,128166,70575,555941,1563967,Greater Perth
5RWAU,72,4,8,3,15440,15529,703,53,25,10,14374,15157,14611,924,655,50,28387,44625,25218,1922,2591,94,14575,44399,27558,2552,5588,325,10171,46189,26333,1971,6660,776,5056,40799,20470,1136,4138,1298,1699,28741,8226,284,1130,1363,580,11587,1852,64,156,1027,129,3219,1355,62,141,37,1666,3261,126390,8970,21088,4978,92083,253513,111,8,3,4,13875,13996,1033,96,16,15,11920,13080,14673,984,777,105,19677,36212,20461,1759,2453,245,10179,35095,21972,2220,5664,738,6863,37455,23113,1617,6437,1945,2978,36083,16951,769,3641,3577,914,25854,5572,181,1032,4802,295,11890,872,29,211,3458,106,4666,1025,32,167,156,1875,3251,105785,7695,20397,15039,68677,217588,174,12,14,4,29315,29525,1732,148,43,26,26291,28243,29288,1901,1432,151,48064,80844,45683,3684,5044,336,24754,79496,49525,4771,11254,1057,17033,83645,49448,3587,13090,2714,8035,76879,37421,1908,7778,4870,2618,54594,13798,470,2161,6165,877,23475,2722,87,364,4482,235,7884,2383,95,303,193,3544,6515,232176,16666,41484,20015,160760,471102,Rest of WA
