gcc_code16,p_philippines_e,p_philippines_om_ie,p_philippines_om_uie,p_philippines_cfw,p_philippines_es_ns,p_philippines_tot,p_poland_e,p_poland_om_ie,p_poland_om_uie,p_poland_cfw,p_poland_es_ns,p_poland_tot,p_singapore_e,p_singapore_om_ie,p_singapore_om_uie,p_singapore_cfw,p_singapore_es_ns,p_singapore_tot,p_sthafrica_e,p_sthafrica_om_ie,p_sthafrica_om_uie,p_sthafrica_cfw,p_sthafrica_es_ns,p_sthafrica_tot,p_srilanka_e,p_srilanka_om_ie,p_srilanka_om_uie,p_srilanka_cfw,p_srilanka_es_ns,p_srilanka_tot,p_thailand_e,p_thailand_om_ie,p_thailand_om_uie,p_thailand_cfw,p_thailand_es_ns,p_thailand_tot,p_turkey_e,p_turkey_om_ie,p_turkey_om_uie,p_turkey_cfw,p_turkey_es_ns,p_turkey_tot,p_uk_e,p_uk_om_ie,p_uk_om_uie,p_uk_cfw,p_uk_es_ns,p_uk_tot,p_usa_e,p_usa_om_ie,p_usa_om_uie,p_usa_cfw,p_usa_es_ns,p_usa_tot,p_vietnam_e,p_vietnam_om_ie,p_vietnam_om_uie,p_vietnam_cfw,p_vietnam_es_ns,p_vietnam_tot,p_zimbabwe_e,p_zimbabwe_om_ie,p_zimbabwe_om_uie,p_zimbabwe_cfw,p_zimbabwe_es_ns,p_zimbabwe_tot,p_elsewhere_e,p_elsewhere_om_ie,p_elsewhere_om_uie,p_elsewhere_cfw,p_elsewhere_es_ns,p_elsewhere_tot,p_cob_ns_e,p_cob_ns_om_ie,p_cob_ns_om_uie,p_cob_ns_cfw,p_cob_ns_es_ns,p_cob_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,gcc_name16
1RNSW,5139,118,198,65,92,5611,491,51,86,15,14,650,431,49,60,11,8,558,3266,404,445,102,27,4240,1108,109,65,19,9,1310,1294,102,216,53,33,1692,263,55,88,17,10,432,24093,2357,3642,913,315,31321,2417,191,397,96,36,3135,1098,147,316,68,22,1655,995,46,74,14,6,1132,15047,1242,1800,440,237,18771,13597,1082,2127,834,1022,18658,814991,59863,91812,26018,12738,1005433,Rest of NSW
1GSYD,47897,835,948,216,313,50204,4830,488,590,79,43,6025,5084,371,328,58,26,5872,19435,2689,1775,212,143,24254,14286,823,667,111,118,16009,13271,556,692,205,176,14907,3733,560,608,109,80,5084,87505,8917,6935,957,655,104966,11404,840,824,126,73,13264,33007,2999,3407,783,470,40661,3069,199,150,21,22,3462,156535,10984,11521,1799,1878,182710,17078,1601,1586,377,1402,22033,1877812,157872,132483,22258,18871,2209294,Greater Sydney
2RVIC,2994,40,66,41,44,3193,256,30,37,7,3,337,280,20,28,6,3,338,1356,122,132,36,13,1658,969,93,55,16,9,1146,612,42,70,31,9,761,142,28,29,19,3,221,12806,1122,1664,473,183,16243,996,100,132,37,13,1282,681,98,133,41,23,969,381,23,29,10,3,441,7973,577,730,237,165,9682,8658,851,1308,556,604,11972,452016,37661,50732,16824,7751,564981,Rest of Vic.
2GMEL,27574,429,518,142,209,28880,4701,583,652,101,58,6097,6459,435,374,58,26,7357,13440,1317,984,154,73,15963,28682,1669,1557,318,296,32524,5934,362,482,106,64,6946,4048,779,628,152,107,5711,72568,6284,5685,859,559,85961,7978,614,628,104,59,9379,33119,2645,2963,758,451,39943,2635,128,104,22,25,2919,109972,8593,8947,1609,1663,130786,18382,1834,1613,400,1469,23698,1740742,143469,119940,23536,18486,2046169,Greater Melbourne
3GBRI,11759,233,301,64,89,12447,1292,111,124,12,7,1554,1966,131,121,29,12,2256,12734,1079,832,142,63,14854,3378,232,245,33,21,3911,2361,170,204,60,26,2829,298,61,48,13,8,427,48182,3923,3667,657,376,56803,4097,281,295,61,18,4750,6087,564,1186,255,111,8204,2938,248,142,37,18,3380,47069,3301,3528,706,520,55122,7563,531,598,170,514,9379,898460,62206,58164,11608,7460,1037906,Greater Brisbane
3RQLD,9712,197,335,86,122,10454,629,78,105,11,21,833,818,75,64,24,7,981,8371,1061,826,210,63,10535,1295,100,81,16,12,1512,1839,121,271,70,30,2332,186,50,41,9,0,287,35600,3838,4419,925,372,45165,3033,270,381,118,22,3822,1296,154,205,65,32,1748,2332,247,190,29,21,2815,24521,2006,2407,597,367,29901,10615,931,1272,598,678,14096,814473,67712,77688,23727,10329,993929,Rest of Qld
4RSAU,1131,8,14,17,25,1203,46,5,5,0,0,63,40,5,3,0,4,48,502,27,46,7,8,583,177,10,8,0,3,197,123,13,13,13,0,163,12,4,8,3,0,30,4897,300,706,196,86,6180,219,12,41,14,3,285,191,26,30,19,6,268,161,9,6,4,3,183,1886,98,151,36,65,2241,2210,174,361,171,176,3095,114687,8740,16276,6173,2260,148135,Rest of SA
4GADE,5594,60,132,29,45,5853,1683,114,187,30,18,2039,952,79,69,25,3,1126,2973,150,221,20,15,3383,1645,72,90,16,12,1840,1054,53,105,27,8,1244,159,25,20,8,0,209,37076,2223,3309,439,309,43357,1662,105,129,16,8,1930,4760,449,1089,271,92,6661,698,15,43,0,7,766,19550,1118,1695,354,296,23009,4878,370,497,81,350,6176,482876,29161,37067,6348,4864,560314,Greater Adelaide
5GPER,12783,134,214,74,90,13298,1965,162,316,34,17,2500,6408,462,397,90,34,7392,17927,1498,1392,241,105,21165,3606,177,211,34,32,4068,2619,96,190,37,18,2964,286,71,75,22,6,465,87683,6268,8084,1010,636,103686,3436,223,244,50,14,3969,6021,600,1331,314,104,8371,5465,388,312,76,31,6273,45599,2637,3445,620,496,52803,6590,431,639,130,428,8218,727035,51181,55775,9977,6188,850156,Greater Perth
5RWAU,4167,22,45,31,59,4316,193,13,5,5,0,219,386,14,21,12,0,429,3819,187,236,50,30,4319,340,18,12,5,3,375,567,20,37,15,9,647,30,4,7,0,0,45,15503,777,1553,457,170,18463,688,52,73,40,3,852,289,59,114,42,18,521,1570,56,60,26,5,1710,6225,246,353,127,78,7022,3400,279,489,208,227,4598,216847,13225,19759,7321,2962,260110,Rest of WA
