gcc_name16,gcc_code16,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot
Other Territories,9OTER,0,0,0,0,0,3,3,3,9,53,27,7,92,0,3,6,95,43,4,145
Australian Capital Territory,8ACTE,8,51,0,0,0,51,68,32,154,6171,2687,425,9275,261,212,472,9748,4295,88,14129
Rest of NT,7RNTE,8,56,13,11,20,76,127,116,317,998,460,126,1586,228,100,330,1909,1890,156,3960
Greater Darwin,7GDAR,12,36,0,0,3,38,49,48,137,2095,692,172,2953,129,78,205,3164,1359,75,4605
Rest of Tas.,6RTAS,17,73,8,4,11,88,144,83,312,2794,3050,371,6220,409,378,788,7001,5371,168,12544
Greater Hobart,6GHOB,10,48,3,10,11,56,93,45,200,2977,2832,305,6121,233,282,514,6636,4148,100,10877
Rest of WA,5RWAU,29,110,6,18,27,135,257,210,596,4984,4367,564,9916,734,610,1346,11264,7182,345,18789
Greater Perth,5GPER,103,358,38,24,64,421,498,344,1264,23163,17774,1944,42878,2847,2395,5240,48117,25763,681,74556
Rest of SA,4RSAU,21,94,10,10,22,115,219,135,464,3346,3659,384,7390,559,451,1015,8403,6085,224,14707
Greater Adelaide,4GADE,65,269,22,24,40,314,479,297,1085,16266,14045,1474,31783,1756,1603,3362,35146,22749,527,58427
Rest of Qld,3RQLD,186,640,57,48,102,740,969,607,2317,28862,24289,2697,55853,4324,3506,7828,63682,40152,1145,104978
Greater Brisbane,3GBRI,137,496,48,41,91,595,630,461,1686,31172,20038,2452,53658,3345,2744,6094,59751,35662,917,96326
Rest of Vic.,2RVIC,102,372,41,40,77,446,743,402,1594,14297,15310,1712,31328,1701,1781,3480,34805,24237,789,59832
Greater Melbourne,2GMEL,257,1088,66,83,151,1238,1575,946,3760,51209,38547,4354,94116,4259,4488,8748,102869,69998,1904,174769
Rest of NSW,1RNSW,187,719,93,75,169,883,1580,787,3244,30092,27842,3185,61118,3756,3519,7274,68398,50900,1566,120862
Greater Sydney,1GSYD,267,1002,56,64,123,1120,1536,1013,3677,58790,36929,4450,100170,4229,4750,8976,109145,78922,1975,190048
