gcc_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,gcc_name16
9OTER,545,331,124,28,2892,Other Territories
8ACTE,29958,18708,8265,3525,218522,Australian Capital Territory
7RNTE,7882,4432,1014,163,46320,Rest of NT
7GDAR,11084,5843,1790,387,80389,Greater Darwin
6RTAS,22865,15913,7654,2639,123341,Rest of Tas.
6GHOB,17442,11334,5728,2409,104923,Greater Hobart
5RWAU,45250,28314,10927,3435,277053,Rest of WA
5GPER,129021,81511,40981,17058,949197,Greater Perth
4RSAU,29206,21030,9578,3968,161055,Rest of SA
4GADE,91499,60507,29549,13891,607027,Greater Adelaide
3RQLD,189897,137684,63053,21771,1178747,Rest of Qld
3GBRI,146148,91848,41377,17537,1093450,Greater Brisbane
2RVIC,113810,78664,38027,16211,660545,Rest of Vic.
2GMEL,284832,173147,84320,37564,2231960,Greater Melbourne
1RNSW,224646,160561,80387,32976,1261856,Rest of NSW
1GSYD,325141,200564,96041,44441,2438784,Greater Sydney
