gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
1GSYD,Greater Sydney,1669.944,1577.692,3247.635,34493,22375,27736,49928,34666,41676
1RNSW,Rest of NSW,849.952,801.895,1651.8470000000002,28633,17195,21989,44821,26005,34700
2GMEL,Greater Melbourne,1515.11,1471.8829999999998,2986.995,33379,19928,25451,48165,31240,39208
2RVIC,Rest of Vic.,457.38599999999997,451.056,908.447,27459,15204,20089,42809,23459,32255
3GBRI,Greater Brisbane,833.3919999999999,778.56,1611.95,32352,20292,25358,50280,33150,41183
3RQLD,Rest of Qld,893.32,818.485,1711.8010000000002,26523,15166,20000,47901,27968,37000
4GADE,Greater Adelaide,427.276,424.524,851.798,33678,20654,25920,47065,30234,38273
4RSAU,Rest of SA,122.649,110.758,233.40400000000002,24965,15379,19335,41837,23465,31723
5GPER,Greater Perth,807.5139999999999,701.7130000000001,1509.229,33810,18000,24625,59291,32000,44165
5RWAU,Rest of WA,209.61,180.692,390.306,29573,13666,20068,59040,27381,40667
6GHOB,Greater Hobart,70.685,74.835,145.516,32250,20156,24747,43701,28980,35855
6RTAS,Rest of Tas.,94.07600000000001,88.774,182.85,28088,16012,20911,41665,23911,32272
7GDAR,Greater Darwin,67.973,61.977,129.953,27383,17051,21744,53831,36770,44995
7RNTE,Rest of NT,28.691,28.31,57.0,19425,12956,15872,43410,30872,37111
8ACTE,Australian Capital Territory,151.388,153.144,304.529,40626,27830,33416,57108,42392,49533
