gcc_name16,gcc_code16,f_tot_lf_15_19,f_tot_lf_20_24,f_tot_lf_25_34,f_tot_lf_35_44,f_tot_lf_45_54,f_tot_lf_55_64,f_tot_lf_65_74,f_tot_lf_75_84,f_tot_lf_85ov,f_tot_lf_tot,f_not_in_lf_15_19,f_not_in_lf_20_24,f_not_in_lf_25_34,f_not_in_lf_35_44,f_not_in_lf_45_54,f_not_in_lf_55_64,f_not_in_lf_65_74,f_not_in_lf_75_84,f_not_in_lf_85ov,f_not_in_lf_tot,f_lfs_ns_15_19,f_lfs_ns_20_24,f_lfs_ns_25_34,f_lfs_ns_35_44,f_lfs_ns_45_54,f_lfs_ns_55_64,f_lfs_ns_65_74,f_lfs_ns_75_84,f_lfs_ns_85ov,f_lfs_ns_tot,f_tot_15_19,f_tot_20_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75_84,f_tot_85ov,f_tot_tot,p_emp_fullt_15_19,p_emp_fullt_20_24,p_emp_fullt_25_34,p_emp_fullt_35_44,p_emp_fullt_45_54,p_emp_fullt_55_64,p_emp_fullt_65_74,p_emp_fullt_75_84,p_emp_fullt_85ov,p_emp_fullt_tot,p_emp_partt_15_19,p_emp_partt_20_24,p_emp_partt_25_34,p_emp_partt_35_44,p_emp_partt_45_54,p_emp_partt_55_64,p_emp_partt_65_74,p_emp_partt_75_84,p_emp_partt_85ov,p_emp_partt_tot,p_emp_awy_f_wrk_15_19,p_emp_awy_f_wrk_20_24,p_emp_awy_f_wrk_25_34,p_emp_awy_f_wrk_35_44,p_emp_awy_f_wrk_45_54,p_emp_awy_f_wrk_55_64,p_emp_awy_f_wrk_65_74,p_emp_awy_f_wrk_75_84,p_emp_awy_f_wrk_85ov,p_emp_awy_f_wrk_tot,p_hours_wkd_ns_15_19,p_hours_wkd_ns_20_24,p_hours_wkd_ns_25_34,p_hours_wkd_ns_35_44,p_hours_wkd_ns_45_54,p_hours_wkd_ns_55_64,p_hours_wkd_ns_65_74,p_hours_wkd_ns_75_84,p_hours_wkd_ns_85ov,p_hours_wkd_ns_tot,p_tot_emp_15_19,p_tot_emp_20_24,p_tot_emp_25_34,p_tot_emp_35_44,p_tot_emp_45_54,p_tot_emp_55_64,p_tot_emp_65_74,p_tot_emp_75_84,p_tot_emp_85ov,p_tot_emp_tot,p_unem_look_ftw_15_19,p_unem_look_ftw_20_24,p_unem_look_ftw_25_34,p_unem_look_ftw_35_44,p_unem_look_ftw_45_54,p_unem_look_ftw_55_64,p_unem_look_ftw_65_74,p_unem_look_ftw_75_84,p_unem_look_ftw_85ov,p_unem_look_ftw_tot,p_unem_look_ptw_15_19,p_unem_look_ptw_20_24,p_unem_look_ptw_25_34,p_unem_look_ptw_35_44,p_unem_look_ptw_45_54,p_unem_look_ptw_55_64,p_unem_look_ptw_65_74,p_unem_look_ptw_75_84,p_unem_look_ptw_85ov,p_unem_look_ptw_tot,p_tot_unemp_15_19,p_tot_unemp_20_24,p_tot_unemp_25_34,p_tot_unemp_35_44,p_tot_unemp_45_54,p_tot_unemp_55_64,p_tot_unemp_65_74,p_tot_unemp_75_84,p_tot_unemp_85ov,p_tot_unemp_tot,p_tot_lf_15_19,p_tot_lf_20_24,p_tot_lf_25_34,p_tot_lf_35_44,p_tot_lf_45_54,p_tot_lf_55_64,p_tot_lf_65_74,p_tot_lf_75_84,p_tot_lf_85ov,p_tot_lf_tot,p_not_in_lf_15_19,p_not_in_lf_20_24,p_not_in_lf_25_34,p_not_in_lf_35_44,p_not_in_lf_45_54,p_not_in_lf_55_64,p_not_in_lf_65_74,p_not_in_lf_75_84,p_not_in_lf_85ov,p_not_in_lf_tot,p_lfs_ns_15_19,p_lfs_ns_20_24,p_lfs_ns_25_34,p_lfs_ns_35_44,p_lfs_ns_45_54,p_lfs_ns_55_64,p_lfs_ns_65_74,p_lfs_ns_75_84,p_lfs_ns_85ov,p_lfs_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Rest of NSW,1RNSW,40723,51379,104413,116212,132379,98882,20332,2592,460,567378,32650,16041,33481,31090,35268,74512,120775,77580,36539,457951,4319,4681,9259,9103,11010,12135,11839,10141,7830,80323,77694,72109,147152,156403,178659,185530,152945,90318,44829,1105649,16025,53001,134305,144011,165600,115362,20698,2843,446,652283,45251,37320,59016,70407,75490,70685,24938,3858,506,387471,2655,3223,9987,6911,7348,9058,2684,429,94,42391,2133,2584,3849,3776,4060,3177,1451,746,230,22017,66071,96123,207157,225112,252505,198277,49771,7880,1272,1104163,5446,7871,9317,8104,8507,6458,350,68,25,46140,8774,4931,4937,4283,4042,4397,806,89,23,32276,14217,12801,14255,12380,12547,10853,1155,158,52,78414,80285,108928,221412,237496,265051,209127,50923,8040,1324,1182580,70263,28810,49776,48530,60546,129811,228575,142599,58310,817222,8976,9828,19195,18895,22957,25020,23737,18099,11764,158473,159525,147560,290388,304924,348557,363959,303231,168736,71398,2158275
Greater Sydney,1GSYD,60679,116794,285805,255942,233854,149702,32296,2920,439,1138432,73686,41517,81406,76983,70386,106611,148844,99412,52238,751080,6024,10139,25485,18651,15957,14079,11930,9412,8200,119868,140387,168451,392700,351579,320191,270395,193069,111741,60875,2009383,19241,106616,411078,374184,332185,199983,34321,2286,332,1480218,70153,96779,128242,130263,117743,94592,38800,5440,580,682605,3724,5240,19747,14279,9112,9345,3144,404,75,65069,2762,6128,12130,8886,7882,4909,1532,436,164,44829,95877,214769,571197,527605,466922,308826,77795,8569,1152,2272718,5012,11470,20562,15270,14263,9660,776,93,34,77147,17047,13943,12071,9348,7924,7032,1460,182,35,69039,22059,25413,32633,24621,22187,16690,2239,279,67,146187,117937,240182,603831,552224,489112,325513,80031,8846,1217,2418899,157672,79745,118425,104808,105249,170163,269425,178625,82661,1266780,12751,20814,52141,39008,33216,28335,23032,16579,12139,238019,288362,340737,774405,696037,627580,524011,372488,204051,96022,3923700
Rest of Vic.,2RVIC,21923,28055,56439,62482,74150,57355,12171,1505,339,314414,17678,7952,18607,17716,18746,37884,64430,40701,20426,244136,2445,2604,5128,5162,6268,6995,6800,5336,3684,44427,42043,38606,80178,85363,99158,102238,83397,47547,24446,602974,7596,29196,72991,75279,89656,64942,12032,1684,333,353709,26099,20853,31921,40429,44771,42932,15302,2359,387,225059,1426,1851,5736,4365,4864,6292,2083,313,69,27008,1296,1528,2120,2083,2318,2023,890,423,134,12812,36413,53437,112772,122157,141612,116189,30307,4785,919,618583,2238,4030,4786,3963,4298,3485,154,30,20,23008,4470,2375,2368,2237,2044,2237,431,39,10,16214,6709,6404,7163,6200,6336,5723,586,74,32,39226,43122,59836,119934,128359,147952,121912,30897,4853,948,657811,38864,14262,26669,26813,31310,63820,120367,74377,32219,428695,4977,5432,10402,10369,12857,14001,13569,9607,5633,86838,86967,79529,157001,165539,192122,199728,164829,88833,38801,1173346
Greater Melbourne,2GMEL,59037,113178,271590,236598,223427,138171,28086,2404,463,1072952,67444,42539,76643,70830,63077,96013,141524,96161,48318,702548,5793,9289,22823,16666,15034,13121,11562,9398,7164,110852,132275,165007,371061,324092,301538,247299,181172,107963,55950,1886350,12287,89963,377966,327754,300981,176029,28330,1938,380,1315635,70517,102045,130369,133071,123208,94717,36075,4616,555,695178,2862,5088,19433,14342,9572,9633,3118,401,79,64518,2450,5378,10821,7846,7136,4384,1490,477,182,40164,88109,202474,538588,483008,440905,284768,69019,7429,1203,2115493,4492,12668,22538,15858,14242,9145,681,62,23,79707,20803,16868,12334,9160,7360,5872,1339,152,28,73917,25299,29532,34873,25018,21604,15019,2020,217,49,153625,113411,232006,573461,508030,462503,299779,71038,7645,1251,2269119,143833,82377,110896,96552,94195,151124,251351,171724,77098,1179140,11777,18980,45991,34507,30614,25999,21898,16684,10800,217251,269015,333367,730345,639084,587317,476902,344283,196050,89151,3665515
Greater Brisbane,3GBRI,40371,61788,128808,122401,116736,71491,13446,1031,145,556220,28470,18411,34817,31557,28655,47819,72913,42171,20093,324913,3213,5011,10540,8108,7679,6738,5709,4445,4438,55886,72056,85209,174171,162065,153071,126053,92065,47651,24673,937019,11328,57448,175026,168357,160872,93496,14189,882,104,681706,45444,48597,62958,63761,57118,43567,15808,1885,167,339295,1813,2924,10315,7065,5571,5541,1433,126,27,34817,1495,2466,4424,3619,3125,1890,622,224,89,17962,60083,111449,252724,242798,226688,144487,32052,3110,389,1073778,5233,8936,11973,8771,8247,5549,378,46,19,49160,12167,6827,6103,4460,3348,2830,688,57,5,36480,17407,15762,18080,13234,11597,8382,1064,104,23,85640,77488,127209,270806,256030,238281,152865,33117,3215,413,1159423,62528,33376,51098,44807,44451,78235,133850,76493,31576,556409,6562,10156,21330,17098,16327,13687,11244,7790,6371,110566,146581,170741,343233,317932,299059,244790,178208,87505,38357,1826402
Rest of Qld,3RQLD,41659,51402,108085,116761,126044,85825,17964,1961,279,549977,26555,14595,33962,31020,31706,58378,93462,54538,23806,368032,4607,5794,11613,10602,11646,11104,9703,6802,4975,76846,72830,71787,153661,158382,169397,155306,121125,63300,29061,994854,15281,55299,141605,148645,161764,105310,19401,2147,258,649705,46423,34496,56949,66352,67052,56321,20711,2839,298,351455,2142,2724,9574,6896,6989,7267,2045,277,60,37980,1811,2224,4001,3983,3823,2768,1148,491,129,20383,65656,94742,212136,225875,239632,171672,43304,5754,744,1059525,6212,8779,11282,9768,10678,8266,550,70,15,55616,9757,4473,5290,4710,4051,4084,932,107,12,33413,15964,13250,16571,14474,14732,12351,1479,177,35,89036,81621,107992,228708,240356,254357,184024,44785,5934,775,1148556,58091,24770,47195,45087,51241,98177,177800,103377,38695,644430,9577,12209,25257,23245,25356,23487,19859,12615,7665,159270,149284,144979,301158,308690,330959,305688,242444,121922,47131,1952257
Rest of SA,4RSAU,5068,6195,13303,15360,19278,15278,3484,491,94,78550,4583,1846,4912,4340,5091,10489,18474,11094,5349,66177,545,588,1178,1160,1578,1781,1668,1171,894,10558,10195,8629,19391,20866,25939,27537,23633,12753,6336,155286,2023,7136,17199,18641,23787,18141,3611,497,99,91144,5950,4280,8169,10062,12029,11428,4255,727,95,57000,303,482,1424,1115,1313,1702,573,97,20,7038,286,290,522,489,610,497,245,140,43,3131,8564,12189,27321,30310,37742,31778,8684,1467,263,158308,696,1168,1461,1272,1470,1158,49,12,3,7281,915,434,600,548,593,633,108,17,4,3847,1611,1602,2056,1817,2066,1791,153,27,9,11133,10172,13795,29373,32124,39807,33569,8839,1495,274,169447,9810,3196,7340,7118,9143,18527,35448,20974,8645,120195,1141,1194,2535,2545,3392,3696,3480,2231,1377,21588,21132,18193,39251,41789,52332,55791,47762,24701,10292,311230
Greater Adelaide,4GADE,19767,31210,66239,63474,67872,47369,9170,762,125,305996,17694,10892,19815,17389,17173,31032,51199,34413,19390,218993,1433,1930,4183,3406,3594,3650,3438,2867,2278,26782,38894,44039,90237,84275,88637,82047,63808,38044,21797,551769,3885,24471,83754,80157,85962,56323,8355,557,91,343558,22983,28255,37432,39776,39281,32394,11533,1376,145,213169,987,1727,6085,4130,3590,3707,1070,131,23,21442,640,1169,2164,1661,1600,1047,409,144,55,8891,28487,55620,129432,125726,130434,93473,21363,2206,308,587060,2059,4671,7111,5482,5063,3335,167,26,12,27928,6590,4113,3345,2630,2220,1851,320,49,4,21122,8651,8781,10453,8109,7283,5184,491,71,17,49051,37140,64407,139887,133836,137711,98658,21857,2277,328,636107,39384,21150,29768,25996,28611,51696,92504,61249,30392,380752,2862,3982,8650,7420,7754,7373,6453,4975,3450,52911,79385,89535,178301,167253,174077,157723,120817,68502,34170,1069769
Greater Perth,5GPER,30841,48672,111075,99614,99840,65230,13198,1093,142,469701,25354,12437,32454,30224,24122,38558,60049,39303,17885,280385,2541,3973,9961,7290,6670,6027,5137,4504,3951,50057,58729,65083,153484,137133,130632,109824,78385,44899,21972,800146,8226,43748,153072,133889,132724,80027,12607,740,114,565148,35453,40067,55677,57841,54105,43765,16980,2194,190,306272,1449,2618,9612,6760,5782,5598,1641,184,19,33645,1085,2065,3896,3002,2698,1653,535,154,40,15130,46211,88498,222260,201490,195311,131038,31760,3270,364,920196,3672,6973,11782,9613,9424,6331,500,48,11,48359,9818,5641,5801,4776,3385,2826,782,88,5,33126,13497,12619,17584,14392,12810,9151,1281,139,17,81482,59703,101116,239840,215877,208120,140192,33036,3411,382,1001684,55115,24115,45242,40457,35718,60195,109307,70689,28453,469289,5305,8207,21603,16270,14862,12572,10020,7909,5816,102559,120129,133434,306680,272610,258693,212965,152368,82007,34652,1573536
Rest of WA,5RWAU,6914,8429,22014,24146,26278,19033,4121,529,71,111532,6065,2814,8874,7065,6494,10927,16041,9342,3776,71392,1106,1197,3311,2873,3099,2865,2108,1428,752,18727,14085,12444,34190,34084,35869,32821,22272,11297,4595,201648,3769,11341,32940,33596,36743,24830,4807,584,78,148695,7310,4412,11059,14299,14264,12651,4932,836,103,69864,387,676,2779,2182,2525,2619,746,115,16,12047,386,461,893,893,1021,715,294,132,27,4819,11858,16897,47675,50979,54551,40812,10779,1666,221,235431,1051,1551,2245,2097,2156,1547,119,6,0,10780,1146,526,966,899,713,796,191,20,0,5256,2202,2075,3214,2996,2874,2340,306,23,0,16033,14062,18970,50886,53971,57420,43153,11082,1691,221,251465,13252,4817,12175,10259,10358,18361,31137,17638,6301,124292,2396,2595,7992,7165,7429,6535,4437,2665,1228,42445,29712,26382,71057,71401,75202,68053,46655,21993,7752,418207
