gcc_name16,gcc_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Rest of NSW,1RNSW,2705,2375,5073,22162,20283,42443,294,262,553,25156,22923,48072,11637,11193,22832,97222,92472,189688,1543,1411,2958,110402,105074,215480,7536,7536,15070,73185,72526,145711,1061,1070,2131,81782,81133,162910,270,433,704,2625,3281,5904,31,23,58,2922,3744,6667,177,519,694,1782,3699,5482,15,36,50,1972,4250,6223,701,609,1309,8693,5633,14329,98,42,143,9493,6286,15776,499,1020,1517,7079,13166,20243,45,85,123,7621,14268,21889,34,33,70,237,216,456,9,7,23,285,264,546,1680,2623,4298,20417,25997,46412,195,195,389,22294,28815,51103,468,763,1228,14529,19226,33755,75,99,169,15063,20086,35156,238,409,645,6164,8392,14550,41,59,101,6442,8855,15301,91,184,269,2294,3668,5964,18,21,43,2399,3878,6273,238,626,864,7875,15736,23611,43,80,128,8153,16449,24596,7,6,21,112,172,290,9,6,16,129,191,319,1036,1990,3024,30966,47199,78169,183,266,457,32186,49458,81648,303,563,869,4302,7986,12290,42,84,129,4653,8638,13288,5118,3535,8651,31391,31495,62882,73624,72720
Greater Sydney,1GSYD,1162,1044,2205,42472,38733,81206,254,255,511,43884,40028,83920,5283,4877,10161,194311,184083,378396,1520,1361,2880,201113,190322,391438,3839,3709,7552,149291,144852,294145,1089,1006,2103,154225,149568,303797,161,247,405,7485,7665,15155,46,38,86,7692,7951,15647,80,203,286,7313,12071,19383,35,47,83,7430,12325,19752,414,306,720,13875,6528,20401,97,63,162,14393,6895,21280,272,486,754,13231,21083,34321,56,77,138,13558,21650,35209,16,14,22,419,419,840,15,14,27,447,445,890,939,1249,2189,42325,47769,90097,253,239,493,43517,49260,92782,499,759,1252,75557,85044,160600,285,316,595,76334,86117,162452,157,302,466,26880,28989,55869,89,96,185,27129,29391,56520,87,155,243,8985,9828,18809,38,44,83,9110,10021,19137,198,416,618,22018,31844,53863,46,102,151,22261,32361,54625,5,6,11,551,685,1235,16,22,44,582,712,1288,954,1638,2593,133985,156391,290373,479,579,1052,135421,158598,294017,217,329,542,19598,29833,49435,111,157,268,19930,30316,50247,2084,1535,3621,41829,42863,84695,113617,112047
Rest of Vic.,2RVIC,383,352,738,10862,9981,20844,171,127,293,11419,10462,21876,1861,1845,3700,56311,53124,109439,832,774,1607,59001,55748,114744,1206,1268,2476,43506,42779,86291,598,591,1191,45316,44639,89950,71,87,164,2047,2318,4365,27,21,45,2143,2424,4571,16,63,87,919,1978,2895,5,20,19,944,2061,3000,102,77,176,3874,2353,6229,32,18,51,4008,2447,6456,47,97,143,3081,5156,8244,20,27,51,3146,5283,8428,0,10,12,112,100,211,3,5,11,113,116,229,240,335,570,10034,11908,21935,88,92,180,10354,12335,22689,57,120,178,6892,10260,17153,38,49,90,6990,10431,17422,35,101,135,2421,4075,6493,8,24,29,2462,4197,6661,18,22,40,892,1617,2514,11,13,21,920,1655,2580,39,100,135,3211,7334,10541,12,42,52,3255,7471,10732,4,3,8,49,107,157,3,4,7,52,114,170,155,344,498,13467,23397,36862,65,133,199,13687,23873,37562,121,145,265,3416,5690,9100,62,52,117,3596,5887,9480,869,638,1498,19446,17849,37294,41283,41922
Greater Melbourne,2GMEL,319,329,648,37327,34527,71856,288,249,536,37935,35103,73041,1621,1601,3219,178128,169429,347556,1572,1424,3001,181321,172450,353773,1167,1172,2343,135953,133447,269394,1177,1135,2318,138297,135754,274054,79,116,189,10715,9780,20493,73,71,145,10860,9966,20829,42,61,101,7220,10324,17537,42,53,91,7299,10437,17733,122,69,187,10542,4866,15410,81,29,112,10745,4960,15706,69,86,151,11141,14507,25647,47,60,107,11247,14652,25907,3,3,9,362,292,656,16,10,33,384,310,688,308,329,634,39973,39766,79738,256,220,481,40541,40320,80857,212,354,565,77720,88642,166362,334,374,701,78260,89365,167629,102,147,245,26573,29910,56485,98,106,204,26767,30168,56938,24,53,80,6308,7931,14235,36,37,76,6369,8024,14394,93,182,275,18096,28517,46610,56,111,169,18237,28814,47051,3,6,8,457,613,1066,17,18,38,477,634,1113,432,746,1176,129148,155610,284756,538,650,1192,130120,157003,287125,116,182,295,19169,30120,49291,148,166,316,19427,30467,49898,736,569,1306,38526,41321,79846,103304,104704
Greater Brisbane,3GBRI,577,538,1112,14259,13149,27403,143,102,244,14976,13780,28756,4152,4082,8235,94780,90177,184958,825,802,1623,99757,95060,194812,3045,2945,5991,70506,67383,137882,631,570,1202,74177,70902,145082,116,213,330,3824,4297,8116,30,27,61,3972,4539,8511,64,164,226,3079,5764,8846,18,27,45,3160,5954,9116,119,146,271,3917,3199,7115,15,9,26,4060,3360,7412,126,206,335,5260,9355,14616,24,39,66,5416,9605,15017,3,7,10,129,147,279,3,6,15,135,165,298,429,736,1170,16210,22765,38972,95,120,213,16734,23614,40356,392,584,975,31618,38495,70116,105,171,272,32110,39253,71361,150,312,458,11698,13913,25609,48,33,82,11894,14256,26150,53,99,149,3266,4434,7696,9,37,47,3328,4565,7895,135,316,451,10498,16339,26837,32,59,91,10671,16710,27384,3,3,5,152,223,372,11,9,13,164,234,400,727,1315,2042,57235,73397,130633,207,306,513,58163,75026,133192,242,345,584,7390,12109,19493,46,79,131,7678,12528,20209,1782,1021,2804,20385,19928,40313,53415,52358
Rest of Qld,3RQLD,1264,1218,2482,13026,12073,25104,136,127,264,14430,13416,27845,10589,10288,20874,93640,88638,182278,1147,1128,2280,105374,100053,205429,6828,6757,13583,70377,67324,137707,828,823,1644,78036,74901,152933,172,250,420,2164,2660,4823,15,27,44,2352,2936,5288,91,296,384,1897,4084,5983,8,32,41,1996,4413,6407,211,263,472,4114,3760,7880,42,34,70,4364,4061,8422,209,477,689,4937,10308,15247,21,72,94,5171,10858,16028,11,20,34,149,153,306,7,3,11,170,180,353,690,1309,2000,13264,20972,34239,100,163,262,14057,22446,36500,316,639,951,13445,19344,32792,76,94,171,13841,20084,33921,183,484,671,5974,9493,15468,25,52,75,6186,10030,16218,63,168,223,2159,3786,5947,15,30,43,2235,3985,6222,205,529,736,7167,15061,22227,24,69,93,7397,15656,23050,3,10,8,118,188,308,8,3,7,128,196,328,767,1824,2595,28868,47872,76740,151,245,397,29781,49946,79730,466,690,1160,5583,10319,15901,60,75,134,6112,11087,17196,4742,3497,8241,22010,23042,45056,81611,74421
Rest of SA,4RSAU,235,241,475,2002,1792,3799,28,31,60,2266,2064,4333,1229,1164,2390,15618,14432,30048,252,245,493,17098,15832,32931,639,650,1288,9466,9392,18861,161,129,292,10273,10173,20446,28,35,57,267,360,618,3,3,3,296,394,687,16,45,58,195,563,763,0,8,8,218,610,826,30,47,80,749,660,1415,9,4,13,792,718,1511,33,77,109,820,1593,2414,6,11,21,861,1686,2543,0,4,4,29,28,53,7,0,7,33,32,62,106,205,313,2058,3206,5262,26,30,49,2191,3437,5624,9,34,36,515,1084,1603,4,5,8,528,1119,1647,9,26,29,259,644,909,0,4,8,272,672,943,6,11,13,99,223,327,0,0,3,108,234,337,14,50,62,523,1347,1870,3,10,15,533,1411,1942,0,0,0,10,19,29,0,0,3,6,25,32,29,119,145,1409,3323,4727,12,22,31,1445,3460,4908,40,59,98,540,1057,1596,9,8,19,587,1130,1717,996,681,1675,5777,4799,10571,10155,9500
Greater Adelaide,4GADE,277,270,548,7801,7470,15267,67,68,139,8147,7807,15950,1531,1480,3011,54478,51901,106374,483,434,914,56491,53811,110303,926,938,1861,35691,34497,70184,344,335,677,36954,35773,72730,52,60,107,2286,2288,4571,16,15,28,2356,2363,4714,34,57,93,2154,3484,5642,9,15,25,2206,3558,5765,59,63,119,2497,1917,4409,12,9,26,2570,1992,4560,60,97,151,3943,6362,10302,17,22,39,4015,6475,10493,0,3,8,82,93,174,7,6,13,94,98,197,204,285,486,10969,14136,25105,66,66,132,11235,14488,25721,110,184,291,18109,21548,39657,77,87,167,18292,21820,40112,73,111,183,7219,8312,15533,30,36,65,7323,8463,15785,10,28,39,1753,2201,3956,15,14,31,1785,2239,4024,55,125,176,5094,8276,13361,30,35,60,5173,8424,13604,3,3,3,98,158,256,3,6,11,99,170,269,245,449,697,32266,40491,72762,159,176,329,32673,41118,73792,76,120,203,3723,5748,9473,30,43,71,3828,5918,9752,571,503,1070,11083,12060,23143,24966,24727
Greater Perth,5GPER,311,336,641,11808,11149,22959,91,94,184,12205,11574,23779,2310,2243,4556,81440,76960,158403,623,568,1192,84374,79777,164145,1666,1691,3358,61543,59669,121210,464,443,908,63669,61803,125478,92,103,197,4657,4082,8736,37,22,61,4782,4214,8996,34,83,119,3405,5029,8443,17,19,38,3460,5134,8597,96,57,158,4603,2627,7227,23,19,44,4724,2700,7420,50,94,139,4886,7727,12608,25,29,58,4959,7852,12806,5,9,14,164,131,294,8,10,14,179,144,319,280,343,626,17713,19597,37308,112,98,212,18096,20045,38142,179,248,431,23896,27341,51241,96,110,213,24179,27701,51880,83,153,234,8960,10801,19761,26,31,59,9073,10979,20054,28,53,74,2891,3780,6672,13,21,37,2928,3855,6785,65,138,202,7816,12381,20194,19,35,56,7897,12554,20458,3,0,3,160,244,404,3,9,8,165,255,419,357,588,944,43714,54550,98269,169,212,379,44241,55346,99590,112,164,277,6117,9539,15654,32,45,80,6261,9745,16011,2006,981,2986,18914,18958,37872,50791,46277
Rest of WA,5RWAU,508,433,948,2875,2551,5425,40,44,85,3427,3024,6451,3148,3034,6177,19773,19085,38862,292,277,563,23212,22392,45601,1977,1968,3951,13864,13255,27112,203,207,413,16047,15431,31475,59,40,103,560,631,1193,3,3,3,622,670,1295,20,40,54,268,622,886,3,3,8,284,662,951,82,68,146,1151,904,2058,19,5,23,1250,984,2234,81,117,201,1212,2606,3818,7,11,20,1300,2742,4045,4,9,13,43,42,83,0,4,7,48,56,99,239,279,519,3232,4805,8040,34,27,58,3507,5113,8618,27,44,78,514,964,1473,0,0,4,546,1012,1555,24,62,87,402,897,1297,8,8,11,432,972,1399,6,14,18,143,368,511,0,0,4,150,383,532,23,89,111,1047,2387,3429,7,12,24,1077,2487,3567,0,3,3,10,17,29,3,0,4,12,20,31,87,215,298,2110,4633,6746,21,23,41,2212,4875,7087,89,111,202,809,1449,2257,10,16,27,908,1583,2492,2653,1944,4591,6075,5133,11212,23673,18581
