gml_id,gcc_name16,gcc_code16,f_health_occ_mng,f_health_occ_pro,f_health_occ_ttw,f_health_occ_cps,f_health_occ_ca,f_health_occ_sal,f_health_occ_mod,f_health_occ_lab,f_health_occ_idns,f_health_total,f_educat_occ_mng,f_educat_occ_pro,f_educat_occ_ttw,f_educat_occ_cps,f_educat_occ_ca,f_educat_occ_sal,f_educat_occ_mod,f_educat_occ_lab,f_educat_occ_idns,f_educat_total,f_managcom_occ_mng,f_managcom_occ_pro,f_managcom_occ_ttw,f_managcom_occ_cps,f_managcom_occ_ca,f_managcom_occ_sal,f_managcom_occ_mod,f_managcom_occ_lab,f_managcom_occ_idns,f_managcom_total,f_societcultu_occ_mng,f_societcultu_occ_pro,f_societcultu_occ_ttw,f_societcultu_occ_cps,f_societcultu_occ_ca,f_societcultu_occ_sal,f_societcultu_occ_mod,f_societcultu_occ_lab,f_societcultu_occ_idns,f_societcultu_total,f_creatart_occ_mng,f_creatart_occ_pro,f_creatart_occ_ttw,f_creatart_occ_cps,f_creatart_occ_ca,f_creatart_occ_sal,f_creatart_occ_mod,f_creatart_occ_lab,f_creatart_occ_idns,f_creatart_total,f_foodhosppersserv_occ_mng,f_foodhosppersserv_occ_pro,f_foodhosppersserv_occ_ttw,f_foodhosppersserv_occ_cps,f_foodhosppersserv_occ_ca,f_foodhosppersserv_occ_sal,f_foodhosppersserv_occ_mod,f_foodhosppersserv_occ_lab,f_foodhosppersserv_occ_idns,f_foodhosppersserv_total,f_mixfieldprog_occ_mng,f_mixfieldprog_occ_pro,f_mixfieldprog_occ_ttw,f_mixfieldprog_occ_cps,f_mixfieldprog_occ_ca,f_mixfieldprog_occ_sal,f_mixfieldprog_occ_mod,f_mixfieldprog_occ_lab,f_mixfieldprog_occ_idns,f_mixfieldprog_total,f_fs_id_occ_mng,f_fs_id_occ_pro,f_fs_id_occ_ttw,f_fs_id_occ_cps,f_fs_id_occ_ca,f_fs_id_occ_sal,f_fs_id_occ_mod,f_fs_id_occ_lab,f_fs_id_occ_idns,f_fs_id_total,f_fs_ns_occ_mng,f_fs_ns_occ_pro,f_fs_ns_occ_ttw,f_fs_ns_occ_cps,f_fs_ns_occ_ca,f_fs_ns_occ_sal,f_fs_ns_occ_mod,f_fs_ns_occ_lab,f_fs_ns_occ_idns,f_fs_ns_total,f_tot_occ_mng,f_tot_occ_pro,f_tot_occ_ttw,f_tot_occ_cps,f_tot_occ_ca,f_tot_occ_sal,f_tot_occ_mod,f_tot_occ_lab,f_tot_occ_idns,f_total_total,p_natphysci_occ_mng,p_natphysci_occ_pro,p_natphysci_occ_ttw,p_natphysci_occ_cps,p_natphysci_occ_ca,p_natphysci_occ_sal,p_natphysci_occ_mod,p_natphysci_occ_lab,p_natphysci_occ_idns,p_natphysci_total,p_infotechn_occ_mng,p_infotechn_occ_pro,p_infotechn_occ_ttw,p_infotechn_occ_cps,p_infotechn_occ_ca,p_infotechn_occ_sal,p_infotechn_occ_mod,p_infotechn_occ_lab,p_infotechn_occ_idns,p_infotechn_total,p_engreltech_occ_mng,p_engreltech_occ_pro,p_engreltech_occ_ttw,p_engreltech_occ_cps,p_engreltech_occ_ca,p_engreltech_occ_sal,p_engreltech_occ_mod,p_engreltech_occ_lab,p_engreltech_occ_idns,p_engreltech_total,p_architbuild_occ_mng,p_architbuild_occ_pro,p_architbuild_occ_ttw,p_architbuild_occ_cps,p_architbuild_occ_ca,p_architbuild_occ_sal,p_architbuild_occ_mod,p_architbuild_occ_lab,p_architbuild_occ_idns,p_architbuild_total,p_agrienvirelstu_occ_mng,p_agrienvirelstu_occ_pro,p_agrienvirelstu_occ_ttw,p_agrienvirelstu_occ_cps,p_agrienvirelstu_occ_ca,p_agrienvirelstu_occ_sal,p_agrienvirelstu_occ_mod,p_agrienvirelstu_occ_lab,p_agrienvirelstu_occ_idns,p_agrienvirelstu_total,p_health_occ_mng,p_health_occ_pro,p_health_occ_ttw,p_health_occ_cps,p_health_occ_ca,p_health_occ_sal,p_health_occ_mod,p_health_occ_lab,p_health_occ_idns,p_health_total,p_educat_occ_mng,p_educat_occ_pro,p_educat_occ_ttw,p_educat_occ_cps,p_educat_occ_ca,p_educat_occ_sal,p_educat_occ_mod,p_educat_occ_lab,p_educat_occ_idns,p_educat_total,p_managcom_occ_mng,p_managcom_occ_pro,p_managcom_occ_ttw,p_managcom_occ_cps,p_managcom_occ_ca,p_managcom_occ_sal,p_managcom_occ_mod,p_managcom_occ_lab,p_managcom_occ_idns,p_managcom_total,p_societcultu_occ_mng,p_societcultu_occ_pro,p_societcultu_occ_ttw,p_societcultu_occ_cps,p_societcultu_occ_ca,p_societcultu_occ_sal,p_societcultu_occ_mod,p_societcultu_occ_lab,p_societcultu_occ_idns,p_societcultu_total,p_creatart_occ_mng,p_creatart_occ_pro,p_creatart_occ_ttw,p_creatart_occ_cps,p_creatart_occ_ca,p_creatart_occ_sal,p_creatart_occ_mod,p_creatart_occ_lab,p_creatart_occ_idns,p_creatart_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d6e,Rest of NSW,1RNSW,"3801","39508","2676","14670","4877","2043","320","1548","484","69936","4960","33967","463","7295","3482","977","136","689","298","52278","13048","12185","1601","6795","39368","10354","656","3723","849","88575","4611","15066","1129","25330","8332","2980","345","2499","643","60930","1482","4271","712","1441","2149","1334","94","541","104","12129","2382","757","7862","5780","3729","3101","303","2295","236","26448","41","55","5","87","71","60","4","91","17","436","454","755","165","490","755","226","58","198","106","3205","930","1118","540","1903","1758","1484","134","1370","1030","10268","35452","114939","18724","65923","68911","24430","2788","15405","4049","350623","2513","6896","1947","1103","1514","630","262","708","185","15763","1886","4238","1897","574","1424","753","332","850","176","12141","16350","14042","58750","3849","4835","4238","16459","11782","1887","132203","9364","2623","26925","1305","1471","1435","4154","6038","650","53963","9083","3935","5573","1273","1979","1451","2166","4834","406","30704","5391","51926","3445","17966","5259","2368","800","2160","661","89971","7487","44997","1239","8474","3948","1279","733","1169","411","69744","26696","22333","4132","8950","44502","15663","3274","6263","1475","133289","7937","22595","2193","33998","9906","3838","1290","3834","1016","86615","2408","7023","1915","2026","2563","1907","450","1169","193","19657"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d6d,Greater Sydney,1GSYD,"5337","68577","3108","17650","8289","3060","446","1737","760","108969","7535","56511","680","10378","6627","2160","279","1077","581","85829","41990","58704","3393","16381","83118","23555","1958","6855","3169","239123","13904","45724","2275","34189","22693","6770","764","3299","1743","131365","6755","21265","2409","3888","7451","5243","311","1023","574","48918","3995","1586","10117","8087","7154","4728","487","2442","486","39071","87","101","60","230","185","163","23","170","41","1065","1630","3154","396","1326","2435","1080","177","432","309","10943","1171","2122","597","2222","3016","1718","324","1280","2664","15111","92979","290521","30872","99722","154382","54085","5969","21793","11450","761782","9156","24415","5057","3362","6404","3059","1286","1909","738","55393","14394","42199","8902","2733","7818","4120","3088","3098","1504","87852","32675","47090","74240","6083","13368","8914","18675","14984","3178","219209","16429","12691","43028","1806","4014","2592","3937","7516","1145","93166","2836","3214","6386","1072","1851","1129","1311","2891","288","20985","8376","96195","4593","22662","9444","3979","1420","2797","1180","150640","10872","72262","1668","12158","7596","2818","1169","1804","796","111147","98434","121491","12020","24532","108907","43841","12121","15629","6560","443538","26233","77546","5316","48438","29463","10290","3664","6362","2981","210293","11113","37353","6565","5847","9727","7849","1651","2729","997","83820"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d6c,Rest of Vic.,2RVIC,"2423","24552","1411","8226","3059","1177","148","888","247","42134","2621","17870","337","4433","2018","713","67","496","176","28720","5925","5728","852","2829","15152","4288","284","1598","384","37053","2675","7608","749","17046","4085","2039","191","2022","355","36771","739","2103","461","767","991","817","68","354","69","6365","1537","399","4666","2975","2156","2117","141","1599","155","15755","19","38","7","42","30","29","5","57","13","232","287","578","135","341","457","159","29","130","48","2161","602","604","351","1118","865","862","108","914","588","6019","19343","63320","11042","39003","31124","13394","1356","9681","2202","190456","1604","3486","980","627","792","415","159","506","103","8670","1082","2381","1046","287","723","373","221","390","110","6606","8966","6145","29227","1786","2198","2208","7481","6914","955","65883","5424","1378","16904","732","716","872","2081","3548","412","32066","7831","2259","3369","767","1145","979","1482","3061","253","21153","3280","30982","1857","10204","3307","1365","370","1254","340","52960","4263","24383","844","5283","2346","941","439","853","279","39634","13370","11548","2265","3991","17742","6778","1625","3128","703","61150","4249","11035","1385","21320","4844","2552","667","3005","512","49560","1268","3694","1126","1097","1220","1191","289","806","120","10817"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d6b,Greater Melbourne,2GMEL,"5279","71070","3120","18956","8812","3450","421","1676","746","113537","6256","52995","867","12832","6573","2345","243","1107","494","83713","32071","44158","3081","12778","61346","18659","1578","5568","2161","181403","11970","40122","2508","41018","20549","7177","815","3876","1417","129457","5258","17070","2355","3950","6263","5367","319","1030","426","42040","4013","1489","11325","8466","6901","5641","589","3153","422","42001","84","94","46","143","144","110","26","163","27","838","1929","3606","530","1746","2882","1243","136","516","336","12932","1091","1852","638","2391","2553","1832","323","1281","2209","14170","78318","264348","32792","108080","128273","51886","5621","22294","9246","700857","9223","25359","4888","3697","5919","3422","1115","2073","697","56391","13228","37269","7568","2782","7186","4049","2709","3466","1248","79507","31084","43391","73220","5645","11441","8434","17788","16393","2771","210155","13093","11512","48492","1651","3536","2799","3789","7206","1019","93098","3299","3063","6817","1136","1901","1320","1256","2629","321","21743","8078","95970","4640","24311","9900","4415","1319","2832","1102","152582","9735","69333","1939","14781","7567","3071","1050","1907","702","110071","78336","92938","10287","19893","83479","34594","10793","13305","4522","348142","21511","64162","5349","53452","26373","10519","3623","7168","2423","194568","9293","31543","6472","6237","8652","8382","1696","3002","793","76063"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d6a,Greater Brisbane,3GBRI,"2469","38411","1884","10530","4584","1816","212","1034","375","61319","3187","26984","385","7933","3678","964","110","648","251","44131","15162","20541","1627","7137","35065","9791","912","3529","1054","94825","5232","17951","1046","20926","10371","3193","371","2285","606","61983","1980","6492","814","1814","2957","2064","133","592","171","17014","2294","821","5714","4865","4025","2916","301","1809","212","22957","32","58","16","92","134","103","11","91","15","557","529","1051","222","552","977","303","77","225","121","4051","469","770","292","1131","1269","791","145","737","1027","6632","34807","126038","15427","57212","67498","23949","2760","13127","4172","344991","3075","11255","2301","1352","1983","986","388","847","245","22437","4153","13108","3137","944","2239","1259","825","1275","437","27379","14815","22523","46382","3107","5572","4119","9473","9274","1371","116632","6806","5448","23287","979","2060","1396","2468","5075","540","48048","1657","2160","2658","597","1120","648","794","1916","154","11701","4066","52454","2650","13341","5144","2222","649","1648","577","82744","4923","34852","913","8822","4223","1261","578","1055","380","57010","34734","39435","5263","10282","44658","16525","6005","7674","2012","166580","9185","28823","2614","28523","13257","4767","1896","4240","1028","94326","3379","11173","2567","2710","3952","3214","744","1522","299","29573"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d69,Rest of Qld,3RQLD,"3019","34909","2017","12727","4581","1981","282","1325","352","61188","3734","29541","453","8445","3691","1114","196","774","240","48181","11794","12070","1725","6793","30920","10270","802","3849","675","78890","4040","11215","973","22499","7402","3483","427","2723","456","53221","1246","3649","617","1308","1785","1351","133","575","105","10770","2903","857","7488","6219","4390","3818","409","2630","277","29007","49","51","27","96","83","100","12","96","23","530","368","615","161","434","710","275","69","226","64","2914","714","826","390","1583","1362","1255","161","1247","1050","8590","30572","99767","17153","62184","58481","25525","3206","15787","3469","316146","1887","5352","1826","1093","1293","685","273","698","153","13266","1608","3569","1779","568","1035","823","425","818","177","10797","15222","13179","62219","3395","4269","4471","14964","10849","1744","130307","8388","2627","27442","1214","1679","1542","4165","6779","716","54552","4310","2862","3909","930","1466","1086","1701","3621","242","20122","4415","47569","2773","15997","4991","2329","813","1923","539","81358","5751","38487","1133","9452","4082","1404","909","1198","354","62766","24028","21570","4845","9483","35454","15290","3749","6775","1308","122509","6537","16867","2185","29609","8637","4663","1518","4424","730","75172","2019","5972","1818","1870","2124","2028","481","1211","184","17706"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d68,Rest of SA,4RSAU,"704","4326","291","2329","654","288","43","274","61","8966","676","4389","55","989","391","111","21","128","31","6781","1455","1048","229","790","3829","1219","89","568","75","9304","600","1239","135","4384","936","414","60","573","81","8420","104","292","58","106","152","83","7","69","6","878","376","71","1134","655","414","455","46","379","37","3558","11","6","3","11","22","9","0","24","4","92","40","54","13","55","57","26","8","29","15","304","171","139","72","325","208","229","37","271","126","1570","4756","12209","2377","9876","7179","3090","403","2852","471","43213","362","600","180","89","116","55","59","221","21","1708","123","192","153","48","113","75","41","117","7","868","2605","1202","8692","425","548","599","2419","2348","275","19113","964","130","2543","109","122","118","449","679","77","5188","2489","671","793","178","317","262","437","1179","80","6407","881","5347","375","2676","703","312","132","384","79","10872","1001","5744","120","1089","428","137","110","188","43","8859","2914","1858","513","997","4276","1795","468","1020","154","14000","888","1768","279","5421","1064","499","181","819","108","11042","184","452","146","143","173","122","35","141","12","1409"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d67,Greater Adelaide,4GADE,"1589","24197","1166","8409","2639","1098","88","642","237","40058","1698","15151","176","3261","1485","488","30","325","114","22737","7425","9098","775","3829","17324","4962","226","1707","476","45816","2718","9774","642","14124","5672","1795","134","1362","406","36625","793","2905","415","774","1325","834","53","278","77","7461","1144","381","3896","2429","1916","1664","74","1059","121","12696","14","32","13","54","46","48","0","49","12","267","268","546","90","385","504","179","16","134","60","2182","259","429","176","742","716","504","47","447","473","3788","17642","68660","9512","35441","34020","12740","933","7162","2153","188258","1797","6561","1525","903","1139","600","257","695","122","13598","1625","5525","1657","540","1104","539","448","689","156","12294","7715","10100","25370","1995","3127","2412","5119","5335","769","61955","3065","2250","11038","562","948","798","1002","2069","242","21972","1089","1190","2105","440","602","444","408","1123","99","7505","2367","33056","1624","10328","2938","1338","337","1014","336","53331","2751","20702","452","3905","1777","675","274","544","188","31271","17432","18592","2636","5782","22323","8759","2100","3777","969","82359","4765","15414","1443","19445","7273","2609","867","2480","662","54959","1429","5290","1360","1268","1751","1364","347","779","148","13732"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d66,Greater Perth,5GPER,"2217","32945","1875","9728","3988","1628","296","908","360","53944","2637","23166","494","8531","3139","1167","155","663","260","40212","10913","16173","1501","5918","26788","7753","606","2784","750","73185","4060","13950","1198","15456","7541","2570","302","1951","508","47537","1356","4372","792","1442","2196","1574","133","500","113","12472","1951","660","5567","4341","3598","2721","322","1516","190","20869","30","33","26","100","77","75","11","94","7","458","379","769","162","489","650","277","72","203","89","3092","379","657","273","1006","1041","775","138","613","837","5728","26883","104322","16038","49526","53343","20906","2638","11124","3428","288211","3259","11966","2874","1704","2085","1256","606","1030","273","25064","2780","8175","2585","826","1794","984","791","1090","302","19321","15568","22601","53067","3466","5540","3942","10453","8534","1655","124821","4693","4005","20886","924","1712","1124","2320","3698","559","39926","1556","2245","2512","548","919","615","806","1400","122","10732","3826","44171","2764","11991","4425","2001","852","1450","556","72029","4294","29916","994","9287","3556","1408","657","1029","370","51514","26470","32733","4536","8731","33429","12633","3837","5480","1560","129400","7220","21906","2520","20709","9462","3645","1475","3355","860","71154","2309","7562","2310","2135","2813","2419","661","1231","188","21632"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_gccsa_g48b_non_scl_qual_fld_of_std_by_occup_by_sx_census_2016.fid-84cd7bc_172468f0f4d_-7d65,Rest of WA,5RWAU,"954","5924","418","2200","996","415","143","404","84","11527","1225","6337","148","2417","844","290","85","310","54","11708","2183","1691","401","1237","5591","1669","275","889","128","14067","850","1898","234","3791","1302","525","160","681","93","9538","220","468","138","263","342","222","46","165","15","1878","561","138","1327","990","842","555","162","540","47","5164","15","7","8","26","21","22","0","30","0","132","72","117","41","105","121","51","38","46","12","597","250","189","153","402","352","285","72","336","226","2260","7208","18189","3872","11951","11316","4485","1285","4101","706","63101","575","1403","552","236","285","146","145","265","27","3631","205","314","300","106","190","141","122","214","24","1610","3929","3388","20253","735","954","687","4476","3109","598","38132","1306","392","4862","253","271","218","1252","1285","169","10011","2326","1027","1089","295","450","342","726","1140","86","7488","1303","7810","618","2547","1077","445","350","562","124","14842","1755","8156","357","2599","926","330","393","433","100","15048","4295","2968","1111","1584","6186","2255","930","1367","235","20930","1307","2766","467","4867","1457","645","383","987","142","13018","351","736","354","359","394","290","140","287","28","2933"
