gccsa_code16,m_t_20_24_pd_gd_gcl,m_t_20_24_bdl,m_t_20_24_adip_dipl,m_t_20_24_ct_iii_iv,m_t_20_24_ct_i_ii,m_t_20_24_cl_nfd,m_t_20_24_loe_ns,m_t_20_24_tot,m_t_25_34_pd_gd_gcl,m_t_25_34_bdl,m_t_25_34_adip_dipl,m_t_25_34_ct_iii_iv,m_t_25_34_ct_i_ii,m_t_25_34_cl_nfd,m_t_25_34_loe_ns,m_t_25_34_tot,m_t_35_44_pd_gd_gcl,m_t_35_44_bdl,m_t_35_44_adip_dipl,m_t_35_44_ct_iii_iv,m_t_35_44_ct_i_ii,m_t_35_44_cl_nfd,m_t_35_44_loe_ns,m_t_35_44_tot,m_t_45_54_pd_gd_gcl,m_t_45_54_bdl,m_t_45_54_adip_dipl,m_t_45_54_ct_iii_iv,m_t_45_54_ct_i_ii,m_t_45_54_cl_nfd,m_t_45_54_loe_ns,m_t_45_54_tot,m_t_55_64_pd_gd_gcl,m_t_55_64_bdl,m_t_55_64_adip_dipl,m_t_55_64_ct_iii_iv,m_t_55_64_ct_i_ii,m_t_55_64_cl_nfd,m_t_55_64_loe_ns,m_t_55_64_tot,m_t_65ov_ptgdde_gddp_gdct,m_t_65ov_bdl,m_t_65ov_adip_dipl,m_t_65ov_ct_iii_iv,m_t_65ov_ct_i_ii,m_t_65ov_cl_nfd,m_t_65ov_loe_ns,m_t_65ov_tot,m_t_tot_pd_gd_gcl,m_t_tot_bdl,m_t_tot_adip_dipl,m_t_tot_ct_iii_iv,m_t_tot_ct_i_ii,m_t_tot_cl_nfd,m_t_tot_loe_ns,m_t_tot_tot,f_ind_15_19_pd_gd_gcl,f_ind_15_19_bdl,f_ind_15_19_adip_dipl,f_ind_15_19_ct_iii_iv,f_ind_15_19_ct_i_ii,f_ind_15_19_cl_nfd,f_ind_15_19_loe_ns,f_ind_15_19_tot,f_ind_20_24_pd_gd_gcl,f_ind_20_24_bdl,f_ind_20_24_adip_dipl,f_ind_20_24_ct_iii_iv,f_ind_20_24_ct_i_ii,f_ind_20_24_cl_nfd,f_ind_20_24_loe_ns,f_ind_20_24_tot,f_ind_25_34_pd_gd_gcl,f_ind_25_34_bdl,f_ind_25_34_adip_dipl,f_ind_25_34_ct_iii_iv,f_ind_25_34_ct_i_ii,f_ind_25_34_cl_nfd,f_ind_25_34_loe_ns,f_ind_25_34_tot,f_ind_35_44_pd_gd_gcl,f_ind_35_44_bdl,f_ind_35_44_adip_dipl,f_ind_35_44_ct_iii_iv,f_ind_35_44_ct_i_ii,f_ind_35_44_cl_nfd,f_ind_35_44_loe_ns,f_ind_35_44_tot,f_ind_45_54_pd_gd_gcl,f_ind_45_54_bdl,f_ind_45_54_adip_dipl,f_ind_45_54_ct_iii_iv,f_ind_45_54_ct_i_ii,f_ind_45_54_cl_nfd,f_ind_45_54_loe_ns,f_ind_45_54_tot,f_ind_55_64_pd_gd_gcl,f_ind_55_64_bdl,f_ind_55_64_adip_dipl,f_ind_55_64_ct_iii_iv,f_ind_55_64_ct_i_ii,f_ind_55_64_cl_nfd,f_ind_55_64_loe_ns,f_ind_55_64_tot,f_ind_65ov_ptgdde_gddp_gdct,f_ind_65ov_bdl,f_ind_65ov_adip_dipl,f_ind_65ov_ct_iii_iv,f_ind_65ov_ct_i_ii,f_ind_65ov_cl_nfd,f_ind_65ov_loe_ns,f_ind_65ov_tot,f_ind_totpdde_gddp_gdct,f_ind_tot_bdl,f_ind_tot_adip_dipl,f_ind_tot_ct_iii_iv,f_ind_tot_ct_i_ii,f_ind_tot_cl_nfd,f_ind_tot_loe_ns,f_ind_tot_tot,f_noni_15_19_pd_gd_gcl,f_noni_15_19_bdl,f_noni_15_19_adip_dipl,f_noni_15_19_ct_iii_iv,f_noni_15_19_ct_i_ii,f_noni_15_19_cl_nfd,f_noni_15_19_loe_ns,f_noni_15_19_tot,f_noni_20_24_pd_gd_gcl,f_noni_20_24_bdl,f_noni_20_24_adip_dipl,f_noni_20_24_ct_iii_iv,f_noni_20_24_ct_i_ii,f_noni_20_24_cl_nfd,f_noni_20_24_loe_ns,f_noni_20_24_tot,f_noni_25_34_pd_gd_gcl,f_noni_25_34_bdl,f_noni_25_34_adip_dipl,f_noni_25_34_ct_iii_iv,f_noni_25_34_ct_i_ii,f_noni_25_34_cl_nfd,f_noni_25_34_loe_ns,f_noni_25_34_tot,f_noni_35_44_pd_gd_gcl,f_noni_35_44_bdl,f_noni_35_44_adip_dipl,f_noni_35_44_ct_iii_iv,f_noni_35_44_ct_i_ii,f_noni_35_44_cl_nfd,f_noni_35_44_loe_ns,f_noni_35_44_tot,f_noni_45_54_pd_gd_gcl,f_noni_45_54_bdl,f_noni_45_54_adip_dipl,f_noni_45_54_ct_iii_iv,f_noni_45_54_ct_i_ii,f_noni_45_54_cl_nfd,f_noni_45_54_loe_ns,f_noni_45_54_tot,f_noni_55_64_pd_gd_gcl,f_noni_55_64_bdl,f_noni_55_64_adip_dipl,f_noni_55_64_ct_iii_iv,f_noni_55_64_ct_i_ii,f_noni_55_64_cl_nfd,f_noni_55_64_loe_ns,f_noni_55_64_tot,f_noni_65ov_ptgdde_gddp_gdct,f_noni_65ov_bdl,f_noni_65ov_adip_dipl,f_noni_65ov_ct_iii_iv,f_noni_65ov_ct_i_ii,f_noni_65ov_cl_nfd,f_noni_65ov_loe_ns,f_noni_65ov_tot,f_noni_tot_pd_gd_gcl,f_noni_tot_bdl,f_noni_tot_adip_dipl,f_noni_tot_ct_iii_iv,f_noni_tot_ct_i_ii,f_noni_tot_cl_nfd,f_noni_tot_loe_ns,f_noni_tot_tot,f_is_ns_15_19_pd_gd_gcl,f_is_ns_15_19_bdl,f_is_ns_15_19_adip_dipl,f_is_ns_15_19_crt_iii_an_iv_l,f_is_ns_15_19_ct_i_ii,f_is_ns_15_19_cl_nfd,f_is_ns_15_19_loe_ns,f_is_ns_15_19_tot,f_is_ns_20_24_pd_gd_gcl,f_is_ns_20_24_bdl,f_is_ns_20_24_adip_dipl,f_is_ns_20_24_crt_iii_an_iv_l,f_is_ns_20_24_ct_i_ii,f_is_ns_20_24_cl_nfd,f_is_ns_20_24_loe_ns,f_is_ns_20_24_tot,gcc_name16
1RNSW,228,4073,2191,18927,1771,889,7741,35817,5270,17961,9217,48586,2134,1982,15666,100827,7649,18259,13182,47507,1568,2410,15352,105924,7977,15303,14787,53815,1460,3052,17838,114237,8925,16059,13934,52773,1260,3729,19304,115988,8544,15902,14747,63356,1165,5705,40310,149726,38617,87606,68256,288213,10302,18118,124933,636044,0,4,51,386,161,82,746,1432,23,207,277,1301,316,188,377,2684,157,694,867,2124,356,246,602,5049,168,652,861,1598,236,270,538,4328,221,565,873,1340,204,243,644,4095,184,375,560,713,116,156,613,2714,69,163,191,149,36,76,734,1417,822,2658,3681,7623,1427,1265,4251,21715,28,34,593,3279,1272,518,3506,9231,645,7110,4681,13185,2197,1437,1747,30998,9221,31558,15657,27935,3172,2865,3453,93859,11214,31501,18986,25763,3323,4266,4200,99253,10612,23064,22065,27040,3635,6863,6672,99959,11061,21040,21902,19810,3365,7904,10208,95293,6633,17513,19940,10746,2412,9063,37085,103391,49417,131815,103833,127759,19388,32903,66874,531987,3,0,0,32,9,5,3984,4042,0,38,30,77,13,15,4157,4336,Rest of NSW
1GSYD,2212,26922,10388,22183,1638,1678,14778,79804,44308,102761,35832,61484,2673,4499,36687,288236,49010,80125,35403,60583,2177,5225,29749,262271,34026,56386,31480,62605,1928,5873,26148,218447,24849,42241,22279,50787,1431,5940,22382,169909,19142,36073,20214,61108,1414,7590,39513,185052,173590,344760,156477,322677,12035,31293,179946,1220774,4,3,34,196,80,39,219,575,26,228,242,643,134,101,187,1557,179,639,616,1058,153,133,320,3101,184,504,538,775,98,142,289,2526,186,349,513,584,79,132,262,2107,121,222,271,281,40,68,243,1235,64,95,96,61,12,39,293,667,762,2038,2304,3598,599,651,1813,11762,104,308,1622,3698,1290,689,4138,11846,4451,37372,14012,14940,2059,2187,4283,79301,59031,131168,42436,35021,3661,5020,10618,286956,50612,99710,45567,31310,4705,8257,10088,250241,32897,64494,42939,29327,4715,11113,12055,197533,22677,41503,31368,19130,3736,10573,13823,142822,13542,30144,28249,12401,2590,12094,39972,138990,183313,404693,206198,145829,22751,49929,94977,1107690,3,3,21,24,3,8,5478,5539,23,125,80,83,8,18,9065,9407,Greater Sydney
2RVIC,228,2386,1483,11148,838,461,4094,20640,2780,9704,5564,27177,994,1086,8408,55725,3978,10075,6898,25317,776,1248,8498,56796,4215,7644,7625,29084,633,1398,10104,60709,4461,8083,8059,26813,624,1632,10937,60614,4091,7538,9250,29380,470,2216,22418,75364,19764,45455,39014,151078,4831,8163,69366,337677,0,0,7,50,40,9,118,226,6,28,50,196,58,23,60,425,41,104,141,396,58,47,86,874,42,113,149,251,40,35,87,717,44,89,155,203,29,37,122,679,39,59,97,95,24,24,104,449,14,28,44,28,7,7,135,257,194,422,638,1224,257,183,714,3631,20,33,254,1766,629,270,2360,5343,627,4266,3059,7478,1104,737,1019,18290,5758,18061,9645,15719,1833,1671,1996,54678,7143,17380,11183,13797,1703,2127,2433,55762,6613,12487,12485,14468,1654,2432,3581,53717,6308,11578,11618,10806,1458,2529,5375,49676,3752,9754,11247,6184,944,2649,19001,53531,30220,73551,59484,70225,9319,12411,35770,290986,0,0,3,19,6,3,2267,2297,8,30,28,52,12,8,2335,2480,Rest of Vic.
2GMEL,2607,26009,11691,24002,1888,1524,13344,81060,40778,95073,37063,65989,2510,3824,31473,276711,40996,73083,32248,58768,2009,4189,25504,236790,28848,49094,27422,62917,1571,4395,22876,197121,21388,34775,20926,48356,1000,4037,19817,150305,16170,28761,22025,54043,833,4700,37078,163608,150831,306975,152216,319171,10794,23105,160024,1123109,0,3,15,62,32,8,72,196,17,113,89,241,43,28,45,573,108,296,227,445,40,41,84,1232,111,186,227,258,36,41,85,939,95,131,185,226,19,36,91,789,49,56,113,105,10,23,90,458,16,36,48,29,3,9,129,271,397,819,905,1372,179,181,607,4462,102,217,1382,3805,1120,577,4274,11480,4498,35595,15118,15690,2110,2062,4109,79172,57440,121547,43904,36099,3414,5022,9279,276698,48045,91591,42654,30906,3655,6499,8560,231918,32449,56655,38687,30611,3557,7775,9898,179644,21924,35865,27126,19453,2669,6452,11327,124818,12367,26934,23982,12294,1882,7354,35769,120575,176831,368403,192848,148855,18410,35747,83225,1024310,0,7,12,21,4,3,5397,5440,29,134,100,80,12,18,8356,8733,Greater Melbourne
3GBRI,778,10221,5130,15667,1734,953,7402,41890,12972,35441,13523,41539,1741,2159,15909,123282,15950,30336,15154,37323,1213,2396,13667,116040,13410,21879,15143,36185,807,2183,12635,102241,9622,14815,11512,30018,528,2075,10663,79234,7091,12538,10003,33021,479,2724,18921,84775,59840,125320,71243,198586,8145,12974,84793,560897,0,4,41,277,91,31,169,605,26,138,207,592,129,52,111,1261,104,374,422,896,119,90,198,2206,122,356,409,618,79,100,154,1839,141,264,387,455,39,75,157,1522,79,137,192,216,31,54,145,856,27,61,79,58,5,22,184,434,494,1328,1746,3111,493,426,1121,8716,44,98,1388,4981,1627,568,2012,10704,1431,15160,7506,11537,2007,1284,1777,40703,18738,49868,19636,23434,2448,2794,3786,120695,18913,41555,20587,19866,1957,3623,3752,110249,14378,26568,19756,18516,1796,3919,4592,89531,9473,16726,13761,12624,1384,3665,4984,62615,5223,12374,11108,6351,992,3460,17755,57269,68197,162343,93735,97301,12216,19307,38668,491764,0,0,8,18,12,0,2944,2989,7,56,40,44,10,8,4544,4708,Greater Brisbane
3RQLD,394,4526,2602,18137,1973,878,8509,37032,4842,17683,9243,49825,1964,2118,18064,103736,6654,17281,13038,49084,1398,2486,17417,107362,6840,13900,14514,49955,1111,2764,18743,107835,6108,11654,12353,44709,774,2800,17699,96093,5472,11482,11988,47879,680,3763,31096,112352,30323,76604,64227,264303,9710,15259,119726,580153,4,5,50,448,262,81,722,1564,28,113,216,1009,313,100,456,2232,114,445,643,1855,330,190,666,4259,180,474,795,1406,271,228,582,3932,215,437,786,1015,159,180,530,3320,105,248,489,477,98,88,466,1964,45,116,155,123,30,27,462,954,684,1846,3131,6331,1463,892,3882,18226,34,79,1069,5115,1888,613,2729,11522,872,8664,4996,12077,2184,1323,1560,31684,8512,32769,16874,25818,2923,2960,3504,93354,10175,30393,20069,23779,2393,4022,4252,95083,9415,21827,21264,23377,2194,4567,5532,88181,7524,16182,16795,16764,1893,4299,6829,70276,4173,12759,13640,8735,1248,4512,22988,68048,40697,122680,94705,115665,14720,22293,47389,458148,0,3,7,42,9,8,4212,4283,6,37,31,66,12,6,5182,5347,Rest of Qld
4RSAU,21,299,152,2635,328,137,1104,4680,309,1558,818,6904,498,377,2506,12972,441,1644,1266,6652,339,453,2572,13374,500,1327,1647,7581,257,548,3032,14904,675,1426,1873,7416,212,574,3158,15342,652,1504,2124,8593,174,751,6006,19805,2609,7772,7913,40298,1994,2902,19671,83163,0,0,0,31,17,3,103,153,0,10,15,111,32,21,95,275,8,35,48,182,45,28,138,478,11,32,69,145,35,22,108,426,17,32,70,127,14,17,153,442,8,31,51,59,9,7,93,261,3,12,23,16,7,6,81,141,51,148,283,668,152,103,776,2174,0,3,45,557,199,96,609,1510,80,774,419,1708,404,201,208,3789,745,3476,1669,4029,714,440,500,11578,836,3215,2199,3693,647,716,623,11931,890,2300,2978,3941,490,753,874,12222,1003,2312,3057,3001,395,719,1179,11667,635,2085,2518,1685,286,700,4659,12560,4198,14160,12883,18607,3144,3627,8655,65264,0,0,0,3,3,0,495,496,0,5,5,7,0,3,490,508,Rest of SA
4GADE,352,4838,1789,7831,1125,471,3036,19447,6723,18088,7010,21677,1433,1089,6667,62690,7919,15695,8015,19141,957,1300,6183,59211,6458,11112,8706,21362,678,1481,6431,56227,5499,9255,7489,18471,475,1564,6080,48837,4945,9089,7830,22972,421,2247,11913,59410,31900,68116,40965,113267,5680,8317,43021,311269,0,0,4,75,25,14,81,187,5,47,29,197,48,29,54,416,32,114,94,373,60,30,86,787,36,116,126,208,43,31,91,654,48,91,131,144,31,26,62,539,33,51,67,83,13,11,67,321,9,22,27,15,10,4,71,162,160,435,479,1100,232,146,509,3063,8,44,184,1826,682,269,1196,4201,686,7252,2506,6131,1232,573,928,19317,9760,26350,8995,13600,1963,1517,2070,64252,9538,21427,10354,11181,1541,2211,2129,58382,7182,14074,11614,11327,1286,2460,2686,50633,5984,10963,9950,7789,986,2282,3088,41042,3818,8963,8425,4931,645,2656,12062,41503,36987,89077,52037,56776,8336,11965,24147,279327,0,0,4,10,3,3,1306,1329,6,27,8,27,3,8,1748,1833,Greater Adelaide
5GPER,586,8342,3747,13561,1331,655,6069,34288,10622,32279,13403,38133,1558,1783,16235,114013,13111,26936,13390,32391,970,1969,13319,102086,10756,19678,12760,33639,712,2092,11932,91570,7694,13907,10373,27449,466,1818,9699,71403,5973,11666,10784,29389,353,2462,17173,77796,48753,112861,64914,177409,6766,11027,78902,500624,0,0,21,84,73,9,117,310,9,70,78,256,100,38,113,655,33,155,158,453,116,49,203,1173,63,157,141,244,59,49,174,891,70,144,182,190,31,35,141,796,40,116,91,97,12,23,107,493,22,35,34,19,7,7,141,279,234,681,705,1350,402,224,997,4596,28,78,826,2740,1421,347,1732,7172,1125,12195,5033,9130,1457,979,1579,31497,15378,45836,16466,19862,2219,2683,3899,106346,15173,35599,17230,15758,1916,3856,3914,93441,11228,23348,16994,14602,1691,4219,4538,76618,7448,14774,13202,9461,1315,3703,5303,55198,3911,11635,11043,5688,1042,4037,18674,56039,54276,143466,80794,77243,11072,19819,39636,426308,0,4,3,13,11,3,2318,2347,3,40,22,29,7,7,3640,3748,Greater Perth
5RWAU,35,455,337,4171,461,179,2042,7680,777,3304,1841,13051,556,500,6325,26355,1141,3388,2549,12250,368,670,5839,26209,1010,2708,2783,12059,314,639,5755,25268,945,2262,2526,9902,228,654,4920,21433,795,1784,2247,8051,136,792,6543,20345,4704,13903,12331,60436,2525,3523,33634,131058,0,0,4,57,76,12,333,478,0,10,25,197,104,34,223,595,9,67,94,437,189,65,448,1309,27,99,138,339,101,63,346,1124,39,130,140,238,67,58,322,989,22,92,116,110,33,32,236,648,8,38,40,26,10,10,226,353,115,429,564,1401,577,272,2133,5492,5,16,102,732,545,100,638,2144,116,1020,689,2232,570,285,301,5205,1522,6032,3122,5641,845,667,843,18669,1793,5974,3504,4860,704,994,970,18793,1474,4075,3801,4554,561,1040,1244,16748,1284,3052,3541,3099,439,1038,1608,14063,608,2389,2748,1512,277,801,4351,12691,6806,22551,17506,22630,3937,4920,9958,88311,0,0,0,9,4,0,945,954,0,3,3,23,7,0,1038,1067,Rest of WA
