gcc_name16,gcc_code16,tot_ocmngr,tot_ocprof,tot_octechtrdw,tot_occompers,tot_occlericadm,tot_ocsaleswk,tot_ocmacop_driv,tot_oclab,tot_ocid_ns,tot_tot
Other Territories,9OTER,340,236,379,298,249,130,160,295,51,2151
Australian Capital Territory,8ACTE,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
Rest of NT,7RNTE,3682,6777,3740,5232,3673,1783,1578,3230,1050,30752
Greater Darwin,7GDAR,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
Rest of Tas.,6RTAS,15238,18332,17083,14033,13605,11744,9285,16018,2056,117405
Greater Hobart,6GHOB,11212,22388,13110,12690,14567,9641,4487,9097,1704,98883
Rest of WA,5RWAU,33822,32446,43338,23037,25054,18013,25850,29749,4112,235431
Greater Perth,5GPER,105412,204472,143621,99683,125233,84231,60231,82364,14947,920196
Rest of SA,4RSAU,26799,20136,22431,17595,16456,14184,13271,24893,2556,158308
Greater Adelaide,4GADE,67230,130848,77599,71974,83026,57531,32166,57749,8937,587060
Rest of Qld,3RQLD,131019,177163,165977,124999,132531,107632,80093,123030,17077,1059525
Greater Brisbane,3GBRI,127222,246294,139054,116612,158546,99974,67242,101412,17421,1073778
Rest of Vic.,2RVIC,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
Greater Melbourne,2GMEL,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
Rest of NSW,1RNSW,144050,199664,163683,131603,136560,106127,78469,125843,18165,1104163
Greater Sydney,1GSYD,311762,597798,265056,218206,331135,205051,128020,171450,44228,2272718
