gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
1GSYD,Greater Sydney,1979.64,1806.444,3786.077,32336,22433,26943
1RNSW,Rest of NSW,993.7439999999999,916.669,1910.4129999999998,26570,17730,21491
2GMEL,Greater Melbourne,1787.9660000000001,1689.191,3477.164,30823,20226,24829
2RVIC,Rest of Vic.,552.067,528.924,1080.987,25561,15942,20012
3GBRI,Greater Brisbane,953.056,866.192,1819.249,30133,20782,24942
3RQLD,Rest of Qld,1016.895,914.0039999999999,1930.898,25766,16564,20522
4GADE,Greater Adelaide,483.961,463.30699999999996,947.2689999999999,32375,21574,26097
4RSAU,Rest of SA,148.2,130.601,278.80400000000003,23850,16221,19597
5GPER,Greater Perth,916.4580000000001,774.1389999999999,1690.5970000000002,34638,20276,26400
5RWAU,Rest of WA,240.136,204.305,444.43800000000005,29844,15332,21350
6GHOB,Greater Hobart,82.887,82.88799999999999,165.771,29016,20874,24247
6RTAS,Rest of Tas.,108.024,99.26799999999999,207.292,25581,16692,20388
7GDAR,Greater Darwin,82.84899999999999,68.611,151.461,29521,18893,23776
7RNTE,Rest of NT,30.445,29.498,59.93600000000001,19371,14848,16951
8ACTE,Australian Capital Territory,164.541,161.384,325.932,41239,29796,35125
