gcc_name16,gcc_code16,m_pgrad_deg_15_24,m_pgrad_deg_25_34,m_pgrad_deg_35_44,m_pgrad_deg_45_54,m_pgrad_deg_55_64,m_pgrad_deg_65_74,m_pgrad_deg_75_84,m_pgrad_deg_85ov,m_pgrad_deg_total,m_graddip_and_gradcert_15_24,m_graddip_and_gradcert_25_34,m_graddip_and_gradcert_35_44,m_graddip_and_gradcert_45_54,m_graddip_and_gradcert_55_64,m_graddip_and_gradcert_65_74,m_graddip_and_gradcert_75_84,m_graddip_and_gradcert_85ov,m_graddip_and_gradcert_total,m_bachdeg_15_24,m_bachdeg_25_34,m_bachdeg_35_44,m_bachdeg_45_54,m_bachdeg_55_64,m_bachdeg_65_74,m_bachdeg_75_84,m_bachdeg_85ov,m_bachdeg_total,m_advdip_and_dip_15_24,m_advdip_and_dip_25_34,m_advdip_and_dip_35_44,m_advdip_and_dip_45_54,m_advdip_and_dip_55_64,m_advdip_and_dip_65_74,m_advdip_and_dip_75_84,m_advdip_and_dip_85ov,m_advdip_and_dip_total,m_cert_iii_iv_15_24,m_cert_iii_iv_25_34,m_cert_iii_iv_35_44,m_cert_iii_iv_45_54,m_cert_iii_iv_55_64,m_cert_iii_iv_65_74,m_cert_iii_iv_75_84,m_cert_iii_iv_85ov,m_cert_iii_iv_total,m_cert_i_ii_15_24,m_cert_i_ii_25_34,m_cert_i_ii_35_44,m_cert_i_ii_45_54,m_cert_i_ii_55_64,m_cert_i_ii_65_74,m_cert_i_ii_75_84,m_cert_i_ii_85ov,m_cert_i_ii_total,m_cert_levl_nfd_15_24,m_cert_levl_nfd_25_34,m_cert_levl_nfd_35_44,m_cert_levl_nfd_45_54,m_cert_levl_nfd_55_64,m_cert_levl_nfd_65_74,m_cert_levl_nfd_75_84,m_cert_levl_nfd_85ov,m_cert_levl_nfd_total,m_cert_lev_tot_15_24,m_cert_lev_tot_25_34,m_cert_lev_tot_35_44,m_cert_lev_tot_45_54,m_cert_lev_tot_55_64,m_cert_lev_tot_65_74,m_cert_lev_tot_75_84,m_cert_lev_tot_85ov,m_cert_lev_tot_total,m_lev_edu_ides_15_24,m_lev_edu_ides_25_34,m_lev_edu_ides_35_44,m_lev_edu_ides_45_54,m_lev_edu_ides_55_64,m_lev_edu_ides_65_74,m_lev_edu_ides_75_84,m_lev_edu_ides_85ov,m_lev_edu_ides_total,m_lev_edu_ns_15_24,m_lev_edu_ns_25_34,m_lev_edu_ns_35_44,m_lev_edu_ns_45_54,m_lev_edu_ns_55_64,m_lev_edu_ns_65_74,m_lev_edu_ns_75_84,m_lev_edu_ns_85ov,m_lev_edu_ns_total,m_tot_15_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85ov,m_tot_total,f_pgrad_deg_15_24,f_pgrad_deg_25_34,f_pgrad_deg_35_44,f_pgrad_deg_45_54,f_pgrad_deg_55_64,f_pgrad_deg_65_74,f_pgrad_deg_75_84,f_pgrad_deg_85ov,f_pgrad_deg_total,f_graddip_and_gradcert_15_24,f_graddip_and_gradcert_25_34,f_graddip_and_gradcert_35_44,f_graddip_and_gradcert_45_54,f_graddip_and_gradcert_55_64,f_graddip_and_gradcert_65_74,f_graddip_and_gradcert_75_84,f_graddip_and_gradcert_85ov,f_graddip_and_gradcert_total,f_bachdeg_15_24,f_bachdeg_25_34,f_bachdeg_35_44,f_bachdeg_45_54,f_bachdeg_55_64,f_bachdeg_65_74,f_bachdeg_75_84,f_bachdeg_85ov,f_bachdeg_total,f_advdip_and_dip_15_24,f_advdip_and_dip_25_34,f_advdip_and_dip_35_44,f_advdip_and_dip_45_54,f_advdip_and_dip_55_64,f_advdip_and_dip_65_74,f_advdip_and_dip_75_84,f_advdip_and_dip_85ov,f_advdip_and_dip_total,f_cert_iii_iv_15_24,f_cert_iii_iv_25_34,f_cert_iii_iv_35_44,f_cert_iii_iv_45_54,f_cert_iii_iv_55_64,f_cert_iii_iv_65_74,f_cert_iii_iv_75_84,f_cert_iii_iv_85ov,f_cert_iii_iv_total,f_cert_i_ii_15_24,f_cert_i_ii_25_34,f_cert_i_ii_35_44,f_cert_i_ii_45_54,f_cert_i_ii_55_64,f_cert_i_ii_65_74,f_cert_i_ii_75_84,f_cert_i_ii_85ov,f_cert_i_ii_total,f_cert_levl_nfd_15_24,f_cert_levl_nfd_25_34,f_cert_levl_nfd_35_44,f_cert_levl_nfd_45_54,f_cert_levl_nfd_55_64,f_cert_levl_nfd_65_74,f_cert_levl_nfd_75_84,f_cert_levl_nfd_85ov,f_cert_levl_nfd_total,f_cert_lev_tot_15_24,f_cert_lev_tot_25_34,f_cert_lev_tot_35_44,f_cert_lev_tot_45_54,f_cert_lev_tot_55_64,f_cert_lev_tot_65_74,f_cert_lev_tot_75_84,f_cert_lev_tot_85ov,f_cert_lev_tot_total,f_lev_edu_ides_15_24,f_lev_edu_ides_25_34,f_lev_edu_ides_35_44,f_lev_edu_ides_45_54,f_lev_edu_ides_55_64,f_lev_edu_ides_65_74,f_lev_edu_ides_75_84,f_lev_edu_ides_85ov,f_lev_edu_ides_total,f_lev_edu_ns_15_24,f_lev_edu_ns_25_34,f_lev_edu_ns_35_44,f_lev_edu_ns_45_54,f_lev_edu_ns_55_64,f_lev_edu_ns_65_74,f_lev_edu_ns_75_84,f_lev_edu_ns_85ov,f_lev_edu_ns_total,f_tot_15_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75_84,f_tot_85ov,f_tot_total,p_pgrad_deg_15_24,p_pgrad_deg_25_34
Rest of NSW,1RNSW,146,4038,5669,5647,5737,4336,1428,328,27345,100,1231,1978,2329,3189,1884,466,102,11275,4114,17961,18259,15303,16059,10943,3880,1085,87606,2388,9217,13182,14787,13934,9865,3792,1084,68256,22171,48586,47507,53815,52773,39174,18992,5188,288213,2719,2134,1568,1460,1260,825,278,59,10302,1239,1982,2410,3052,3729,3553,1685,465,18118,26130,52705,51478,58332,57759,43553,20964,5712,316637,448,814,865,926,1134,1242,682,226,6340,16019,14852,14484,16911,18173,18358,13412,6381,118598,49347,100827,105924,114237,115988,90186,44623,14919,636044,308,6036,7025,6223,5591,2773,608,100,28666,398,3374,4422,4660,5713,2564,592,105,21821,7393,32392,32328,23768,21517,12261,4332,1229,135225,5631,16604,19993,23097,22589,13427,5306,1551,108207,18264,30255,27580,28586,20683,7948,2139,946,136401,3977,3559,3600,3880,3505,1902,438,128,20984,2242,3131,4573,7157,8118,6137,2281,798,34438,24478,36945,35753,39629,32302,15992,4865,1871,191830,445,855,942,1476,2317,2353,1148,510,10054,14068,11513,11995,15748,19227,21436,18895,12766,125634,52715,107724,112456,114608,109257,70808,35746,18130,621443,453,10077
Greater Sydney,1GSYD,1829,39243,42049,28180,19688,11076,3625,868,146564,430,5059,6959,5846,5157,2642,767,169,27022,27176,102761,80125,56386,42241,24124,9095,2849,344760,11266,35832,35403,31480,22279,12939,5368,1907,156477,26108,61484,60583,62605,50787,35959,18975,6174,322677,2408,2673,2177,1928,1431,983,326,103,12035,2164,4499,5225,5873,5940,4843,2103,642,31293,30679,68654,67985,70408,58161,41782,21407,6925,366004,1448,3634,3492,3123,2692,2120,1134,429,18073,24021,33054,26261,23020,19692,16755,12173,6900,161872,96858,288236,262271,218447,169909,111443,53565,20045,1220774,3518,50318,40494,24015,14719,6589,1530,357,141535,1101,9035,10430,9174,8159,4015,980,218,43101,38034,132132,100456,65051,41899,20679,7429,2331,408013,16009,43232,46285,43617,31778,18300,7546,2748,209509,19583,36224,32239,30104,19537,8370,2878,1360,150288,3576,3825,4823,4823,3793,1885,529,217,23465,3039,5194,8426,11326,10701,7709,2985,1554,50922,26196,45243,45490,46255,34029,17965,6388,3129,224681,1364,3476,3581,4239,4647,3746,1883,885,23823,22006,30251,23508,22162,21648,20947,17814,14878,173213,108224,313686,270237,214499,156878,92234,43565,24551,1223874,5344,89568
Rest of Vic.,2RVIC,154,1842,2475,2476,2426,1848,555,102,11878,82,942,1506,1741,2038,1275,263,47,7883,2407,9704,10075,7644,8083,5405,1670,462,45455,1617,5564,6898,7625,8059,6381,2280,586,39014,13293,27177,25317,29084,26813,18567,8456,2358,151078,1323,994,776,633,624,369,83,22,4831,579,1086,1248,1398,1632,1464,565,187,8163,15201,29260,27345,31121,29078,20401,9104,2566,164071,189,410,453,468,571,604,410,124,3231,8816,8001,8037,9637,10372,10540,7342,3393,66141,28468,55725,56796,60709,60614,46461,21630,7280,337677,361,2946,3422,2849,2661,1341,246,45,13870,303,2873,3787,3836,3724,1728,376,55,16687,4356,18248,17591,12645,11700,6818,2387,679,74426,3398,9853,11400,12724,11782,7545,2863,1013,60587,9568,16208,14130,14761,10992,4703,1167,438,71971,1852,1899,1749,1693,1492,744,144,62,9643,1059,1724,2186,2491,2574,1808,620,264,12724,12470,19834,18069,18946,15065,7264,1925,762,94335,208,454,439,568,721,852,445,239,3927,7963,6337,6799,8839,11059,12404,10204,6383,69980,29061,60546,61505,60407,56710,37948,18442,9183,333815,511,4791
Greater Melbourne,2GMEL,2116,34515,32798,21260,14625,8554,2710,626,117203,534,6266,8201,7596,6764,3302,794,174,33627,26190,95073,73083,49094,34775,19379,7090,2291,306975,12534,37063,32248,27422,20926,14265,5813,1944,152216,29094,65989,58768,62917,48356,31431,17249,5356,319171,2867,2510,2009,1571,1000,580,208,43,10794,1964,3824,4189,4395,4037,2889,1346,468,23105,33932,72319,64967,68879,53391,34897,18805,5871,353062,1201,2938,2668,2205,1895,1576,920,357,13765,22073,28532,22832,20672,17917,16006,12022,6196,146257,98583,276711,236790,197121,150305,97982,48156,17471,1123109,3120,43823,32911,18877,11531,5120,1167,294,116849,1532,13856,15385,13770,10531,4518,1127,229,60941,36061,122232,92027,56986,36094,18264,6747,2200,370617,16714,44323,43075,39045,27371,15483,6458,2325,194798,19895,36714,31303,31011,19692,8495,2830,1187,151130,3320,3478,3712,3602,2694,1433,346,120,18699,2698,5102,6586,7855,6521,4561,1877,991,36199,25911,45292,41599,42469,28908,14495,5058,2296,206028,1184,2874,2553,2500,2488,2346,1256,635,15833,21077,27053,21081,20747,20453,20966,17712,12704,161790,105594,299447,248640,194393,137369,81197,39519,20696,1126854,5232,78335
Greater Brisbane,3GBRI,491,10381,12541,9907,6931,3945,1247,299,45729,303,2591,3413,3505,2698,1229,320,58,14109,10312,35441,30336,21879,14815,8831,2970,736,125320,5908,13523,15154,15143,11512,6936,2439,634,71243,20501,41539,37323,36185,30018,20820,9595,2605,198586,3385,1741,1213,807,528,343,107,20,8145,1433,2159,2396,2183,2075,1714,763,244,12974,25315,45438,40928,39173,32618,22886,10474,2865,219698,606,1223,1169,1007,863,834,498,166,6356,12394,14692,12495,11628,9804,8496,5865,3068,78436,55323,123282,116040,102241,79234,53143,23819,7818,560897,776,13529,12672,8812,5478,2320,446,104,44127,731,5341,6404,5763,4115,1839,491,80,24761,15451,50361,42039,26924,16933,8827,2840,857,164230,9185,20124,21081,20238,14013,7556,2865,848,95905,17450,24423,20563,19072,12906,4918,1136,417,100882,3879,2571,2042,1847,1422,793,156,62,12776,1940,2904,3760,4014,3742,2372,789,347,19868,23270,29900,26369,24929,18077,8079,2082,825,133532,566,1098,1030,1257,1262,1105,571,250,7132,10990,12498,10245,10436,9871,9728,8224,6695,78684,60964,132849,119834,98347,69742,39457,17510,9655,548372,1268,23908
Rest of Qld,3RQLD,227,3569,4829,4628,3968,2828,948,137,21134,180,1272,1824,2208,2142,1187,319,49,9185,4595,17683,17281,13900,11654,7965,2822,693,76604,3099,9243,13038,14514,12353,8249,2962,770,64227,22854,49825,49084,49955,44709,31101,13572,3200,264303,3787,1964,1398,1111,774,492,171,21,9710,1329,2118,2486,2764,2800,2370,1137,258,15259,27977,53901,52968,53832,48284,33964,14873,3483,289272,411,858,1001,1033,1063,1054,668,200,6284,16292,17208,16425,17713,16636,15069,9855,4256,113446,52774,103736,107362,107835,96093,70320,32454,9588,580153,391,5250,6110,5169,3920,1726,346,74,22978,548,3408,4285,4498,3743,1615,417,58,18572,8901,33339,31009,22372,16513,9043,3124,820,125118,6366,17583,20977,22184,17404,9558,3443,926,98453,18751,27809,25331,24538,17345,6918,1535,495,122731,4666,3266,2677,2367,2000,1005,224,56,16265,2138,3171,4271,4784,4417,3137,1101,334,23362,25564,34251,32284,31688,23763,11064,2855,890,162355,459,862,955,1233,1362,1444,771,265,7352,14404,13986,13559,15499,15981,15775,12233,7956,109392,56636,108671,109183,102650,82684,50228,23194,10990,544227,614,8819
Rest of SA,4RSAU,15,205,285,286,331,298,86,15,1528,8,101,154,215,345,196,46,7,1080,303,1558,1644,1327,1426,1107,317,78,7772,172,818,1266,1647,1873,1520,478,127,7913,3152,6904,6652,7581,7416,5468,2480,641,40298,515,498,339,257,212,129,32,8,1994,193,377,453,548,574,517,192,48,2902,3865,7782,7441,8386,8206,6113,2701,702,45202,57,117,147,159,217,190,93,44,1024,2340,2385,2424,2876,2945,2889,1913,873,18643,6771,12972,13374,14904,15342,12321,5636,1850,83163,37,427,425,356,366,209,41,5,1866,48,334,427,555,653,314,71,7,2411,791,3527,3266,2349,2364,1474,511,142,14413,488,1729,2284,3079,3133,1868,531,167,13277,2414,4239,3881,4096,3084,1312,310,106,19435,654,771,684,509,406,218,51,19,3316,312,471,751,776,739,491,160,57,3757,3380,5480,5315,5383,4232,2026,520,172,26509,45,106,122,138,175,199,113,61,954,1951,1544,1635,2267,2660,2955,2348,1612,16970,6737,13142,13473,14132,13575,9044,4127,2159,76399,48,634
Greater Adelaide,4GADE,251,5547,6237,4645,3699,2444,945,235,24007,104,1178,1687,1808,1795,1023,242,51,7889,4875,18088,15695,11112,9255,6277,2047,765,68116,1916,7010,8015,8706,7489,5312,1901,619,40965,9645,21677,19141,21362,18471,13296,7316,2361,113267,1713,1433,957,678,475,295,94,27,5680,642,1089,1300,1481,1564,1379,647,216,8317,12001,24203,21395,23522,20511,14975,8058,2602,127265,313,702,709,674,652,627,374,162,4211,5422,5965,5474,5758,5436,4795,3753,2205,38811,24882,62690,59211,56227,48837,35449,17319,6641,311269,410,7380,6416,4231,3111,1576,352,63,23540,297,2432,3194,3027,2926,1466,322,61,13726,7366,26542,21615,14218,11055,6115,2152,803,89866,2746,9130,10525,11800,10068,5641,2033,851,52798,8271,14041,11446,11542,7932,3472,1076,457,58233,1996,2033,1596,1330,1007,481,133,41,8608,892,1555,2268,2493,2308,1679,668,336,12202,11149,17630,15306,15368,11239,5631,1883,833,79042,300,654,634,756,750,807,470,243,4613,5014,5251,4637,5269,5656,6322,5799,4473,42424,27275,69023,62332,54667,44808,27560,13016,7325,306005,661,12925
Greater Perth,5GPER,373,8385,10308,7841,5464,3235,1087,248,36944,212,2242,2801,2915,2232,1092,263,55,11808,8401,32279,26936,19678,13907,8085,2774,799,112861,4203,13403,13390,12760,10373,7175,2878,737,64914,16406,38133,32391,33639,27449,18097,9043,2245,177409,2700,1558,970,712,466,255,69,27,6766,908,1783,1969,2092,1818,1480,770,208,11027,20020,41472,35331,36442,29732,19840,9885,2477,195204,478,1232,1251,1085,884,812,403,143,6288,10065,15002,12068,10846,8815,7360,5558,2898,72616,43759,114013,102086,91570,71403,47595,22851,7357,500624,581,10648,9843,6399,3885,1697,391,81,33532,582,4788,5422,4916,3622,1339,364,84,21116,12380,46083,35847,23572,14949,7888,3065,813,144603,5975,16669,17426,17258,13347,7263,2963,924,81829,12259,20382,16090,14862,9626,4039,1260,477,78999,3072,2350,1986,1727,1337,739,237,83,11541,1379,2741,3924,4277,3740,2634,1047,411,20149,16714,25475,22000,20871,14710,7418,2540,967,110692,502,1308,1151,1282,1310,1202,641,272,7662,8995,11962,9578,9431,9461,9376,8730,6613,74142,45724,116940,101267,83722,61287,36179,18696,9756,473572,957,19028
Rest of WA,5RWAU,11,522,741,623,543,418,113,21,2997,24,261,403,384,396,187,44,3,1703,459,3304,3388,2708,2262,1297,391,97,13903,386,1841,2549,2783,2526,1601,535,116,12331,5119,13051,12250,12059,9902,5533,2070,448,60436,929,556,368,314,228,93,36,0,2525,269,500,670,639,654,535,205,52,3523,6314,14109,13288,13013,10786,6161,2312,503,66485,81,178,218,220,209,206,95,35,1250,4167,6149,5613,5536,4709,3432,2002,780,32382,11444,26355,26209,25268,21433,13306,5491,1549,131058,28,751,821,641,537,236,39,5,3063,98,790,1008,882,778,284,59,5,3901,1054,6137,6102,4226,3151,1673,636,135,23106,826,3234,3674,3969,3684,1934,691,178,18198,3246,6123,5244,4853,3235,1193,274,90,24259,1299,1038,807,624,481,226,56,9,4530,435,737,1063,1101,1076,587,175,52,5229,4983,7894,7117,6580,4792,2007,503,153,34024,72,219,203,221,274,242,152,35,1416,3399,3987,3703,4151,4152,3558,2479,1304,26734,10449,23009,22627,20667,17364,9933,4561,1815,110433,37,1269
