gcc_name16,gcc_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Rest of NSW,1RNSW,302755,607098,3178,3248,6425,322203,321588,643786,6559,6852,13413,89084,89831,178919,1094,1132,2227,96736,97820,194555,4590,3764,8348,57309,52502,109818,880,912,1790,62777,57173,119954,352,270,623,3875,3795,7667,99,85,185,4324,4150,8476,57554,60571,118120,925911,955237,1881147,58044,59424,117471,1041510,1075230,2116738,97,49,147,925,677,1605,303,192,495,1321,922,2242,6868,7594,14468,124251,139107,263363,12756,13268,26024,143882,159972,303853,64517,68219,132734,1051087,1095021,2146111,71105,72889,143990,1186713,1236126,2422835,2475,603,3079,21357,22657,44019,3628,4038,7668,27457,27302,54763
Greater Sydney,1GSYD,330412,651338,2295,2418,4715,330098,340005,670104,2776,2850,5627,86965,93471,180437,753,797,1542,90492,97117,187605,1499,1520,3019,71911,84775,156686,665,842,1507,74073,87139,161215,194,134,324,21980,30281,52262,185,240,427,22361,30656,53014,24061,25254,49316,1366126,1393187,2759313,50635,51945,102579,1440828,1470383,2911216,14,15,32,423,350,770,46,38,82,492,394,886,7368,7944,15309,736714,782625,1519341,56965,59601,116568,801051,850174,1651220,31452,33207,64657,2103263,2176166,4279429,107656,111579,219234,2242370,2320957,4563319,1438,576,2010,30646,32528,63177,8526,6386,14907,40607,39489,80095
Rest of Vic.,2RVIC,102067,216850,1282,1182,2467,117835,105109,222948,1035,1012,2050,51239,45110,96349,624,647,1278,52896,46773,99672,781,707,1485,38279,37717,75995,663,713,1372,39718,39141,78858,84,61,146,2964,2795,5758,61,58,116,3104,2913,6019,9491,10099,19592,550978,570823,1121801,35350,36492,71846,595824,617421,1213239,4,6,15,221,132,356,74,55,124,305,194,494,854,1024,1880,38739,45002,83745,4805,5142,9948,44400,51171,95572,10358,11126,21485,589934,615960,1205902,40226,41694,81918,640527,668782,1309308,375,107,480,11890,12228,24112,1669,2186,3853,13933,14519,28450
Greater Melbourne,2GMEL,197094,410864,1839,1746,3585,217407,200534,417944,789,779,1562,89489,86081,175564,880,862,1744,91160,87719,178881,616,531,1142,83436,106484,189916,1023,1332,2352,85075,108341,193420,115,71,185,20193,27676,47865,230,293,524,20529,28042,48574,8659,8853,17514,1486324,1516885,3003206,64507,65224,129737,1559496,1590965,3150455,3,0,4,128,143,267,25,29,53,161,172,329,2199,2441,4641,479648,527501,1007147,37500,40451,77956,519353,570398,1089748,10865,11297,22166,1966103,2044527,4010622,102032,105706,207742,2078999,2161530,4240530,426,247,677,23256,29839,53092,4762,5153,9912,28450,35239,63688
Greater Brisbane,3GBRI,177983,345553,1223,1364,2584,173192,184054,357243,1571,1450,3019,36754,34487,71236,325,332,658,38645,36274,74919,1080,981,2068,34086,39421,73512,445,505,953,35613,40918,76532,131,116,246,4786,5682,10472,48,91,136,4965,5887,10856,20908,22004,42912,810902,833531,1644427,35551,36573,72120,867363,892103,1759470,14,9,20,192,129,313,44,38,80,243,171,415,3238,3607,6842,157815,175759,333574,14463,15417,29883,175521,194783,370296,24158,25620,49778,968905,1009415,1978318,50059,52023,102078,1043125,1087056,2130182,1152,379,1530,14036,14301,28332,2200,2351,4550,17389,17028,34417
Rest of Qld,3RQLD,235405,471617,2121,2170,4296,249727,249702,499426,3901,3662,7566,52178,45681,97860,559,543,1099,56640,49891,106526,3621,3306,6925,49548,46080,95622,709,738,1446,53875,50121,103991,448,374,822,3376,3156,6526,92,62,160,3915,3593,7507,49794,52862,102663,800968,824424,1625396,51589,52508,104100,902351,929798,1832152,178,123,298,1167,817,1984,310,184,491,1658,1121,2775,7486,8369,15854,154022,173741,327756,18424,19527,37946,179931,201635,381562,57462,61355,118818,956156,998982,1955137,70320,72213,142536,1083945,1132553,2216491,2639,1208,3853,18767,18240,37005,6748,5061,11814,28158,24508,52666
Rest of SA,4RSAU,28372,59872,397,337,730,33084,29903,62992,581,521,1102,11502,9660,21164,149,137,292,12234,10313,22552,514,456,966,11086,9899,20986,203,196,400,11798,10548,22349,80,62,138,689,487,1177,18,12,27,785,558,1348,5777,6106,11887,141456,141326,282778,8567,8413,16982,155801,155846,311649,0,3,6,167,93,260,36,26,67,209,124,333,922,990,1915,12193,12824,25012,1354,1304,2665,14469,15124,29592,6699,7109,13810,153811,154243,308052,9964,9745,19707,170479,171089,341568,454,87,538,3795,2935,6728,571,498,1069,4822,3511,8339
Greater Adelaide,4GADE,77634,151447,639,739,1374,75769,79758,155530,545,535,1080,24524,25448,49975,249,305,557,25322,26292,51614,394,367,760,22921,28475,51393,297,419,716,23610,29257,52867,52,46,100,4577,5926,10499,62,82,143,4686,6050,10741,6258,6839,13104,456896,471057,927952,16830,17403,34234,479986,495302,975288,0,0,4,66,51,119,13,3,17,75,59,135,1716,1857,3572,102202,115563,217766,6990,7692,14688,110911,125113,236024,7977,8696,16677,559165,586673,1145835,23833,25097,48930,590972,620470,1211442,342,185,524,8388,11441,19826,1147,1223,2374,9871,12853,22727
Greater Perth,5GPER,145204,292254,1014,1093,2113,150822,149341,300162,833,828,1660,32443,31037,63482,258,300,554,33533,32162,65691,456,476,926,21577,24955,46539,276,274,554,22310,25711,48020,120,81,197,4547,5518,10061,55,41,94,4724,5636,10358,10916,11828,22744,695453,714856,1410309,32046,32861,64914,738414,759554,1497965,6,9,14,148,129,274,16,21,39,173,160,331,1941,2233,4174,137588,151634,289222,13031,13604,26636,152564,167473,320028,12860,14066,26933,833188,866620,1699811,45100,46486,91587,891149,927175,1818324,1570,532,2101,11612,12347,23957,1451,1212,2660,14631,14090,28720
Rest of WA,5RWAU,45191,100717,566,495,1061,60279,50269,110543,1365,1305,2673,11851,8845,20698,132,131,261,13344,10275,23623,1254,1167,2417,7560,5849,13414,126,114,245,8940,7132,16077,285,333,617,746,526,1272,14,12,28,1045,876,1913,16755,18072,34826,175725,176427,352158,15386,15298,30687,207861,209803,417668,62,56,122,436,312,751,94,55,153,592,431,1023,1615,1760,3373,14324,14976,29295,2394,2289,4683,18327,19023,37352,18426,19892,38320,190480,191717,382198,17876,17651,35526,226782,229255,456042,1744,594,2340,13582,4282,17861,5051,1459,6513,20383,6333,26717
