gcc_name16,gcc_code16,_0_14_yrs_spks_eng_only_2000_05,_0_14_yrs_spks_eng_only_2006_10,_0_14_yrs_spks_eng_only_2011,_0_14_yrs_spks_eng_only_2012,_0_14_yrs_spks_eng_only_2013,_0_14_yrs_spks_eng_only_2014,_0_14_yrs_spks_eng_only_2015,_0_14_yrs_spks_eng_only_2016,_0_14_yrs_spks_eng_only_arrival_notstated,_0_14_yrs_spks_eng_only_tot,_0_14_yrs_multilingual_spks_eng_well_2000_05,_0_14_yrs_multilingual_spks_eng_well_2006_10,_0_14_yrs_multilingual_spks_eng_well_2011,_0_14_yrs_multilingual_spks_eng_well_2012,_0_14_yrs_multilingual_spks_eng_well_2013,_0_14_yrs_multilingual_spks_eng_well_2014,_0_14_yrs_multilingual_spks_eng_well_2015,_0_14_yrs_multilingual_spks_eng_well_2016,_0_14_yrs_multilingual_spks_eng_well_arrival_notstated,_0_14_yrs_multilingual_spks_eng_well_tot,_0_14_yrs_multilingual_spks_eng_notwell_2000_05,_0_14_yrs_multilingual_spks_eng_notwell_2006_10,_0_14_yrs_multilingual_spks_eng_notwell_2011,_0_14_yrs_multilingual_spks_eng_notwell_2012,_0_14_yrs_multilingual_spks_eng_notwell_2013,_0_14_yrs_multilingual_spks_eng_notwell_2014,_0_14_yrs_multilingual_spks_eng_notwell_2015,_0_14_yrs_multilingual_spks_eng_notwell_2016,_0_14_yrs_multilingual_spks_eng_notwell_arrival_notstated,_0_14_yrs_multilingual_spks_eng_notwell_tot,_0_14_yrs_multilingual_eng_profic_notstated_2000_05,_0_14_yrs_multilingual_eng_profic_notstated_2006_10,_0_14_yrs_multilingual_eng_profic_notstated_2011,_0_14_yrs_multilingual_eng_profic_notstated_2012,_0_14_yrs_multilingual_eng_profic_notstated_2013,_0_14_yrs_multilingual_eng_profic_notstated_2014,_0_14_yrs_multilingual_eng_profic_notstated_2015,_0_14_yrs_multilingual_eng_profic_notstated_2016,_0_14_yrs_multilingual_eng_profic_notstated_arrival_notstated,_0_14_yrs_multilingual_eng_profic_notstated_tot,_0_14_yrs_multilingual_tot_2000_05,_0_14_yrs_multilingual_tot_2006_10,_0_14_yrs_multilingual_tot_2011,_0_14_yrs_multilingual_tot_2012,_0_14_yrs_multilingual_tot_2013,_0_14_yrs_multilingual_tot_2014,_0_14_yrs_multilingual_tot_2015,_0_14_yrs_multilingual_tot_2016,_0_14_yrs_multilingual_tot_arrival_notstated,_0_14_yrs_multilingual_tot_tot,_0_14_yrs_lang_and_eng_profic_notstated_2000_05,_0_14_yrs_lang_and_eng_profic_notstated_2006_10,_0_14_yrs_lang_and_eng_profic_notstated_2011,_0_14_yrs_lang_and_eng_profic_notstated_2012,_0_14_yrs_lang_and_eng_profic_notstated_2013,_0_14_yrs_lang_and_eng_profic_notstated_2014,_0_14_yrs_lang_and_eng_profic_notstated_2015,_0_14_yrs_lang_and_eng_profic_notstated_2016,_0_14_yrs_lang_and_eng_profic_notstated_arrival_notstated,_0_14_yrs_lang_and_eng_profic_notstated_tot,_0_14_yrs_tot_2000_05,_0_14_yrs_tot_2006_10,_0_14_yrs_tot_2011,_0_14_yrs_tot_2012,_0_14_yrs_tot_2013,_0_14_yrs_tot_2014,_0_14_yrs_tot_2015,_0_14_yrs_tot_2016,_0_14_yrs_tot_arrival_notstated,_0_14_yrs_tot_tot,_15_24_yrs_spks_eng_only_bef_2000,_15_24_yrs_spks_eng_only_2000_05,_15_24_yrs_spks_eng_only_2006_10,_15_24_yrs_spks_eng_only_2011,_15_24_yrs_spks_eng_only_2012,_15_24_yrs_spks_eng_only_2013,_15_24_yrs_spks_eng_only_2014,_15_24_yrs_spks_eng_only_2015,_15_24_yrs_spks_eng_only_2016,_15_24_yrs_spks_eng_only_arrival_notstated,_15_24_yrs_spks_eng_only_tot,_15_24_yrs_multilingual_spks_eng_well_bef_2000,_15_24_yrs_multilingual_spks_eng_well_2000_05,_15_24_yrs_multilingual_spks_eng_well_2006_10,_15_24_yrs_multilingual_spks_eng_well_2011,_15_24_yrs_multilingual_spks_eng_well_2012,_15_24_yrs_multilingual_spks_eng_well_2013,_15_24_yrs_multilingual_spks_eng_well_2014,_15_24_yrs_multilingual_spks_eng_well_2015,_15_24_yrs_multilingual_spks_eng_well_2016,_15_24_yrs_multilingual_spks_eng_well_arrival_notstated,_15_24_yrs_multilingual_spks_eng_well_tot,_15_24_yrs_multilingual_spks_eng_notwell_bef_2000,_15_24_yrs_multilingual_spks_eng_notwell_2000_05,_15_24_yrs_multilingual_spks_eng_notwell_2006_10,_15_24_yrs_multilingual_spks_eng_notwell_2011,_15_24_yrs_multilingual_spks_eng_notwell_2012,_15_24_yrs_multilingual_spks_eng_notwell_2013,_15_24_yrs_multilingual_spks_eng_notwell_2014,_15_24_yrs_multilingual_spks_eng_notwell_2015,_15_24_yrs_multilingual_spks_eng_notwell_2016,_15_24_yrs_multilingual_spks_eng_notwell_arrival_notstated,_15_24_yrs_multilingual_spks_eng_notwell_tot,_15_24_yrs_multilingual_eng_profic_notstated_bef_2000,_15_24_yrs_multilingual_eng_profic_notstated_2000_05,_15_24_yrs_multilingual_eng_profic_notstated_2006_10,_15_24_yrs_multilingual_eng_profic_notstated_2011,_15_24_yrs_multilingual_eng_profic_notstated_2012,_15_24_yrs_multilingual_eng_profic_notstated_2013,_15_24_yrs_multilingual_eng_profic_notstated_2014,_15_24_yrs_multilingual_eng_profic_notstated_2015,_15_24_yrs_multilingual_eng_profic_notstated_2016,_15_24_yrs_multilingual_eng_profic_notstated_arrival_notstated,_15_24_yrs_multilingual_eng_profic_notstated_tot,_15_24_yrs_multilingual_tot_bef_2000,_15_24_yrs_multilingual_tot_2000_05,_15_24_yrs_multilingual_tot_2006_10,_15_24_yrs_multilingual_tot_2011,_15_24_yrs_multilingual_tot_2012,_15_24_yrs_multilingual_tot_2013,_15_24_yrs_multilingual_tot_2014,_15_24_yrs_multilingual_tot_2015,_15_24_yrs_multilingual_tot_2016,_15_24_yrs_multilingual_tot_arrival_notstated,_15_24_yrs_multilingual_tot_tot,_15_24_yrs_lang_and_eng_profic_notstated_bef_2000,_15_24_yrs_lang_and_eng_profic_notstated_2000_05,_15_24_yrs_lang_and_eng_profic_notstated_2006_10,_15_24_yrs_lang_and_eng_profic_notstated_2011,_15_24_yrs_lang_and_eng_profic_notstated_2012,_15_24_yrs_lang_and_eng_profic_notstated_2013,_15_24_yrs_lang_and_eng_profic_notstated_2014,_15_24_yrs_lang_and_eng_profic_notstated_2015,_15_24_yrs_lang_and_eng_profic_notstated_2016,_15_24_yrs_lang_and_eng_profic_notstated_arrival_notstated,_15_24_yrs_lang_and_eng_profic_notstated_tot,_15_24_yrs_tot_bef_2000,_15_24_yrs_tot_2000_05,_15_24_yrs_tot_2006_10,_15_24_yrs_tot_2011,_15_24_yrs_tot_2012,_15_24_yrs_tot_2013,_15_24_yrs_tot_2014,_15_24_yrs_tot_2015,_15_24_yrs_tot_2016,_15_24_yrs_tot_arrival_notstated,_15_24_yrs_tot_tot,_25_34_yrs_spks_eng_only_bef_2000,_25_34_yrs_spks_eng_only_2000_05,_25_34_yrs_spks_eng_only_2006_10,_25_34_yrs_spks_eng_only_2011,_25_34_yrs_spks_eng_only_2012,_25_34_yrs_spks_eng_only_2013,_25_34_yrs_spks_eng_only_2014,_25_34_yrs_spks_eng_only_2015,_25_34_yrs_spks_eng_only_2016,_25_34_yrs_spks_eng_only_arrival_notstated,_25_34_yrs_spks_eng_only_tot,_25_34_yrs_multilingual_spks_eng_well_bef_2000,_25_34_yrs_multilingual_spks_eng_well_2000_05,_25_34_yrs_multilingual_spks_eng_well_2006_10,_25_34_yrs_multilingual_spks_eng_well_2011,_25_34_yrs_multilingual_spks_eng_well_2012,_25_34_yrs_multilingual_spks_eng_well_2013,_25_34_yrs_multilingual_spks_eng_well_2014,_25_34_yrs_multilingual_spks_eng_well_2015,_25_34_yrs_multilingual_spks_eng_well_2016,_25_34_yrs_multilingual_spks_eng_well_arrival_notstated,_25_34_yrs_multilingual_spks_eng_well_tot,_25_34_yrs_multilingual_spks_eng_notwell_bef_2000,_25_34_yrs_multilingual_spks_eng_notwell_2000_05,_25_34_yrs_multilingual_spks_eng_notwell_2006_10,_25_34_yrs_multilingual_spks_eng_notwell_2011,_25_34_yrs_multilingual_spks_eng_notwell_2012,_25_34_yrs_multilingual_spks_eng_notwell_2013,_25_34_yrs_multilingual_spks_eng_notwell_2014,_25_34_yrs_multilingual_spks_eng_notwell_2015,_25_34_yrs_multilingual_spks_eng_notwell_2016,_25_34_yrs_multilingual_spks_eng_notwell_arrival_notstated,_25_34_yrs_multilingual_spks_eng_notwell_tot,_25_34_yrs_multilingual_eng_profic_notstated_bef_2000,_25_34_yrs_multilingual_eng_profic_notstated_2000_05,_25_34_yrs_multilingual_eng_profic_notstated_2006_10,_25_34_yrs_multilingual_eng_profic_notstated_2011,_25_34_yrs_multilingual_eng_profic_notstated_2012,_25_34_yrs_multilingual_eng_profic_notstated_2013,_25_34_yrs_multilingual_eng_profic_notstated_2014,_25_34_yrs_multilingual_eng_profic_notstated_2015,_25_34_yrs_multilingual_eng_profic_notstated_2016,_25_34_yrs_multilingual_eng_profic_notstated_arrival_notstated,_25_34_yrs_multilingual_eng_profic_notstated_tot,_25_34_yrs_multilingual_tot_bef_2000,_25_34_yrs_multilingual_tot_2000_05
Rest of NSW,1RNSW,806,2674,749,809,717,584,598,286,455,7686,247,1548,500,790,792,819,612,264,254,5825,3,23,15,37,99,235,313,400,162,1289,0,8,3,11,3,3,10,15,15,68,249,1584,515,831,899,1060,939,680,429,7179,0,6,3,0,0,3,9,8,18,50,1058,4262,1268,1639,1621,1642,1545,975,911,14918,1538,2364,1502,266,272,305,310,380,299,420,7655,375,1032,1622,392,559,709,1134,1420,1005,427,8671,8,32,50,19,52,109,229,403,350,247,1501,3,12,21,0,4,0,11,9,3,13,79,386,1078,1692,417,619,813,1371,1828,1355,692,10244,3,3,7,0,3,0,0,0,0,157,171,1934,3445,3202,684,886,1118,1677,2211,1658,1265,18079,4006,1400,2582,761,733,582,554,564,286,463,11918,1478,1457,5894,1174,1597,1648,1860,1843,964,513,18419,24,106,344,114,194,259,398,513,304,259,2512,6,16,41,3,13,14,11,15,6,14,140,1505,1573
Greater Sydney,1GSYD,3166,10000,2513,2754,2845,2706,2747,1375,1707,29822,3379,13620,3978,4757,5617,5413,4814,2180,1864,45627,36,177,151,369,904,1515,2930,3039,1263,10383,21,72,24,29,43,66,124,92,48,527,3442,13869,4160,5157,6567,6991,7868,5311,3180,56531,7,25,10,7,8,15,29,60,98,249,6610,23894,6682,7911,9418,9708,10643,6749,4990,86605,7708,10862,5954,1041,1259,1366,1910,2515,2165,1546,36318,9863,17991,19575,5337,7269,10028,13820,16825,12161,4732,117602,66,377,670,407,894,1636,2176,3221,2829,1751,14036,46,102,109,38,49,62,86,86,80,71,725,9976,18473,20356,5784,8209,11726,16077,20129,15067,6561,132358,15,22,21,4,8,5,13,16,18,357,482,17698,29359,26334,6831,9470,13095,18004,22661,17252,8460,169162,24023,7401,14444,4754,5213,5514,5286,5184,2960,2357,77135,38901,33617,73782,12402,15352,18511,19727,20230,11238,5636,249399,500,2066,6565,1704,2690,3881,3434,3701,2335,1839,28717,221,219,411,76,96,94,110,106,55,101,1488,39621,35905
Rest of Vic.,2RVIC,423,1453,380,347,360,334,294,154,270,4016,189,1214,292,376,480,335,402,178,181,3653,4,23,4,24,56,103,200,243,102,753,0,5,3,3,4,0,11,4,8,35,193,1243,298,394,549,444,611,418,287,4443,0,3,3,4,0,5,6,7,16,44,619,2695,684,741,910,783,912,583,576,8504,691,1165,916,160,144,108,158,212,116,191,3861,226,749,1428,261,342,501,502,647,530,291,5474,11,15,52,30,48,81,112,220,222,201,979,7,8,3,4,3,4,7,10,8,13,56,238,776,1483,290,390,584,613,877,759,506,6512,0,4,0,0,0,0,0,0,3,119,125,931,1947,2397,453,541,688,768,1081,877,817,10502,1906,712,1314,324,354,340,281,264,152,262,5917,777,914,4208,649,866,917,862,919,487,316,10922,10,72,365,91,138,181,271,353,225,197,1903,6,7,31,6,5,0,7,9,6,15,94,791,1000
Greater Melbourne,2GMEL,2862,9690,2760,3063,2697,2439,2614,1294,1509,28935,2735,14830,4280,5154,6450,5496,5098,2061,1924,48020,26,192,169,369,989,1568,2865,2807,1206,10201,13,81,15,35,63,60,115,99,77,568,2776,15101,4468,5557,7501,7125,8080,4966,3210,58786,8,19,11,17,9,12,34,53,154,324,5642,24809,7240,8635,10209,9570,10729,6319,4871,88035,6115,10028,7253,1322,1602,1499,1936,2680,2341,1347,36112,5907,13782,21319,5891,7917,10796,15530,18308,12992,4649,117086,53,327,644,377,788,1485,2159,3130,2580,1494,13039,38,88,119,33,39,54,98,92,74,66,704,5996,14197,22081,6298,8745,12341,17787,21528,15646,6213,130824,8,29,28,3,5,4,20,23,11,279,411,12119,24250,29362,7623,10356,13842,19737,24227,17994,7835,167349,19828,7323,13949,4347,4771,4436,4167,4068,2354,1940,67177,25761,28542,73812,11477,14421,16201,17264,16481,9184,4527,217671,284,1468,5263,1428,2273,3115,2470,2912,1919,1303,22443,194,156,465,59,106,122,101,98,50,86,1431,26245,30161
Greater Brisbane,3GBRI,2182,8619,2287,2489,2115,1666,1627,748,1095,22834,918,5755,1798,1980,2151,1811,1518,754,706,17383,13,92,62,149,336,494,914,1069,401,3530,4,33,14,20,19,28,33,33,28,218,937,5883,1869,2143,2506,2334,2463,1852,1138,21123,3,29,4,10,8,12,8,16,60,148,3120,14526,4164,4643,4636,4003,4101,2622,2289,44105,4974,9065,7833,1210,1269,1118,1092,1243,1030,1033,29866,2173,4915,8128,1915,2477,3368,4149,4988,3830,1510,37453,24,106,153,103,153,346,549,896,1063,660,4059,24,37,45,15,14,20,11,29,27,37,257,2223,5060,8327,2041,2641,3728,4710,5914,4920,2208,41762,7,13,20,5,4,5,6,7,14,201,277,7204,14146,16174,3252,3919,4852,5815,7159,5961,3434,71912,12819,5566,9030,2471,2477,2046,1814,1687,1037,1217,40163,7388,7632,20526,3653,4387,5168,5482,5254,3027,1566,64082,92,364,1404,420,635,988,888,1136,913,756,7586,37,45,137,22,18,39,26,36,18,29,414,7523,8038
Rest of Qld,3RQLD,1621,6706,1792,1884,1591,1384,1144,717,916,17755,369,2857,798,1042,1068,1121,968,404,384,9008,7,34,25,54,127,229,413,377,217,1475,4,16,8,6,0,11,18,12,11,78,377,2903,826,1102,1194,1362,1393,794,615,10564,5,19,5,9,5,6,12,25,32,111,1996,9630,2623,2992,2787,2746,2552,1535,1566,28430,2826,5800,6148,946,979,863,851,1027,829,814,21081,646,1797,3399,762,930,1248,1654,1862,1385,765,14452,9,45,53,30,77,150,202,402,403,404,1770,3,13,11,0,9,15,14,12,5,12,103,662,1852,3468,796,1015,1404,1867,2280,1795,1183,16322,8,6,7,3,3,0,9,7,10,69,115,3486,7657,9627,1744,1999,2272,2729,3313,2639,2061,37515,7868,4008,7112,1848,1826,1557,1371,1375,745,961,28664,2055,2349,8904,1660,2147,2469,2654,2557,1378,887,27068,32,147,556,153,295,349,465,756,449,571,3781,14,18,63,7,17,22,22,20,10,25,218,2109,2507
Rest of SA,4RSAU,74,350,75,85,73,69,56,28,50,861,17,278,87,80,132,106,109,37,59,901,0,3,0,3,16,17,35,27,22,127,0,3,0,0,0,0,3,0,3,7,17,281,87,82,148,129,149,70,84,1039,0,0,0,0,0,0,0,0,3,8,90,634,161,166,219,194,203,93,141,1909,123,213,217,31,37,26,22,36,29,46,785,24,65,226,75,67,87,82,93,59,47,826,0,0,13,7,4,12,31,44,33,38,177,0,0,3,0,0,4,0,3,0,8,15,24,60,242,83,77,95,110,143,87,93,1017,0,0,0,0,0,0,0,0,0,17,16,146,275,461,118,113,127,133,175,117,152,1821,394,142,286,69,76,64,61,63,37,53,1243,72,142,614,140,178,177,177,180,84,92,1849,0,9,61,13,30,37,76,161,58,102,550,0,0,6,4,0,3,0,0,3,0,22,74,146
Greater Adelaide,4GADE,757,2853,622,852,637,627,567,305,247,7470,432,3674,1087,1193,1468,1213,1224,546,353,11185,7,43,29,89,249,360,653,946,225,2602,5,20,8,8,14,9,24,12,9,110,441,3734,1124,1288,1731,1583,1902,1506,592,13897,8,9,0,0,0,3,7,12,15,57,1199,6602,1746,2144,2374,2211,2476,1818,853,21427,1431,2618,2855,370,333,253,294,333,335,292,9122,873,2495,5607,1287,1512,2046,2638,3193,1926,725,22307,9,51,138,70,129,321,505,723,625,304,2877,3,17,28,3,7,8,11,20,16,20,133,886,2561,5764,1364,1651,2380,3156,3938,2568,1049,25322,0,10,9,0,0,0,3,0,0,42,63,2316,5194,8628,1735,1987,2637,3449,4271,2906,1382,34504,4512,1324,2154,545,611,496,422,449,286,367,11164,3225,3821,12618,1972,2400,2734,2922,3244,1706,660,35286,38,194,894,260,439,510,503,590,443,194,4068,36,33,68,13,15,11,18,18,13,8,234,3295,4040
Greater Perth,5GPER,2104,9949,3042,3666,2801,2176,1759,897,1045,27436,820,6945,2145,2887,2760,2289,1980,871,658,21353,9,74,56,143,300,512,904,829,356,3187,6,40,5,16,23,20,34,29,30,200,842,7054,2214,3046,3076,2826,2910,1728,1044,24736,3,14,0,7,10,9,16,19,46,114,2953,17020,5252,6719,5882,5009,4684,2637,2127,52289,4333,9205,10455,1728,1969,1416,1297,1231,832,1006,33469,1630,4454,9750,2227,2682,2880,3359,4201,2835,1098,35113,13,78,139,80,142,274,451,702,592,346,2829,16,28,72,16,20,18,13,23,24,12,253,1660,4560,9960,2323,2847,3179,3824,4935,3443,1462,38197,5,12,12,3,3,3,11,0,6,162,221,6002,13779,20433,4049,4819,4599,5126,6168,4278,2629,71883,15353,5471,11588,4387,5073,3450,2432,1953,933,1290,51926,6712,8061,22364,4370,5511,5803,5649,5054,2831,1437,67791,74,367,1511,434,680,909,906,1071,670,513,7135,39,53,132,29,47,44,35,22,22,29,446,6817,8477
Rest of WA,5RWAU,266,1288,340,468,368,267,221,77,159,3453,45,686,240,250,342,263,257,91,87,2267,0,18,3,12,33,31,64,76,42,271,0,7,0,3,0,5,8,7,3,27,52,704,246,269,368,295,333,175,133,2568,0,4,0,3,0,3,3,5,3,32,320,1998,586,736,739,563,557,255,293,6045,401,781,1003,217,234,177,167,176,112,167,3438,42,215,811,180,199,183,193,262,166,154,2414,0,4,24,11,9,23,29,74,52,61,288,0,0,7,5,0,4,3,8,3,3,32,42,218,843,196,213,204,220,345,232,220,2739,0,0,0,0,0,4,0,0,0,77,85,443,999,1848,410,452,387,388,523,342,457,6254,1817,756,1975,697,769,448,387,280,123,285,7530,330,386,1690,474,560,599,575,533,291,238,5676,0,19,77,30,43,70,80,161,91,127,698,0,0,15,0,9,8,3,4,3,6,46,336,407
