gcc_code16,pro_650_799_a_25_34,pro_650_799_a_35_44,pro_650_799_a_45_54,pro_650_799_a_55_64,pro_650_799_a_65_74,pro_650_799_a_75ov,pro_650_799_tot,pro_800_999_a_15_19,pro_800_999_a_20_24,pro_800_999_a_25_34,pro_800_999_a_35_44,pro_800_999_a_45_54,pro_800_999_a_55_64,pro_800_999_a_65_74,pro_800_999_a_75ov,pro_800_999_tot,pro_1000_1249_a_15_19,pro_1000_1249_a_20_24,pro_1000_1249_a_25_34,pro_1000_1249_a_35_44,pro_1000_1249_a_45_54,pro_1000_1249_a_55_64,pro_1000_1249_a_65_74,pro_1000_1249_a_75ov,pro_1000_1249_tot,pro_1250_1499_a_15_19,pro_1250_1499_a_20_24,pro_1250_1499_a_25_34,pro_1250_1499_a_35_44,pro_1250_1499_a_45_54,pro_1250_1499_a_55_64,pro_1250_1499_a_65_74,pro_1250_1499_a_75ov,pro_1250_1499_tot,pro_1500_1749_a_15_19,pro_1500_1749_a_20_24,pro_1500_1749_a_25_34,pro_1500_1749_a_35_44,pro_1500_1749_a_45_54,pro_1500_1749_a_55_64,pro_1500_1749_a_65_74,pro_1500_1749_a_75ov,pro_1500_1749_tot,pro_1750_1999_a_15_19,pro_1750_1999_a_20_24,pro_1750_1999_a_25_34,pro_1750_1999_a_35_44,pro_1750_1999_a_45_54,pro_1750_1999_a_55_64,pro_1750_1999_a_65_74,pro_1750_1999_a_75ov,pro_1750_1999_tot,pro_2000_2999_a_15_19,pro_2000_2999_a_20_24,pro_2000_2999_a_25_34,pro_2000_2999_a_35_44,pro_2000_2999_a_45_54,pro_2000_2999_a_55_64,pro_2000_2999_a_65_74,pro_2000_2999_a_75ov,pro_2000_2999_tot,pro_3000mo_a_15_19,pro_3000mo_a_20_24,pro_3000mo_a_25_34,pro_3000mo_a_35_44,pro_3000mo_a_45_54,pro_3000mo_a_55_64,pro_3000mo_a_65_74,pro_3000mo_a_75ov,pro_3000mo_tot,pro_pins_a_15_19,pro_pins_a_20_24,pro_pins_a_25_34,pro_pins_a_35_44,pro_pins_a_45_54,pro_pins_a_55_64,pro_pins_a_65_74,pro_pins_a_75ov,pro_pins_tot,pro_tot_a_15_19,pro_tot_a_20_24,pro_tot_a_25_34,pro_tot_a_35_44,pro_tot_a_45_54,pro_tot_a_55_64,pro_tot_a_65_74,pro_tot_a_75ov,pro_tot_tot,tatw_nni_a_15_19,tatw_nni_a_20_24,tatw_nni_a_25_34,tatw_nni_a_35_44,tatw_nni_a_45_54,tatw_nni_a_55_64,tatw_nni_a_65_74,tatw_nni_a_75ov,tatw_nni_tot,tatw_1_149_a_15_19,tatw_1_149_a_20_24,tatw_1_149_a_25_34,tatw_1_149_a_35_44,tatw_1_149_a_45_54,tatw_1_149_a_55_64,tatw_1_149_a_65_74,tatw_1_149_a_75ov,tatw_1_149_tot,tatw_150_299_a_15_19,tatw_150_299_a_20_24,tatw_150_299_a_25_34,tatw_150_299_a_35_44,tatw_150_299_a_45_54,tatw_150_299_a_55_64,tatw_150_299_a_65_74,tatw_150_299_a_75ov,tatw_150_299_tot,tatw_300_399_a_15_19,tatw_300_399_a_20_24,tatw_300_399_a_25_34,tatw_300_399_a_35_44,tatw_300_399_a_45_54,tatw_300_399_a_55_64,tatw_300_399_a_65_74,tatw_300_399_a_75ov,tatw_300_399_tot,tatw_400_499_a_15_19,tatw_400_499_a_20_24,tatw_400_499_a_25_34,tatw_400_499_a_35_44,tatw_400_499_a_45_54,tatw_400_499_a_55_64,tatw_400_499_a_65_74,tatw_400_499_a_75ov,tatw_400_499_tot,tatw_500_649_a_15_19,tatw_500_649_a_20_24,tatw_500_649_a_25_34,tatw_500_649_a_35_44,tatw_500_649_a_45_54,tatw_500_649_a_55_64,tatw_500_649_a_65_74,tatw_500_649_a_75ov,tatw_500_649_tot,tatw_650_799_a_15_19,tatw_650_799_a_20_24,tatw_650_799_a_25_34,tatw_650_799_a_35_44,tatw_650_799_a_45_54,tatw_650_799_a_55_64,tatw_650_799_a_65_74,tatw_650_799_a_75ov,tatw_650_799_tot,tatw_800_999_a_15_19,tatw_800_999_a_20_24,tatw_800_999_a_25_34,tatw_800_999_a_35_44,tatw_800_999_a_45_54,tatw_800_999_a_55_64,tatw_800_999_a_65_74,tatw_800_999_a_75ov,tatw_800_999_tot,tatw_1000_1249_a_15_19,tatw_1000_1249_a_20_24,tatw_1000_1249_a_25_34,tatw_1000_1249_a_35_44,tatw_1000_1249_a_45_54,tatw_1000_1249_a_55_64,tatw_1000_1249_a_65_74,tatw_1000_1249_a_75ov,tatw_1000_1249_tot,tatw_1250_1499_a_15_19,tatw_1250_1499_a_20_24,tatw_1250_1499_a_25_34,tatw_1250_1499_a_35_44,tatw_1250_1499_a_45_54,tatw_1250_1499_a_55_64,tatw_1250_1499_a_65_74,tatw_1250_1499_a_75ov,tatw_1250_1499_tot,tatw_1500_1749_a_15_19,tatw_1500_1749_a_20_24,tatw_1500_1749_a_25_34,tatw_1500_1749_a_35_44,tatw_1500_1749_a_45_54,tatw_1500_1749_a_55_64,tatw_1500_1749_a_65_74,tatw_1500_1749_a_75ov,tatw_1500_1749_tot,tatw_1750_1999_a_15_19,tatw_1750_1999_a_20_24,tatw_1750_1999_a_25_34,tatw_1750_1999_a_35_44,tatw_1750_1999_a_45_54,tatw_1750_1999_a_55_64,tatw_1750_1999_a_65_74,tatw_1750_1999_a_75ov,tatw_1750_1999_tot,tatw_2000_2999_a_15_19,tatw_2000_2999_a_20_24,tatw_2000_2999_a_25_34,tatw_2000_2999_a_35_44,gcc_name16
1RNSW,2832,2907,2567,2340,728,96,12570,54,1552,4297,3829,3490,3079,755,95,17150,20,2050,7308,5549,4833,4297,940,91,25089,12,1104,7701,5316,4674,3884,697,75,23454,6,374,6083,6058,6082,4973,774,59,24419,0,119,3536,5722,6348,5175,620,58,21588,3,84,3589,6668,6490,4815,768,80,22500,0,19,940,3012,3289,2588,738,85,10672,26,100,348,430,446,371,109,17,1849,1145,8577,41275,44706,42583,35963,8005,1018,183276,71,44,109,156,181,122,44,11,726,517,119,176,207,218,193,64,4,1504,503,350,538,546,645,613,175,32,3405,1221,603,678,836,885,848,340,65,5474,2482,1473,964,981,1126,1053,389,72,8548,1934,3185,2164,1916,1984,1875,508,65,13624,744,4146,4187,2940,2916,2224,552,56,17764,267,3547,6387,4264,4205,2984,492,50,22202,107,2234,6708,4998,4539,3109,445,32,22162,26,1033,4029,3276,2945,2001,234,21,13560,13,459,2856,2759,2538,1563,152,16,10354,7,278,1721,1777,1660,921,94,7,6470,3,249,2284,2462,Rest of NSW
1GSYD,8026,5978,4169,3251,1406,216,26894,103,5985,15085,8818,6281,4678,1638,248,42838,75,8853,29037,14292,9671,7041,2184,260,71425,28,4874,31737,15977,10634,6991,1821,211,72285,27,1645,29713,20350,14116,9447,2138,232,77661,15,529,19582,19739,14727,9925,1834,191,66538,14,409,27184,36528,24177,14367,2995,286,105958,8,134,8658,24324,21312,11943,3476,454,70314,54,391,1706,1474,1229,748,293,75,5973,3827,35842,183616,158768,114676,75115,20991,2889,595723,126,114,284,270,256,147,53,8,1254,768,332,338,326,261,188,68,10,2308,790,880,932,875,843,692,215,34,5269,1525,1462,1744,1314,1278,1010,351,60,8751,2949,2459,2435,1774,1735,1312,464,82,13201,2509,4605,4016,2985,2929,2288,713,92,20141,948,5248,6871,4577,4317,2885,739,77,25657,397,5135,11142,7047,6282,4401,892,80,35366,155,3697,13611,9314,7971,5183,944,71,40939,46,1531,8531,7140,5901,3675,629,45,27503,21,746,5793,5804,4987,2881,511,31,20772,3,328,3312,3734,3246,1756,290,14,12681,13,215,3379,4752,Greater Sydney
2RVIC,1635,1856,1440,1417,447,49,7443,12,1143,2847,2527,2306,2005,431,48,11316,12,1401,5098,3380,3332,2768,539,57,16593,3,525,5040,3444,3187,2445,412,41,15109,0,116,3298,3468,3492,2822,329,34,13556,0,43,1525,2616,2742,2160,258,19,9372,3,27,1371,2347,2364,1685,336,30,8162,6,14,431,1310,1391,1163,299,43,4660,17,55,237,235,233,232,74,10,1091,448,4873,24269,24579,23005,19373,4230,492,101273,60,37,73,98,106,74,23,0,471,451,87,130,159,127,141,42,5,1142,296,233,319,384,409,371,139,18,2171,673,384,466,479,548,586,187,25,3352,1281,935,602,613,703,656,238,41,5066,912,2003,1234,1114,1183,1072,323,48,7885,294,2410,2635,1634,1720,1365,255,43,10358,138,1967,3940,2452,2397,1738,290,21,12951,50,1073,3724,2692,2481,1762,257,24,12061,10,372,1923,1659,1573,1019,133,7,6697,3,175,1174,1170,1186,762,87,8,4569,3,79,681,720,746,468,49,9,2761,0,54,794,946,Rest of Vic.
2GMEL,7862,6603,4521,3353,1272,171,26627,60,5326,15748,9551,6827,4827,1601,215,44148,41,6812,30617,14641,10532,7312,1950,208,72122,20,2754,31439,16536,11049,7190,1638,179,70799,8,791,25174,19788,13979,9171,1797,154,70864,10,271,14126,16795,12291,8119,1448,129,53187,14,191,17785,26439,17830,10379,2175,229,75047,7,74,4841,16108,14851,8631,2541,305,47355,39,374,1509,1381,1226,864,261,44,5701,2148,26986,162931,140915,102199,66649,17897,2194,521915,103,129,276,287,279,197,35,4,1321,735,406,443,424,338,240,70,20,2686,619,1011,1103,1009,889,656,276,47,5609,1064,1659,1882,1311,1271,974,395,67,8624,2067,2752,2335,1742,1734,1366,449,78,12527,1391,4777,4278,3013,3139,2213,647,80,19537,622,5083,8150,4734,4373,2980,720,75,26744,323,4502,12910,7716,6635,4210,830,77,37207,123,3016,14552,9933,8122,5121,827,48,41740,26,1191,8369,6904,5846,3544,523,35,26424,18,612,5429,5430,4721,2637,365,27,19242,3,256,3246,3497,3103,1622,231,21,11980,3,188,3343,4131,Greater Melbourne
3GBRI,3103,2887,1971,1356,554,65,11525,60,2647,5939,4188,3005,2077,614,68,18608,31,3947,11112,7005,5052,3192,796,65,31196,13,2133,12563,7935,5912,3461,694,48,32749,8,732,11485,11138,8944,5427,816,52,38601,0,235,6828,8227,6840,3960,591,43,26721,3,146,8477,12877,9979,5171,880,81,37617,3,39,2156,7615,7449,4088,959,115,22436,18,137,533,550,481,308,85,12,2118,1476,15173,67536,67449,53229,31888,7384,771,244906,60,51,133,127,127,102,26,0,623,674,174,156,139,160,128,39,3,1463,488,391,408,359,341,287,104,14,2396,747,680,659,460,487,430,157,24,3634,1306,1204,841,692,686,583,188,32,5525,1212,2396,1775,1281,1227,971,314,43,9223,554,3227,3580,2216,1807,1305,320,33,13039,234,2983,5850,3775,3338,2127,387,33,18735,85,2162,7162,5352,4316,2765,397,17,22252,34,1008,4785,3914,3185,2004,285,12,15217,9,469,3400,3121,2621,1485,214,9,11326,7,227,2011,2075,1748,937,100,3,7112,0,171,1998,2561,Greater Brisbane
3RQLD,2506,2548,2044,1599,561,75,10460,53,1764,4201,3615,3054,2193,629,62,15572,21,2593,7148,5476,4793,3206,741,58,24030,6,1426,7430,5701,5085,3328,569,54,23616,7,557,6187,7229,7433,4858,655,56,26984,7,220,3368,4634,4797,3160,468,25,16671,3,215,4258,5593,5348,3280,641,57,19383,6,45,1297,3352,3342,2262,625,79,10998,27,103,332,392,409,284,96,13,1649,1078,9737,40652,43067,39872,27566,6508,712,169190,78,49,138,208,181,136,34,7,836,896,126,191,201,190,173,43,5,1825,575,324,494,545,471,491,167,18,3094,986,520,742,715,709,679,295,44,4689,1811,1080,975,940,938,809,316,42,6905,1790,2486,1909,1691,1787,1444,449,45,11602,811,3656,3897,2847,2590,1888,480,38,16213,386,3526,6128,4488,3986,2660,460,33,21673,141,2427,7067,5454,4792,3067,463,33,23446,48,1256,4459,3957,3264,2153,289,15,15445,27,676,3401,3139,2682,1678,186,11,11796,10,382,2255,2193,1867,1127,110,8,7944,14,432,3890,3986,Rest of Qld
4RSAU,282,305,250,272,88,7,1332,4,170,535,408,381,380,98,5,1982,5,303,741,613,589,558,95,10,2916,0,230,935,579,622,467,92,7,2929,0,48,764,685,666,589,106,9,2878,0,23,386,556,564,560,76,7,2173,0,14,362,437,502,375,77,0,1765,0,0,116,233,242,229,65,0,889,3,20,46,35,43,58,6,0,210,96,1087,4618,4368,4299,3973,929,98,19467,10,3,19,32,36,19,5,0,128,123,14,28,37,42,41,10,0,292,93,39,66,94,97,120,43,6,558,155,98,105,111,123,160,37,14,797,314,163,135,167,197,177,78,4,1241,223,445,268,252,315,300,80,19,1913,78,565,533,373,415,339,90,16,2401,23,492,774,576,646,455,74,16,3044,8,276,908,648,617,493,56,9,3019,3,115,476,383,426,278,45,0,1733,3,55,342,266,354,232,16,3,1285,3,48,246,249,245,140,16,0,958,0,52,435,453,Rest of SA
4GADE,1902,1684,1232,1015,388,62,6932,11,1194,3409,2652,1923,1607,482,48,11329,4,1505,6018,4040,3176,2476,594,61,17870,4,749,6221,4367,3458,2362,511,37,17709,0,209,5648,5397,4510,3506,532,43,19846,0,53,3064,4191,3964,3168,531,39,15006,0,36,2662,4902,4388,3067,579,51,15691,0,14,647,2531,2844,2124,659,77,8892,8,62,285,235,245,182,68,5,1087,479,6034,32962,32915,27917,21618,5310,596,127823,25,24,71,85,59,41,15,0,328,187,95,90,125,100,102,27,7,725,180,248,272,283,269,242,82,12,1586,313,378,434,387,391,320,127,25,2379,616,743,575,500,564,440,178,21,3633,486,1447,1176,893,911,753,227,28,5918,165,1693,2392,1428,1399,1045,242,26,8387,54,1520,3465,2395,2248,1475,299,22,11474,12,911,3861,2820,2758,1826,275,22,12489,11,359,2327,1960,1922,1165,166,15,7919,0,140,1402,1398,1420,821,108,5,5299,0,49,734,785,849,433,57,3,2910,3,39,657,776,Greater Adelaide
5GPER,2194,2184,1561,1110,506,68,8497,24,1413,3768,2990,2284,1648,630,72,12823,12,2380,7526,4610,3728,2661,741,71,21730,8,1905,9292,5208,4144,2654,639,47,23908,11,692,9761,6719,5476,3552,728,62,26989,6,218,6841,6468,5649,3715,670,47,23615,0,187,8666,11058,9076,5743,1026,85,35835,0,46,2698,7623,7051,4064,953,119,22550,11,116,456,410,395,247,64,5,1721,935,10113,55629,51878,42446,27909,7190,806,196907,45,51,128,128,135,81,36,0,601,334,178,219,191,149,90,31,3,1196,311,389,452,389,329,269,130,11,2280,699,526,630,468,407,364,174,24,3297,1229,962,865,589,564,477,200,29,4915,1076,1920,1433,996,1077,856,306,53,7727,466,2374,2578,1546,1429,1067,324,30,9808,211,2603,4849,2820,2347,1650,350,34,14856,84,2174,7163,4625,3756,2400,472,23,20698,19,1124,5088,3852,3033,1892,338,18,15364,11,557,3778,3176,2834,1626,268,13,12259,4,281,2220,2194,1941,1080,158,13,7885,5,306,2842,3283,Greater Perth
5RWAU,358,418,329,309,95,10,1655,9,198,528,599,462,390,106,14,2304,6,307,929,872,813,601,136,12,3675,7,357,1214,894,833,585,125,14,4025,0,208,1357,1106,1087,823,128,9,4723,3,109,1077,1047,1111,894,93,7,4332,0,150,2095,1772,1809,1135,148,13,7123,0,23,933,1349,1210,651,145,19,4326,3,13,76,75,103,57,21,4,361,154,1666,9349,9104,8429,6076,1293,148,36219,14,9,27,50,45,33,10,0,187,109,16,55,57,46,33,19,0,340,102,41,112,115,114,114,46,10,656,263,74,117,130,152,151,69,8,966,448,164,169,174,225,175,73,14,1440,435,466,300,332,353,319,91,9,2299,225,657,576,450,456,355,80,7,2809,128,659,944,701,729,539,100,10,3805,79,657,1455,1143,1048,675,118,13,5192,37,386,1244,986,862,521,82,4,4121,14,332,1315,1028,953,532,52,3,4230,9,310,1197,1027,938,522,45,5,4045,13,533,4063,3431,Rest of WA
