gccsa_code16,gccsa_name16,num_multiple_job_holder_000_males,num_multiple_job_holder_000_females,num_multiple_job_holder_000_persons,median_income_multiple_job_holder_aud_males,median_income_multiple_job_holder_aud_females,median_income_multiple_job_holder_aud_persons
1GSYD,Greater Sydney,185.842,209.983,395.82199999999995,45634,38587,41646
1RNSW,Rest of NSW,92.73100000000001,109.24,201.97099999999998,44225,34090,38127
2GMEL,Greater Melbourne,169.532,206.00599999999997,375.542,44880,36279,39737
2RVIC,Rest of Vic.,49.417,67.273,116.69200000000001,42391,32131,35880
3GBRI,Greater Brisbane,89.041,98.574,187.61599999999999,45984,36522,40597
3RQLD,Rest of Qld,94.635,103.802,198.438,46189,33967,38875
4GADE,Greater Adelaide,42.128,53.36600000000001,95.495,45360,36964,40361
4RSAU,Rest of SA,12.874,14.821,27.698,40956,31800,35512
5GPER,Greater Perth,84.75299999999999,87.23700000000001,171.987,51450,35255,41897
5RWAU,Rest of WA,20.773000000000003,23.663,44.437,49604,32032,38335
6GHOB,Greater Hobart,8.392999999999999,10.779000000000002,19.169,42857,36160,38954
6RTAS,Rest of Tas.,10.589,12.662,23.253,41973,32302,35970
7GDAR,Greater Darwin,8.457,8.587,17.041,52443,40986,46031
7RNTE,Rest of NT,3.373,3.832,7.2,45275,41429,43171
8ACTE,Australian Capital Territory,16.974,19.345,36.316,50659,41809,45625
