yr,num_bsns_num_non_emply_bsns_num,num_bsns_1_4_emplys_num,num_bsns_5_19_emplys_num,num_bsns_20_pls_emplys_num,num_bsns_tot_num_bsns_num,bsns_entries_num_non_emply_bsns_entries_num,bsns_entries_1_4_emplys_num,bsns_entries_5_19_emplys_num,bsns_entries_20_pls_emplys_num,bsns_entries_tot_num_bsns_entries_num,bsns_exits_num_non_emply_bsns_exits_num,bsns_exits_1_4_emplys_num,bsns_exits_5_19_emplys_num,bsns_exits_20_pls_emplys_num,bsns_exits_tot_num_bsns_exits_num,num_bsns_by_industry_agri_frsty_fish_num,num_bsns_by_industry_mining_num,num_bsns_by_industry_manu_num,num_bsns_by_industry_elec_gas_water_wst_num,num_bsns_by_industry_cons_num,num_bsns_by_industry_whsl_trade_num,num_bsns_by_industry_rtl_trade_num,num_bsns_by_industry_accom_food_num,num_bsns_by_industry_trns_pstl_whse_num,num_bsns_by_industry_info_med_coms_num,num_bsns_by_industry_fin_insur_num,num_bsns_by_industry_rent_hiring_rlst_num,num_bsns_by_industry_pro_sci_tech_num,num_bsns_by_industry_admt_supp_num,num_bsns_by_industry_pub_admt_safety_num,num_bsns_by_industry_edu_training_num,num_bsns_by_industry_hlth_care_soc_asst_num,num_bsns_by_industry_arts_rec_num,num_bsns_by_industry_oth_num,num_bsns_by_industry_currly_unk_num,num_bsns_by_industry_tot_num,bld_approvals_priv_sector_houses_num,bld_approvals_priv_sector_dwl_excluding_houses_num,bld_approvals_tot_priv_sector_dwl_units_num,bld_approvals_tot_dwl_units_num,bld_approvals_value_priv_sector_houses_audm,bld_approvals_value_priv_sector_dwl_excluding_houses_audm,bld_approvals_value_tot_priv_sectors_dwl_units_audm,bld_approvals_value_tot_resial_bld_audm,bld_approvals_value_tot_non_resial_bld_audm,bld_approvals_value_tot_bld_audm,resial_property_prices_houses_num_trfs_num,resial_property_prices_houses_med_sale_price_aud,resial_property_prices_attached_dwl_num_trfs_num,resial_property_prices_attached_dwl_med_sale_price_aud,avg_hsld_net_worth_avg_hsld_net_worth_aud,patents_trademarks_patent_applicants_num,patents_trademarks_trademark_applicants_num,p_inslv_tot_debt_ent_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_non_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_p_inslv_num,slct_caus_p_inslv_bsns_rel_inslv_caus_economic_cond_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_exc_use_credit_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_unemp_loss_inc_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_managers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_pros_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_tech_trades_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_cmty_p_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_clrc_admt_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_sales_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_mach_ops_drivers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_labourers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_debt_oth_unk_occ_num,regd_mtr_vhcls_num_by_type_vehicle_pax_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_campervans_num,regd_mtr_vhcls_num_by_type_vehicle_light_comc_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_light_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_heavy_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_articulated_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_nfc_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_buses_num,regd_mtr_vhcls_num_by_type_vehicle_motorcycles_num,regd_mtr_vhcls_num_by_type_fuel_petrol_num,regd_mtr_vhcls_num_by_type_fuel_diesel_num,regd_mtr_vhcls_num_by_type_fuel_lpg_dual_oth_num,regd_mtr_vhcls_num_by_type_fuel_electric_num,regd_mtr_vhcls_yr_manu_less_5_yrs_num,regd_mtr_vhcls_yr_manu_5_10_yrs_num,regd_mtr_vhcls_yr_manu_ov_10_yrs_num,regd_mtr_vhcls_yr_manu_tot_regd_mtr_vhcls_num,tourist_accom_est_est_15_pls_rooms_num,empy_by_industry_agri_frsty_fish_pr100,empy_by_industry_mining_pr100,empy_by_industry_manu_pr100,empy_by_industry_elec_gas_water_wst_pr100,empy_by_industry_cons_pr100,empy_by_industry_whsl_trade_pr100,empy_by_industry_rtl_trade_pr100,empy_by_industry_accom_food_pr100,empy_by_industry_trns_pstl_whse_pr100,empy_by_industry_info_med_coms_pr100,empy_by_industry_fin_insur_pr100,empy_by_industry_rent_hiring_rlst_pr100,empy_by_industry_pro_sci_tech_pr100,empy_by_industry_admt_supp_pr100,empy_by_industry_pub_admt_safety_pr100,empy_by_industry_edu_training_pr100,empy_by_industry_hlth_care_soc_asst_pr100,empy_by_industry_arts_rec_pr100,empy_by_industry_oth_pr100,empy_by_industry_tot_empy_num,gcc_code16,gcc_name16,ogc_fid
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2757.0,17103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.2,8.5,0.9,7.1,5.3,9.8,6.2,5.3,3.0,6.6,1.8,9.6,3.5,5.6,7.6,10.9,1.6,3.7,2063269.0,1GSYD,Greater Sydney,1
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2856.0,17336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,2
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10270.0,20370.0,30640.0,31192.0,4271.0,5248.0,9519.0,9857.0,6674.0,16531.0,,,,,,2749.0,17308.0,1198.0,5164.0,6362.0,406.0,1658.0,1602.0,712.0,672.0,883.0,593.0,915.0,592.0,632.0,666.0,697.0,2395490.0,4343.0,295321.0,23708.0,36590.0,6403.0,1734.0,10842.0,104890.0,2501939.0,304116.0,61899.0,235.0,758802.0,895558.0,1224949.0,2879309.0,347.0,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,3
2014,277975.0,142685.0,40207.0,10927.0,471789.0,,,,,,,,,,,6332.0,815.0,17760.0,1177.0,70138.0,21347.0,30145.0,18357.0,31545.0,7076.0,45289.0,57660.0,72723.0,21451.0,2240.0,6959.0,28438.0,6674.0,18013.0,7660.0,471789.0,12572.0,27291.0,39863.0,40394.0,5071.0,7121.0,12192.0,12551.0,9859.0,22410.0,55830.0,725000.0,46166.0,565000.0,1001987.0,2283.0,17540.0,981.0,4818.0,5799.0,353.0,1471.0,1547.0,576.0,596.0,785.0,582.0,839.0,539.0,596.0,647.0,639.0,2455837.0,4848.0,306810.0,24670.0,37466.0,6665.0,1693.0,11075.0,111327.0,2540203.0,348624.0,58394.0,332.0,809868.0,892505.0,1258219.0,2960592.0,345.0,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,4
2015,282088.0,147861.0,40200.0,11144.0,481292.0,47620.0,23079.0,1851.0,261.0,72811.0,45554.0,14159.0,2107.0,408.0,62226.0,6022.0,824.0,17652.0,1241.0,72873.0,21372.0,29879.0,18833.0,31794.0,7207.0,47987.0,59511.0,74269.0,21550.0,2201.0,7204.0,29700.0,6707.0,18479.0,5994.0,481292.0,15541.0,32016.0,47557.0,48196.0,6098.0,8569.0,14667.0,15127.0,7007.0,22134.0,58803.0,820000.0,48021.0,635000.0,,2403.0,18087.0,762.0,4361.0,5123.0,215.0,1495.0,1296.0,527.0,504.0,701.0,590.0,717.0,444.0,566.0,577.0,497.0,2531805.0,5600.0,320879.0,26356.0,38167.0,6928.0,1713.0,11522.0,118360.0,2595474.0,396416.0,54088.0,467.0,843676.0,911611.0,1305902.0,3061189.0,381.0,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,5
2016,292442.0,154085.0,40960.0,11378.0,498864.0,53953.0,25559.0,1900.0,237.0,81657.0,45331.0,14540.0,2129.0,437.0,62432.0,5779.0,806.0,17688.0,1272.0,77260.0,21825.0,29843.0,19608.0,34243.0,7371.0,50643.0,61237.0,76513.0,22289.0,2228.0,7586.0,30944.0,6780.0,19118.0,5826.0,498864.0,17501.0,38072.0,55573.0,56709.0,7168.0,11882.0,19050.0,19523.0,8138.0,27661.0,51689.0,906000.0,39520.0,697500.0,1428211.0,,,740.0,4481.0,5221.0,199.0,1548.0,1381.0,512.0,493.0,717.0,592.0,747.0,438.0,574.0,600.0,548.0,2591461.0,6566.0,334868.0,28007.0,39504.0,7250.0,1766.0,11732.0,122470.0,2629921.0,448067.0,48184.0,730.0,901080.0,916677.0,1325984.0,3143741.0,380.0,0.4,0.2,5.8,0.8,8.2,3.6,9.3,6.7,5.0,2.8,6.4,1.9,9.8,3.6,5.5,8.0,11.6,1.7,3.6,2272718.0,1GSYD,Greater Sydney,6
2017,307163.0,158312.0,42924.0,11929.0,520321.0,59482.0,25680.0,1967.0,268.0,87399.0,46673.0,15035.0,2223.0,478.0,64397.0,5564.0,810.0,17706.0,1314.0,81799.0,22067.0,29888.0,20321.0,39461.0,7686.0,52966.0,63025.0,79583.0,23411.0,2276.0,8002.0,32095.0,7038.0,19737.0,5568.0,520321.0,17932.0,39160.0,57092.0,57659.0,7427.0,12602.0,20029.0,20432.0,11320.0,31752.0,,,,,,,,780.0,4302.0,5082.0,185.0,1678.0,1193.0,528.0,464.0,703.0,602.0,721.0,448.0,574.0,586.0,456.0,2651240.0,7532.0,351155.0,28665.0,41473.0,7415.0,1800.0,12275.0,125505.0,2663342.0,505000.0,42066.0,987.0,943262.0,926997.0,1356796.0,3227055.0,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,7
2018,326189.0,164976.0,41428.0,11550.0,544143.0,67925.0,25764.0,1820.0,278.0,95794.0,50439.0,16501.0,2238.0,464.0,69645.0,5248.0,785.0,17884.0,1408.0,86200.0,22135.0,30383.0,20876.0,47283.0,7845.0,54878.0,64589.0,82773.0,24419.0,2323.0,8441.0,33449.0,7373.0,20642.0,5203.0,544143.0,18641.0,36063.0,54704.0,55244.0,8136.0,12058.0,20194.0,20583.0,10838.0,31421.0,,,,,,,,847.0,4636.0,5479.0,189.0,1856.0,1276.0,564.0,587.0,693.0,676.0,769.0,469.0,665.0,638.0,418.0,2685865.0,8149.0,366380.0,29310.0,43743.0,7834.0,2428.0,12830.0,128925.0,2673782.0,555390.0,35742.0,1475.0,961647.0,947569.0,1376099.0,3285349.0,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,8
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,2839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,2.5,8.3,1.5,7.9,2.8,11.4,7.7,4.2,1.0,2.2,1.4,4.6,2.8,7.2,8.6,13.0,1.2,3.9,1071373.0,1RNSW,Rest of NSW,9
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,2919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.0,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,10
