gcc_code16,fts_nni_mng,fts_nni_pro,fts_nni_tectw,fts_nni_copsw,fts_nni_claw,fts_nni_swks,fts_nni_maopdv,fts_nni_lab,fts_nni_idns,fts_nni_tot,fts_1_149_mng,fts_1_149_pro,fts_1_149_tectw,fts_1_149_copsw,fts_1_149_claw,fts_1_149_swks,fts_1_149_maopdv,fts_1_149_lab,fts_1_149_idns,fts_1_149_tot,fts_150_299_mng,fts_150_299_pro,fts_150_299_tectw,fts_150_299_copsw,fts_150_299_claw,fts_150_299_swks,fts_150_299_maopdv,fts_150_299_lab,fts_150_299_idns,fts_150_299_tot,fts_300_399_mng,fts_300_399_pro,fts_300_399_tectw,fts_300_399_copsw,fts_300_399_claw,fts_300_399_swks,fts_300_399_maopdv,fts_300_399_lab,fts_300_399_idns,fts_300_399_tot,fts_400_499_mng,fts_400_499_pro,fts_400_499_tectw,fts_400_499_copsw,fts_400_499_claw,fts_400_499_swks,fts_400_499_maopdv,fts_400_499_lab,fts_400_499_idns,fts_400_499_tot,fts_500_649_mng,fts_500_649_pro,fts_500_649_tectw,fts_500_649_copsw,fts_500_649_claw,fts_500_649_swks,fts_500_649_maopdv,fts_500_649_lab,fts_500_649_idns,fts_500_649_tot,fts_650_799_mng,fts_650_799_pro,fts_650_799_tectw,fts_650_799_copsw,fts_650_799_claw,fts_650_799_swks,fts_650_799_maopdv,fts_650_799_lab,fts_650_799_idns,fts_650_799_tot,fts_800_999_mng,fts_800_999_pro,fts_800_999_tectw,fts_800_999_copsw,fts_800_999_claw,fts_800_999_swks,fts_800_999_maopdv,fts_800_999_lab,fts_800_999_idns,fts_800_999_tot,fts_1000_1249_mng,fts_1000_1249_pro,fts_1000_1249_tectw,fts_1000_1249_copsw,fts_1000_1249_claw,fts_1000_1249_swks,fts_1000_1249_maopdv,fts_1000_1249_lab,fts_1000_1249_idns,fts_1000_1249_tot,fts_1250_1499_mng,fts_1250_1499_pro,fts_1250_1499_tectw,fts_1250_1499_copsw,fts_1250_1499_claw,fts_1250_1499_swks,fts_1250_1499_maopdv,fts_1250_1499_lab,fts_1250_1499_idns,fts_1250_1499_tot,fts_1500_1749_mng,fts_1500_1749_pro,fts_1500_1749_tectw,fts_1500_1749_copsw,fts_1500_1749_claw,fts_1500_1749_swks,fts_1500_1749_maopdv,fts_1500_1749_lab,fts_1500_1749_idns,fts_1500_1749_tot,fts_1750_1999_mng,fts_1750_1999_pro,fts_1750_1999_tectw,fts_1750_1999_copsw,fts_1750_1999_claw,fts_1750_1999_swks,fts_1750_1999_maopdv,fts_1750_1999_lab,fts_1750_1999_idns,fts_1750_1999_tot,fts_2000_2999_mng,fts_2000_2999_pro,fts_2000_2999_tectw,fts_2000_2999_copsw,fts_2000_2999_claw,fts_2000_2999_swks,fts_2000_2999_maopdv,fts_2000_2999_lab,fts_2000_2999_idns,fts_2000_2999_tot,fts_3000mo_mng,fts_3000mo_pro,fts_3000mo_tectw,fts_3000mo_copsw,fts_3000mo_claw,fts_3000mo_swks,fts_3000mo_maopdv,fts_3000mo_lab,fts_3000mo_idns,fts_3000mo_tot,fts_pins_mng,fts_pins_pro,fts_pins_tectw,fts_pins_copsw,fts_pins_claw,fts_pins_swks,fts_pins_maopdv,fts_pins_lab,fts_pins_idns,fts_pins_tot,fts_tot_mng,fts_tot_pro,fts_tot_tectw,fts_tot_copsw,fts_tot_claw,fts_tot_swks,fts_tot_maopdv,fts_tot_lab,fts_tot_idns,fts_tot_tot,pts_nni_mng,pts_nni_pro,pts_nni_tectw,pts_nni_copsw,pts_nni_claw,pts_nni_swks,pts_nni_maopdv,pts_nni_lab,pts_nni_idns,pts_nni_tot,pts_1_149_mng,pts_1_149_pro,pts_1_149_tectw,pts_1_149_copsw,pts_1_149_claw,pts_1_149_swks,pts_1_149_maopdv,pts_1_149_lab,pts_1_149_idns,pts_1_149_tot,pts_150_299_mng,pts_150_299_pro,pts_150_299_tectw,pts_150_299_copsw,pts_150_299_claw,pts_150_299_swks,pts_150_299_maopdv,pts_150_299_lab,pts_150_299_idns,pts_150_299_tot,pts_300_399_mng,pts_300_399_pro,pts_300_399_tectw,pts_300_399_copsw,pts_300_399_claw,pts_300_399_swks,pts_300_399_maopdv,pts_300_399_lab,pts_300_399_idns,pts_300_399_tot,gcc_name16
1RNSW,37,29,39,224,30,477,28,365,105,1341,176,523,435,4433,596,12845,436,6511,306,26258,104,369,255,2229,364,3975,235,1770,88,9390,72,221,174,1395,278,1377,116,597,30,4263,79,186,275,976,212,860,74,330,19,3007,80,185,297,841,215,586,49,194,14,2467,54,140,179,461,122,210,12,89,9,1275,53,105,126,199,85,58,11,43,6,679,16,62,51,70,36,26,4,15,3,287,0,37,19,27,8,3,0,4,0,96,4,12,3,11,7,9,0,0,0,45,0,3,3,3,3,0,0,0,0,11,0,0,0,4,0,3,0,0,0,12,0,3,3,9,0,11,3,12,0,42,13,23,37,163,33,458,8,203,115,1047,682,1892,1894,11046,1989,20887,984,10139,698,50216,7,4,10,19,10,18,3,10,10,92,8,37,53,186,37,296,23,177,9,830,17,54,183,410,76,482,43,276,15,1557,23,66,680,440,111,365,29,226,17,1964,Rest of NSW
1GSYD,52,165,85,484,170,871,48,430,213,2519,326,2757,826,8969,2201,18353,674,8037,537,42685,328,2246,783,6834,2608,10848,708,3685,383,28425,329,1305,746,4151,2012,5542,551,2171,250,17056,330,969,838,3059,1428,3659,377,1619,179,12451,337,947,741,2252,1295,2277,263,995,141,9239,230,676,447,1069,756,852,147,400,80,4653,217,426,242,508,466,336,69,178,57,2495,117,298,122,188,246,116,26,57,36,1212,48,123,32,85,85,29,6,19,8,445,27,50,15,36,28,27,9,10,4,204,11,23,3,11,13,14,0,3,0,76,3,11,3,14,14,15,0,3,0,76,3,9,5,22,21,37,6,17,3,122,21,115,68,342,136,606,33,220,300,1848,2381,10124,4950,28039,11485,43579,2936,17825,2196,123515,11,18,39,41,19,36,6,29,26,233,16,112,126,402,136,526,54,223,14,1616,49,192,386,825,277,974,82,407,51,3249,76,215,1086,831,325,820,96,421,72,3930,Greater Sydney
2RVIC,33,14,42,151,31,328,7,273,67,951,139,203,387,2751,391,8340,119,4452,198,16978,83,154,168,1346,220,2425,107,1126,65,5693,50,105,116,736,146,889,60,416,22,2545,45,73,156,564,117,502,49,240,12,1760,48,80,184,371,120,306,32,148,11,1292,28,55,123,191,57,94,19,49,13,631,32,50,72,92,42,32,7,23,4,353,6,24,39,41,15,19,4,8,3,161,4,13,9,8,0,3,0,0,0,33,0,0,0,7,6,3,0,0,0,23,0,3,0,0,0,3,0,0,0,6,3,0,0,0,0,3,0,0,0,7,0,5,3,3,0,22,0,4,3,42,16,14,30,112,14,284,10,157,72,711,489,786,1341,6373,1155,13249,422,6900,468,31185,3,0,6,7,6,3,0,5,6,41,10,8,63,104,13,168,6,98,12,481,16,25,127,178,39,233,17,129,11,769,23,27,323,176,50,174,7,113,4,906,Rest of Vic.
2GMEL,50,129,81,505,165,996,48,464,174,2622,427,2073,806,10376,2052,22843,602,9555,595,49322,416,1563,790,7199,2265,12354,654,4276,318,29836,355,899,786,3845,1543,5912,489,2493,173,16496,327,698,738,2495,1143,3522,376,1747,128,11177,316,676,615,1745,983,2106,256,955,97,7742,198,440,343,696,484,723,132,404,66,3484,132,283,197,371,314,246,76,146,29,1790,54,169,83,169,127,93,27,57,12,802,23,65,24,55,37,40,5,16,9,264,12,31,12,45,33,24,7,10,8,193,8,7,6,13,6,6,0,7,0,58,8,15,4,23,12,17,3,9,4,85,8,22,0,30,20,54,3,13,13,160,40,96,47,433,136,957,29,302,273,2319,2365,7166,4533,27999,9326,49899,2706,20459,1888,126345,5,9,32,50,17,36,3,25,19,201,29,75,111,416,108,640,48,295,37,1754,53,138,330,686,235,980,85,411,42,2960,58,130,798,610,231,743,88,354,44,3076,Greater Melbourne
3GBRI,23,55,44,220,69,362,30,222,87,1102,168,983,671,4874,1076,10652,427,5084,255,24195,159,818,445,3467,1136,5632,391,2167,140,14360,179,516,356,1964,911,2698,230,1081,66,8000,133,390,368,1427,760,1781,184,808,58,5909,161,444,377,1094,669,1091,136,459,30,4454,137,245,207,543,411,395,52,173,20,2193,72,191,131,193,240,131,28,77,11,1075,40,100,52,75,123,47,13,25,12,482,13,62,20,33,31,12,0,9,0,165,6,26,3,14,16,10,0,5,0,71,0,7,4,4,0,4,0,0,0,20,4,4,0,3,5,7,0,0,0,30,3,4,0,18,7,24,3,9,0,68,12,30,37,150,58,322,15,137,113,882,1106,3884,2713,14085,5505,23157,1507,10249,796,63007,3,7,8,14,11,16,3,19,11,77,9,29,54,195,49,272,28,141,13,804,17,71,118,369,103,487,49,232,15,1471,23,63,275,290,140,349,50,175,6,1368,Greater Brisbane
3RQLD,33,26,49,207,60,390,22,292,77,1153,157,451,790,4224,731,11711,337,5572,259,24246,88,296,314,1890,454,3981,207,1543,84,8847,90,178,197,1080,302,1506,117,584,22,4077,72,153,241,829,236,941,80,387,21,2966,76,162,331,709,253,616,46,271,15,2468,62,96,216,398,156,214,19,111,11,1283,47,100,95,161,94,64,13,34,5,615,13,61,59,64,49,21,7,23,0,297,3,26,22,27,8,11,0,7,0,105,0,11,12,12,5,6,0,6,0,58,0,10,6,5,4,3,3,0,0,28,3,10,8,0,0,0,0,0,0,21,0,0,5,5,5,16,0,11,3,48,8,21,41,154,28,379,11,182,106,934,661,1589,2389,9754,2397,19852,868,9025,610,47142,5,5,5,18,11,15,0,13,10,82,6,13,60,170,31,260,19,149,11,719,13,44,158,304,71,470,35,200,14,1309,21,44,311,300,103,344,29,164,15,1330,Rest of Qld
4RSAU,8,0,11,23,3,64,3,68,19,195,32,27,91,511,62,1473,51,1052,33,3335,6,19,30,170,26,412,18,232,9,923,6,9,14,88,12,93,5,54,3,290,4,5,20,69,18,65,7,35,4,217,4,4,28,64,16,47,3,26,7,194,8,5,16,25,5,14,0,11,0,81,3,9,9,26,3,3,0,4,0,61,0,10,0,11,4,3,0,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,0,0,20,4,49,0,35,7,127,77,86,227,1007,154,2229,97,1512,72,5466,3,0,0,0,0,0,0,0,0,12,5,0,17,24,3,36,4,43,0,123,0,6,34,38,10,43,4,45,0,183,7,0,68,48,20,28,0,29,3,202,Rest of SA
4GADE,8,17,24,119,26,198,10,139,31,571,107,401,181,2821,394,6295,203,3578,125,14107,83,301,176,2039,406,3468,205,1573,70,8315,67,177,141,1119,273,1454,107,652,29,4013,67,132,149,804,217,822,62,387,18,2658,64,134,123,533,168,418,35,169,21,1665,39,77,71,255,98,146,12,65,3,763,31,56,24,119,60,41,3,23,3,360,8,37,15,43,39,29,3,9,7,185,0,14,3,19,16,4,0,0,0,60,3,5,0,17,5,9,0,5,0,38,3,0,0,0,3,0,0,0,0,8,0,0,0,10,3,3,0,0,0,20,0,0,0,0,6,7,0,11,3,26,6,22,16,90,18,202,5,89,46,496,492,1368,918,7980,1725,13095,656,6702,355,33290,0,3,4,10,3,15,3,9,7,51,5,32,40,128,25,208,11,130,12,592,15,30,72,199,61,383,20,186,12,983,15,32,155,169,80,228,15,118,3,810,Greater Adelaide
5GPER,14,32,27,180,41,350,23,204,52,923,153,664,360,4200,617,9865,373,4629,216,21089,154,466,320,2803,673,4938,360,2011,93,11822,115,279,248,1613,440,2169,213,1072,54,6203,111,189,284,1081,356,1280,144,668,35,4147,97,178,268,772,295,749,103,349,23,2839,81,115,173,375,146,272,44,114,22,1334,51,71,71,159,92,92,23,72,16,643,21,67,40,86,60,37,13,17,4,355,6,42,10,40,15,13,0,6,3,128,3,20,4,19,16,7,3,7,3,80,0,0,3,3,4,7,0,0,0,22,0,3,4,7,0,7,3,3,0,32,0,0,3,13,10,11,3,7,4,56,9,26,27,141,33,288,15,142,77,763,821,2168,1834,11489,2804,20083,1326,9311,598,50425,0,6,12,14,8,11,3,24,4,77,5,37,44,212,47,338,35,168,9,895,19,61,108,360,98,599,49,255,13,1562,11,47,368,301,87,402,45,187,14,1463,Greater Perth
5RWAU,15,3,15,38,9,102,0,61,18,260,27,37,73,551,78,2182,46,931,53,3972,16,12,29,131,36,375,17,207,16,829,11,13,20,71,22,81,11,69,0,297,3,11,35,53,19,35,7,25,0,188,5,9,44,46,13,23,0,23,3,165,7,9,31,30,21,15,4,21,3,125,4,13,16,24,8,3,0,13,0,80,3,9,14,9,14,0,0,0,0,56,0,0,12,7,0,0,0,4,0,24,0,0,10,3,3,0,3,0,0,15,0,0,5,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,11,0,0,3,4,0,3,0,3,3,19,0,4,10,16,3,57,0,25,21,137,92,110,319,983,219,2875,87,1391,115,6187,3,0,0,3,0,0,0,4,0,11,0,3,17,23,3,44,5,28,0,134,3,4,29,39,16,53,5,20,3,171,3,11,117,42,19,37,0,25,0,253,Rest of WA
