gcc_name16,gcc_code16,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total
Greater Sydney,1GSYD,46035,16294,96022,934749,966678,408730,318303,990244,304996,3923700
Rest of NSW,1RNSW,30912,16371,71398,422909,562884,281560,227176,442687,221060,2158275
Greater Melbourne,2GMEL,42616,15248,89151,896253,928683,383944,291605,883168,281854,3665515
Rest of Vic.,2RVIC,17362,8447,38801,233274,302762,150975,125102,237930,123306,1173346
Greater Brisbane,3GBRI,16707,8340,38357,443640,502065,210175,156732,370520,143267,1826402
Rest of Qld,3RQLD,21072,10539,47131,407436,513182,237326,195837,394621,203864,1952257
Greater Adelaide,4GADE,16755,5178,34170,241880,298314,131554,91979,233704,72333,1069769
Rest of SA,4RSAU,4608,2072,10292,57305,80862,43098,35868,62354,31748,311230
Greater Perth,5GPER,14357,7516,34652,366095,416518,177897,143749,338079,131199,1573536
Rest of WA,5RWAU,3149,1678,7752,80637,104395,50015,45594,83545,54014,418207
Greater Hobart,6GHOB,2367,835,5275,39621,52163,23409,16089,36660,14315,182260
Rest of Tas.,6RTAS,3027,1239,6490,43814,60919,31885,26902,50535,22544,236592
Greater Darwin,7GDAR,302,111,626,24659,29042,10331,7406,22263,15605,109301
Rest of NT,7RNTE,144,65,310,15934,16669,6621,3887,12891,11703,67701
Australian Capital Territory,8ACTE,2194,1341,6155,82357,102080,39392,22602,53853,22141,322415
Other Territories,9OTER,20,9,51,622,888,365,299,762,781,3714
