gcc_code16,australia_m,australia_f,australia_p,canada_m,canada_f,canada_p,china_excl_sars_taiwan_m,china_excl_sars_taiwan_f,china_excl_sars_taiwan_p,croatia_m,croatia_f,croatia_p,egypt_m,egypt_f,egypt_p,fiji_m,fiji_f,fiji_p,germany_m,germany_f,germany_p,greece_m,greece_f,greece_p,hong_kong_sar_china_m,hong_kong_sar_china_f,hong_kong_sar_china_p,india_m,india_f,india_p,indonesia_m,indonesia_f,indonesia_p,iran_m,iran_f,iran_p,iraq_m,iraq_f,iraq_p,ireland_m,ireland_f,ireland_p,italy_m,italy_f,italy_p,japan_m,japan_f,japan_p,korea_republic_south_m,korea_republic_south_f,korea_republic_south_p,lebanon_m,lebanon_f,lebanon_p,malaysia_m,malaysia_f,malaysia_p,malta_m,malta_f,malta_p,netherlands_m,netherlands_f,netherlands_p,new_zealand_m,new_zealand_f,new_zealand_p,pakistan_m,pakistan_f,pakistan_p,philippines_m,philippines_f,philippines_p,poland_m,poland_f,poland_p,singapore_m,singapore_f,singapore_p,south_africa_m,south_africa_f,south_africa_p,sri_lanka_m,sri_lanka_f,sri_lanka_p,thailand_m,thailand_f,thailand_p,tfyrom_m,tfyrom_f,tfyrom_p,turkey_m,turkey_f,turkey_p,united_kingdom_ci_im_m,united_kingdom_ci_im_f,united_kingdom_ci_im_p,united_states_america_m,united_states_america_f,united_states_america_p,vietnam_m,vietnam_f,vietnam_p,zimbabwe_m,zimbabwe_f,zimbabwe_p,born_elsewhere_m,born_elsewhere_f,born_elsewhere_p,country_birth_not_stated_m,country_birth_not_stated_f,country_birth_not_stated_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,1058940,1085088,2144029,1646,2076,3723,4673,5011,9689,1338,1209,2555,728,544,1277,1147,1237,2382,5110,5905,11013,1276,1211,2490,875,888,1772,6920,5975,12893,689,1087,1774,730,556,1292,537,473,1011,2302,1990,4288,4859,4138,8997,452,1066,1519,1145,1169,2319,757,603,1359,1465,1756,3226,1155,1002,2158,3709,3746,7460,15182,15413,30589,1040,623,1662,3283,7963,11251,906,1225,2132,498,724,1221,3886,3917,7802,1164,1050,2210,935,2545,3486,2710,2684,5400,630,512,1140,45028,45860,90888,3377,3838,7216,1379,1647,3032,872,964,1845,22642,23242,45891,102934,104451,207378,6193,7537,13728,1313126,1350936,2664066,Rest of NSW
1GSYD,1361984,1382838,2744826,4497,5023,9519,98850,125727,224575,6294,6799,13095,9464,8948,18404,14462,16997,31457,8641,9767,18408,12733,14294,27022,19362,21129,40496,69938,60570,130503,13547,16405,29951,11809,9944,21748,20026,19235,39257,10653,9027,19676,20855,19540,40392,4081,8375,12453,23001,26446,49445,28856,27122,55981,13236,15204,28436,6106,6166,12277,4831,4581,9418,43590,42731,86325,13703,9153,22858,30970,44506,75476,4893,6395,11293,5300,6208,11506,17299,17862,35167,13894,12659,26553,7975,15232,23208,5470,5614,11090,5991,5662,11654,94041,85197,179240,11149,11602,22749,36309,44800,81102,2320,2349,4667,167117,168220,335338,149927,149898,299832,36364,45483,81846,2409538,2487728,4897269,Greater Sydney
2RVIC,561417,580593,1142013,638,794,1431,2146,2389,4534,1137,1146,2286,353,241,590,356,389,747,2777,3131,5905,868,752,1617,398,403,799,4763,3890,8648,281,521,807,486,401,893,503,424,926,1189,1071,2259,3707,3352,7055,191,440,630,371,335,705,178,112,285,1183,1257,2438,893,690,1578,3447,3382,6831,7020,7031,14057,646,427,1071,1931,4176,6110,496,625,1124,313,393,711,1477,1529,3008,980,835,1811,727,1334,2064,450,432,883,468,387,854,22220,23590,45807,1378,1531,2905,845,840,1684,320,336,659,11706,11771,23479,56052,58653,114700,3501,4212,7717,697830,723790,1421625,Rest of Vic.
2GMEL,1313143,1353426,2666575,3389,4089,7477,67768,88286,156056,6342,6777,13116,6288,6334,12618,4627,5444,10072,9493,10429,19916,21417,24029,45451,9866,11007,20872,87577,73380,160955,7462,9527,16994,8616,7140,15757,9058,8644,17705,6855,6348,13204,30892,32022,62914,2444,5437,7879,6424,7694,14112,8470,7934,16405,21994,25485,47480,7908,8236,16145,6154,6092,12246,39152,39527,78681,12709,7338,20046,18205,26927,45134,5668,7803,13471,6950,8382,15334,11769,12325,24093,28007,25907,53915,4726,9187,13912,8238,8490,16731,7589,7293,14883,81643,79190,160832,8114,8603,16721,35157,43882,79041,1917,2087,4012,133151,137983,271140,135549,141254,276807,27943,37432,65378,2212679,2311375,4524054,Greater Melbourne
3GBRI,754480,775019,1529500,2436,2705,5139,15436,20726,36165,983,962,1936,716,585,1300,4327,5088,9419,4394,4702,9097,1180,1057,2238,3913,4174,8083,19244,16059,35304,1816,2825,4642,2743,2300,5041,1098,921,2013,3622,3151,6774,3448,2968,6411,1560,3490,5048,5785,6396,12177,540,434,974,4804,5889,10694,492,457,947,3384,3191,6581,52473,52631,105101,2051,1455,3501,7152,13550,20700,1290,1686,2971,2144,2597,4740,10794,11048,21845,3611,3453,7067,1668,3758,5426,308,340,650,517,348,860,55025,52169,107190,4422,4427,8845,7470,9267,16740,2314,2291,4603,52574,56969,109544,64531,68053,132583,12921,17236,30161,1117652,1164374,2282025,Greater Brisbane
3RQLD,920175,931734,1851908,2566,3182,5749,4686,6566,11252,871,812,1686,695,553,1251,1449,1737,3185,5688,6195,11881,688,565,1248,1234,1460,2696,7707,6296,14000,1038,1685,2722,810,671,1476,434,399,834,2483,2235,4715,4099,3138,7232,2322,5071,7392,2982,3166,6150,264,201,468,1831,2413,4247,906,815,1716,4223,4018,8242,47035,48768,95802,710,475,1183,5798,13142,18937,935,1258,2196,868,1121,1994,9078,9278,18355,1465,1273,2739,1199,3359,4555,167,162,330,374,269,641,55429,56137,111561,3970,4346,8318,1219,1647,2868,2127,2133,4254,30021,33033,63054,113246,106658,219904,23979,29416,53393,1264746,1295406,2560149,Rest of Qld
4RSAU,155203,150358,305561,117,155,271,333,357,687,202,126,326,33,30,59,69,75,150,868,975,1839,346,306,654,63,70,138,711,614,1325,53,99,156,50,21,71,14,10,18,222,194,412,648,501,1152,33,77,110,72,85,157,26,20,45,140,164,307,63,69,125,846,837,1682,1657,1448,3102,112,68,181,784,1486,2275,100,113,215,34,51,87,520,509,1028,170,110,281,133,286,426,12,8,19,46,38,85,9371,10069,19441,288,315,603,208,192,400,168,163,330,2671,2155,4826,15262,14164,29420,1252,1189,2443,192886,187513,380395,Rest of SA
4GADE,430238,447140,877386,937,999,1930,10734,13090,23823,1241,1281,2522,729,662,1395,490,560,1048,3743,4376,8120,3816,4180,7999,1761,1682,3439,13878,12372,26252,859,1124,1984,2368,2070,4434,802,654,1454,1483,1388,2871,8458,8822,17282,438,979,1417,1601,1902,3505,760,730,1491,3343,4074,7425,631,650,1279,2320,2444,4765,5010,4854,9861,1836,1426,3262,3744,6380,10131,2040,2677,4720,1099,1292,2390,2675,2910,5582,1852,1667,3521,799,1623,2424,181,188,365,275,233,515,45689,48292,93979,1866,1875,3744,6289,7605,13896,543,607,1153,28876,29666,58539,32229,34117,66349,5054,6840,11901,630696,663454,1294150,Greater Adelaide
5GPER,543400,556756,1100156,2047,2489,4537,11773,14027,25793,2123,2146,4269,1080,992,2072,433,532,960,3935,4642,8579,1042,1112,2155,2799,3031,5829,24433,21973,46407,4183,6322,10506,2941,2610,5548,1778,1546,3322,8049,7599,15650,9027,8340,17367,1187,2763,3951,3024,3264,6282,557,464,1020,12805,15251,28059,400,378,783,3537,3599,7141,30404,28795,59204,3122,1981,5098,10455,13854,24312,2175,2902,5080,6457,7880,14339,16770,17852,34627,3807,3412,7226,1872,4675,6551,1436,1481,2915,629,505,1134,98663,99132,197796,3945,3848,7795,6718,8357,15079,4539,4894,9439,49452,52345,101804,58563,60387,118954,10026,13844,23867,949606,985993,1935603,Greater Perth
5RWAU,210457,190192,400653,402,498,896,715,528,1242,173,117,291,101,43,150,218,159,379,1112,1332,2451,96,54,157,144,157,300,1685,1228,2918,331,520,850,179,66,243,69,38,105,1400,928,2321,1048,792,1838,117,233,353,361,240,592,55,24,74,533,501,1033,86,51,134,1077,1002,2075,11720,8439,20157,196,131,324,3124,3404,6529,232,262,497,293,308,600,3306,2931,6242,345,216,559,300,950,1245,81,46,129,48,14,69,18163,16689,34856,791,736,1529,387,368,750,1231,940,2173,5685,4689,10375,38678,27422,66102,3464,3449,6917,308425,269694,578119,Rest of WA
6GHOB,85543,90256,175799,210,217,429,1073,1324,2401,89,76,165,37,25,62,51,81,133,476,543,1020,200,195,393,153,147,301,656,606,1262,73,99,176,160,145,311,35,35,67,164,177,345,277,225,504,86,185,273,177,200,374,28,24,47,343,478,822,27,20,45,372,383,750,937,1025,1959,146,88,237,192,518,713,143,224,364,134,207,345,401,412,819,92,96,192,121,257,374,4,4,8,16,18,34,4644,4548,9193,423,430,850,108,148,262,77,71,145,2464,2566,5032,6491,6919,13410,687,917,1607,107337,113888,221225,Greater Hobart
6RTAS,112846,116464,229307,179,212,387,283,367,655,51,24,75,41,29,75,60,59,119,502,546,1048,47,30,79,81,80,161,402,324,725,63,108,170,129,129,262,15,10,31,172,156,329,191,137,333,49,95,136,105,121,223,16,14,23,288,303,593,42,23,69,668,647,1314,1495,1486,2983,64,45,110,165,743,907,96,108,202,115,114,234,334,375,708,101,100,199,50,185,239,6,8,12,25,10,35,6223,6162,12389,378,380,750,55,92,154,75,73,146,2047,2076,4121,10653,10935,21589,661,655,1321,138774,143432,282210,Rest of Tas.
7RNTE,39961,38382,78348,57,63,120,69,78,148,10,7,11,9,3,13,108,86,197,175,212,387,28,8,34,30,42,71,482,435,922,33,59,93,15,8,26,20,3,22,92,80,171,98,69,164,19,57,76,48,45,102,4,3,6,43,60,105,15,8,19,125,116,239,985,965,1946,24,14,42,364,595,966,15,22,36,29,21,50,159,149,308,71,66,138,34,118,149,10,7,15,3,3,9,1189,1064,2255,435,366,799,84,87,170,140,129,269,946,854,1800,6614,5711,12326,1987,2085,4066,54525,52107,106637,Rest of NT
7GDAR,48986,43019,92004,126,142,268,466,616,1077,35,13,44,26,32,53,111,131,237,318,374,692,710,522,1233,107,120,231,1514,1214,2731,341,678,1020,77,55,130,14,3,17,567,406,975,235,174,409,216,180,393,167,155,320,38,10,47,290,353,648,22,19,33,179,155,338,1810,1358,3171,199,110,312,2213,2766,4979,49,47,103,129,158,287,421,305,724,335,312,646,235,588,822,10,4,13,29,16,39,3190,2672,5858,250,225,473,335,441,770,222,220,437,3784,3568,7355,10419,7984,18400,3047,1789,4838,81220,70926,152145,Greater Darwin
8ACTE,133363,134972,268332,522,619,1142,5089,6236,11328,627,665,1293,241,208,449,418,481,903,1003,1170,2174,459,503,964,830,835,1670,5430,5026,10451,549,749,1298,464,384,843,307,241,545,436,410,844,990,936,1926,229,549,785,1073,1221,2288,206,186,395,1126,1319,2445,131,138,276,480,541,1021,2418,2335,4753,1138,855,1996,1502,2310,3809,404,543,946,500,525,1024,1005,1039,2041,1371,1411,2779,436,867,1307,193,209,401,128,98,230,7941,7539,15478,1348,1427,2772,1455,1874,3324,298,323,627,9902,10528,20434,11409,11039,22450,2095,2780,4874,197519,203110,400628,Australian Capital Territory
9OTER,1498,1375,2869,3,5,9,15,9,24,0,0,0,5,0,3,24,28,56,10,6,12,0,0,0,5,3,13,9,3,13,7,12,13,32,0,34,15,0,11,4,0,8,3,0,3,3,0,3,0,0,0,6,0,6,199,183,384,4,0,4,3,7,11,188,201,386,9,0,9,24,39,66,0,0,0,33,15,44,22,15,35,3,0,3,10,10,25,7,0,7,0,0,0,112,84,193,5,6,15,26,3,24,4,0,3,106,34,139,407,331,739,62,55,117,2854,2435,5288,Other Territories
