gcc_name16,gcc_code16,indigenous_aboriginal_m,indigenous_aboriginal_f,indigenous_aboriginal_p,indigenous_torres_strait_is_m,indigenous_torres_strait_is_f,indigenous_torres_strait_is_p,indig_bth_abor_torr_strt_is_m,indig_bth_abor_torr_strt_is_f,indig_bth_abor_torr_strt_is_p,indigenous_totm,indigenous_totf,indigenous_totp,non_indig_m,non_indig_f,non_indig_p,indigenous_status_nsm,indigenous_status_nsf,indigenous_status_nsp,tot_m,tot_f,tot_p
Other Territories,9OTER,100,110,212,4,3,13,0,0,3,110,115,226,2076,1762,3838,249,212,455,2432,2090,4523
Australian Capital Territory,8ACTE,3075,3036,6107,88,92,183,91,93,184,3250,3220,6476,181940,188355,370297,10238,9853,20084,195432,201425,396857
Rest of NT,7RNTE,22060,22533,44595,117,109,226,373,391,764,22547,23040,45590,18493,17373,35862,4252,3743,7998,45287,44157,89443
Greater Darwin,7GDAR,5448,5080,10533,278,235,509,466,459,923,6186,5771,11960,57280,52724,110004,8420,6442,14862,71889,64939,136828
Rest of Tas.,6RTAS,6735,7065,13802,342,317,662,241,276,520,7319,7662,14983,124277,128569,252850,9383,9412,18791,140977,145646,286627
Greater Hobart,6GHOB,3817,3898,7715,231,222,451,178,193,367,4225,4309,8534,97589,103875,201462,6113,6238,12351,107930,114422,222356
Rest of WA,5RWAU,21135,21396,42537,365,322,686,474,473,944,21977,22198,44169,222160,209496,431657,26799,21536,48341,270936,253230,524167
Greater Perth,5GPER,14970,14849,29824,394,336,728,331,332,664,15704,15518,31214,889811,911224,1801031,58028,53585,111612,963536,980326,1943858
Rest of SA,4RSAU,7512,7520,15030,148,141,286,108,103,207,7770,7755,15530,170028,168067,338096,12565,11879,24445,190368,187706,378074
Greater Adelaide,4GADE,8450,8888,17339,324,321,645,201,214,416,8977,9426,18403,594606,622014,1216624,30307,30379,60689,633888,661823,1295714
Rest of Qld,3RQLD,49349,50872,100222,8810,8948,17756,6712,6825,13543,64873,66649,131520,1038999,1068880,2107878,93554,86775,180324,1197426,1222294,2419724
Greater Brisbane,3GBRI,23729,24307,48040,1661,1559,3226,1418,1477,2894,26813,27347,54158,1028414,1064716,2093128,62232,61288,123517,1117452,1153351,2270800
Rest of Vic.,2RVIC,10799,11240,22032,436,422,861,297,259,551,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818
Greater Melbourne,2GMEL,11065,11247,22309,589,562,1154,282,327,604,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211
Rest of NSW,1RNSW,69159,70314,139473,1508,1376,2880,1437,1390,2830,72102,73085,145189,1141623,1181290,2322911,87991,87447,175436,1301717,1341813,2643536
Greater Sydney,1GSYD,33165,33816,66978,962,968,1928,591,634,1221,34716,35419,70135,2211230,2282264,4493490,130823,129540,260364,2376766,2447221,4823991
