gccsa_code16,gccsa_name16,num_multiple_job_holder_000_males,num_multiple_job_holder_000_females,num_multiple_job_holder_000_persons,median_income_multiple_job_holder_aud_males,median_income_multiple_job_holder_aud_females,median_income_multiple_job_holder_aud_persons
1GSYD,Greater Sydney,184.75,226.074,410.82300000000004,45124,38243,41064
1RNSW,Rest of NSW,97.023,124.26899999999999,221.28799999999998,43321,33448,37230
2GMEL,Greater Melbourne,166.078,203.821,369.903,43103,33826,37468
2RVIC,Rest of Vic.,52.111000000000004,68.346,120.454,41089,30079,34132
3GBRI,Greater Brisbane,88.54,98.075,186.615,45237,34295,38857
3RQLD,Rest of Qld,98.05,109.40700000000001,207.457,46172,31967,37463
4GADE,Greater Adelaide,46.401,57.095,103.499,45644,35674,39740
4RSAU,Rest of SA,14.243,16.418,30.653000000000002,40809,31021,35004
5GPER,Greater Perth,91.376,94.184,185.558,52950,34013,41626
5RWAU,Rest of WA,22.697,25.659000000000002,48.355,50333,31631,38149
6GHOB,Greater Hobart,8.408999999999999,10.949000000000002,19.357,41761,35262,37864
6RTAS,Rest of Tas.,11.023,13.219000000000001,24.241999999999997,41114,30689,34824
7GDAR,Greater Darwin,9.132,9.127,18.26,52477,40725,46064
7RNTE,Rest of NT,3.445,4.078,7.528,40453,37451,38829
8ACTE,Australian Capital Territory,15.933,18.402,34.335,47540,38013,42035
