gcc_name16,gcc_code16,p_1000_1249_15_19_yrs,p_1000_1249_20_24_yrs,p_1000_1249_25_34_yrs,p_1000_1249_35_44_yrs,p_1000_1249_45_54_yrs,p_1000_1249_55_64_yrs,p_1000_1249_65_74_yrs,p_1000_1249_75_84_yrs,p_1000_1249_85ov,p_1000_1249_tot,p_1250_1499_15_19_yrs,p_1250_1499_20_24_yrs,p_1250_1499_25_34_yrs,p_1250_1499_35_44_yrs,p_1250_1499_45_54_yrs,p_1250_1499_55_64_yrs,p_1250_1499_65_74_yrs,p_1250_1499_75_84_yrs,p_1250_1499_85ov,p_1250_1499_tot,p_1500_1749_15_19_yrs,p_1500_1749_20_24_yrs,p_1500_1749_25_34_yrs,p_1500_1749_35_44_yrs,p_1500_1749_45_54_yrs,p_1500_1749_55_64_yrs,p_1500_1749_65_74_yrs,p_1500_1749_75_84_yrs,p_1500_1749_85ov,p_1500_1749_tot,p_1750_1999_15_19_yrs,p_1750_1999_20_24_yrs,p_1750_1999_25_34_yrs,p_1750_1999_35_44_yrs,p_1750_1999_45_54_yrs,p_1750_1999_55_64_yrs,p_1750_1999_65_74_yrs,p_1750_1999_75_84_yrs,p_1750_1999_85ov,p_1750_1999_tot,p_2000_2999_15_19_yrs,p_2000_2999_20_24_yrs,p_2000_2999_25_34_yrs,p_2000_2999_35_44_yrs,p_2000_2999_45_54_yrs,p_2000_2999_55_64_yrs,p_2000_2999_65_74_yrs,p_2000_2999_75_84_yrs,p_2000_2999_85ov,p_2000_2999_tot,p_3000_more_15_19_yrs,p_3000_more_20_24_yrs,p_3000_more_25_34_yrs,p_3000_more_35_44_yrs,p_3000_more_45_54_yrs,p_3000_more_55_64_yrs,p_3000_more_65_74_yrs,p_3000_more_75_84_yrs,p_3000_more_85ov,p_3000_more_tot,p_pi_ns_15_19_yrs,p_pi_ns_ns_20_24_yrs,p_pi_ns_ns_25_34_yrs,p_pi_ns_ns_35_44_yrs,p_pi_ns_ns_45_54_yrs,p_pi_ns_ns_55_64_yrs,p_pi_ns_ns_65_74_yrs,p_pi_ns_ns_75_84_yrs,p_pi_ns_ns_85_yrs_ovr,p_pi_ns_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
Rest of NSW,1RNSW,598,9885,34390,31976,35510,31446,14069,4623,1684,164187,180,4091,23574,22574,24070,19672,6560,1697,573,102984,76,1731,17307,20501,21980,16606,4486,1114,437,84232,26,753,10120,16006,17000,12435,2745,718,307,60118,48,634,12177,22899,23801,15720,3642,1036,371,80335,194,406,3468,9521,11527,8767,3414,1335,547,39180,18213,13377,25858,25307,29686,32067,32260,25551,17377,219694,159525,147560,290388,304924,348557,363959,303231,168736,71398,2158275
Greater Sydney,1GSYD,1123,26545,99173,68522,61634,47890,20526,6133,2531,334078,369,11575,74631,55216,46483,32827,12353,3154,1214,237823,194,4703,60532,53661,44062,29789,9518,2552,1071,206078,122,1722,37821,43289,34749,22373,6363,1651,704,148798,114,1359,52294,79624,59407,34886,9755,2563,1004,241007,272,787,18236,57731,55247,29450,10005,3190,1440,176348,22614,26991,63830,49578,43228,36617,31707,24775,20723,320057,288362,340737,774405,696037,627580,524011,372488,204051,96022,3923700
Rest of Vic.,2RVIC,278,5339,19772,17773,20509,17553,6942,2272,1022,91472,78,1913,13220,12971,13795,10777,3415,852,300,57323,30,778,8425,10852,11915,9085,2186,615,230,44117,19,287,4470,7373,8389,6082,1392,357,167,28530,25,227,4548,9123,10412,7274,1783,533,188,34102,121,242,1628,4250,5530,4282,1757,710,293,18810,10483,7157,14061,14228,16962,18511,18659,13793,8643,122492,86967,79529,157001,165539,192122,199728,164829,88833,38801,1173346
Greater Melbourne,2GMEL,775,20264,98050,66304,60763,44233,17208,5386,2265,315238,228,7506,70908,52978,44971,30257,10002,2621,1116,220585,184,2935,51414,49462,41459,26614,7612,2009,888,182581,82,1196,29036,37211,30826,19209,5009,1324,582,124478,145,1055,37189,61325,48631,27806,7486,2041,872,186559,255,799,11535,39365,39895,21764,7718,2515,1125,124973,22384,25235,56636,44370,40962,34952,31544,24941,18302,299327,269015,333367,730345,639084,587317,476902,344283,196050,89151,3665515
Greater Brisbane,3GBRI,625,13197,45382,35763,33207,23889,8862,2395,924,164243,211,5721,32947,27832,24743,16097,4827,1072,361,113807,112,2200,25093,27237,24090,14947,3440,727,282,98129,40,878,14391,18992,16823,9700,2175,482,167,63652,43,670,17779,30129,26692,14083,3026,732,285,93445,126,344,5504,17387,18560,9962,2984,940,370,56162,11450,13207,26953,22161,20875,17472,15090,10982,9097,147292,146581,170741,343233,317932,299059,244790,178208,87505,38357,1826402
Rest of Qld,3RQLD,788,11107,35349,33049,34972,26914,10808,3177,1127,157288,250,5210,24118,23990,24186,17219,5418,1270,393,102054,118,2366,17965,22172,23143,15383,3807,936,290,86180,67,1161,10622,14881,15257,9958,2436,592,214,55202,59,1165,14782,21996,22408,13222,3213,825,252,77931,163,464,4961,11020,12153,8080,3148,1103,361,41446,16405,15093,30397,28449,31117,29301,26035,17602,11434,205826,149284,144979,301158,308690,330959,305688,242444,121922,47131,1952257
Rest of SA,4RSAU,98,1280,4345,4472,5486,5009,1972,606,232,23504,27,638,2842,2858,3581,2912,935,181,64,14038,18,242,2067,2447,2958,2457,597,179,52,11011,10,124,1178,1736,2073,1646,394,70,32,7261,4,112,1394,2177,2549,1815,462,122,48,8680,26,57,401,902,1086,984,457,152,78,4138,2547,1699,3721,3661,4536,4892,4757,3249,2370,31438,21132,18193,39251,41789,52332,55791,47762,24701,10292,311230
Greater Adelaide,4GADE,171,5202,23322,19321,20081,15897,6404,1880,933,93218,66,2013,15608,13952,13703,9940,3409,781,349,59826,34,740,11431,12893,12327,9035,2316,541,286,49605,29,228,6104,9077,9129,6505,1565,375,178,33193,24,238,6066,12146,12691,8159,2003,511,216,42059,86,165,1720,5606,7155,5030,1993,680,365,22799,5687,5358,11145,9664,10261,9549,8926,7334,5951,73880,79385,89535,178301,167253,174077,157723,120817,68502,34170,1069769
Greater Perth,5GPER,477,10561,37467,26460,26256,20365,8149,2320,971,133028,140,5489,28837,21885,20665,14582,4722,1005,363,97683,70,2525,24241,21084,19987,13381,3524,767,261,85843,31,1142,16028,17037,15859,10425,2475,493,206,63701,35,1257,23250,30865,28794,17265,3715,797,281,106259,90,486,8300,20246,21431,12134,3382,968,344,67382,9382,10967,26688,20668,19036,15814,13539,11130,8531,135758,120129,133434,306680,272610,258693,212965,152368,82007,34652,1573536
Rest of WA,5RWAU,267,2272,6518,6289,6927,5756,2216,620,212,31080,95,1317,4876,4901,5253,3901,1194,291,73,21906,59,895,4510,4621,5130,3804,927,201,62,20209,36,585,3657,4035,4254,3059,583,144,43,16403,38,790,7034,8121,8044,4944,916,185,50,30115,46,285,3413,4718,4528,2774,817,206,60,16842,4330,3412,9769,8862,9034,7856,5671,3577,1978,54492,29712,26382,71057,71401,75202,68053,46655,21993,7752,418207
