gcc_code16,m_emp_wrk_ft_15_19,m_emp_wrk_ft_20_24,m_emp_wrk_ft_25_34,m_emp_wrk_ft_35_44,m_emp_wrk_ft_45_54,m_emp_wrk_ft_55_64,m_emp_wrk_ft_65_74,m_emp_wrk_ft_75_84,m_emp_wrk_ft_85,m_emp_wrk_ft_tot,m_emp_wrk_pt_15_19,m_emp_wrk_pt_20_24,m_emp_wrk_pt_25_34,m_emp_wrk_pt_35_44,m_emp_wrk_pt_45_54,m_emp_wrk_pt_55_64,m_emp_wrk_pt_65_74,m_emp_wrk_pt_75_84,m_emp_wrk_pt_85,m_emp_wrk_pt_tot,m_emp_a_f_wrk_15_19,m_emp_a_f_wrk_20_24,m_emp_a_f_wrk_25_34,m_emp_a_f_wrk_35_44,m_emp_a_f_wrk_45_54,m_emp_a_f_wrk_55_64,m_emp_a_f_wrk_65_74,m_emp_a_f_wrk_75_84,m_emp_a_f_wrk_85,m_emp_a_f_wrk_tot,m_hr_wrk_ns_15_19,m_hr_wrk_ns_20_24,m_hr_wrk_ns_25_34,m_hr_wrk_ns_35_44,m_hr_wrk_ns_45_54,m_hr_wrk_ns_55_64,m_hr_wrk_ns_65_74,m_hr_wrk_ns_75_84,m_hr_wrk_ns_85,m_hr_wrk_ns_tot,m_tot_emp_15_19,m_tot_emp_20_24,m_tot_emp_25_34,m_tot_emp_35_44,m_tot_emp_45_54,m_tot_emp_55_64,m_tot_emp_65_74,m_tot_emp_75_84,m_tot_emp_85_over,m_tot_emp_tot,m_ue_lk_fr_ft_wrk_15_19,m_ue_lk_fr_ft_wrk_20_24,m_ue_lk_fr_ft_wrk_25_34,m_ue_lk_fr_ft_wrk_35_44,m_ue_lk_fr_ft_wrk_45_54,m_ue_lk_fr_ft_wrk_55_64,m_ue_lk_fr_ft_wrk_65_74,m_ue_lk_fr_ft_wrk_75_84,m_ue_lk_for_ft_wrk_85,m_ue_looking_for_ft_wk_tot,m_ue_lk_for_pt_wk_15_19,m_ue_lk_for_pt_wk_20_24,m_ue_lk_for_pt_wk_25_34,m_ue_lk_for_pt_wk_35_44,m_ue_lk_for_pt_wk_45_54,m_ue_lk_for_pt_wk_55_64,m_ue_lk_for_pt_wk_65_74,m_ue_lk_for_pt_wk_75_84,m_ue_looking_for_pt_wk_85,m_ue_lk_for_pt_wrk_tot,m_tot_unemp_15_19,m_tot_unemp_20_24,m_tot_unemp_25_34,m_tot_unemp_35_44,m_tot_unemp_45_54,m_tot_unemp_55_64,m_tot_unemp_65_74,m_tot_unemp_75_84,m_tot_unemp_85,m_tot_unemp_total,m_tot_lf_15_19_yr,m_tot_lf_20_24_yr,m_tot_lf_25_34_yr,m_tot_lf_35_44_yr,m_tot_lf_45_54_yr,m_tot_lf_55_64_yr,m_tot_lf_65_74_yr,m_tot_lf_75_84_yr,m_tot_lf_85,m_tot_lf_tot,m_n_the_lf_15_19,m_n_the_lf_20_24,m_n_the_lf_25_34,m_n_the_lf_35_44,m_n_the_lf_45_54,m_n_the_lf_55_64,m_n_the_lf_65_74,m_n_the_lf_75_84,m_n_the_lf_85,m_n_the_lf_tot,m_lf_st_ns_15_19,m_lf_st_ns_20_24,m_lf_st_ns_25_34,m_lf_st_ns_35_44,m_lf_st_ns_45_54,m_lf_st_ns_55_64,m_lf_st_ns_65_74,m_lf_st_ns_75_84,m_lf_st_ns_85,m_lf_st_ns_total,m_tot_15_19_yr,m_tot_20_24_yr,m_tot_25_34_yr,m_tot_35_44_yr,m_tot_45_54_yr,m_tot_55_64_yr,m_tot_65_74_yr,m_tot_75_84_yr,m_tot_85_yr_over,m_tot_tot,f_emp_wrk_ft_15_19,f_emp_wrk_ft_20_24,f_emp_wrk_ft_25_34,f_emp_wrk_ft_35_44,f_emp_wrk_ft_45_54,f_emp_wrk_ft_55_64,f_emp_wrk_ft_65_74,f_emp_wrk_ft_75_84,f_emp_wrk_ft_85,f_emp_wrk_ft_tot,f_emp_wrk_pt_15_19,f_emp_wrk_pt_20_24,f_emp_wrk_pt_25_34,f_emp_wrk_pt_35_44,f_emp_wrk_pt_45_54,f_emp_wrk_pt_55_64,f_emp_wrk_pt_65_74,f_emp_wrk_pt_75_84,f_emp_wrk_pt_85,f_emp_wrk_pt_tot,f_emp_a_f_wrk_15_19,f_emp_a_f_wrk_20_24,f_emp_a_f_wrk_25_34,f_emp_a_f_wrk_35_44,f_emp_a_f_wrk_45_54,f_emp_a_f_wrk_55_64,f_emp_a_f_wrk_65_74,f_emp_a_f_wrk_75_84,f_emp_a_f_wrk_85,f_emp_a_f_wrk_tot,f_hr_wrk_ns_15_19,f_hr_wrk_ns_20_24,f_hr_wrk_ns_25_34,f_hr_wrk_ns_35_44,f_hr_wrk_ns_45_54,f_hr_wrk_ns_55_64,f_hr_wrk_ns_65_74,f_hr_wrk_ns_75_84,f_hr_wrk_ns_85,f_hr_wrk_ns_tot,f_tot_emp_15_19,f_tot_emp_20_24,f_tot_emp_25_34,f_tot_emp_35_44,f_tot_emp_45_54,f_tot_emp_55_64,f_tot_emp_65_74,f_tot_emp_75_84,f_tot_emp_85_over,f_tot_emp_tot,f_ue_lk_fr_ft_wrk_15_19,f_ue_lk_fr_ft_wrk_20_24,f_ue_lk_fr_ft_wrk_25_34,f_ue_lk_fr_ft_wrk_35_44,f_ue_lk_fr_ft_wrk_45_54,f_ue_lk_fr_ft_wrk_55_64,f_ue_lk_fr_ft_wrk_65_74,f_ue_lk_fr_ft_wrk_75_84,f_ue_lk_for_ft_wrk_85,f_ue_looking_for_ft_wk_tot,f_ue_lk_for_pt_wk_15_19,f_ue_lk_for_pt_wk_20_24,f_ue_lk_for_pt_wk_25_34,f_ue_lk_for_pt_wk_35_44,f_ue_lk_for_pt_wk_45_54,f_ue_lk_for_pt_wk_55_64,f_ue_lk_for_pt_wk_65_74,f_ue_lk_for_pt_wk_75_84,f_ue_looking_for_pt_wk_85,f_ue_lk_for_pt_wrk_tot,f_tot_unemp_15_19,f_tot_unemp_20_24,f_tot_unemp_25_34,f_tot_unemp_35_44,f_tot_unemp_45_54,f_tot_unemp_55_64,f_tot_unemp_65_74,f_tot_unemp_75_84,f_tot_unemp_85,f_tot_unemp_total,gcc_name16
1RNSW,11329,32863,88169,95634,101840,73726,14790,2156,332,420840,18637,15071,17182,15295,18624,23935,12858,2526,325,124446,1205,1354,2901,2755,3547,4386,1398,257,61,17861,1063,1567,2373,2176,2284,1732,814,387,114,12515,32236,50848,110626,115847,126295,103783,29863,5331,830,575663,3383,5220,6103,5142,5371,4609,283,44,21,30172,4204,2335,1671,1151,1346,2083,556,64,13,13423,7589,7556,7778,6291,6716,6699,835,114,28,43595,39818,58405,118401,122142,133008,110479,30695,5444,862,619258,37587,12920,16469,17566,25408,55149,107352,65031,21718,359194,4640,5277,10089,9949,11828,12780,11897,7976,3903,78342,82041,76614,144962,149653,170245,178403,149940,78453,26478,1056792,4872,20984,47843,49143,64067,41705,5931,682,110,235333,26673,22672,42272,55461,57041,46873,12191,1331,182,264705,1462,1892,7222,4255,3732,4529,1182,159,29,24460,1068,1083,1527,1626,1764,1427,625,347,113,9583,34081,46632,98865,110483,126598,94535,19929,2515,438,534081,2093,2721,3372,3080,3224,1885,79,17,11,16488,4543,2626,3307,3157,2712,2321,264,25,14,18963,6642,5346,6678,6234,5937,4205,342,39,23,35453,Rest of NSW
1GSYD,12907,58423,239519,241792,204099,125647,23960,1754,237,908342,29872,44774,48811,32445,31448,32840,19413,3477,384,243462,1702,2258,5146,4625,4148,4358,1570,236,48,24087,1458,3446,7260,5404,4650,2821,841,227,72,26174,45940,108904,300737,284270,244347,165663,45784,5690,747,1202063,3032,7065,11983,9275,8575,6432,629,54,15,47055,8344,7250,4602,2168,2182,3097,955,120,11,28726,11375,14314,16580,11444,10751,9531,1585,176,25,75780,57310,123220,317313,295707,255095,175199,47368,5866,768,1277844,84046,38292,37149,27904,34923,63098,119126,78551,30338,513428,6892,10836,27011,20995,18282,14544,10790,7018,3919,120281,148246,172342,381478,344609,308304,252832,177286,91431,35022,1911551,6372,47906,170391,131784,127913,73877,10221,518,87,569075,40344,51979,79348,97600,86208,61439,19136,1924,202,438169,2029,2925,14367,9395,4664,4567,1411,156,24,39538,1317,2664,4858,3485,3236,2067,662,206,89,18586,50057,105473,268970,242264,222017,141950,31428,2810,399,1065360,2006,4482,8681,6039,5736,3276,148,36,16,30416,8730,6721,7488,7177,5751,3944,501,62,24,40396,10732,11200,16169,13220,11483,7224,656,98,36,70815,Greater Sydney
2RVIC,5521,18736,48568,52014,56907,42767,8800,1298,250,234853,10957,8030,8606,7965,9766,13598,7787,1549,228,68488,618,708,1526,1620,2078,2662,882,158,33,10283,611,871,1312,1196,1297,1074,465,231,77,7140,17704,28349,60008,62795,70053,60099,17934,3240,590,320772,1391,2662,3214,2555,2725,2451,123,15,10,15145,2116,1094,752,575,627,974,272,25,4,6430,3504,3757,3965,3126,3349,3429,395,36,11,21567,21205,32110,63967,65925,73396,63528,18325,3279,603,342341,21213,6327,8130,9096,12480,24860,51887,31860,11568,177416,2508,2907,5297,5145,6316,6444,6004,3898,1884,40395,44924,41336,77391,80162,92197,94834,76218,39038,14057,560148,2151,10958,25172,23491,32481,21599,3110,368,88,119411,15111,13058,23435,32577,34950,29056,7367,799,151,156500,788,1149,4174,2587,2392,2662,747,100,20,14629,648,659,809,876,965,897,384,166,53,5455,18694,25818,53589,59527,70790,54213,11612,1431,319,295989,861,1397,1609,1442,1599,1028,36,14,7,7995,2312,1274,1637,1675,1432,1239,150,16,9,9745,3174,2666,3245,3123,3031,2266,189,34,17,17738,Rest of Vic.
2GMEL,9049,51044,223256,218616,190104,114676,20449,1525,273,828994,30104,46476,48192,30698,29031,30458,18238,3020,360,236576,1304,2175,5143,4508,4174,4193,1469,204,33,23200,1192,3018,6470,4683,4033,2514,836,239,96,23078,41651,102708,283059,258505,227341,151846,40985,4989,760,1111848,2721,7629,13175,9619,8849,6328,551,40,12,48916,10098,8460,4601,2019,1885,2445,859,95,7,30459,12816,16089,17775,11639,10728,8767,1412,128,19,79374,54465,118800,300831,270144,238072,160615,42392,5121,780,1191225,76535,39877,34289,25723,31123,54374,106323,73328,28346,469909,6047,9726,22976,17620,15516,12675,9658,6755,3527,104506,137048,168403,358098,313486,284707,227665,158374,85200,32656,1765640,3249,38702,153336,107968,110157,60950,7739,394,102,482601,40556,55416,81942,101936,94038,63941,17613,1529,194,457166,1574,2905,14001,9380,4966,4686,1294,125,38,38977,1293,2371,4324,3127,3118,1824,609,239,90,17000,46673,99393,253603,222419,212280,131403,27258,2288,423,995745,1774,5031,9432,6279,5418,2837,127,27,11,30933,10815,8496,7765,7137,5484,3424,470,55,20,43669,12593,13525,17196,13413,10899,6260,601,82,34,74605,Greater Melbourne
3GBRI,7333,32276,103790,106454,95788,57497,9881,687,79,413786,18903,21204,21706,14534,13719,13944,7710,1215,114,113042,841,1205,2756,2432,2517,2576,773,71,21,13193,728,1444,2643,2121,1708,1057,330,126,39,10193,27805,56136,130892,125538,113732,75078,18692,2100,254,550212,3210,5511,7115,5261,4964,3780,304,30,8,30183,6065,3283,2137,1036,854,1216,464,45,3,15110,9276,8796,9256,6294,5819,4996,765,72,13,45293,37085,64933,140150,131833,119549,80074,19459,2171,266,595505,34122,14999,16304,13254,15832,30312,60631,34423,11552,231428,3284,4924,9836,7970,7481,6259,5346,3317,1936,50360,74492,84854,166286,153063,142869,116646,85432,39914,13752,877291,3910,24513,68708,59711,62764,34455,4158,187,28,258431,26460,27184,41099,48952,43108,29400,8020,660,45,224924,977,1665,7422,4479,2888,2790,681,59,8,20955,765,1001,1765,1488,1394,809,285,102,54,7663,32105,54357,118987,114637,110151,67458,13140,1007,131,511976,2049,3431,4870,3519,3305,1770,73,18,12,19045,6138,3548,3970,3417,2490,1627,225,16,4,21439,8190,6978,8841,6934,5796,3396,300,38,12,40485,Greater Brisbane
3RQLD,9853,32703,91092,97888,99623,68033,13942,1682,197,415011,19453,14014,16914,14603,16577,18856,10747,1863,199,113234,1021,1223,3326,3482,4012,4712,1683,275,55,19783,895,1315,2478,2343,2221,1604,695,278,62,11886,31214,49257,113812,118315,122432,93203,27061,4109,507,559913,3845,5788,7292,6083,6544,5808,449,56,9,35872,4834,2040,1625,1106,1090,1719,622,95,10,13133,8686,7823,8914,7192,7633,7527,1071,149,18,49006,39901,57079,122729,125505,130064,100726,28129,4255,527,608918,31587,10345,13568,14377,19975,42968,95241,54277,15734,298087,5035,6678,14839,13654,14583,13799,12396,7088,2932,91006,76522,74104,151140,153540,164624,157502,135767,65616,19190,998014,5377,23122,52911,52634,63711,38950,5833,524,71,243134,27014,20832,40794,52469,51158,38735,10666,1081,107,242861,1123,1633,6902,4080,3966,4469,1280,161,23,23628,920,948,1651,1730,1689,1297,575,244,73,9118,34433,46534,102258,110908,120528,83446,18357,2011,278,518745,2389,3116,4202,3850,4266,2591,109,23,4,20555,4891,2447,3713,3666,2996,2436,331,25,10,20513,7283,5559,7914,7512,7259,5035,442,46,11,41065,Rest of Qld
4RSAU,1437,4796,12379,13233,15808,12570,2650,369,73,63311,2446,1572,2208,2123,2894,3644,2181,455,62,17578,141,217,454,554,679,852,288,55,15,3252,148,177,323,294,363,271,122,86,24,1804,4175,6765,15357,16196,19743,17329,5246,963,172,85948,452,782,1040,812,975,845,38,9,0,4943,428,200,188,151,223,339,71,9,3,1614,881,981,1226,961,1202,1179,108,19,3,6550,5053,7749,16583,17151,20939,18509,5354,978,175,92496,5158,1376,2467,2807,4055,8002,16570,9630,3260,53330,599,644,1520,1547,1931,2032,1735,1019,470,11507,10812,9769,20577,21506,26927,28540,23665,11632,3903,157339,555,2480,5356,5753,8356,5814,982,128,30,29440,3471,2759,6016,7954,9128,7790,2057,255,38,39465,155,309,980,573,603,769,211,30,4,3638,126,119,221,195,251,216,120,55,17,1324,4312,5670,12572,14474,18329,14590,3369,467,85,73866,245,411,457,475,499,312,7,5,3,2420,468,232,410,412,367,298,38,6,0,2233,719,644,867,886,869,603,47,13,3,4651,Rest of SA
4GADE,2648,14243,51107,53395,52807,35016,5753,425,59,215466,9410,12195,13071,9502,9609,10018,5662,904,89,70468,443,728,1552,1435,1663,1616,500,74,15,8016,305,642,1243,975,878,560,218,61,23,4904,12805,27810,66982,65306,64962,47209,12128,1464,185,298855,1304,3069,4604,3595,3336,2449,136,15,12,18530,3233,2076,1261,694,677,820,212,30,4,8993,4536,5147,5862,4291,4011,3270,352,46,14,27524,17340,32954,72842,69598,68973,50481,12482,1515,196,326378,21777,10275,9944,8652,11470,20384,40003,26295,10949,159743,1387,1961,4077,3609,3720,3267,2688,1970,1171,23840,40504,45196,86869,81858,84155,74131,55163,29777,12314,509968,1192,9922,31780,26079,32288,20605,2468,130,25,124494,13551,15959,24233,30164,29587,22144,5752,472,57,141922,534,944,4431,2583,1771,1853,499,50,6,12682,333,505,907,682,687,479,187,80,35,3897,15614,27331,61362,59511,64342,45089,8909,733,119,283002,757,1600,2504,1903,1736,879,32,7,3,9431,3405,2042,2094,1942,1546,1014,106,20,7,12160,4159,3639,4600,3839,3286,1902,137,28,10,21594,Greater Adelaide
5GPER,5488,24152,90938,88648,81535,50161,8898,570,82,350469,15044,17801,18576,12114,11991,13304,8509,1439,124,98905,667,1210,3148,2701,2736,2657,833,105,14,14073,532,1150,2348,1788,1462,900,283,79,18,8552,21729,44310,115011,105250,97726,67027,18520,2197,232,472000,2280,4529,7466,6136,6106,4669,406,29,7,31630,4883,2835,1780,870,749,1101,527,58,3,12809,7162,7365,9244,7003,6854,5774,939,91,9,44441,28897,51672,124253,112257,104575,72793,19461,2289,238,516445,29886,11655,12720,10236,11582,21352,48010,30946,10540,186929,2752,3914,9821,7477,6886,5682,4538,3306,1864,46235,61542,67248,146798,129967,123040,99824,72014,36543,12639,749611,2709,18668,57345,41399,47560,27939,3481,164,33,199290,20407,22145,36707,45426,41840,30099,8298,738,58,205726,777,1320,6005,3645,2584,2520,717,63,6,17632,551,887,1503,1163,1168,711,242,80,26,6329,24441,43019,101562,91631,93149,61276,12739,1043,121,428978,1416,2446,4285,3430,3275,1610,83,14,7,16557,4968,2793,4028,3914,2637,1696,247,26,6,20315,6383,5235,8312,7341,5911,3305,331,43,8,36873,Greater Perth
5RWAU,2482,7650,26993,27679,27954,18876,3855,462,72,116013,3016,1721,3211,3173,3610,4281,2616,553,63,22245,193,403,1640,1700,1993,2017,606,103,10,8668,211,305,603,598,665,460,201,73,15,3120,5904,10082,32453,33148,34214,25628,7272,1192,154,150048,683,1052,1578,1410,1470,1199,113,5,0,7513,547,265,245,235,215,378,136,10,0,2025,1231,1316,1824,1643,1684,1575,246,14,0,9535,7132,11394,34279,34794,35900,27198,7515,1209,155,159582,7093,2032,3417,3308,4071,8607,18235,9020,2580,58363,1305,1727,6933,6300,6213,4994,2987,1358,481,32304,15529,15157,44625,44399,46189,40799,28741,11587,3219,250251,1321,4668,11604,10470,13197,8551,1263,132,16,51231,4282,2829,8277,11489,10999,8793,2502,298,41,49514,195,365,1632,1114,1335,1488,408,44,6,6599,164,194,349,364,447,336,125,63,7,2056,5967,8049,21871,23436,25990,19179,4298,532,72,109394,364,521,766,763,788,451,17,4,0,3672,569,276,735,677,509,470,59,6,0,3300,936,801,1504,1435,1302,915,75,11,0,6971,Rest of WA
