gcc_code16,age_yr_55_p,age_yr_56_m,age_yr_56_f,age_yr_56_p,age_yr_57_m,age_yr_57_f,age_yr_57_p,age_yr_58_m,age_yr_58_f,age_yr_58_p,age_yr_59_m,age_yr_59_f,age_yr_59_p,age_yr_55_59_m,age_yr_55_59_f,age_yr_55_59_p,age_yr_60_m,age_yr_60_f,age_yr_60_p,age_yr_61_m,age_yr_61_f,age_yr_61_p,age_yr_62_m,age_yr_62_f,age_yr_62_p,age_yr_63_m,age_yr_63_f,age_yr_63_p,age_yr_64_m,age_yr_64_f,age_yr_64_p,age_yr_60_64_m,age_yr_60_64_f,age_yr_60_64_p,age_yr_65_m,age_yr_65_f,age_yr_65_p,age_yr_66_m,age_yr_66_f,age_yr_66_p,age_yr_67_m,age_yr_67_f,age_yr_67_p,age_yr_68_m,age_yr_68_f,age_yr_68_p,age_yr_69_m,age_yr_69_f,age_yr_69_p,age_yr_65_69_m,age_yr_65_69_f,age_yr_65_69_p,age_yr_70_m,age_yr_70_f,age_yr_70_p,age_yr_71_m,age_yr_71_f,age_yr_71_p,age_yr_72_m,age_yr_72_f,age_yr_72_p,age_yr_73_m,age_yr_73_f,age_yr_73_p,age_yr_74_m,age_yr_74_f,age_yr_74_p,age_yr_70_74_m,age_yr_70_74_f,age_yr_70_74_p,age_yr_75_m,age_yr_75_f,age_yr_75_p,age_yr_76_m,age_yr_76_f,age_yr_76_p,age_yr_77_m,age_yr_77_f,age_yr_77_p,age_yr_78_m,age_yr_78_f,age_yr_78_p,age_yr_79_m,age_yr_79_f,age_yr_79_p,age_yr_75_79_m,age_yr_75_79_f,age_yr_75_79_p,age_yr_80_84_m,age_yr_80_84_f,age_yr_80_84_p,age_yr_85_89_m,age_yr_85_89_f,age_yr_85_89_p,age_yr_90_94_m,age_yr_90_94_f,age_yr_90_94_p,age_yr_95_99_m,age_yr_95_99_f,age_yr_95_99_p,age_yr_100_yr_over_m,age_yr_100_yr_over_f,age_yr_100_yr_over_p,os_vis_m,os_vis_f,os_vis_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,38549,18235,19356,37594,18290,19154,37445,17968,18990,36955,17939,18544,36484,91487,95548,187030,17836,17884,35723,17435,18048,35485,17203,17745,34941,17387,17959,35349,17065,17527,34589,86922,89170,176088,16971,17313,34285,16907,16945,33855,16372,16505,32873,16652,16399,33051,17639,17575,35218,84542,84738,169284,14458,14658,29113,14055,14350,28407,13350,13793,27138,11818,12439,24258,11720,12212,23930,65400,67448,132844,10691,11272,21965,9978,10826,20803,9419,10383,19800,8762,9701,18464,8380,9535,17917,47228,51714,98943,31225,38276,69503,18518,27535,46061,6647,13360,20005,1224,3457,4686,79,404,484,6193,7537,13728,1313126,1350936,2664066,Rest of NSW
1GSYD,60304,27921,29376,57298,26888,28047,54932,26585,28483,55072,25836,27592,53424,136727,144303,281038,25045,26666,51706,23986,25680,49667,23044,24912,47954,22641,24374,47018,21388,23195,44580,116100,124830,240932,21207,22656,43870,20762,22281,43043,19677,21214,40888,20025,21397,41425,20349,21876,42221,102023,109424,211448,17351,18635,35984,16040,17277,33318,15544,16595,32134,13378,14821,28203,12947,14365,27313,75259,81691,156954,12176,13799,25968,11733,13052,24785,10784,12558,23341,9922,12008,21923,9460,11484,20953,54079,62897,116976,37353,48237,85593,23621,36138,59752,9419,19068,28495,1872,5094,6967,110,426,539,36364,45483,81846,2409538,2487728,4897269,Greater Sydney
2RVIC,20505,9696,10278,19973,9772,10245,20019,9488,10075,19565,9445,9774,19218,48235,51049,99281,9553,9991,19537,9277,9716,18993,9225,9544,18769,9300,9628,18928,9248,9215,18463,46594,48091,94684,8997,9170,18161,8958,9113,18068,8433,8607,17039,8356,8491,16852,9045,9087,18135,43787,44471,88262,7423,7414,14839,6826,7036,13863,6415,6762,13171,5867,6080,11944,5907,6279,12185,32432,33566,65997,5427,5726,11155,4871,5467,10341,4768,5185,9951,4270,4969,9239,4081,4612,8690,23417,25954,49374,15618,19732,35351,9598,14614,24209,3653,7359,11006,701,1928,2632,106,288,393,3501,4212,7717,697830,723790,1421625,Rest of Vic.
2GMEL,54356,25248,27076,52329,24665,25873,50540,23831,25917,49742,22974,24807,47774,123131,131611,254742,23097,24374,47475,21422,23364,44791,20426,22645,43074,20223,22045,42268,19362,21349,40706,104534,113786,218313,19070,21105,40172,18120,20296,38416,17742,19488,37230,17578,19821,37392,18556,20387,38946,91063,101093,192159,15581,16834,32411,14101,15688,29785,13668,15420,29090,11993,13634,25626,11974,13614,25589,67313,75193,142508,11073,12675,23746,10781,12421,23203,9920,11889,21809,9372,11539,20905,8900,10856,19752,50042,59371,109419,35160,46260,81418,22173,33629,55802,8630,16791,25421,1700,4478,6177,150,606,761,27943,37432,65378,2212679,2311375,4524054,Greater Melbourne
3GBRI,27580,12753,13582,26343,12479,13318,25797,11904,12814,24723,11585,12526,24110,62155,66406,128559,11592,12002,23597,10941,11849,22788,10597,11634,22235,10596,11561,22161,10762,11326,22088,54495,58379,112870,10038,10930,20970,9946,10754,20701,9742,10422,20164,9483,10281,19765,9990,10732,20717,49205,53117,102322,8318,8721,17036,7980,8443,16421,7216,7857,15076,6406,6910,13321,6309,6861,13167,36228,38789,75017,5694,6206,11900,5430,5885,11313,4920,5579,10504,4469,5116,9585,4094,4998,9093,24606,27788,52392,15306,20163,35473,9407,14904,24313,3570,7573,11144,716,2022,2738,62,276,337,12921,17236,30161,1117652,1164374,2282025,Greater Brisbane
3RQLD,34919,16505,17279,33787,16103,16907,33014,16055,17073,33132,15731,16271,32004,81389,85459,166848,15479,16442,31919,15368,15948,31312,14972,15833,30802,15246,15721,30966,15045,15267,30318,76110,79218,155324,15497,15587,31082,15026,15638,30665,15107,14966,30075,15160,14789,29947,15974,15692,31667,76761,76672,153432,13342,13047,26394,12787,12855,25639,12075,12018,24093,10360,10582,20942,10446,10329,20779,59011,58836,117846,9578,9528,19100,8805,8890,17696,8145,8313,16452,7430,7498,14933,6809,7071,13880,40769,41303,82065,24856,27621,52471,13320,18669,31988,4748,8817,13571,1016,2304,3323,108,268,372,23979,29416,53393,1264746,1295406,2560149,Rest of Qld
4RSAU,5938,2907,2850,5752,2871,2783,5650,2830,2686,5514,2785,2685,5472,14408,13923,28329,2932,2729,5656,2781,2634,5424,2788,2629,5417,2881,2668,5546,2755,2661,5415,14136,13326,27463,2674,2687,5361,2701,2602,5308,2696,2479,5174,2531,2407,4943,2754,2728,5485,13362,12909,26274,2277,2189,4465,2248,2221,4465,2107,2064,4167,1836,1792,3629,1832,1765,3595,10299,10026,20324,1625,1609,3230,1519,1533,3050,1424,1532,2952,1285,1363,2651,1203,1303,2507,7047,7343,14387,4585,5174,9758,2718,3831,6551,973,1879,2859,192,538,735,17,63,76,1252,1189,2443,192886,187513,380395,Rest of SA
4GADE,17290,8082,8637,16715,7848,8670,16515,7700,8164,15868,7469,8275,15740,39551,42576,82131,7201,8001,15203,7230,7635,14868,6791,7709,14504,6695,7606,14296,6664,7272,13935,34579,38229,72806,6515,7354,13869,6441,7041,13480,6170,6866,13033,6155,6786,12941,6599,7236,13838,31880,35287,67164,5285,6007,11298,4955,5622,10576,4635,5356,9993,4308,4983,9287,4099,4743,8840,23285,26706,49989,3689,4439,8134,3525,4404,7929,3538,4253,7784,3299,4057,7362,3209,3805,7013,17254,20966,38221,12524,16497,29017,8206,12742,20942,3365,6989,10357,668,1777,2451,71,199,273,5054,6840,11901,630696,663454,1294150,Greater Adelaide
5GPER,23474,11032,11855,22882,10520,11335,21854,10301,11098,21406,9987,10816,20805,53124,57297,110424,10081,10735,20821,9366,10520,19886,9183,10203,19387,9068,9975,19048,9000,9448,18455,46700,50885,97592,8758,9254,18012,8419,8993,17412,8069,8803,16873,8231,8612,16842,8462,9058,17515,41943,44715,86660,6734,7027,13758,6291,6670,12958,6206,6641,12848,5398,5934,11329,5441,5828,11268,30072,32091,62159,4810,5590,10394,4648,5303,9955,4450,5094,9546,4146,4948,9085,3819,4535,8356,21868,25469,47336,14675,19087,33755,8728,13267,21994,3228,6681,9912,649,1825,2477,32,134,165,10026,13844,23867,949606,985993,1935603,Greater Perth
5RWAU,8749,4307,3832,8134,4365,3809,8172,4194,3668,7860,4112,3552,7656,21749,18817,40569,4158,3693,7854,3799,3508,7307,3794,3381,7176,3696,3380,7075,3606,3302,6901,19050,17263,36314,3745,3324,7065,3394,3231,6624,3328,2923,6249,3314,2849,6158,3404,3029,6433,17172,15351,32524,2634,2408,5045,2471,2200,4674,2403,2115,4520,1998,1859,3859,2062,1916,3973,11566,10502,22067,1748,1589,3335,1609,1611,3218,1481,1436,2922,1371,1288,2656,1178,1230,2407,7384,7154,14537,4202,4741,8939,2286,2910,5195,789,1344,2131,135,386,522,4,32,40,3464,3449,6917,308425,269694,578119,Rest of WA
6GHOB,3191,1485,1589,3070,1411,1622,3029,1429,1493,2925,1369,1544,2914,7223,7912,15130,1388,1469,2856,1284,1374,2661,1212,1360,2577,1323,1366,2685,1258,1402,2659,6466,6972,13435,1191,1323,2513,1188,1261,2449,1101,1156,2263,1167,1206,2365,1250,1316,2573,5895,6268,12162,916,1068,1983,869,977,1846,856,1022,1870,778,870,1649,707,824,1536,4124,4765,8888,710,830,1539,667,748,1413,602,714,1318,562,691,1255,534,693,1226,3073,3677,6754,2043,2763,4807,1311,1979,3292,460,1067,1532,97,249,343,3,30,37,687,917,1607,107337,113888,221225,Greater Hobart
6RTAS,4479,2052,2259,4310,2100,2135,4236,2114,2067,4181,1972,2057,4032,10428,10817,21246,2149,2070,4221,1969,1965,3935,1895,2031,3925,1893,2003,3895,1993,1871,3862,9894,9947,19845,1953,1893,3846,1821,1910,3732,1749,1882,3632,1757,1815,3571,1952,1884,3838,9230,9380,18613,1552,1580,3132,1410,1579,2993,1474,1384,2854,1269,1230,2493,1233,1299,2525,6936,7069,13998,1086,1149,2229,1057,1108,2167,963,1019,1985,894,992,1888,793,893,1691,4794,5168,9962,3072,3701,6772,1664,2484,4152,607,1210,1822,109,287,396,9,24,33,661,655,1321,138774,143432,282210,Rest of Tas.
7RNTE,1383,610,642,1251,629,633,1260,605,670,1275,640,609,1250,3185,3238,6418,651,717,1370,598,625,1218,575,594,1167,587,529,1119,562,516,1081,2978,2978,5958,556,523,1078,533,482,1012,506,430,943,471,391,866,460,369,829,2527,2192,4721,377,330,707,323,275,593,283,240,527,263,201,463,254,202,452,1502,1244,2740,202,160,365,185,153,331,136,96,231,116,99,221,89,88,175,727,597,1323,271,328,597,117,152,266,17,53,75,4,11,19,0,0,0,1987,2085,4066,54525,52107,106637,Rest of NT
