gcc_name16,gcc_code16,m_15_19_pvded_upaid_assist,m_15_19_no_upaid_assist_pvded,m_15_19_upaid_assist_ns,m_15_19_tot,m_20_24_pvded_upaid_assist,m_20_24_no_upaid_assist_pvded,m_20_24_upaid_assist_ns,m_20_24_tot,m_25_34_pvded_upaid_assist,m_25_34_no_upaid_assist_pvded,m_25_34_upaid_assist_ns,m_25_34_tot,m_35_44_pvded_upaid_assist,m_35_44_no_upaid_assist_pvded,m_35_44_upaid_assist_ns,m_35_44_tot,m_45_54_pvded_upaid_assist,m_45_54_no_upaid_assist_pvded,m_45_54_upaid_assist_ns,m_45_54_tot,m_55_64_pvded_upaid_assist,m_55_64_no_upaid_assist_pvded,m_55_64_upaid_assist_ns,m_55_64_tot,m_65over_pvded_upaid_assist,m_65ove_no_upaid_assist_pvde,m_65over_upaid_assist_ns,m_65_and_over_tot,m_totpvded_upaid_assist,m_tot_no_upaid_assist_pvded,m_tot_upaid_assist_ns,m_tot_tot,f_15_19_pvded_upaid_assist,f_15_19_no_upaid_assist_pvded,f_15_19_upaid_assist_ns,f_15_19_tot,f_20_24_pvded_upaid_assist,f_20_24_no_upaid_assist_pvded,f_20_24_upaid_assist_ns,f_20_24_tot,f_25_34_pvded_upaid_assist,f_25_34_no_upaid_assist_pvded,f_25_34_upaid_assist_ns,f_25_34_tot,f_35_44_pvded_upaid_assist,f_35_44_no_upaid_assist_pvded,f_35_44_upaid_assist_ns,f_35_44_tot,f_45_54_pvded_upaid_assist,f_45_54_no_upaid_assist_pvded,f_45_54_upaid_assist_ns,f_45_54_tot,f_55_64_pvded_upaid_assist,f_55_64_no_upaid_assist_pvded,f_55_64_upaid_assist_ns,f_55_64_tot,f_65over_pvded_upaid_assist,f_65ove_no_upaid_assist_pvd,f_65over_upaid_assist_ns,f_65_and_over_tot,f_totpvded_upaid_assist,f_tot_no_upaid_assist_pvded,f_tot_upaid_assist_ns,f_tot_tot,p_15_19_pvded_upaid_assist,p_15_19_no_upaid_assist_pvded,p_15_19_upaid_assist_ns,p_15_19_tot,p_20_24_pvded_upaid_assist,p_20_24_no_upaid_assist_pvded,p_20_24_upaid_assist_ns,p_20_24_tot,p_25_34_pvded_upaid_assist,p_25_34_no_upaid_assist_pvded,p_25_34_upaid_assist_ns,p_25_34_tot,p_35_44_pvded_upaid_assist,p_35_44_no_upaid_assist_pvded,p_35_44_upaid_assist_ns,p_35_44_tot,p_45_54_pvded_upaid_assist,p_45_54_no_upaid_assist_pvded,p_45_54_upaid_assist_ns,p_45_54_tot,p_55_64_pvded_upaid_assist,p_55_64_no_upaid_assist_pvded,p_55_64_upaid_assist_ns,p_55_64_tot,p_65over_pvded_upaid_assist,p_65ove_no_upaid_assist_pvd,p_65over_upaid_assist_ns,p_65_and_over_tot,p_totpvded_upaid_assist,p_tot_no_upaid_assist_pvded,p_tot_upaid_assist_ns,p_tot_tot
Other Territories,9OTER,0,4,0,6,0,4,3,9,0,3,3,9,3,11,0,14,4,15,0,14,4,9,4,15,0,4,3,10,10,46,15,80,4,7,3,16,0,0,0,3,0,8,3,14,6,12,5,23,0,8,6,18,3,10,3,15,3,3,4,11,14,50,29,92,4,13,4,20,0,3,3,10,3,15,5,20,5,24,7,39,6,18,7,29,9,18,5,30,3,10,7,19,30,99,45,171
Australian Capital Territory,8ACTE,19,273,30,328,29,316,29,374,33,404,58,486,41,280,30,349,48,276,15,343,35,167,6,205,12,68,12,91,210,1782,184,2181,30,301,17,344,25,272,11,309,92,434,15,538,93,299,11,399,73,258,9,344,62,141,4,206,18,87,14,113,395,1779,84,2264,56,576,48,674,55,588,42,688,119,835,70,1029,129,574,44,747,128,530,33,691,96,306,15,414,30,152,24,205,608,3564,272,4447
Rest of NT,7RNTE,259,1519,529,2310,280,1484,444,2204,580,2539,710,3823,409,1973,511,2894,320,1586,346,2255,184,908,143,1233,89,535,65,690,2118,10541,2754,15409,276,1413,469,2155,359,1465,332,2150,735,2594,520,3845,658,2016,429,3105,536,1784,335,2651,287,1123,162,1573,141,770,111,1023,2985,11158,2351,16494,532,2932,1001,4462,635,2943,772,4352,1312,5130,1232,7674,1061,3988,941,5994,853,3366,679,4899,471,2032,303,2809,228,1308,179,1715,5097,21704,5113,31910
Greater Darwin,7GDAR,33,477,89,605,40,416,148,607,65,625,326,1019,65,525,213,797,66,425,130,613,46,282,59,390,20,144,32,199,332,2891,1001,4225,32,443,61,537,48,369,44,462,99,626,99,818,134,539,72,747,140,486,50,678,75,325,35,435,24,215,41,277,552,3000,401,3956,67,921,153,1141,86,789,194,1068,160,1251,422,1836,201,1065,281,1545,203,907,180,1289,118,608,99,822,48,357,73,473,888,5893,1404,8181
Rest of Tas.,6RTAS,47,680,79,811,35,510,31,573,75,702,40,819,97,569,33,697,106,617,34,759,90,507,47,641,63,380,75,515,517,3973,329,4811,50,614,64,726,61,509,11,582,171,751,26,954,212,626,33,869,220,650,44,909,174,476,29,677,69,380,53,506,958,4000,271,5226,98,1294,140,1535,99,1015,41,1156,247,1462,72,1776,313,1189,64,1567,327,1267,79,1667,261,983,74,1321,134,759,130,1022,1471,7968,600,10036
Greater Hobart,6GHOB,14,399,35,450,33,333,36,400,57,462,56,581,65,307,32,400,56,340,18,415,54,262,20,340,32,152,20,199,305,2254,221,2772,26,329,39,392,42,307,9,358,102,557,20,677,98,352,14,466,121,332,16,471,77,228,23,327,32,164,33,230,499,2273,153,2922,41,722,73,839,74,635,47,750,156,1026,76,1261,165,657,45,863,173,676,40,884,131,494,39,669,62,318,49,431,801,4524,372,5698
Rest of WA,5RWAU,141,1565,406,2118,177,1331,335,1837,382,2287,621,3284,325,1833,514,2669,272,1647,291,2212,173,1159,149,1475,84,688,112,884,1547,10503,2432,14479,194,1436,339,1972,265,1285,167,1715,576,2385,334,3295,482,1937,254,2675,478,1847,244,2571,333,1204,143,1676,126,856,149,1138,2447,10952,1642,15041,337,3003,750,4088,440,2614,504,3555,956,4668,953,6577,803,3768,770,5342,752,3489,543,4782,500,2361,291,3151,215,1545,264,2019,3994,21454,4068,29521
Greater Perth,5GPER,81,1433,204,1718,81,1224,315,1609,174,1774,588,2534,155,1120,405,1681,171,1048,189,1407,79,706,78,862,46,368,64,482,787,7665,1843,10295,115,1329,138,1581,112,1224,107,1442,298,1757,175,2229,295,1256,151,1702,310,1167,98,1577,186,804,67,1059,97,492,82,676,1412,8027,822,10264,195,2763,345,3299,191,2450,418,3054,467,3531,763,4760,451,2376,555,3381,478,2215,289,2983,270,1506,147,1924,146,861,148,1156,2199,15694,2660,20554
Rest of SA,4RSAU,64,569,118,755,62,456,113,629,100,755,234,1093,114,561,166,832,130,612,145,885,74,399,87,558,35,299,44,376,577,3654,914,5141,71,551,93,712,83,482,67,631,174,793,95,1068,173,623,78,875,175,633,108,922,95,443,74,615,50,319,48,418,828,3848,567,5242,135,1116,214,1461,137,938,180,1262,281,1554,331,2164,286,1184,243,1712,307,1248,253,1808,170,845,161,1177,86,620,94,802,1396,7503,1480,10381
Greater Adelaide,4GADE,74,873,101,1052,65,715,65,844,133,1020,137,1294,103,703,91,889,126,611,56,787,73,472,34,580,39,252,42,332,613,4636,519,5774,78,855,84,1016,87,741,45,873,221,1049,74,1350,213,770,72,1056,215,706,57,980,130,509,31,670,45,330,68,444,993,4960,426,6382,151,1728,182,2062,150,1457,106,1718,351,2070,212,2639,317,1466,162,1947,344,1315,109,1765,206,975,62,1247,87,577,114,774,1608,9599,947,12156
Rest of Qld,3RQLD,422,5621,849,6889,426,4482,702,5611,770,6497,930,8196,793,5464,689,6950,740,5063,479,6286,517,3365,290,4172,274,2117,288,2676,3942,32611,4219,40775,497,5434,676,6605,571,4547,360,5475,1343,6900,502,8749,1431,5847,343,7619,1354,5276,399,7028,899,3540,289,4729,393,2593,364,3349,6489,34135,2931,43556,916,11055,1527,13497,995,9025,1062,11080,2111,13401,1427,16941,2229,11309,1034,14563,2097,10344,875,13314,1412,6903,582,8897,668,4707,651,6032,10428,66745,7153,84325
Greater Brisbane,3GBRI,172,2532,270,2973,166,2237,301,2701,324,2932,487,3735,340,2249,286,2875,367,1958,156,2476,241,1210,98,1553,98,717,93,909,1704,13836,1681,17223,217,2495,172,2889,271,2234,103,2602,618,2923,155,3704,690,2307,126,3126,614,2062,116,2791,402,1307,87,1796,175,920,136,1220,2994,14249,895,18136,391,5034,441,5864,434,4466,403,5309,943,5853,642,7434,1035,4559,410,6003,980,4016,273,5269,647,2514,183,3347,270,1638,229,2134,4698,28085,2579,35361
Rest of Vic.,2RVIC,86,976,149,1210,81,843,76,1000,144,1035,164,1343,151,768,151,1075,186,831,108,1120,141,644,77,859,86,442,94,613,865,5532,814,7216,90,988,139,1216,108,750,62,920,305,1123,68,1497,314,863,50,1221,298,887,90,1271,187,656,68,914,91,472,126,690,1393,5735,600,7731,175,1960,292,2428,180,1594,142,1917,449,2157,230,2833,462,1630,201,2294,483,1715,194,2395,331,1299,146,1775,180,910,218,1305,2257,11274,1419,14944
Greater Melbourne,2GMEL,84,989,99,1171,89,995,97,1176,154,1509,188,1843,187,1099,135,1425,175,1011,87,1274,149,613,44,805,66,381,78,526,896,6591,726,8222,88,992,94,1172,122,993,41,1163,259,1472,71,1804,303,1066,77,1453,316,974,65,1356,195,604,64,863,98,481,110,685,1388,6582,524,8487,167,1977,199,2342,208,1987,137,2338,415,2981,260,3645,492,2168,216,2874,493,1984,157,2630,342,1216,113,1668,164,859,188,1208,2285,13172,1251,16713
Rest of NSW,1RNSW,462,6193,953,7605,482,5076,705,6266,886,6767,1284,8939,948,5280,819,7044,1028,5298,608,6938,777,4121,371,5267,466,2819,456,3743,5043,35555,5203,45797,567,6010,789,7366,677,4970,327,5964,1659,6916,459,9040,1820,5594,424,7834,1963,5605,454,8021,1367,3997,369,5731,598,3129,561,4285,8651,36220,3373,48239,1027,12202,1745,14973,1155,10044,1029,12231,2541,13683,1744,17974,2770,10876,1234,14880,2991,10907,1064,14964,2142,8113,735,10992,1060,5952,1017,8034,13689,71772,8579,94041
Greater Sydney,1GSYD,247,3229,305,3783,218,2837,308,3359,412,3722,487,4620,486,2833,340,3662,498,2663,240,3404,377,1767,138,2290,210,1251,153,1615,2455,18298,1982,22734,286,3003,279,3566,355,2746,150,3248,823,3909,270,5008,1024,2943,206,4174,1006,2699,206,3910,610,1812,158,2575,285,1395,219,1898,4385,18503,1486,24378,531,6228,588,7344,571,5579,465,6607,1236,7630,760,9631,1516,5778,544,7836,1506,5358,450,7313,988,3579,300,4862,495,2649,369,3510,6843,36803,3470,47114
