gccsa_code16,gccsa_name16,num_owners_managers_unincorp_enteprise_000_males,num_owners_managers_unincorp_enteprise_000_females,num_owners_managers_unincorp_enteprise_000_person,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
1GSYD,Greater Sydney,226.666,144.806,371.478,36021,28485,32998
1RNSW,Rest of NSW,151.04,106.146,257.187,30463,23088,27169
2GMEL,Greater Melbourne,207.197,132.123,339.31699999999995,34359,25513,30797
2RVIC,Rest of Vic.,91.12200000000001,62.626000000000005,153.75,30356,22939,27125
3GBRI,Greater Brisbane,93.027,62.42,155.447,37326,25492,32256
3RQLD,Rest of Qld,135.404,92.939,228.347,33186,22135,28188
4GADE,Greater Adelaide,60.418,37.071999999999996,97.495,34281,26135,31032
4RSAU,Rest of SA,27.967,20.102999999999998,48.068999999999996,32382,26871,29929
5GPER,Greater Perth,94.861,57.693999999999996,152.553,45974,29755,39233
5RWAU,Rest of WA,34.532,24.339000000000002,58.871,42629,29397,36541
6GHOB,Greater Hobart,10.757,6.795,17.549,34504,27828,31836
6RTAS,Rest of Tas.,16.069000000000003,10.485,26.55,29674,22854,26894
7GDAR,Greater Darwin,6.516,3.7969999999999997,10.31,53152,38421,47380
7RNTE,Rest of NT,1.9140000000000001,1.307,3.222,43537,35266,39819
8ACTE,Australian Capital Territory,13.463,8.818,22.283,43244,34985,39986
