gcc_code16,p_40_44_om_uie,p_40_44_cfw,p_40_44_es_ns,p_40_44_total,p_45_49_e,p_45_49_om_ie,p_45_49_om_uie,p_45_49_cfw,p_45_49_es_ns,p_45_49_total,p_50_54_e,p_50_54_om_ie,p_50_54_om_uie,p_50_54_cfw,p_50_54_es_ns,p_50_54_total,p_55_59_e,p_55_59_om_ie,p_55_59_om_uie,p_55_59_cfw,p_55_59_es_ns,p_55_59_total,p_60_64_e,p_60_64_om_ie,p_60_64_om_uie,p_60_64_cfw,p_60_64_es_ns,p_60_64_total,p_65_69_e,p_65_69_om_ie,p_65_69_om_uie,p_65_69_cfw,p_65_69_es_ns,p_65_69_total,p_70_74_e,p_70_74_om_ie,p_70_74_om_uie,p_70_74_cfw,p_70_74_es_ns,p_70_74_total,p_75ov_e,p_75ov_om_ie,p_75ov_om_uie,p_75ov_cfw,p_75ov_es_ns,p_75ov_total,p_total_e,p_total_om_ie,p_total_om_uie,p_total_cfw,p_total_es_ns,p_total_total,gcc_name16
9OTER,21,0,11,271,226,15,32,7,8,289,270,5,39,3,11,335,242,18,46,8,5,320,182,6,31,10,3,234,120,8,24,7,5,167,31,3,17,3,3,54,10,3,14,3,3,35,2215,93,272,49,62,2692,Other Territories
8ACTE,876,124,123,25586,22103,1465,943,139,115,24759,19581,1242,973,126,110,22031,15004,1050,878,133,89,17153,8609,763,769,114,85,10337,3439,504,549,122,64,4678,889,210,222,77,37,1437,323,109,120,80,36,665,201286,9197,7719,1301,1151,220648,Australian Capital Territory
7RNTE,120,21,22,3552,3319,186,136,23,39,3700,3185,201,166,32,50,3631,2831,175,138,31,31,3204,1875,139,127,32,31,2196,761,75,73,30,17,958,200,33,29,21,10,297,74,15,25,15,9,134,30812,1242,1171,272,361,33860,Rest of NT
7GDAR,369,52,84,8012,6765,503,415,58,65,7812,5841,463,424,72,61,6859,4794,399,344,60,59,5658,3005,268,292,66,49,3681,1200,160,170,47,22,1601,273,66,76,34,18,464,94,24,33,28,15,196,64662,3159,3025,575,705,72120,Greater Darwin
6RTAS,961,196,120,11227,10411,822,1206,223,163,12826,10376,840,1215,303,155,12887,9348,833,1408,399,152,12141,5988,638,1237,339,145,8348,1960,436,713,302,86,3501,544,168,337,225,44,1325,202,106,261,185,71,828,87975,5487,9298,2619,1426,106812,Rest of Tas.
6GHOB,901,76,86,11137,9761,660,842,105,105,11478,9472,672,966,111,111,11336,8693,601,924,107,109,10440,5190,469,735,130,73,6594,1782,289,528,110,51,2761,444,100,219,80,23,872,183,71,99,63,36,453,86026,4318,7088,983,951,99359,Greater Hobart
5RWAU,2215,579,269,29859,25637,2022,2462,715,326,31158,23709,1925,2695,783,328,29441,20146,1815,2745,896,324,25923,12558,1309,2369,882,290,17407,4377,818,1503,895,172,7772,1157,386,751,670,100,3060,467,216,528,547,119,1873,216847,13225,19759,7321,2962,260110,Rest of WA
5GPER,6674,1093,554,92886,76940,7894,7390,1142,642,94015,69138,7486,7235,1154,616,85632,57452,6396,6485,1020,564,71916,38240,4740,5362,983,454,49780,15296,2888,3171,841,321,22505,4180,1153,1313,518,175,7342,1569,583,706,390,170,3420,727035,51181,55775,9977,6188,850156,Greater Perth
4RSAU,1534,530,209,15242,13290,1278,1989,525,250,17337,13020,1265,2262,671,249,17464,12039,1284,2381,753,242,16699,8013,986,2192,849,210,12251,2757,649,1446,752,118,5725,749,279,727,529,90,2375,343,181,461,534,131,1643,114687,8740,16276,6173,2260,148135,Rest of SA
4GADE,4189,629,451,61219,53312,4415,4842,736,513,63820,50434,4187,4858,714,486,60682,43848,3768,4769,656,471,53520,28308,2908,3784,591,428,36022,10033,1892,2555,619,231,15333,2513,775,1139,403,136,4975,949,392,567,327,171,2404,482876,29161,37067,6348,4864,560314,Greater Adelaide
