gcc_name16,gcc_code16,f_id_ns_15_19,f_id_ns_20_24,f_id_ns_25_34,f_id_ns_35_44,f_id_ns_45_54,f_id_ns_55_64,f_id_ns_65_74,f_id_ns_75_84,f_id_ns_85ov,f_id_ns_tot,f_tot_15_19,f_tot_20_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75_84,f_tot_85ov,f_tot_tot,p_ag_for_fshg_15_19,p_ag_for_fshg_20_24,p_ag_for_fshg_25_34,p_ag_for_fshg_35_44,p_ag_for_fshg_45_54,p_ag_for_fshg_55_64,p_ag_for_fshg_65_74,p_ag_for_fshg_75_84,p_ag_for_fshg_85ov,p_ag_for_fshg_tot,p_mining_15_19,p_mining_20_24,p_mining_25_34,p_mining_35_44,p_mining_45_54,p_mining_55_64,p_mining_65_74,p_mining_75_84,p_mining_85ov,p_mining_tot,p_manufact_15_19,p_manufact_20_24,p_manufact_25_34,p_manufact_35_44,p_manufact_45_54,p_manufact_55_64,p_manufact_65_74,p_manufact_75_84,p_manufact_85ov,p_manufact_tot,p_el_gas_wt_waste_15_19,p_el_gas_wt_waste_20_24,p_el_gas_wt_waste_25_34,p_el_gas_wt_waste_35_44,p_el_gas_wt_waste_45_54,p_el_gas_wt_waste_55_64,p_el_gas_wt_waste_65_74,p_el_gas_wt_waste_75_84,p_el_gas_wt_waste_85ov,p_el_gas_wt_waste_tot,p_constru_15_19,p_constru_20_24,p_constru_25_34,p_constru_35_44,p_constru_45_54,p_constru_55_64,p_constru_65_74,p_constru_75_84,p_constru_85ov,p_constru_tot,p_whlesaletde_15_19,p_whlesaletde_20_24,p_whlesaletde_25_34,p_whlesaletde_35_44,p_whlesaletde_45_54,p_whlesaletde_55_64,p_whlesaletde_65_74,p_whlesaletde_75_84,p_whlesaletde_85ov,p_whlesaletde_tot,p_rettde_15_19,p_rettde_20_24,p_rettde_25_34,p_rettde_35_44,p_rettde_45_54,p_rettde_55_64,p_rettde_65_74,p_rettde_75_84,p_rettde_85ov,p_rettde_tot,p_accom_food_15_19,p_accom_food_20_24,p_accom_food_25_34,p_accom_food_35_44,p_accom_food_45_54,p_accom_food_55_64,p_accom_food_65_74,p_accom_food_75_84,p_accom_food_85ov,p_accom_food_tot,p_trans_post_wrehsg_15_19,p_trans_post_wrehsg_20_24,p_trans_post_wrehsg_25_34,p_trans_post_wrehsg_35_44,p_trans_post_wrehsg_45_54,p_trans_post_wrehsg_55_64,p_trans_post_wrehsg_65_74,p_trans_post_wrehsg_75_84,p_trans_post_wrehsg_85ov,p_trans_post_wrehsg_tot,p_info_media_teleco_15_19,p_info_media_teleco_20_24,p_info_media_teleco_25_34,p_info_media_teleco_35_44,p_info_media_teleco_45_54,p_info_media_teleco_55_64,p_info_media_teleco_65_74,p_info_media_teleco_75_84,p_info_media_teleco_85ov,p_info_media_teleco_tot,p_fin_insur_15_19,p_fin_insur_20_24,p_fin_insur_25_34,p_fin_insur_35_44,p_fin_insur_45_54,p_fin_insur_55_64,p_fin_insur_65_74,p_fin_insur_75_84,p_fin_insur_85ov,p_fin_insur_tot,p_rtnhir_rest_15_19,p_rtnhir_rest_20_24,p_rtnhir_rest_25_34,p_rtnhir_rest_35_44,p_rtnhir_rest_45_54,p_rtnhir_rest_55_64,p_rtnhir_rest_65_74,p_rtnhir_rest_75_84,p_rtnhir_rest_85ov,p_rtnhir_rest_tot,p_pro_scien_tec_15_19,p_pro_scien_tec_20_24,p_pro_scien_tec_25_34,p_pro_scien_tec_35_44,p_pro_scien_tec_45_54,p_pro_scien_tec_55_64,p_pro_scien_tec_65_74,p_pro_scien_tec_75_84,p_pro_scien_tec_85ov,p_pro_scien_tec_tot,p_admin_supp_15_19,p_admin_supp_20_24,p_admin_supp_25_34,p_admin_supp_35_44,p_admin_supp_45_54,p_admin_supp_55_64,p_admin_supp_65_74,p_admin_supp_75_84,p_admin_supp_85ov,p_admin_supp_tot,p_public_admin_sfty_15_19,p_public_admin_sfty_20_24,p_public_admin_sfty_25_34,p_public_admin_sfty_35_44,p_public_admin_sfty_45_54,p_public_admin_sfty_55_64,p_public_admin_sfty_65_74,p_public_admin_sfty_75_84,p_public_admin_sfty_85ov,p_public_admin_sfty_tot,p_educ_trng_15_19,p_educ_trng_20_24,p_educ_trng_25_34,p_educ_trng_35_44,p_educ_trng_45_54,p_educ_trng_55_64,p_educ_trng_65_74,p_educ_trng_75_84,p_educ_trng_85ov,p_educ_trng_tot,p_hlthcare_socas_15_19,p_hlthcare_socas_20_24,p_hlthcare_socas_25_34,p_hlthcare_socas_35_44,p_hlthcare_socas_45_54,p_hlthcare_socas_55_64,p_hlthcare_socas_65_74,p_hlthcare_socas_75_84,p_hlthcare_socas_85ov,p_hlthcare_socas_tot,p_art_recn_15_19,p_art_recn_20_24,p_art_recn_25_34,p_art_recn_35_44,p_art_recn_45_54,p_art_recn_55_64,p_art_recn_65_74,p_art_recn_75_84,p_art_recn_85ov,p_art_recn_tot
Rest of NSW,1RNSW,1072,1279,2441,3070,3381,2705,1068,413,125,15563,34072,46056,97810,110036,126491,94689,19994,2544,440,532137,1770,3532,8190,9586,12799,13793,9194,3143,543,62555,216,1329,7421,7668,6459,3435,347,29,11,26925,3093,5990,13268,14265,16088,11341,2014,247,19,66320,154,718,2641,3452,4113,2705,277,17,9,14086,4928,10411,21401,20354,20473,14973,2954,243,29,95770,788,1729,4181,4971,5398,3972,985,140,15,22175,17264,15662,20907,19023,21053,16038,3811,435,55,114261,22420,14346,14718,11422,11902,9467,2487,214,32,86995,658,1933,5996,8581,12032,10909,3497,357,23,43985,594,1066,2053,2085,2115,1598,357,38,3,9913,281,1459,5255,5650,5583,3303,681,125,18,22357,478,1299,2818,3279,3515,2795,1035,171,26,15417,908,3397,10465,12049,11198,8680,3037,375,32,50141,815,2460,6211,7673,9421,7376,1756,191,25,35924,985,3866,15220,20215,22658,14401,2013,142,20,79529,1559,5324,17678,23029,25935,21849,3893,316,28,99607,2496,10703,29715,32384,40901,35802,6109,387,54,158555,1503,1731,2340,2558,2658,2096,716,90,20,13706
Greater Sydney,1GSYD,1774,4615,11619,10123,9370,5573,1631,357,106,45171,49981,105648,269666,242735,222380,142504,31649,2820,395,1067789,312,796,1733,1900,2311,1755,834,244,41,9919,20,175,1172,1310,1164,733,162,24,0,4773,2859,7741,25925,31898,33996,23315,4591,442,63,130833,147,850,3945,4853,4551,2917,463,25,0,17755,7892,20268,49611,44500,37047,21594,4966,402,52,186332,1096,4766,19151,22160,19330,11875,2769,294,37,81471,22954,36619,50724,38453,33868,22519,6029,664,62,211890,30566,29233,39530,21497,17325,11013,2387,253,36,151831,1366,6231,23808,27524,29545,21079,4671,343,25,114594,1527,4724,18774,18482,12634,5907,1218,140,16,63423,816,8355,43572,45044,29696,14006,2863,356,98,144806,989,3891,11911,10398,8851,5532,2120,419,69,44186,2195,16988,68091,59605,41781,25248,8608,1073,131,223708,1403,6956,21516,18926,17334,11805,3138,289,35,81401,1084,6473,28867,32102,30925,20594,4056,298,34,124432,5291,14524,40222,39983,40856,32996,8105,735,56,182770,4227,20419,63207,57576,58857,45816,12073,1084,103,263351,3383,5650,9950,7613,6042,3840,1249,203,29,37955
Rest of Vic.,2RVIC,653,741,1301,1624,1987,1682,708,243,65,9005,18727,25392,53221,59380,71122,55072,11977,1471,318,296681,1278,2626,6419,7665,9747,10464,6769,2157,359,47481,26,218,1078,1149,1228,787,120,12,3,4618,2299,4402,9333,10773,12622,9223,1535,143,36,50356,92,438,1782,2019,2822,2023,276,22,3,9474,2495,6373,13130,11313,11162,8220,1588,156,45,54481,496,1110,2458,2969,3436,2568,619,67,13,13734,10093,8735,11527,10758,12226,9511,2235,237,38,65363,11736,7248,6884,5672,5835,4694,1313,113,31,43530,325,1085,3348,4663,6682,6310,1825,145,29,24408,345,612,1292,1361,1356,1044,235,21,4,6273,107,747,2675,3065,3044,1699,358,47,13,11759,166,566,1314,1437,1553,1226,452,61,14,6785,420,1680,5364,6211,5857,4591,1627,205,20,25977,391,1094,2899,3670,4553,3869,988,108,21,17593,494,1956,6706,8936,10646,7803,1346,111,21,38019,911,2694,9754,12284,13986,11653,2076,126,25,53513,1077,5811,16553,17745,22905,20736,3598,229,55,88708,968,1106,1581,1754,1751,1439,523,72,6,9192
Greater Melbourne,2GMEL,1491,3841,9657,8607,8625,5136,1546,358,117,39376,46521,99704,254436,223203,212541,131905,27484,2316,430,998542,332,1022,2545,2734,2969,2275,1092,347,55,13368,13,133,1072,1299,1122,689,157,15,7,4500,3799,9419,32486,40668,42549,27396,5359,490,63,162231,146,1092,6230,5869,4755,2738,452,32,5,21319,5594,18765,48768,40250,35083,20275,4282,393,63,173467,1176,4813,16827,19234,18690,11078,2423,266,33,74537,24502,39534,50244,37061,34585,22047,5529,561,74,214139,29482,29709,35113,18052,14287,8490,1717,188,29,137055,972,6145,25144,25127,25926,17945,3977,255,34,105527,1197,3490,13400,12991,9378,4548,820,62,19,45902,417,5305,29311,28418,19612,9330,2154,249,70,94869,617,3313,10474,8278,7125,4485,1602,271,45,36207,1283,12720,58687,52022,36662,21625,7337,857,105,191289,1141,6952,20154,16954,16106,10935,3041,314,35,75634,827,5022,24064,27366,27087,17702,3680,386,44,106181,3999,12503,42931,41762,42136,31913,6802,527,74,182653,2321,17359,64384,57525,57709,42853,10058,792,106,253104,4446,7118,11534,8382,6527,3932,1333,206,33,43509
Greater Brisbane,3GBRI,914,1740,3769,3940,3493,2112,645,164,58,16845,32200,54809,119970,115453,110948,68103,13145,993,131,515756,417,957,2029,1766,2072,1607,882,247,25,10005,35,375,3545,3993,2917,1335,201,7,7,12424,2287,5601,15076,16995,17432,10668,1886,143,15,70099,91,481,2522,3394,3088,1847,238,18,0,11681,3746,10155,24715,21867,18619,11067,2233,144,13,92558,809,2426,6980,7998,7794,4672,1004,93,6,31776,15164,19358,22301,16604,15580,10364,2491,199,20,102071,20619,14957,15354,7900,6244,3795,867,87,10,69836,817,3675,12841,14023,15380,11134,2656,171,18,60712,771,1766,3881,3520,3023,1677,288,29,4,14956,304,2203,9979,10008,7535,3750,699,85,23,34594,613,2078,5132,4612,4511,3152,1198,208,32,21539,1386,7670,23185,22603,17022,9714,2763,279,24,84646,1072,3931,9701,8581,7759,5254,1312,116,17,37751,677,4662,17668,20614,19491,11310,1599,89,7,76123,2481,6762,19477,23950,25277,17055,3403,228,19,98669,2779,12243,33336,31998,32668,23141,4622,309,27,141121,1741,2408,3863,3277,2631,1658,550,91,9,16227
Rest of Qld,3RQLD,1103,1331,3041,3662,3880,2654,1017,328,81,17093,34380,45886,100261,109352,118848,80905,17536,1919,266,509346,1751,3700,8200,8278,10279,9983,5839,1892,261,50175,368,1917,9960,10720,9322,4599,548,35,9,37480,3024,5143,11758,13204,13712,9509,1977,193,23,58530,180,662,2500,2964,3431,2167,254,16,4,12174,3863,9194,23028,23050,21594,14644,2870,197,27,98465,913,1875,4760,5783,6111,4043,951,98,10,24544,17856,15349,19884,18351,20011,14018,3688,330,33,109519,21034,13250,17157,12609,11752,8216,2180,226,32,86450,719,2227,7650,9438,12990,10783,3120,261,19,47215,621,1225,2278,2141,2199,1454,337,29,3,10283,343,1460,4690,4855,4723,2797,706,87,13,19666,623,1592,3597,4261,4835,4023,1701,258,31,20921,1094,3760,10792,12136,10679,7583,2553,256,27,48870,1068,2877,7196,8214,9393,6825,1661,174,17,37422,962,4740,13225,15609,16792,10853,1597,134,11,63910,1764,4953,16572,23391,25367,17645,3345,276,19,93333,2482,9615,26964,29029,34785,27275,5068,324,28,135571,1841,2253,3543,3454,3300,2193,670,112,10,17366
Rest of SA,4RSAU,133,132,304,346,443,382,201,58,19,2013,4342,5561,12447,14494,18395,14669,3435,478,90,73903,619,1360,3406,4067,5100,4948,2736,756,119,23113,32,248,1188,1144,1141,622,65,11,3,4452,604,1248,2756,3276,3817,2722,429,54,16,14924,30,101,330,296,494,371,69,3,3,1693,495,1099,2292,2176,2465,2056,422,45,8,11069,164,324,854,862,1015,788,159,22,0,4180,2503,1886,2732,2756,3369,2596,583,65,13,16507,2418,1388,1610,1505,1820,1455,379,33,4,10610,85,309,793,1188,1876,1683,539,72,3,6544,52,105,207,171,195,173,40,3,0,952,40,117,425,465,516,341,77,6,0,1995,36,88,236,299,417,346,100,23,4,1558,90,266,812,853,893,828,349,31,3,4138,119,327,895,976,1424,1150,287,27,0,5211,80,324,1308,1870,2243,1740,264,24,8,7864,146,632,2280,2676,2987,2694,593,37,12,12050,270,1202,3019,3483,5258,5052,789,33,11,19121,111,142,199,238,280,234,98,19,7,1326
Greater Adelaide,4GADE,315,612,1512,1418,1506,1061,395,126,44,6986,15630,27570,61646,59640,64586,45460,9025,730,120,284414,154,488,1137,1427,1565,1260,645,168,29,6871,12,168,1306,1364,1171,617,108,4,3,4754,1279,2960,8864,10666,11693,7535,1444,132,16,44593,89,366,1772,1808,2026,1225,175,9,5,7462,1452,4948,11646,9557,9888,6366,1492,137,22,45503,356,1207,3325,4117,4390,2857,657,65,9,16988,9061,11619,13287,9910,10482,6993,1670,159,18,63195,9774,8661,8500,4925,4021,2482,624,76,7,39067,289,1288,4805,5275,6398,5066,1148,93,9,24359,384,808,2414,2053,1653,1067,265,22,3,8679,127,968,4441,4943,4497,2702,539,63,14,18287,182,687,1822,1664,1861,1489,570,124,8,8408,393,2474,9341,9590,8032,5460,1833,187,17,37334,369,1688,4683,4681,5322,3719,970,83,13,21528,219,2037,9705,11782,11964,8203,1058,35,15,45013,962,3327,10379,11751,12664,10824,2340,157,13,52423,932,6198,20435,19858,22178,17969,3468,235,25,91299,908,1452,1986,1583,1463,1037,326,59,3,8809
Greater Perth,5GPER,784,1458,3669,3304,3306,1953,636,150,35,15288,24475,43430,102745,92260,93935,61903,12870,1050,123,432800,230,561,1349,1237,1494,1226,683,186,25,6994,172,1855,13661,13415,11104,5047,649,40,6,45956,1863,3720,11483,12560,12380,8191,1692,142,16,52043,62,456,2505,2688,2633,1650,250,9,4,10260,3031,9303,26465,21158,18448,10641,2261,192,20,91517,514,1961,5678,5823,5893,3873,928,97,11,24783,13116,16830,18797,14175,14399,9678,2521,241,25,89774,15072,12310,14467,7421,5747,3515,782,88,9,59412,596,2561,9478,9100,10191,7857,1961,138,10,41895,610,1145,2678,2212,1918,1213,332,39,8,10153,161,1442,6625,6437,5883,3227,740,73,20,24599,307,1329,3722,3491,3750,2830,1156,185,22,16788,631,4365,18799,17513,13932,8147,2637,301,21,66361,717,2786,7750,6894,6511,4593,1237,129,8,30622,508,3123,13131,14047,15078,10693,2084,163,17,58848,1788,4886,14827,18758,21344,15970,3510,248,24,81359,1630,8899,26958,24764,25688,20322,4601,344,27,113247,1682,2414,3853,2901,2500,1779,617,80,4,15838
Rest of WA,5RWAU,216,282,651,716,832,600,186,73,10,3573,5965,7637,20539,22712,25010,18168,4051,523,71,104674,553,1195,3381,3717,4638,4422,2696,776,100,21476,194,1378,7589,7194,6260,3209,390,13,7,26227,640,1053,2841,2898,2702,1846,395,42,10,12430,32,137,606,738,847,634,103,5,0,3097,824,1891,5207,4979,4814,3313,632,51,8,21719,204,409,967,1033,1123,733,192,28,3,4678,3480,2154,3583,3489,4102,2990,665,56,11,20520,2792,1671,3159,2454,2502,1826,511,59,6,14977,151,539,1700,2216,3006,2573,814,65,9,11073,115,157,273,240,254,194,43,8,3,1283,64,184,654,609,677,359,69,19,0,2633,105,319,625,686,756,572,243,32,0,3338,167,447,1608,1863,1806,1363,385,48,5,7689,208,506,1380,1539,1810,1396,343,34,3,7224,233,607,2420,3184,3616,2746,509,43,5,13374,250,831,3267,4952,5423,4022,719,55,5,19521,439,1311,4056,4763,5667,5210,1031,71,11,22551,186,208,474,513,556,498,130,26,0,2596
