gccsa_code_2011,gccsa_name_2011,year,reg_mv_pas_vhcls,reg_mv_campervans,reg_mv_lt_comm_vhcls,reg_mv_lt_rgd_trks,reg_mv_hvy_rgd_trks,reg_mv_artcltd_trks,reg_mv_non_frght_trks,reg_mv_buses,reg_mv_mtrcycls,reg_mv_tot_vhcls,reg_mv_ptrl_fuel,reg_mv_disl_fuel,reg_mv_lpg_dl_oth_fuel,trst_accom_est_wth_15_more_rms,ag_area_hldng_ha,ag_area_brdacr_crps_crl_ha,ag_area_veg_ha,ag_area_orchd_nut_trs_ha,ag_area_all_frt_exc_grp_ha,ag_area_brdacr_crp_non_crl_ha,ag_comm_diary_ctl,ag_comm_meat_ctl,ag_comm_sheep,ag_comm_pigs,ag_grs_val_ag_prod_,ag_grs_val_crps_,ag_grs_val_livstk_slghtr_,ag_grs_val_livstk_prdct_,empl_industry_ag_frst_fsh_pc,empl_industry_mining_pc,empl_industry_mnfctrng_pc,empl_industry_elc_gs_wtr_wst_pc,empl_industry_construction_pc,empl_industry_whlsle_trd_pc,empl_industry_retail_trd_pc,empl_industry_accom_food_pc,empl_industry_trnsprt_pst_wrhsng_pc,empl_industry_infomedia_telecom_pc,empl_industry_financ_insur_pc,empl_industry_rent_rl_est_pc,empl_industry_prof_sci_tech_pc,empl_industry_admin_supp_pc,empl_industry_pub_admin_safety_pc,empl_industry_edu_train_pc,empl_industry_hlth_soc_ass_pc,empl_industry_art_rec_pc,empl_industry_oth_serv_pc,empl_industry_tot,bus_industry_ag_frst_fsh,bus_industry_mining,bus_industry_mnfctrng,bus_industry_elc_gs_wtr_wst,bus_industry_construction,bus_industry_whlsle_trd,bus_industry_retail_trd,bus_industry_accom_food,bus_industry_trnsprt_pst_wrhsng,bus_industry_infomedia_telecom,bus_industry_financ_insur,bus_industry_rent_rl_est,bus_industry_prof_sci_tech,bus_industry_admin_supp,bus_industry_pub_admin_safety,bus_industry_edu_train,bus_industry_hlth_soc_ass,bus_industry_art_rec,bus_industry_oth_serv,bus_industry_current_unkwn,bus_industry_tot
1GSYD ,Greater Sydney,2010,2271375,3555.0,275304,21497.0,35935,6344.0,2150.0,10623.0,89289,2716072,2435651,213801,66624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GSYD ,Greater Sydney,2011,2313729,3882.0,281136,22156.0,35766,6378.0,2027.0,10675.0,93277,2769026,2464292,235829,68842,,,,,,,,,,,,,,,,0.4,0.2,8.5,0.9,7.1,5.3,9.8,6.2,5.3,3.0,6.6,1.8,9.6,3.5,5.6,7.6,10.9,1.6,3.7,2063269.0,7615.0,776.0,18910.0,1187.0,71466.0,22078.0,32074.0,17469.0,32213.0,6910.0,42487.0,56339.0,72982.0,22493.0,2445.0,6969.0,25571.0,7059.0,18419.0,9339.0,474801.0
1GSYD ,Greater Sydney,2012,2342101,4433.0,286980,22792.0,36148,6323.0,1841.0,10514.0,97791,2808923,2474229,264822,69896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950.0,827.0,18730.0,1187.0,71123.0,22142.0,32140.0,18026.0,32145.0,7002.0,43607.0,56433.0,73684.0,22486.0,2374.0,6985.0,26521.0,6998.0,18524.0,11122.0,479006.0
1GSYD ,Greater Sydney,2013,2392942,4388.0,295231,23660.0,36637,6417.0,1772.0,10815.0,104845,2876707,2499337,304072,73304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6491.0,777.0,17790.0,1151.0,67640.0,20975.0,30182.0,17355.0,30718.0,6774.0,43358.0,55481.0,70874.0,21255.0,2258.0,6674.0,26894.0,6617.0,17757.0,11589.0,462610.0
1GSYD ,Greater Sydney,2014,2455943,4896.0,306807,24686.0,37486,6690.0,1721.0,11093.0,111302,2960624,2540296,348617,71691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6255.0,797.0,17657.0,1159.0,69829.0,21123.0,30148.0,18419.0,31246.0,6978.0,45011.0,56965.0,72209.0,21424.0,2246.0,6879.0,28256.0,6647.0,17970.0,9926.0,471144.0
1RNSW ,Rest of NSW,2010,1328012,6525.0,358645,14810.0,44011,10502.0,1186.0,9681.0,84555,1857927,1486195,324937,46813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RNSW ,Rest of NSW,2011,1350029,6806.0,369899,14971.0,44632,12014.0,1194.0,9858.0,86343,1895746,1497713,350176,47804,,,,,,,,,,,,,,,,5.8,2.5,8.3,1.5,7.9,2.8,11.4,7.7,4.2,1.0,2.2,1.4,4.6,2.8,7.2,8.6,13.0,1.2,3.9,1071373.0,47145.0,718.0,8367.0,627.0,35256.0,6047.0,15859.0,10065.0,12215.0,1123.0,11943.0,19116.0,17397.0,6691.0,649.0,2367.0,9785.0,2739.0,9955.0,2230.0,220294.0
1RNSW ,Rest of NSW,2012,1368807,7179.0,380545,15348.0,44658,12042.0,1218.0,9887.0,88653,1928337,1504117,377441,46787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46487.0,743.0,8261.0,606.0,34985.0,5993.0,15515.0,10092.0,12117.0,1115.0,12394.0,19113.0,17342.0,6683.0,649.0,2426.0,10115.0,2721.0,10008.0,2699.0,220064.0
1RNSW ,Rest of NSW,2013,1393591,7598.0,396430,15662.0,44286,12304.0,1168.0,9953.0,93077,1974069,1513051,414137,46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45575.0,670.0,7926.0,617.0,33634.0,5712.0,14661.0,9766.0,11718.0,1039.0,12646.0,18876.0,16915.0,6261.0,613.0,2333.0,10368.0,2532.0,9705.0,2803.0,214370.0
1RNSW ,Rest of NSW,2014,1411143,7937.0,411630,16011.0,44477,12761.0,1148.0,9861.0,97435,2012403,1513458,454097,44854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45874.0,655.0,7864.0,689.0,33679.0,5719.0,14384.0,10037.0,11641.0,1095.0,13235.0,18905.0,17089.0,6281.0,609.0,2366.0,10929.0,2530.0,9794.0,2429.0,215804.0
